# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  7.9472465837496467e+00  2.4551160005931646e-02  6.6419753243758652e+00  2.7556671788255666e-01  3.1920973771883748e+01  3.2000000000000007e+01  3.2000000000000014e+01  4.7999999999999998e+00  7.9470550931512065e+00  6.6422425766956401e+00  2.7634445236644395e-01  4.3375355098767931e+00  7.4559277604039853e-01  4.4068764575965975e+00  7.3603051322509361e-01  4.9206580087864488e-01  9.8961493962662328e-01
3.9999999999999600e+00  7.9786808817200479e+00  2.4610770789963710e-02  6.6421188804371036e+00  2.7395550238771244e-01  3.1925498442054383e+01  3.2000000000023931e+01  3.1999999999999925e+01  4.7999999999999998e+00  7.9784707099007957e+00  6.6423729795760327e+00  2.7595238436215452e-01  4.3396235375878067e+00  7.4472558803171385e-01  4.4052727482889420e+00  7.3644751681046028e-01  4.9248558549774119e-01  9.8958356578799289e-01
7.9999999999998703e+00  8.0078934316874300e+00  2.4569364032530482e-02  6.6417064390293437e+00  2.7272919871354190e-01  3.1937768251437991e+01  3.1999999999748894e+01  3.1999999999997737e+01  4.7999999999999998e+00  8.0077372806959985e+00  6.6419147007542465e+00  2.7412259667310773e-01  4.3461507742468948e+00  7.4402089329114607e-01  4.3977280793611051e+00  7.3807122030434136e-01  4.9352557037821176e-01  9.8967940480542405e-01
1.1999999999999799e+01  8.0393881572387720e+00  2.4576432186257619e-02  6.6480528549402811e+00  2.7305940204155565e-01  3.1947968288002077e+01  3.1999999998294630e+01  3.1999999999915406e+01  4.7999999999999998e+00  8.0392214598510812e+00  6.6482387768480358e+00  2.6942096853440328e-01  4.3725498352472369e+00  7.4287926670881155e-01  4.3919105769705755e+00  7.3945804237645441e-01  4.9407962601655114e-01  9.8969211999775231e-01
1.5999999999999700e+01  8.0958257452725366e+00  2.4578687175849847e-02  6.7173966477076075e+00  2.7220573642323631e-01  3.1952877158001691e+01  3.1999999992753292e+01  3.1999999998505405e+01  4.7999999999999998e+00  8.0956527507184113e+00  6.7175870382224696e+00  2.6855881134428300e-01  4.5011309222084988e+00  7.4105568525174270e-01  4.4762286895592798e+00  7.3721665962166838e-01  4.9376360308728029e-01  9.8970285677197889e-01
2.0000000000000298e+01  8.1630647628263695e+00  2.4585414610498738e-02  6.8552854030081631e+00  2.7103543564957450e-01  3.1953653194906224e+01  3.1999999908902094e+01  3.1999999961300336e+01  4.7999999999999998e+00  8.1628951112813724e+00  6.8555059049045850e+00  2.6737816195787184e-01  4.6958012654922907e+00  7.4134254939297384e-01  4.6908880994708859e+00  7.3469069734078596e-01  4.9262063700977443e-01  9.8971052622122069e-01
2.4000000000000998e+01  8.2358754399405107e+00  2.4585535613728733e-02  7.0608949410944337e+00  2.7154224712256242e-01  3.1959045820539590e+01  3.1999999596513195e+01  3.1999999760464313e+01  4.7999999999999998e+00  8.2357362705227857e+00  7.0611380778751096e+00  2.6607566646977360e-01  4.9749578712454712e+00  7.4052168269220531e-01  5.0040697511400536e+00  7.3035489268042653e-01  4.9190356456018325e-01  9.8971082710109193e-01
2.8000000000001599e+01  8.3069304485921016e+00  2.4586926736323560e-02  7.3237513267386118e+00  2.7035994180284123e-01  3.1978207277888643e+01  3.1999999139457170e+01  3.1999999408215434e+01  4.7999999999999998e+00  8.3068115990593512e+00  7.3239698743179398e+00  2.7024502583418336e-01  5.3575685255185865e+00  7.3532481550401230e-01  5.3648734948891068e+00  7.2816139064200613e-01  4.9265258141088097e-01  9.8970949529550567e-01
3.2000000000002203e+01  8.3683285991717646e+00  2.4589718316918974e-02  7.6130562139519515e+00  2.6400286617325786e-01  3.2004712264664306e+01  3.1999998833680742e+01  3.1999999127640958e+01  4.7999999999999998e+00  8.3682453912630521e+00  7.6132242436608504e+00  2.6733713744821197e-01  5.7959254091649237e+00  7.3131085240105465e-01  5.7316568339039815e+00  7.2805885558674777e-01  4.9392634895018944e-01  9.8970511670433514e-01
3.6000000000001400e+01  8.4140172067716428e+00  2.4594252110589257e-02  7.8753538654211424e+00  2.6984999253926489e-01  3.2029364298155009e+01  3.1999998615829046e+01  3.1999998954309458e+01  4.7999999999999998e+00  8.4139690234269082e+00  7.8754856604772803e+00  2.6772805688170526e-01  6.1846977868923414e+00  7.2975582140105011e-01  6.0671888486154577e+00  7.2657489217289428e-01  4.9434265916389575e-01  9.8970054162991072e-01
4.0000000000000597e+01  8.4519883804177312e+00  2.4599368056260180e-02  8.0721451577562355e+00  2.6676955354454712e-01  3.2046260939738865e+01  3.1999998394302786e+01  3.1999998816968191e+01  4.7999999999999998e+00  8.4519698757114448e+00  8.0722805500143675e+00  2.6908186431214920e-01  6.4568547299104635e+00  7.2973780461765569e-01  6.3430786505274330e+00  7.2490874599256716e-01  4.9344573828979016e-01  9.8969475491545900e-01
4.3999999999999801e+01  8.4836776161975536e+00  2.4603742348851158e-02  8.1808003040702619e+00  2.6645481574426372e-01  3.2061636730266805e+01  3.1999998160791847e+01  3.1999998657819745e+01  4.7999999999999998e+00  8.4836890756724266e+00  8.1809561183488455e+00  2.6899401783597426e-01  6.6014351464919123e+00  7.3132036677364964e-01  6.5101080397454290e+00  7.2294701686922813e-01  4.9242420477599136e-01  9.8968844997661620e-01
4.7999999999998998e+01  8.5101949282359968e+00  2.4606444708849033e-02  8.1961510160500648e+00  2.6943947284856901e-01  3.2086225569406558e+01  3.1999997916222835e+01  3.1999998480721999e+01  4.7999999999999998e+00  8.5102373068194499e+00  8.1963060963063832e+00  2.6993967172674815e-01  6.6314148729068405e+00  7.3256074437403196e-01  6.5434565833562459e+00  7.2359403867387417e-01  4.9239904873646267e-01  9.8968234993930071e-01
5.1999999999998202e+01  8.5317252270220081e+00  2.4607411878061532e-02  8.1352325400720389e+00  2.6774336505581525e-01  3.2121093369625001e+01  3.1999997685139313e+01  3.1999998287508060e+01  4.7999999999999998e+00  8.5318017198156078e+00  8.1353586767214363e+00  2.6890744673547129e-01  6.5705075302776512e+00  7.3146510843140389e-01  6.4608471315154175e+00  7.2653146385390843e-01  4.9322044050261693e-01  9.8967500140242037e-01
5.5999999999997399e+01  8.5453528498908753e+00  2.4607190788081611e-02  8.0364729165578286e+00  2.6957293219021766e-01  3.2158750534382534e+01  3.1999997430329401e+01  3.1999998061084824e+01  4.7999999999999998e+00  8.5454623864005601e+00  8.0365672540442219e+00  2.7238042309738814e-01  6.4502739014078472e+00  7.3308769609436020e-01  6.3255072767463432e+00  7.2920185873124910e-01  4.9382052879450228e-01  9.8966847052211893e-01
5.9999999999996597e+01  8.5582290445836442e+00  2.4606003878181255e-02  7.9379271474226911e+00  2.7178597297209633e-01  3.2192799803487659e+01  3.1999997198535926e+01  3.1999997848779557e+01  4.7999999999999998e+00  8.5583719869385106e+00  7.9380108760572448e+00  2.7014419776639026e-01  6.3085296562888979e+00  7.3429284531901096e-01  6.2036244069662834e+00  7.3147680543331184e-01  4.9363942889155898e-01  9.8966217030862647e-01
6.3999999999995801e+01  8.5797303420886060e+00  2.4602713643343436e-02  7.8690186068025838e+00  2.6946891177017257e-01  3.2221668936125326e+01  3.1999996865231672e+01  3.1999997579294511e+01  4.7999999999999998e+00  8.5799097470936125e+00  7.8691208715624663e+00  2.7048551508488805e-01  6.1839599188097418e+00  7.3655433407039128e-01  6.1419902776857773e+00  7.3132007410414124e-01  4.9271847563833854e-01  9.8964136014658899e-01
6.7999999999997897e+01  8.6072401083265824e+00  2.4596628270546067e-02  7.8279625443981597e+00  2.7044733842133156e-01  3.2253275943176440e+01  3.1999996536864050e+01  3.1999997316123750e+01  4.7999999999999998e+00  8.6074535582099934e+00  7.8280834776138581e+00  2.7289009073770365e-01  6.1000932472552849e+00  7.3791737809774394e-01  6.1134450255007700e+00  7.3081965538929639e-01  4.9204582107547451e-01  9.8961578306729114e-01
7.1999999999999901e+01  8.6400770203327539e+00  2.4586092073366119e-02  7.8063387895552472e+00  2.7302263997087933e-01  3.2295194466341833e+01  3.1999996232870934e+01  3.1999997068004710e+01  4.7999999999999998e+00  8.6403272336850421e+00  7.8064471766043768e+00  2.7056460178050046e-01  6.0718484683704128e+00  7.3744102249147947e-01  6.0841011684656667e+00  7.3141543344356730e-01  4.9234287587529668e-01  9.8959390359459554e-01
7.6000000000002004e+01  8.6688513852299955e+00  2.4572623564799181e-02  7.7854190085310107e+00  2.7080831308966280e-01  3.2343472869261241e+01  3.1999995887452943e+01  3.1999996801359014e+01  4.7999999999999998e+00  8.6691344813717812e+00  7.7854977211874514e+00  2.6944579095091187e-01  6.0637560666820933e+00  7.3706364234452892e-01  6.0354120382325966e+00  7.3030627010559379e-01  4.9303823388942758e-01  9.8957127870100570e-01
8.0000000000003993e+01  8.6907624526203406e+00  2.4555619260685686e-02  7.7545726597504716e+00  2.7185017089319702e-01  3.2391618245279446e+01  3.1999995708134009e+01  3.1999996658044715e+01  4.7999999999999998e+00  8.6910833914513450e+00  7.7546305276585992e+00  2.6893500703020901e-01  6.0413782670066114e+00  7.3772178272215239e-01  5.9751433913228169e+00  7.3480994078940398e-01  4.9344694544851231e-01  9.8955067141108022e-01
8.4000000000006096e+01  8.7122300684512233e+00  2.4537138280354701e-02  7.7204549087035987e+00  2.6957500651377503e-01  3.2436799833361569e+01  3.1999995506886400e+01  3.1999996486839123e+01  4.7999999999999998e+00  8.7125892278440968e+00  7.7205139214346969e+00  2.7168708035471134e-01  6.0012456223058042e+00  7.3995101022340382e-01  5.9243056291533973e+00  7.3572347824212703e-01  4.9321817521730854e-01  9.8952912080062039e-01
8.8000000000008100e+01  8.7392083670313667e+00  2.4554023193210081e-02  7.6921133912038213e+00  2.7204047083553656e-01  3.2479467223374527e+01  3.1999995015529940e+01  3.1999996146003632e+01  4.7999999999999998e+00  8.7396049067237875e+00  7.6921953971820010e+00  2.7226457124217807e-01  5.9525328915279108e+00  7.4148805561200448e-01  5.8966421064916519e+00  7.3503562102304898e-01  4.9253536943663023e-01  9.8951158963894870e-01
9.2000000000010203e+01  8.7702461401361447e+00  2.4567247480559464e-02  7.6661679346399838e+00  2.7305040689191018e-01  3.2527170508475116e+01  3.1999994420323990e+01  3.1999995642642514e+01  4.7999999999999998e+00  8.7706799893840319e+00  7.6662625502438031e+00  2.7087897859518995e-01  5.9098084922897165e+00  7.3901910300386509e-01  5.8683509187810463e+00  7.3466040729827931e-01  4.9218774975469615e-01  9.8949533075610863e-01
9.6000000000012193e+01  8.8037570306257642e+00  2.4574349470861890e-02  7.6478116299833001e+00  2.7249651975288514e-01  3.2583324316195679e+01  3.1999994077242974e+01  3.1999995421399447e+01  4.7999999999999998e+00  8.8042282781097079e+00  7.6478924025459136e+00  2.7288877984868276e-01  5.8949941447991696e+00  7.4139046973159739e-01  5.8319981043890996e+00  7.3459354359866391e-01  4.9247737512191170e-01  9.8948223504819710e-01
1.0000000000001400e+02  8.8322396335061004e+00  2.4577332598973073e-02  7.6214845361148305e+00  2.7368071427780605e-01  3.2643591290686196e+01  3.1999994116579227e+01  3.1999995417730933e+01  4.7999999999999998e+00  8.8327480920676091e+00  7.6215439666347820e+00  2.7317338158008497e-01  5.8736528306006699e+00  7.4137686360923893e-01  5.7803154205145661e+00  7.3696504475513569e-01  4.9293350871212749e-01  9.8947258964446283e-01
1.0400000000001600e+02  8.8561746359001372e+00  2.4574798993149100e-02  7.5941863785345101e+00  2.7419969799274391e-01  3.2703638041003295e+01  3.1999993963591994e+01  3.1999995299627308e+01  4.7999999999999998e+00  8.8567181147207954e+00  7.5942352547599823e+00  2.7154260268029101e-01  5.8490976780432176e+00  7.4131795755963958e-01  5.7291843450586741e+00  7.3797885694590160e-01  4.9312219790824191e-01  9.8946583065709670e-01
1.0800000000001801e+02  8.8813317667751832e+00  2.4565288469734912e-02  7.5630472505591166e+00  2.7189818457544046e-01  3.2762485251373789e+01  3.1999993427939415e+01  3.1999994888834767e+01  4.7999999999999998e+00  8.8819102498622797e+00  7.5631016606550912e+00  2.7351241054072023e-01  5.8044970953420938e+00  7.4189958614550333e-01  5.6894839539523732e+00  7.3933810665930300e-01  4.9280217791565856e-01  9.8943191355397575e-01
1.1200000000001999e+02  8.9124587011949998e+00  2.4550976104590189e-02  7.5453318115678440e+00  2.7348848045890944e-01  3.2821295321328634e+01  3.1999992750950224e+01  3.1999994309358105e+01  4.7999999999999998e+00  8.9130744882536703e+00  7.5454010921755046e+00  2.7316336125722873e-01  5.7642348789032969e+00  7.4362857641469171e-01  5.6794250092956204e+00  7.3686143525063430e-01  4.9224516249509143e-01  9.8940042656245697e-01
1.1600000000002200e+02  8.9465785440587418e+00  2.4528661297215662e-02  7.5256869847303758e+00  2.7088052406128543e-01  3.2884404654283024e+01  3.1999992185846668e+01  3.1999993880464746e+01  4.7999999999999998e+00  8.9472311805015572e+00  7.5257640750673644e+00  2.7123676772189464e-01  5.7306898832189406e+00  7.4413012152404723e-01  5.6587630822006263e+00  7.3874847377685482e-01  4.9210240534385175e-01  9.8937280662706872e-01
1.2000000000002400e+02  8.9808604243603920e+00  2.4527874467029823e-02  7.5149704832463131e+00  2.7062719620590769e-01  3.2954933606166641e+01  3.1999991675180215e+01  3.1999993521442097e+01  4.7999999999999998e+00  8.9815485734471103e+00  7.5150327905080001e+00  2.6698916813455853e-01  5.7351620645785504e+00  7.4398097432662558e-01  5.6226979496858913e+00  7.3948492817396250e-01  4.9244218907027792e-01  9.8934976031006483e-01
1.2400000000002700e+02  9.0095930003059941e+00  2.4543959286629329e-02  7.4958541997073578e+00  2.7338699935415073e-01  3.3028884473721874e+01  3.1999991204428010e+01  3.1999993225766250e+01  4.7999999999999998e+00  9.0103161798955398e+00  7.4958958769894801e+00  2.7121971928137312e-01  5.7189449733288447e+00  7.4303502131370103e-01  5.5829500116906878e+00  7.3942678694642860e-01  4.9273671971888949e-01  9.8933139255522173e-01
1.2800000000002899e+02  9.0353670208643688e+00  2.4552397679064517e-02  7.4614662540616674e+00  2.7291317978306795e-01  3.3101645401377795e+01  3.1999990614406112e+01  3.1999992827455237e+01  4.7999999999999998e+00  9.0361260646728994e+00  7.4615040201815974e+00  2.7388989326051977e-01  5.6525131539141631e+00  7.4502499520719667e-01  5.5520177212238027e+00  7.3945716456590027e-01  4.9264749522860607e-01  9.8931807279027284e-01
1.3200000000002501e+02  9.0658416850879480e+00  2.4551813810496738e-02  7.4507432686803501e+00  2.7213655039232221e-01  3.3173203775760371e+01  3.1999990086461860e+01  3.1999992442009088e+01  4.7999999999999998e+00  9.0666351401998071e+00  7.4507926069984682e+00  2.7085514384290760e-01  5.6355940221783891e+00  7.4525975922953880e-01  5.5369293394068180e+00  7.4011882316199873e-01  4.9230090348907041e-01  9.8931094351002591e-01
1.3600000000002100e+02  9.1012720712384230e+00  2.4542436963956232e-02  7.4517118667868045e+00  2.7158769445795622e-01  3.3245861562580870e+01  3.1999989619985961e+01  3.1999992149594430e+01  4.7999999999999998e+00  9.1020986807798039e+00  7.4517792359644996e+00  2.7393565580772822e-01  5.6434959080668099e+00  7.4502375765239837e-01  5.5297531381046561e+00  7.4080829570362283e-01  4.9197377251922181e-01  9.8928404362629130e-01
1.4000000000001799e+02  9.1372590073160076e+00  2.4524002492854285e-02  7.4434300676439733e+00  2.7160189987684047e-01  3.3324084398341611e+01  3.1999989115694717e+01  3.1999991829573972e+01  4.7999999999999998e+00  9.1381204908397571e+00  7.4435014358291047e+00  2.7277675009991670e-01  5.6222836118703912e+00  7.4560738370034496e-01  5.5243685457668796e+00  7.4019099476758110e-01  4.9197802302377958e-01  9.8924893884362486e-01
