# time  f_op  f_geo  geo_trustworthy  max_local_speed  superluminal_fraction  max_shift  structure_coherence  reachable  n_rays  n_reached  max_h_rel_drift  f_geo_evol  f_geo_evol_ok
0.0000000000000000e+00  3.8853889451611109e-06  5.4636470650206952e-06  1  1.0132425444242050e+00  0.0000000000000000e+00  0.0000000000000000e+00  nan  1  5  5  1.3147228410537244e-04  0.0000000000000000e+00  0
3.9999999999999600e+00  0.0000000000000000e+00  0.0000000000000000e+00  1  1.0130926274571199e+00  0.0000000000000000e+00  4.9725084411811656e-05  nan  1  5  5  1.2982761159081277e-04  0.0000000000000000e+00  0
7.9999999999998703e+00  0.0000000000000000e+00  8.6663522503983680e-06  1  1.0132290500782919e+00  0.0000000000000000e+00  2.6136658077439562e-05  nan  1  5  5  1.3117747323361758e-04  0.0000000000000000e+00  0
1.1999999999999799e+01  0.0000000000000000e+00  5.1604110321938155e-06  1  1.0132073335259097e+00  0.0000000000000000e+00  3.6364020991899055e-05  nan  1  5  5  1.3079787235751534e-04  0.0000000000000000e+00  0
1.5999999999999700e+01  0.0000000000000000e+00  2.9389613165342605e-06  1  1.0132160071551393e+00  0.0000000000000000e+00  4.8772387598880834e-05  nan  1  5  5  1.3087843392029470e-04  0.0000000000000000e+00  0
2.0000000000000298e+01  0.0000000000000000e+00  4.2081538414389591e-06  1  1.0132262715906495e+00  0.0000000000000000e+00  6.1622760759825159e-05  nan  1  5  5  1.3067770380454280e-04  0.0000000000000000e+00  0
2.4000000000000998e+01  0.0000000000000000e+00  8.4451014852820391e-06  1  1.0132417589524922e+00  0.0000000000000000e+00  7.4655120318069902e-05  nan  1  5  5  1.3053633146599587e-04  0.0000000000000000e+00  0
2.8000000000001599e+01  0.0000000000000000e+00  1.4444362100851647e-05  1  1.0132524990970817e+00  0.0000000000000000e+00  8.7540032330939879e-05  nan  1  5  5  1.3036117067547775e-04  0.0000000000000000e+00  0
3.2000000000002203e+01  2.9053505838880164e-06  2.5296957970476359e-05  1  1.0132719727215873e+00  0.0000000000000000e+00  1.0079800399720939e-04  nan  1  5  5  1.3014719114797502e-04  0.0000000000000000e+00  0
3.6000000000001400e+01  1.6315213832763161e-05  3.9914676756261055e-05  1  1.0132941376024278e+00  0.0000000000000000e+00  1.1450189209937220e-04  nan  1  5  5  1.2986175737896854e-04  0.0000000000000000e+00  0
4.0000000000000597e+01  2.9471873087809677e-05  6.1227876488385060e-05  1  1.0133130983072414e+00  0.0000000000000000e+00  1.2775681534638915e-04  nan  1  5  5  2.0212994301027882e-06  0.0000000000000000e+00  0
4.3999999999999801e+01  4.4031264651264193e-05  9.2350706105569368e-05  1  1.0133292326499348e+00  0.0000000000000000e+00  1.4130365121904677e-04  nan  1  5  5  2.0186744887472457e-06  0.0000000000000000e+00  0
4.7999999999998998e+01  6.1260580705008053e-05  1.2960069631276185e-04  1  1.0133582210082783e+00  0.0000000000000000e+00  1.5519364125336186e-04  nan  1  5  5  2.0022552102584546e-06  0.0000000000000000e+00  0
5.1999999999998202e+01  8.2069761691468988e-05  1.7212005304319727e-04  1  1.0134006213939120e+00  0.0000000000000000e+00  1.6949195693639600e-04  nan  1  5  5  2.0344021369090197e-06  0.0000000000000000e+00  0
5.5999999999997399e+01  1.0661792647590816e-04  2.1913131908394645e-04  1  1.0134445828193861e+00  0.0000000000000000e+00  1.8375055297221058e-04  nan  1  5  5  2.3614991267214287e-06  0.0000000000000000e+00  0
5.9999999999996597e+01  1.3307993921240810e-04  2.6958259171242871e-04  1  1.0134863218981640e+00  0.0000000000000000e+00  1.9767456916205685e-04  nan  1  5  5  2.7150817130628830e-06  0.0000000000000000e+00  0
6.3999999999995801e+01  1.6330607153412514e-04  3.2390387969538631e-04  1  1.0135278139087245e+00  0.0000000000000000e+00  2.1166730582101144e-04  nan  1  5  5  3.0874433665670117e-06  0.0000000000000000e+00  0
6.7999999999997897e+01  1.9706825512822825e-04  3.8349437245418128e-04  1  1.0135650330343506e+00  0.0000000000000000e+00  2.2725628987860285e-04  nan  1  5  5  3.4908707635726089e-06  0.0000000000000000e+00  0
7.1999999999999901e+01  2.3221556365509674e-04  4.4160067560965953e-04  1  1.0136061723196521e+00  0.0000000000000000e+00  2.4096552530036407e-04  nan  1  5  5  3.9172255550454154e-06  0.0000000000000000e+00  0
7.6000000000002004e+01  2.7204943626640713e-04  5.0764142104105692e-04  1  1.0136391611921289e+00  0.0000000000000000e+00  2.5583526692952085e-04  nan  1  5  5  4.3767069491475214e-06  0.0000000000000000e+00  0
8.0000000000003993e+01  3.1556264215219641e-04  5.7794143656549513e-04  1  1.0136758973259317e+00  0.0000000000000000e+00  2.7040469627089372e-04  nan  1  5  5  4.8674125351802059e-06  0.0000000000000000e+00  0
8.4000000000006096e+01  3.6228327133855793e-04  6.5202728706865217e-04  1  1.0137021770176058e+00  0.0000000000000000e+00  2.8547781007271362e-04  nan  1  5  5  5.3784950482521288e-06  0.0000000000000000e+00  0
8.8000000000008100e+01  4.1236886413763480e-04  7.3005539814917505e-04  1  1.0137276471867529e+00  0.0000000000000000e+00  2.9991748521229848e-04  nan  1  5  5  5.9197582989869871e-06  0.0000000000000000e+00  0
9.2000000000010203e+01  4.6574837269405518e-04  8.1200260720424037e-04  1  1.0137479815364090e+00  0.0000000000000000e+00  3.1465466111940259e-04  nan  1  5  5  6.4891408900939818e-06  0.0000000000000000e+00  0
9.6000000000012193e+01  5.2307944446986713e-04  8.9878290807951804e-04  1  1.0137610998652986e+00  0.0000000000000000e+00  3.2951429059352059e-04  nan  1  5  5  7.0927633177599130e-06  0.0000000000000000e+00  0
1.0000000000001400e+02  5.8365057761041751e-04  9.8898291615393897e-04  1  1.0138227810927058e+00  0.0000000000000000e+00  3.4390802964891914e-04  nan  1  5  5  7.7262594146517813e-06  0.0000000000000000e+00  0
1.0400000000001600e+02  6.4808635596939272e-04  1.0838298886514969e-03  1  1.0138805182934683e+00  0.0000000000000000e+00  3.5886677356755512e-04  nan  1  5  5  8.3926006010195036e-06  0.0000000000000000e+00  0
1.0800000000001801e+02  7.1688681371689109e-04  1.1837522485885147e-03  1  1.0139327255575137e+00  0.0000000000000000e+00  3.7445128610233988e-04  nan  1  5  5  9.0955031120505101e-06  0.0000000000000000e+00  0
1.1200000000001999e+02  7.8938224035887271e-04  1.2881866481559729e-03  1  1.0139766897986671e+00  0.0000000000000000e+00  3.9029743834951582e-04  nan  1  5  5  9.8291698087929224e-06  0.0000000000000000e+00  0
1.1600000000002200e+02  8.6630922776709024e-04  1.3972702757727685e-03  1  1.0140137890979144e+00  0.0000000000000000e+00  4.0579354119218394e-04  nan  1  5  5  1.0599576800285486e-05  0.0000000000000000e+00  0
1.2000000000002400e+02  9.4721419613361764e-04  1.5110898700622221e-03  1  1.0140415205893611e+00  0.0000000000000000e+00  4.2103067077577360e-04  nan  1  5  5  1.1410742304761830e-05  0.0000000000000000e+00  0
1.2400000000002700e+02  1.0326338752084615e-03  1.6299705938007914e-03  1  1.0140591510815866e+00  0.0000000000000000e+00  4.3681792620196402e-04  nan  1  5  5  1.2256337352511443e-05  0.0000000000000000e+00  0
1.2800000000002899e+02  1.1225862394257050e-03  1.7537714374080444e-03  1  1.0140835545578708e+00  0.0000000000000000e+00  4.5208863586390771e-04  nan  1  5  5  1.3145397876136669e-05  0.0000000000000000e+00  0
1.3200000000002501e+02  1.2173674651801900e-03  1.8834229138664502e-03  1  1.0141558377206845e+00  0.0000000000000000e+00  4.6685606228602197e-04  nan  1  5  5  1.4074501456218733e-05  0.0000000000000000e+00  0
1.3600000000002100e+02  1.3168133302789656e-03  2.0182767135735868e-03  1  1.0142179598779522e+00  0.0000000000000000e+00  4.8186988253007160e-04  nan  1  5  5  1.5066442868837119e-05  0.0000000000000000e+00  0
1.4000000000001799e+02  1.4214165719688948e-03  2.1586554817767632e-03  1  1.0142687674336515e+00  0.0000000000000000e+00  4.9825846575170718e-04  nan  1  5  5  1.6122202032929143e-05  0.0000000000000000e+00  0
1.4400000000001401e+02  1.5310068209831412e-03  2.3045187392202304e-03  1  1.0143073229821669e+00  0.0000000000000000e+00  5.1439988918267749e-04  nan  1  5  5  1.7232160825095917e-05  0.0000000000000000e+00  0
1.4800000000001000e+02  1.6460155179231909e-03  2.4563474742805226e-03  1  1.0143320357123904e+00  0.0000000000000000e+00  5.3168029855186452e-04  nan  1  5  5  1.8399748865098124e-05  0.0000000000000000e+00  0
1.5200000000000699e+02  1.7664900083794143e-03  2.6144785526035124e-03  1  1.0143424378019048e+00  0.0000000000000000e+00  5.5020146015858165e-04  nan  1  5  5  1.9626694811601783e-05  0.0000000000000000e+00  0
1.5600000000000301e+02  1.8925328946558825e-03  2.7784021503718388e-03  1  1.0144114813107974e+00  0.0000000000000000e+00  5.6839925531955004e-04  nan  1  5  5  2.0914155834985300e-05  0.0000000000000000e+00  0
1.5999999999999901e+02  2.0239591440453686e-03  2.9484427334776813e-03  1  1.0144803584985891e+00  0.0000000000000000e+00  5.8568726602697941e-04  nan  1  5  5  2.2260450696112189e-05  0.0000000000000000e+00  0
1.6399999999999599e+02  2.1614732519774685e-03  3.1250729950819487e-03  1  1.0145344826140035e+00  0.0000000000000000e+00  6.0294134461440858e-04  nan  1  5  5  2.3676394859607134e-05  0.0000000000000000e+00  0
1.6799999999999201e+02  0.0000000000000000e+00  2.2486299678467798e-04  1  1.0145713307979560e+00  0.0000000000000000e+00  6.1964048850433092e-04  nan  1  5  5  2.0164786458437605e-06  0.0000000000000000e+00  0
1.7199999999998900e+02  0.0000000000000000e+00  3.7729077559229331e-04  1  1.0145893064756148e+00  0.0000000000000000e+00  6.3871970387160103e-04  nan  1  5  5  3.0280570262747288e-06  0.0000000000000000e+00  0
