# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  8.0001180103537220e-07  1.4922373739263246e-06  2.0350398560970367e-06  7.0885487760913402e-11  -4.9214809540551427e-07  1.6233598192365480e-17  2.0350398577377463e-06  -7.0887068250797065e-11  8.0001180108595277e-07  -1.4922373738884980e-06  4.5647199340535070e-08  1.8568812770886385e-08  4.9833988222917027e-08  1.2774885209468376e-08  -3.9499885991183882e-08  3.2883341024739037e-18  4.9833991359799785e-08  -1.2774888383407062e-08  4.5647199382374540e-08  -1.8568812775282125e-08
3.9999999999999600e+00  -1.3351920577888630e-06  1.4706353632092807e-06  2.1842864083181280e-06  4.5064327979998018e-09  1.1719707271367026e-06  3.7011676377516050e-16  2.1842864083572542e-06  -4.5064325386872824e-09  -1.3351920585013992e-06  -1.4706353635043687e-06  1.9237400750068444e-08  1.7927546139513967e-08  6.1135182265820614e-08  1.2825050041320279e-08  -2.9952164526995969e-08  -7.9587622696875436e-17  6.1135183117700284e-08  -1.2825050245878120e-08  1.9237400008148517e-08  -1.7927546531844339e-08
7.9999999999998703e+00  -3.2987190428372536e-06  1.4472535201670862e-06  1.9433926213987358e-06  7.9832692083041597e-09  2.9020792661096769e-06  1.9954889215361479e-16  1.9433926211279157e-06  -7.9832693430865933e-09  -3.2987190427601406e-06  -1.4472535200411980e-06  -2.4449767320088136e-07  2.2499272674345934e-08  6.4899965416020005e-08  -1.7421004521706619e-09  1.8557296034533560e-07  -7.6659997485654270e-14  6.4898840561593465e-08  1.7419959463154542e-09  -2.4449849000804652e-07  -2.2499183623340212e-08
1.1999999999999799e+01  -2.5802385346676023e-06  1.4457373680707319e-06  2.0299301259470105e-06  1.4953293633027342e-08  2.2748715539891800e-06  8.1535819254337314e-15  2.0299301179890208e-06  -1.4953287714384475e-08  -2.5802385966648778e-06  -1.4457373646434683e-06  -1.7936347966102191e-06  1.8846758362162687e-08  1.1968075159755511e-07  1.8690057423989094e-08  1.4802874868722544e-06  4.7952266412557393e-12  1.1966023947229220e-07  -1.8690376620168021e-08  -1.7936305746787970e-06  -1.8836550333116939e-08
1.5999999999999700e+01  -4.8168616291320711e-06  1.4418313027026470e-06  2.0359852336584137e-06  2.3441282046844424e-08  4.1415218093391409e-06  -2.7291481118103128e-13  2.0359729128141448e-06  -2.3439338347920753e-08  -4.8168654174523306e-06  -1.4418288144819671e-06  -1.8743877954057202e-06  1.7405959033126771e-08  7.4765732360337454e-08  -9.9028122521776687e-09  1.5317933952074618e-06  5.9634112002257713e-12  7.4749698205890384e-08  9.8977034696629560e-09  -1.8743942187180127e-06  -1.7408627449185378e-08
2.0000000000000298e+01  -7.2740014796561313e-06  1.4413449596668409e-06  2.0434119286587526e-06  3.3851600465036794e-08  6.1810847442223908e-06  -5.2034048380480784e-12  2.0433949334920990e-06  -3.3841961105569737e-08  -7.2740620105183931e-06  -1.4413429199055684e-06  1.0761386687459998e-07  1.9036819929671019e-08  4.2271750442182766e-08  1.9148178310920656e-08  -8.3798105922687618e-08  7.3577032638970720e-12  4.2218942026731609e-08  -1.9149326625574661e-08  1.0758025134031146e-07  -1.9040280165637154e-08
2.4000000000000998e+01  -1.0100962291977393e-05  1.4428076550708646e-06  2.0518619517874903e-06  4.6061900340793999e-08  8.5400206130708743e-06  4.9836677344445833e-11  2.0516425251756543e-06  -4.6064868947416132e-08  -1.0101083864504092e-05  -1.4427552942434388e-06  -5.9900879158590203e-07  1.8422279253084750e-08  5.0143125593861792e-08  1.1704451687253306e-08  4.9549644401169094e-07  2.6994113235649764e-11  5.0107646328248297e-08  -1.1724428498503470e-08  -5.9903530250586147e-07  -1.8413550550949878e-08
2.8000000000001599e+01  -1.3034705713368051e-05  1.4445938948240972e-06  2.0638079790072378e-06  6.0037859612426939e-08  1.0992988383937638e-05  1.1645758652043626e-11  2.0632474014844278e-06  -6.0049760220197783e-08  -1.3034750353317045e-05  -1.4445589212021845e-06  -1.2910397779024801e-06  1.8314807988972581e-08  4.9591515163179785e-08  1.3863123412480335e-08  1.0609328934810851e-06  7.8736931142449184e-11  4.9511232100113994e-08  -1.3887541462777620e-08  -1.2910561097232814e-06  -1.8269294658643123e-08
3.2000000000002203e+01  -1.5959128960999757e-05  1.4471052675383591e-06  2.0757639287847694e-06  7.5043292213971024e-08  1.3449926032222864e-05  1.9138598454112145e-10  2.0751613555524507e-06  -7.5100649316449923e-08  -1.5959391291792788e-05  -1.4467435432803520e-06  -1.9429076103699060e-06  1.8312370495141514e-08  4.9700453616190188e-08  1.4522299680810084e-08  1.5960980660069955e-06  1.9752992390632228e-10  4.9699765019713868e-08  -1.4599672460464543e-08  -1.9430722109243877e-06  -1.8234217519638986e-08
3.6000000000001400e+01  -1.9348771625848861e-05  1.4500497805402874e-06  2.0894086853770033e-06  9.1599777572572870e-08  1.6296721076450768e-05  6.7246353130650467e-10  2.0887730184625253e-06  -9.1557416115884554e-08  -1.9349316185382524e-05  -1.4494995648638410e-06  -2.2609026077766297e-06  1.8775836952540066e-08  5.2634918026347345e-08  1.5479808012091450e-08  1.8557813159237646e-06  4.4156197439442654e-10  5.2373410928071150e-08  -1.5465491310994540e-08  -2.2608605305709752e-06  -1.8756289076678146e-08
4.0000000000000597e+01  -2.3400895779302073e-05  1.4450148128147043e-06  2.1024794414986966e-06  1.1188622288739999e-07  1.9695251355019799e-05  9.6664729235776407e-10  2.1048957690498294e-06  -1.1199193062161583e-07  -2.3400564716903732e-05  -1.4513477824805263e-06  -2.2870458322394495e-06  1.8439586609235553e-08  4.8420751278425478e-08  1.1440849468855402e-08  1.8767322572289731e-06  7.2772235462184352e-10  4.7716242429966874e-08  -1.1423556648043768e-08  -2.2868786836471043e-06  -1.8746357916961326e-08
4.3999999999999801e+01  -2.7863947436497407e-05  1.4559735394378029e-06  2.1180183885367556e-06  1.3514670372691049e-07  2.3445339900109293e-05  2.7379035647885990e-09  2.1230524334733142e-06  -1.3573924422609129e-07  -2.7867745361128113e-05  -1.4571059792733796e-06  -2.5837558961258524e-06  1.7594820695140036e-08  4.8830845771330055e-08  1.7995503718876814e-08  2.1302125108045536e-06  1.3561523058152150e-09  4.8241766716037093e-08  -1.7495959494113702e-08  -2.5827263305393456e-06  -1.8323452598322713e-08
4.7999999999998998e+01  -3.2571815791481206e-05  1.4746427319142962e-06  2.1493339583345472e-06  1.6213196703695724e-07  2.7401651555727541e-05  -1.1560512303374945e-09  2.1413253410690997e-06  -1.5387918908142255e-07  -3.2567412750839680e-05  -1.4723145222648327e-06  -3.2601636076232671e-06  1.1610873111985397e-08  4.1347167840713264e-08  2.7466556611970264e-08  2.6841580809345544e-06  5.4839539194701424e-10  4.3694271014102011e-08  -2.6307229123509519e-08  -3.2578227043830865e-06  -1.8958836364894447e-08
5.1999999999998202e+01  -3.6914023977904507e-05  1.4412556930687020e-06  2.0864089506715105e-06  1.7979330456287059e-07  3.1038315908045948e-05  1.2847461272573522e-08  2.1555522025269318e-06  -1.8879575155168425e-07  -3.6910250945205531e-05  -1.4367096488384019e-06  -3.9222731678834633e-06  2.1122707094060351e-08  2.6304190073482037e-08  3.3937171892733452e-08  3.2266577431517371e-06  1.7585896142659151e-09  3.4823668088246389e-08  -3.2387509466753010e-08  -3.9247835935957574e-06  -2.1155597262341004e-08
5.5999999999997399e+01  -4.2519456540621243e-05  1.4955271922990881e-06  2.2147953459500321e-06  1.9630797352485515e-07  3.5802682242471116e-05  1.7918918887522482e-08  2.1164855489339365e-06  -2.6182052771693107e-07  -4.2538672167189386e-05  -1.4451167259884353e-06  -4.3741989211877450e-06  2.8596547942980362e-08  3.6223666012927682e-08  3.2920614273447802e-08  3.6013956005227058e-06  -2.5898368896209559e-09  3.6404835751861647e-08  -2.5002039340280948e-08  -4.3673272399617491e-06  -2.6064666316543546e-08
5.9999999999996597e+01  -4.8328815330223965e-05  1.5077006155787926e-06  2.2206950561025058e-06  2.5693304497695837e-07  4.0607155269131427e-05  -6.0092763658337480e-09  2.1970058386532704e-06  -2.0508514812263488e-07  -4.8300807168047524e-05  -1.5241423273411608e-06  -4.0743166159574055e-06  -1.7586680612517031e-08  -2.7431353882342428e-08  2.0917923771582565e-08  3.3095329214470942e-06  1.0023815277103250e-08  5.3637267058491418e-08  -3.4541890000074682e-08  -4.0735367841824717e-06  2.2688373995034575e-08
6.3999999999995801e+01  -5.4260447918901784e-05  1.4622973611583031e-06  2.2414034169533338e-06  2.2887717961489802e-07  4.5649697391570568e-05  -1.3410528671339066e-08  2.2188256800570119e-06  -2.8402615505583732e-07  -5.4279806494822348e-05  -1.4508053180787797e-06  -5.0726189535445879e-06  5.6638687068796874e-08  9.5655534283704842e-08  7.9866248507327474e-09  4.2272604116044103e-06  2.3457701493310445e-08  -1.2135504855573049e-08  -7.5741124512722585e-08  -5.1000351519402714e-06  -5.4919216782843015e-09
