# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  2.5006946141622954e-01  2.5000000000000000e-01
8.0000000000000004e-01  2.5007017428559619e-01  2.5000000000000000e-01
1.6000000000000001e+00  2.5006940652488580e-01  2.5000000000000000e-01
2.3999999999999901e+00  2.5006961756061324e-01  2.5000000000000000e-01
3.1999999999999802e+00  2.5006967498096438e-01  2.5000000000000000e-01
3.9999999999999600e+00  2.5006937249541117e-01  2.5000000000000000e-01
4.7999999999999403e+00  2.5006921993808323e-01  2.5000000000000000e-01
5.5999999999999304e+00  2.5006950300570691e-01  2.5000000000000000e-01
6.3999999999999098e+00  2.5006895236431192e-01  2.5000000000000000e-01
7.1999999999998900e+00  2.5006887876807810e-01  2.5000000000000000e-01
7.9999999999998703e+00  2.5006958773713089e-01  2.5000000000000000e-01
8.7999999999998604e+00  2.5006984981584213e-01  2.5000000000000000e-01
9.5999999999998398e+00  2.5006983567791047e-01  2.5000000000000000e-01
1.0399999999999800e+01  2.5006967491440413e-01  2.5000000000000000e-01
1.1199999999999800e+01  2.5006944461477326e-01  2.5000000000000000e-01
1.1999999999999799e+01  2.5006932874981130e-01  2.5000000000000000e-01
1.2799999999999800e+01  2.5006927279629104e-01  2.5000000000000000e-01
1.3599999999999801e+01  2.5006912995440955e-01  2.5000000000000000e-01
1.4399999999999700e+01  2.5006887160617752e-01  2.5000000000000000e-01
1.5199999999999701e+01  2.5006862455905077e-01  2.5000000000000000e-01
1.5999999999999700e+01  2.5006850196590730e-01  2.5000000000000000e-01
1.6799999999999802e+01  2.5006844033542930e-01  2.5000000000000000e-01
1.7600000000000001e+01  2.5006827411883054e-01  2.5000000000000000e-01
1.8400000000000102e+01  2.5006796108057677e-01  2.5000000000000000e-01
1.9200000000000198e+01  2.5006763805455651e-01  2.5000000000000000e-01
2.0000000000000298e+01  2.5006742641046475e-01  2.5000000000000000e-01
2.0800000000000502e+01  2.5006728732019007e-01  2.5000000000000000e-01
2.1600000000000598e+01  2.5006702425390021e-01  2.5000000000000000e-01
2.2400000000000698e+01  2.5006649094153965e-01  2.5000000000000000e-01
2.3200000000000799e+01  2.5006590331245693e-01  2.5000000000000000e-01
2.4000000000000998e+01  2.5006553833171702e-01  2.5000000000000000e-01
2.4800000000001098e+01  2.5006529461238913e-01  2.5000000000000000e-01
2.5600000000001199e+01  2.5006494584664868e-01  2.5000000000000000e-01
2.6400000000001299e+01  2.5006446577021985e-01  2.5000000000000000e-01
2.7200000000001499e+01  2.5006398055558765e-01  2.5000000000000000e-01
2.8000000000001599e+01  2.5006357466716445e-01  2.5000000000000000e-01
2.8800000000001699e+01  2.5006318162327584e-01  2.5000000000000000e-01
2.9600000000001799e+01  2.5006268433827006e-01  2.5000000000000000e-01
3.0400000000001999e+01  2.5006208626865795e-01  2.5000000000000000e-01
3.1200000000002099e+01  2.5006151049460046e-01  2.5000000000000000e-01
3.2000000000002203e+01  2.5006102805187264e-01  2.5000000000000000e-01
3.2800000000002001e+01  2.5006055937849669e-01  2.5000000000000000e-01
3.3600000000001899e+01  2.5005999073573676e-01  2.5000000000000000e-01
3.4400000000001697e+01  2.5005932299130867e-01  2.5000000000000000e-01
3.5200000000001602e+01  2.5005864086384388e-01  2.5000000000000000e-01
3.6000000000001400e+01  2.5005798148100933e-01  2.5000000000000000e-01
3.6800000000001198e+01  2.5005730497515755e-01  2.5000000000000000e-01
3.7600000000001103e+01  2.5005656666771514e-01  2.5000000000000000e-01
3.8400000000000901e+01  2.5005576106655819e-01  2.5000000000000000e-01
3.9200000000000799e+01  2.5005492565139903e-01  2.5000000000000000e-01
4.0000000000000597e+01  2.5005410575062437e-01  2.5000000000000000e-01
4.0800000000000502e+01  2.5005328779657154e-01  2.5000000000000000e-01
4.1600000000000300e+01  2.5005241453438798e-01  2.5000000000000000e-01
4.2400000000000098e+01  2.5005147322813959e-01  2.5000000000000000e-01
4.3200000000000003e+01  2.5005051151437568e-01  2.5000000000000000e-01
4.3999999999999801e+01  2.5004957133924094e-01  2.5000000000000000e-01
4.4799999999999699e+01  2.5004863624885837e-01  2.5000000000000000e-01
4.5599999999999497e+01  2.5004765531240369e-01  2.5000000000000000e-01
4.6399999999999302e+01  2.5004660201914936e-01  2.5000000000000000e-01
4.7199999999999200e+01  2.5004550307441187e-01  2.5000000000000000e-01
4.7999999999998998e+01  2.5004441040112396e-01  2.5000000000000000e-01
4.8799999999998903e+01  2.5004333063354306e-01  2.5000000000000000e-01
4.9599999999998701e+01  2.5004222257220476e-01  2.5000000000000000e-01
5.0399999999998499e+01  2.5004106341800225e-01  2.5000000000000000e-01
5.1199999999998397e+01  2.5003986571617065e-01  2.5000000000000000e-01
5.1999999999998202e+01  2.5003864831831635e-01  2.5000000000000000e-01
5.2799999999998100e+01  2.5003743058983735e-01  2.5000000000000000e-01
5.3599999999997898e+01  2.5003619670044835e-01  2.5000000000000000e-01
5.4399999999997704e+01  2.5003490990040722e-01  2.5000000000000000e-01
5.5199999999997601e+01  2.5003358704863632e-01  2.5000000000000000e-01
5.5999999999997399e+01  2.5003223214151066e-01  2.5000000000000000e-01
5.6799999999997297e+01  2.5003086361180743e-01  2.5000000000000000e-01
5.7599999999997102e+01  2.5002950063889468e-01  2.5000000000000000e-01
5.8399999999997000e+01  2.5002807301897451e-01  2.5000000000000000e-01
5.9199999999996798e+01  2.5002659048298354e-01  2.5000000000000000e-01
5.9999999999996597e+01  2.5002509478634116e-01  2.5000000000000000e-01
6.0799999999996501e+01  2.5002355711763313e-01  2.5000000000000000e-01
6.1599999999996299e+01  2.5002200299769534e-01  2.5000000000000000e-01
6.2399999999996197e+01  2.5002046236000652e-01  2.5000000000000000e-01
6.3199999999996002e+01  2.5001888548603651e-01  2.5000000000000000e-01
6.3999999999995801e+01  2.5001722387508418e-01  2.5000000000000000e-01
6.4799999999996203e+01  2.5001554279253774e-01  2.5000000000000000e-01
6.5599999999996697e+01  2.5001390426271258e-01  2.5000000000000000e-01
6.6399999999997107e+01  2.5001226264416404e-01  2.5000000000000000e-01
6.7199999999997502e+01  2.5001054456072352e-01  2.5000000000000000e-01
6.7999999999997897e+01  2.5000873803112539e-01  2.5000000000000000e-01
6.8799999999998306e+01  2.5000691762429145e-01  2.5000000000000000e-01
6.9599999999998701e+01  2.5000507158591440e-01  2.5000000000000000e-01
7.0399999999999096e+01  2.5000316265788131e-01  2.5000000000000000e-01
7.1199999999999505e+01  2.5000122340357517e-01  2.5000000000000000e-01
7.1999999999999901e+01  2.4999927051221768e-01  2.5000000000000000e-01
7.2800000000000296e+01  2.4999729248309807e-01  2.5000000000000000e-01
7.3600000000000705e+01  2.4999533422556694e-01  2.5000000000000000e-01
7.4400000000001199e+01  2.4999338807921312e-01  2.5000000000000000e-01
7.5200000000001594e+01  2.4999135115742194e-01  2.5000000000000000e-01
7.6000000000002004e+01  2.4998925792896501e-01  2.5000000000000000e-01
7.6800000000002399e+01  2.4998712632246869e-01  2.5000000000000000e-01
7.7600000000002794e+01  2.4998498477874989e-01  2.5000000000000000e-01
7.8400000000003203e+01  2.4998285782930188e-01  2.5000000000000000e-01
7.9200000000003598e+01  2.4998067610222663e-01  2.5000000000000000e-01
8.0000000000003993e+01  2.4997842734946901e-01  2.5000000000000000e-01
8.0800000000004403e+01  2.4997614192587392e-01  2.5000000000000000e-01
8.1600000000004798e+01  2.4997386106404723e-01  2.5000000000000000e-01
8.2400000000005207e+01  2.4997153663464478e-01  2.5000000000000000e-01
8.3200000000005701e+01  2.4996916794622689e-01  2.5000000000000000e-01
8.4000000000006096e+01  2.4996679493252782e-01  2.5000000000000000e-01
8.4800000000006506e+01  2.4996437645465780e-01  2.5000000000000000e-01
8.5600000000006901e+01  2.4996190507278651e-01  2.5000000000000000e-01
8.6400000000007296e+01  2.4995940463614738e-01  2.5000000000000000e-01
8.7200000000007705e+01  2.4995688479257466e-01  2.5000000000000000e-01
8.8000000000008100e+01  2.4995433827389527e-01  2.5000000000000000e-01
8.8800000000008495e+01  2.4995174417632160e-01  2.5000000000000000e-01
8.9600000000008905e+01  2.4994910509292440e-01  2.5000000000000000e-01
9.0400000000009300e+01  2.4994644558821519e-01  2.5000000000000000e-01
9.1200000000009794e+01  2.4994376397962054e-01  2.5000000000000000e-01
9.2000000000010203e+01  2.4994104240472101e-01  2.5000000000000000e-01
9.2800000000010598e+01  2.4993827996578344e-01  2.5000000000000000e-01
9.3600000000010994e+01  2.4993548084215239e-01  2.5000000000000000e-01
9.4400000000011403e+01  2.4993265440100251e-01  2.5000000000000000e-01
9.5200000000011798e+01  2.4992980630703898e-01  2.5000000000000000e-01
9.6000000000012193e+01  2.4992691054823093e-01  2.5000000000000000e-01
9.6800000000012602e+01  2.4992395051323851e-01  2.5000000000000000e-01
9.7600000000012997e+01  2.4992095712800211e-01  2.5000000000000000e-01
9.8400000000013407e+01  2.4991795051889576e-01  2.5000000000000000e-01
9.9200000000013802e+01  2.4991490829039797e-01  2.5000000000000000e-01
1.0000000000001400e+02  2.4991181699641410e-01  2.5000000000000000e-01
1.0080000000001500e+02  2.4990868286425419e-01  2.5000000000000000e-01
1.0160000000001500e+02  2.4990551024030122e-01  2.5000000000000000e-01
1.0240000000001500e+02  2.4990231974440563e-01  2.5000000000000000e-01
1.0320000000001600e+02  2.4989911449660421e-01  2.5000000000000000e-01
1.0400000000001600e+02  2.4989584255312616e-01  2.5000000000000000e-01
1.0480000000001699e+02  2.4989249591894591e-01  2.5000000000000000e-01
1.0560000000001700e+02  2.4988914021576050e-01  2.5000000000000000e-01
1.0640000000001800e+02  2.4988578096738895e-01  2.5000000000000000e-01
1.0720000000001799e+02  2.4988236817950826e-01  2.5000000000000000e-01
1.0800000000001801e+02  2.4987890139537403e-01  2.5000000000000000e-01
1.0880000000001900e+02  2.4987539061753264e-01  2.5000000000000000e-01
1.0960000000001899e+02  2.4987183025971707e-01  2.5000000000000000e-01
1.1040000000002000e+02  2.4986824407754951e-01  2.5000000000000000e-01
1.1120000000002000e+02  2.4986464077536202e-01  2.5000000000000000e-01
1.1200000000001999e+02  2.4986099683302146e-01  2.5000000000000000e-01
1.1280000000002100e+02  2.4985730918638932e-01  2.5000000000000000e-01
1.1360000000002100e+02  2.4985356869674072e-01  2.5000000000000000e-01
1.1440000000002200e+02  2.4984975893523842e-01  2.5000000000000000e-01
1.1520000000002200e+02  2.4984591188074171e-01  2.5000000000000000e-01
1.1600000000002200e+02  2.4984205008283666e-01  2.5000000000000000e-01
1.1680000000002300e+02  2.4983814172944374e-01  2.5000000000000000e-01
1.1760000000002300e+02  2.4983417499482002e-01  2.5000000000000000e-01
1.1840000000002399e+02  2.4983016912364328e-01  2.5000000000000000e-01
1.1920000000002400e+02  2.4982612771727056e-01  2.5000000000000000e-01
1.2000000000002400e+02  2.4982204277543421e-01  2.5000000000000000e-01
1.2080000000002499e+02  2.4981791307031248e-01  2.5000000000000000e-01
1.2160000000002501e+02  2.4981374228297124e-01  2.5000000000000000e-01
1.2240000000002600e+02  2.4980952001794454e-01  2.5000000000000000e-01
1.2320000000002599e+02  2.4980524298582954e-01  2.5000000000000000e-01
1.2400000000002700e+02  2.4980093917111729e-01  2.5000000000000000e-01
1.2480000000002700e+02  2.4979660947850141e-01  2.5000000000000000e-01
1.2560000000002699e+02  2.4979221544597516e-01  2.5000000000000000e-01
1.2640000000002800e+02  2.4978774780616275e-01  2.5000000000000000e-01
1.2720000000002800e+02  2.4978323852008977e-01  2.5000000000000000e-01
1.2800000000002899e+02  2.4977871149454567e-01  2.5000000000000000e-01
1.2880000000002801e+02  2.4977415119609894e-01  2.5000000000000000e-01
1.2960000000002699e+02  2.4976952423952456e-01  2.5000000000000000e-01
1.3040000000002601e+02  2.4976482084470247e-01  2.5000000000000000e-01
1.3120000000002599e+02  2.4976007424001792e-01  2.5000000000000000e-01
1.3200000000002501e+02  2.4975531178645335e-01  2.5000000000000000e-01
1.3280000000002400e+02  2.4975049971401098e-01  2.5000000000000000e-01
1.3360000000002299e+02  2.4974561091035782e-01  2.5000000000000000e-01
1.3440000000002300e+02  2.4974067840574302e-01  2.5000000000000000e-01
1.3520000000002199e+02  2.4973571126132030e-01  2.5000000000000000e-01
1.3600000000002100e+02  2.4973067366263735e-01  2.5000000000000000e-01
1.3680000000002099e+02  2.4972557729610687e-01  2.5000000000000000e-01
1.3760000000002000e+02  2.4972046010594209e-01  2.5000000000000000e-01
1.3840000000001899e+02  2.4971530106349793e-01  2.5000000000000000e-01
1.3920000000001801e+02  2.4971007101608975e-01  2.5000000000000000e-01
1.4000000000001799e+02  2.4970478415993341e-01  2.5000000000000000e-01
