# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  7.1351385724804626e-12  2.8692197295397587e-12  4.0843402483412961e-01  2.6337360993365184e+00  8.9158148883328747e-01
8.0000000000000004e-01  5.1019020186624328e-12  2.2062497565502067e-12  4.0737820871155772e-01  2.6295128348462309e+00  8.7797632383204993e-01
1.6000000000000001e+00  5.9375103688708534e-12  2.2673370383460852e-12  3.5371830476291299e-01  2.4148732190516520e+00  8.9082163853332375e-01
2.3999999999999901e+00  5.8596547145879035e-12  2.1030574122462994e-12  2.7936141686422888e-01  2.1174456674569155e+00  8.8673910746538287e-01
3.1999999999999802e+00  6.7737936575434442e-12  2.2309439268124590e-12  2.7055426971947333e-01  2.0822170788778935e+00  9.1387983495274128e-01
3.9999999999999600e+00  9.3237258787212492e-12  3.9015657761881051e-12  2.7919596336063751e-01  2.1167838534425503e+00  9.1222331396122713e-01
4.7999999999999403e+00  1.2247909206126699e-11  6.1261820374815888e-12  5.1531151613091675e-01  3.0612460645236670e+00  9.3653480601939643e-01
5.5999999999999304e+00  1.7021657307766224e-11  1.0207101255049422e-11  4.5230816648384586e-01  2.8092326659353835e+00  9.3383688804107101e-01
6.3999999999999098e+00  2.2437794085796438e-11  1.4204100709066561e-11  5.0980709967572779e-01  3.0392283987029112e+00  9.2808157048333106e-01
7.1999999999998900e+00  2.2746981684731624e-11  1.3647498281234976e-11  6.3226513550302588e-01  3.5290605420121035e+00  8.7577420606212997e-01
7.9999999999998703e+00  2.0860029557355001e-11  1.2891053121986471e-11  6.7642625445150695e-01  3.7057050178060278e+00  7.7547079437896760e-01
8.7999999999998604e+00  1.5120208401483412e-11  8.4119328721240062e-12  6.1789051096336589e-01  3.4715620438534636e+00  7.0673670655064136e-01
9.5999999999998398e+00  1.2678027060684733e-11  6.7920168902032826e-12  6.3912109856053045e-01  3.5564843942421218e+00  4.3012529599002880e-01
1.0399999999999800e+01  1.2747928441403694e-11  6.8804276369649949e-12  6.3649172582860203e-01  3.5459669033144081e+00  3.4514608179105399e-01
1.1199999999999800e+01  1.5304117630728923e-11  8.4586830550876873e-12  6.3792152978823502e-01  3.5516861191529401e+00  1.6789681730636577e-01
1.1999999999999799e+01  1.9750629972300682e-11  1.1923671896240186e-11  6.5404185354076771e-01  3.6161674141630709e+00  2.6610814371465147e-02
1.2799999999999800e+01  2.7556570878317587e-11  1.7851057256692324e-11  6.7881852874759074e-01  3.7152741149903630e+00  9.8482007854539616e-02
1.3599999999999801e+01  3.6349466011543710e-11  2.4216773110734726e-11  6.8975707385933605e-01  3.7590282954373442e+00  1.3285669658748780e-01
