# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  8.0001180103537220e-07  1.4922373739263246e-06  2.0350398560970367e-06  7.0885487760913402e-11  -4.9214809540551427e-07  1.6233598192365480e-17  2.0350398577377463e-06  -7.0887068250797065e-11  8.0001180108595277e-07  -1.4922373738884980e-06  4.5647199340535070e-08  1.8568812770886385e-08  4.9833988222917027e-08  1.2774885209468376e-08  -3.9499885991183882e-08  3.2883341024739037e-18  4.9833991359799785e-08  -1.2774888383407062e-08  4.5647199382374540e-08  -1.8568812775282125e-08
8.0000000000000004e-01  1.4360015274526989e-07  1.4776915926576269e-06  1.7006016409731531e-06  5.7216493492180444e-09  2.2389275887281221e-08  -3.8155446142017213e-17  1.7006016411771999e-06  -5.7216491779637122e-09  1.4360015291008583e-07  -1.4776915927538088e-06  4.1369793991181579e-08  1.8570127916110550e-08  5.0136734901750226e-08  1.2780895441120766e-08  -3.5941616816285825e-08  2.1048654422908709e-16  5.0136734791347951e-08  -1.2780895279519504e-08  4.1369793858887864e-08  -1.8570128168812672e-08
1.6000000000000001e+00  4.4065018087598092e-07  1.4392896818949603e-06  1.9127975412647241e-06  4.8308243327874582e-09  -1.2665197317502911e-07  6.7269450846805211e-17  1.9127975412934283e-06  -4.8308242647487376e-09  4.4065018078559355e-07  -1.4392896820296948e-06  3.5587030240362780e-08  1.8526498705573081e-08  5.1692144660566006e-08  1.2800931309247482e-08  -3.1599269198130867e-08  1.0717611279185231e-16  5.1692144951794568e-08  -1.2800931273572853e-08  3.5587030261130738e-08  -1.8526498722126885e-08
2.3999999999999901e+00  -1.2539391376026989e-09  1.4498285118654973e-06  1.9345351483859445e-06  1.2879198938808162e-09  1.4105545907614594e-07  4.7709342512335280e-17  1.9345351485928645e-06  -1.2879197308194267e-09  -1.2539393630155899e-09  -1.4498285119811348e-06  2.6754399569346434e-08  1.8366491393146933e-08  6.0977607484653309e-08  1.2759312935708356e-08  -2.6077304938364037e-08  8.5645458406211608e-17  6.0977607477516633e-08  -1.2759312819240405e-08  2.6754399637531941e-08  -1.8366490992647944e-08
3.1999999999999802e+00  -3.2380015224634439e-07  1.4578655158678691e-06  2.1141647067676750e-06  4.9688659823636722e-09  3.7531590356898455e-07  -6.8338829942713765e-17  2.1141647068465507e-06  -4.9688660081461905e-09  -3.2380015253839193e-07  -1.4578655158486470e-06  1.8990114549451579e-08  1.9102390987529058e-08  4.9104218094123927e-08  1.2857313289805116e-08  -1.5816770682678186e-08  1.0049246035519935e-16  4.9104218051067548e-08  -1.2857313447850060e-08  1.8990114638042751e-08  -1.9102391026754088e-08
3.9999999999999600e+00  -1.3175271587483904e-06  1.4713944927313100e-06  2.1786502265357734e-06  4.5541515355043473e-09  1.1587923779595520e-06  -7.7514949618556414e-17  2.1786502263134577e-06  -4.5541517931087180e-09  -1.3175271589625910e-06  -1.4713944924504044e-06  1.8982758250538563e-08  1.8051701592333742e-08  6.0330778635805934e-08  1.2832393124022701e-08  -2.8920316615656380e-08  1.9913774368450653e-16  6.0330778693230109e-08  -1.2832393359846570e-08  1.8982757755756671e-08  -1.8051702024009208e-08
4.7999999999999403e+00  -2.0049871832112662e-06  1.4506772279316327e-06  2.1161136654469190e-06  6.3928968865651657e-09  1.8122943818311094e-06  1.2431669632790871e-16  2.1161136655995882e-06  -6.3928967159829591e-09  -2.0049871830273893e-06  -1.4506772277993226e-06  -3.7583884716197443e-08  1.8206182265654145e-08  2.4816719402633237e-08  1.3009782226826574e-08  3.8952969292189916e-08  2.6614688244690253e-16  2.4816718849849794e-08  -1.3009782451113133e-08  -3.7583885295128435e-08  -1.8206186469509387e-08
5.5999999999999304e+00  -2.8497034341058054e-06  1.4438744359390643e-06  1.9510623383953596e-06  6.8912517021734430e-09  2.4512865103082566e-06  9.3131272550610322e-19  1.9510623382209386e-06  -6.8912517919211217e-09  -2.8497034340048645e-06  -1.4438744363757339e-06  -3.4322279357055305e-08  1.8444171386967370e-08  5.0863367419767511e-08  1.0667207740107370e-08  3.9004257624094559e-08  3.5645946261398328e-16  5.0863368935566851e-08  -1.0667207021327201e-08  -3.4322281000930725e-08  -1.8444129041265567e-08
6.3999999999999098e+00  -3.4789107505835313e-06  1.4485390546394711e-06  1.9361214939813282e-06  7.5142539290872042e-09  2.9934207549139563e-06  2.0168489748835332e-17  1.9361214940455943e-06  -7.5142536844985908e-09  -3.4789107509973983e-06  -1.4485390541926837e-06  -5.1311904440131467e-08  1.9554804968550414e-08  6.6825688839515476e-08  1.3187848550171725e-08  1.7144887179042694e-08  -2.9103194943107032e-16  6.6825681917238664e-08  -1.3187849308659213e-08  -5.1311890665692141e-08  -1.9554994415809960e-08
7.1999999999998900e+00  -3.3943921549856264e-06  1.4522538649734954e-06  2.2073117830765981e-06  1.0040605595357221e-08  2.9047553358854628e-06  1.1144010146374884e-16  2.2073117830818294e-06  -1.0040605476841062e-08  -3.3943921551431283e-06  -1.4522538648893096e-06  -1.2750768373897454e-07  1.7340369737476836e-08  2.6232724798098556e-08  2.1127313686651274e-08  1.2017471010475588e-07  -7.9044297780372799e-15  2.6232787033618621e-08  -2.1127313606577206e-08  -1.2750772207755061e-07  -1.7339674272355954e-08
