# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  9.9140200500106592e-05  1.0035858117305764e-17  -7.8099593939670895e-05  4.1136155083405096e-17
3.9999999999999600e+00  9.9393232353670404e-05  1.2096075179088717e-16  -7.8906680594880007e-05  2.0472786335136439e-18
7.9999999999998703e+00  9.8941993299594147e-05  7.3419492379022669e-17  -7.8624700468923301e-05  -8.4784142919102625e-13
1.1999999999999799e+01  9.7025484550560144e-05  -1.3807921883346962e-15  -7.7726496325117013e-05  -1.5464211120612393e-12
1.5999999999999700e+01  9.6339336225182543e-05  2.3187815208162158e-13  -7.7932361153954045e-05  -1.2414128088673003e-13
2.0000000000000298e+01  9.5599395768913983e-05  2.4478502874422271e-12  -7.9300735126786406e-05  -1.4724418268305628e-11
2.4000000000000998e+01  9.4470253381221937e-05  -2.4864158089896633e-11  -7.8985593439216337e-05  1.0486898715642739e-11
2.8000000000001599e+01  9.3225408748370372e-05  5.4688563971175152e-11  -7.8377090622941102e-05  4.3958044246886999e-11
3.2000000000002203e+01  9.1691105907948698e-05  1.2539465460252924e-10  -7.8197394322083297e-05  1.9868303196194341e-10
3.6000000000001400e+01  9.0110829583571220e-05  8.6932574734078951e-10  -7.8084844851353895e-05  8.7439831649931309e-10
4.0000000000000597e+01  8.8634764239818570e-05  2.6182613299773526e-09  -7.8137893948277044e-05  2.0797604665146245e-09
4.3999999999999801e+01  8.7317406089924333e-05  4.1474256269422063e-09  -7.8091890302830368e-05  2.3916433132620474e-09
4.7999999999998998e+01  8.4802883764182203e-05  -1.2980059448906395e-08  -7.7821695448394943e-05  -4.7448870222782578e-10
5.1999999999998202e+01  8.2417237424694536e-05  -9.8570559025901187e-08  -7.7442724914836202e-05  -4.8513233916139061e-09
5.5999999999997399e+01  8.0199114996484539e-05  9.1204063278192372e-08  -7.7805167219901952e-05  -2.3417346049444796e-08
5.9999999999996597e+01  7.7664326065694268e-05  -7.3667388337319144e-08  -7.8105931237511608e-05  -8.6685764572408114e-08
6.3999999999995801e+01  7.5154694899488950e-05  2.8951277725831616e-08  -7.8045698945650003e-05  8.0333695735417975e-08
6.7999999999997897e+01  7.1931958901529374e-05  4.1123328559971141e-09  -7.8016651719651234e-05  -6.7097411056690212e-08
7.1999999999999901e+01  6.8887457370774073e-05  -2.1057048583944980e-08  -7.7842666239005701e-05  1.4607981909480959e-08
7.6000000000002004e+01  6.4299498431251326e-05  -2.7265695088166660e-08  -7.8339134138672483e-05  1.5786540313857266e-09
8.0000000000003993e+01  6.1345177050852986e-05  1.5117525320517943e-08  -7.8325126126697173e-05  -1.9002947979948240e-08
8.4000000000006096e+01  5.7703148703922697e-05  8.4623179617122335e-09  -7.9794438047511976e-05  -2.7961366155874840e-08
8.8000000000008100e+01  5.5142378764574766e-05  -1.1854086230535861e-08  -7.9428906432694947e-05  1.9539100275023914e-08
9.2000000000010203e+01  5.1428347333352153e-05  -5.6515415303072462e-08  -7.9358615693199679e-05  5.7732092907552015e-09
9.6000000000012193e+01  4.7998784220669940e-05  6.6473328500230197e-08  -7.8359805695410670e-05  -6.7540155165277159e-09
1.0000000000001400e+02  4.2915118824156452e-05  1.5771578343499516e-08  -7.8058580163512897e-05  -5.9417022901718171e-08
1.0400000000001600e+02  3.8258376371596621e-05  3.6172939176821125e-08  -7.7243390776036481e-05  6.3638697512027384e-08
1.0800000000001801e+02  3.3164111403099951e-05  6.6709620420890954e-09  -7.7885918318086129e-05  1.5892924086814826e-08
1.1200000000001999e+02  2.8505251903671420e-05  -1.8354666070067810e-08  -7.7995313010643393e-05  3.9111832093110427e-08
1.1600000000002200e+02  2.3709983563314737e-05  -1.5712686035702256e-08  -7.8161905102909138e-05  7.2071872481637490e-09
1.2000000000002400e+02  1.8586777915571130e-05  7.7709295602042758e-09  -7.7856256398632097e-05  -1.8599565512679746e-08
1.2400000000002700e+02  1.3205406872415977e-05  -5.6823969358923726e-08  -7.7442947862191617e-05  -1.7611216491414715e-08
1.2800000000002899e+02  7.5925428299123900e-06  6.7203472552338023e-09  -7.7088147295487769e-05  8.2099763123154052e-09
1.3200000000002501e+02  1.6907092425505786e-06  -9.7759567814843698e-09  -7.6787448536320019e-05  -5.7006036994495586e-08
1.3600000000002100e+02  -4.1912558548833861e-06  -8.2921185915504299e-09  -7.6420064767270530e-05  3.6049914492506633e-09
1.4000000000001799e+02  -1.0358187027969177e-05  3.0210228813803299e-09  -7.6152419020042011e-05  -5.7784119397620339e-09
1.4400000000001401e+02  -1.6451088916522110e-05  3.6044129837316467e-09  -7.5741183025005760e-05  -9.0075577031777731e-09
1.4800000000001000e+02  -2.3131619255586384e-05  2.1342094165433823e-09  -7.5415228121926170e-05  3.2642792394292695e-09
1.5200000000000699e+02  -2.9031949990450163e-05  1.4198334948598391e-08  -7.4694883357255386e-05  5.1586445723211893e-09
1.5600000000000301e+02  -3.6420250579977985e-05  -5.6153095467536763e-09  -7.4395633193170444e-05  1.8698247853146853e-09
1.5999999999999901e+02  -4.2800655452109624e-05  1.6537284350507007e-08  -7.3130824461136893e-05  1.5113065778864512e-08
1.6399999999999599e+02  -4.9856425461298657e-05  -9.2816717063467711e-09  -7.3104974329003000e-05  -4.9381703932830310e-09
1.6799999999999201e+02  -5.7548299837539100e-05  1.3619082499399340e-09  -7.1888183242181384e-05  1.6853161670000971e-08
1.7199999999998900e+02  -6.4958773710862899e-05  -3.1823789188759026e-09  -7.1012005595005311e-05  -7.1511719882139841e-09
1.7599999999998499e+02  -7.2387072825631413e-05  -6.2452030059253222e-09  -7.0707839000326895e-05  -2.5790210632083609e-10
1.7999999999998099e+02  -7.9752709091212117e-05  1.9828920241093409e-09  -6.9955832196260406e-05  -1.8572173680259235e-09
1.8399999999997800e+02  -8.7522521679830173e-05  2.3829338777343950e-09  -6.9038711760607753e-05  -7.2308776435466200e-09
1.8799999999997399e+02  -9.5355542839864216e-05  -1.9024537719307064e-09  -6.7817433300911744e-05  1.7157676979468259e-09
1.9199999999996999e+02  -1.0328922181182564e-04  1.1492381824673832e-09  -6.6824392588704393e-05  2.3372352523301970e-09
1.9599999999996700e+02  -1.1122783007022356e-04  -2.6733956216039597e-09  -6.5790472693898162e-05  -2.3779734363409804e-09
1.9999999999996299e+02  -1.1892308561999655e-04  7.9526322967148807e-09  -6.4764800853099526e-05  1.8082246542290883e-09
2.0399999999995899e+02  -1.2685662287829501e-04  -4.1112342923671642e-09  -6.3532000413575059e-05  -3.1983755214013583e-09
2.0799999999995600e+02  -1.3502528856297401e-04  9.8577048697948331e-10  -6.1857134988895022e-05  8.1530934913934325e-09
2.1199999999995200e+02  -1.4376725263422007e-04  -7.6524789860350060e-09  -6.0369578869521881e-05  -3.7353977160311865e-09
2.1599999999994901e+02  -1.5213938165167619e-04  2.9510880051929863e-09  -5.9123766095725740e-05  1.9116107322097025e-09
2.1999999999994500e+02  -1.6052550180677122e-04  6.1298770169530400e-09  -5.8291459185894117e-05  -7.2796701711458297e-09
2.2399999999994100e+02  -1.6885808288271103e-04  1.0959381328909582e-09  -5.6902286209737312e-05  2.1165414320850797e-09
2.2799999999993801e+02  -1.7729002837786961e-04  -5.4781878451618063e-09  -5.5505611366950261e-05  6.5278236789376016e-09
2.3199999999993400e+02  -1.8571435221040664e-04  -4.0127367200945974e-09  -5.4211061625260254e-05  8.8373480281860603e-10
2.3599999999993000e+02  -1.9346197196438620e-04  -7.2362450945684639e-10  -5.3049563538211931e-05  -5.2604028804089152e-09
2.3999999999992701e+02  -2.0080450148638967e-04  -6.5690253920693651e-09  -5.1841021788665633e-05  -4.9696362557764486e-09
2.4399999999992301e+02  -2.0814073848977549e-04  -4.2076730202903421e-09  -5.0030413345243443e-05  -1.6289555730367575e-10
2.4799999999991900e+02  -2.1538303255981501e-04  4.5849592377830010e-10  -4.8160740983003471e-05  -6.6041575910317555e-09
2.5199999999991601e+02  -2.2185866152292413e-04  -4.5959377333481092e-09  -4.6669504826845078e-05  -4.7036166406424876e-09
2.5599999999991201e+02  -2.2753247533972035e-04  4.1827586239632479e-09  -4.5402529105062684e-05  8.1542119076970292e-11
2.5999999999990899e+02  -2.3255160534484468e-04  5.2601678698499030e-09  -4.3752366839255577e-05  -4.8544358938002184e-09
2.6399999999990501e+02  -2.3735366965806900e-04  7.0352712590131860e-09  -4.1815076295109545e-05  3.6647607787718356e-09
2.6799999999990098e+02  -2.4160382803398408e-04  5.3759946476724531e-09  -3.9846586707914366e-05  5.5729741295985602e-09
2.7199999999989802e+02  -2.4500943102155268e-04  1.6067079603725118e-09  -3.8317164982368295e-05  7.1575417391881495e-09
2.7599999999989399e+02  -2.4746316831142606e-04  -2.6380529251646992e-09  -3.6774842632924710e-05  5.6310905660065148e-09
2.7999999999989001e+02  -2.4949319599907043e-04  -1.4084983820311441e-10  -3.4871981597543901e-05  1.6652984005094088e-09
2.8399999999988700e+02  -2.5086556506515490e-04  -2.4726249998584277e-09  -3.2665576445811169e-05  -2.9126605941289255e-09
2.8799999999988302e+02  -2.5138027703401926e-04  -4.2623076884373212e-09  -3.0769796100406154e-05  -5.1700997041008236e-10
2.9199999999987898e+02  -2.5058531099591121e-04  -2.1658014061405328e-10  -2.8957547235285512e-05  -2.5097364760881914e-09
2.9599999999987602e+02  -2.4846022380193845e-04  -1.9953925469788891e-09  -2.7020585652617746e-05  -4.7323739595132006e-09
2.9999999999987199e+02  -2.4483639755357015e-04  -2.5915860765704629e-09  -2.4774405395311311e-05  -3.9853640807915270e-10
3.0399999999986898e+02  -2.3981213453012613e-04  -2.0303726224080667e-09  -2.2507761499820239e-05  -2.1895696979130947e-09
3.0799999999986500e+02  -2.3304846048288427e-04  -4.9825874894363856e-10  -2.0283707577980656e-05  -2.9132845186847534e-09
3.1199999999986102e+02  -2.2420371302505482e-04  4.4106018225025893e-10  -1.8217131222042440e-05  -2.4795889562526254e-09
3.1599999999985801e+02  -2.1322272079980011e-04  5.6366063224015049e-10  -1.6026693705843107e-05  -7.7421463961764646e-10
3.1999999999985403e+02  -2.0055400855863880e-04  3.9605686150291269e-09  -1.3552698981304986e-05  2.4879341397222017e-10
3.2399999999984999e+02  -1.8605514744392775e-04  2.4212465244573482e-09  -1.0912823734403804e-05  4.1893657394399760e-10
3.2799999999984698e+02  -1.6947868607620787e-04  1.7747137856488853e-09  -8.5549024195310757e-06  3.8779575427850186e-09
3.3199999999984300e+02  -1.5080473727013973e-04  8.0685420239083492e-10  -6.2538838636102711e-06  2.5674993212054345e-09
3.3599999999983902e+02  -1.3006468526418746e-04  -4.1516274694348377e-10  -3.7265561735472995e-06  1.7350093893069717e-09
3.3999999999983601e+02  -1.0762396179289334e-04  1.3185817928972209e-10  -9.9603814100407830e-07  7.4983585178998399e-10
3.4399999999983203e+02  -8.3456009471217791e-05  1.1079930082392617e-09  1.8089634920118124e-06  -7.1774900474522707e-10
3.4799999999982901e+02  -5.7340449401784127e-05  1.4074803923057726e-09  4.3931087668365003e-06  -1.5579580497789613e-10
3.5199999999982498e+02  -2.9353782212419510e-05  1.8396212182727376e-09  6.9708342483006653e-06  7.2395162042007659e-10
3.5599999999982100e+02  -1.5834479079379405e-07  1.4822025113818792e-09  9.8902165883943771e-06  1.1560008010855099e-09
