# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time           min_lapse             min_chi           max_abs_K         min_lapse_x         min_lapse_y         min_lapse_z             min_phi             max_phi              min_Pi              max_Pi
   0.0000000    1.5624214644e-01    2.4411608324e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5567770416e-01   -6.5263890532e-02    0.0000000000e+00    0.0000000000e+00
   0.0500000    1.5591814780e-01    2.4316227380e-02    1.4312746990e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5578858553e-01   -6.5263866050e-02   -1.0086631800e-02    1.5284847884e-02
   0.1000000    1.5559557339e-01    2.4223964892e-02    2.6980619051e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5589606067e-01   -6.5263950639e-02   -1.7545568053e-02    2.8784490704e-02
   0.1500000    1.5529324356e-01    2.4135097613e-02    3.8283061430e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5599997198e-01   -6.5264003207e-02   -2.3420741301e-02    4.0313470140e-02
   0.2000000    1.5502916646e-01    2.4049438498e-02    4.8329039633e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5610017691e-01   -6.5263508516e-02   -2.6800600358e-02    4.8729582177e-02
   0.2500000    1.5482026424e-01    2.3966166025e-02    5.7046091818e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5619654838e-01   -6.5262565064e-02   -2.8918954143e-02    5.5481998398e-02
   0.3000000    1.5468204565e-01    2.3884237657e-02    6.4213144325e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5628904681e-01   -6.5261635141e-02   -2.9951310570e-02    6.0323704510e-02
   0.3500000    1.5462833807e-01    2.3803065044e-02    6.9541413048e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5637785997e-01   -6.5260927329e-02   -2.9463533598e-02    6.3978628495e-02
   0.4000000    1.5467199715e-01    2.3722980764e-02    7.2791529023e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5646306714e-01   -6.5260502097e-02   -2.7486066493e-02    6.6103195577e-02
   0.4500000    1.5482471406e-01    2.3644705858e-02    7.3891440343e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5654463191e-01   -6.5260336805e-02   -2.7416862174e-02    6.6866825684e-02
   0.5000000    1.5509679198e-01    2.3568851719e-02    7.3009357719e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5662238844e-01   -6.5260428967e-02   -2.5339248989e-02    6.7937567383e-02
   0.5500000    1.5549684755e-01    2.3495874218e-02    7.0550162330e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5669598787e-01   -6.5260768217e-02   -1.9933938765e-02    7.1527722738e-02
   0.6000000    1.5551025966e-01    2.3426338431e-02    7.0887348613e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5676486880e-01   -6.5261131203e-02   -1.7036063828e-02    7.4407193796e-02
   0.6500000    1.5533534774e-01    2.3361202525e-02    7.5573420946e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5682835503e-01   -6.5261146237e-02   -1.7355015113e-02    7.6592235643e-02
   0.7000000    1.5517843464e-01    2.3301824372e-02    8.0151276496e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5688582319e-01   -6.5260472712e-02   -1.7371306552e-02    7.8350761559e-02
   0.7500000    1.5505080206e-01    2.3249660415e-02    8.4614480410e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5693679194e-01   -6.5258903187e-02   -1.7529990805e-02    8.0265503503e-02
   0.8000000    1.5496354502e-01    2.3205929437e-02    8.8946357454e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5698102827e-01   -6.5256552439e-02   -1.7370483024e-02    8.2131617604e-02
   0.8500000    1.5492721372e-01    2.3171144917e-02    9.3132491853e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5701915861e-01   -6.5253923152e-02   -1.6844295948e-02    8.3581609017e-02
   0.9000000    1.5495138865e-01    2.3146460259e-02    9.7154480900e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5705117524e-01   -6.5251653708e-02   -1.5902320791e-02    8.5008773510e-02
   0.9500000    1.5504522388e-01    2.3133252541e-02    1.0098943266e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5707691120e-01   -6.5250215264e-02   -1.4494789224e-02    8.6304392850e-02
   1.0000000    1.5521700545e-01    2.3132910166e-02    1.0461086037e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5709622501e-01   -6.5249779073e-02   -1.3247343990e-02    8.7169897418e-02
   1.0500000    1.5547383907e-01    2.3146680906e-02    1.0799073604e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5710901251e-01   -6.5250231082e-02   -1.2845910112e-02    8.7632275245e-02
   1.1000000    1.5569823767e-01    2.3175156831e-02    1.1110261169e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5711522985e-01   -6.5251193751e-02   -1.1989198206e-02    8.7727622720e-02
   1.1500000    1.5552847688e-01    2.3217678716e-02    1.1392501586e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5711491069e-01   -6.5252020626e-02   -1.0646903640e-02    8.9792833513e-02
   1.2000000    1.5535358950e-01    2.3272585712e-02    1.1644320518e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5710815543e-01   -6.5251932243e-02   -8.7994974543e-03    9.3182007377e-02
   1.2500000    1.5517899531e-01    2.3338633292e-02    1.1864834459e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5709509144e-01   -6.5250355911e-02   -6.8897818169e-03    9.6500609674e-02
   1.3000000    1.5501082814e-01    2.3416421705e-02    1.2053590257e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5707583305e-01   -6.5247228751e-02   -4.6569347691e-03    9.9746758417e-02
   1.3500000    1.5485592799e-01    2.3508255950e-02    1.2210565761e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5705047194e-01   -6.5243042412e-02   -5.8191690849e-03    1.0291937237e-01
   1.4000000    1.5472180318e-01    2.3616423753e-02    1.2336289969e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5701909726e-01   -6.5238669029e-02   -6.0244075578e-03    1.0601785628e-01
   1.4500000    1.5461648433e-01    2.3741699124e-02    1.2431814505e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5698182327e-01   -6.5235061936e-02   -5.4979818009e-03    1.0904167155e-01
   1.5000000    1.5454830357e-01    2.3883632720e-02    1.2498457736e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5693882601e-01   -6.5232913186e-02   -7.1711895915e-03    1.1199003844e-01
   1.5500000    1.5452573845e-01    2.4041996728e-02    1.2537603559e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5689040967e-01   -6.5232429944e-02   -5.7443502958e-03    1.1486183407e-01
   1.6000000    1.5455737438e-01    2.4217211459e-02    1.2550849857e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5683707326e-01   -6.5233305945e-02   -4.7397487670e-03    1.1765550751e-01
   1.6500000    1.5465186388e-01    2.4408782045e-02    1.2540404756e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5677947902e-01   -6.5234804928e-02   -5.5248798784e-03    1.2036883919e-01
   1.7000000    1.5481779941e-01    2.4613617680e-02    1.2509287022e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5671826681e-01   -6.5235895416e-02   -4.7437113504e-03    1.2299866651e-01
   1.7500000    1.5506366020e-01    2.4827096027e-02    1.2461013475e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5665381439e-01   -6.5235494663e-02   -6.0168560834e-03    1.2554094097e-01
   1.8000000    1.5539802493e-01    2.5046968059e-02    1.2398949790e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5658613428e-01   -6.5232873196e-02   -5.4085911207e-03    1.2799131691e-01
   1.8500000    1.5582987238e-01    2.5276338607e-02    1.2325841023e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5651499436e-01   -6.5228044291e-02   -4.1800266194e-03    1.3034599947e-01
   1.9000000    1.5636848709e-01    2.5521921328e-02    1.2243827409e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5644015645e-01   -6.5221831994e-02   -4.6176068643e-03    1.3260238298e-01
   1.9500000    1.5702278306e-01    2.5788592090e-02    1.2154709676e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5641405682e-01   -6.5215560968e-02   -4.7953046572e-03    1.3475942219e-01
   2.0000000    1.5780052937e-01    2.6075655649e-02    1.2060007604e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5643898249e-01   -6.5210578756e-02   -4.7417021531e-03    1.3681807929e-01
   2.0500000    1.5870818976e-01    2.6378510135e-02    1.1960717706e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -6.5647782669e-01   -6.5207810697e-02   -6.5493546833e-03    1.3878186093e-01
