# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  3.8834708636224296e-10  7.1154673428786715e-17  5.6908607723332467e-03  1.0227634430893331e+00  9.8716164373951165e-01
4.0000000000000002e-01  6.6521800561875807e-11  1.6087947988260208e-14  4.8246836434407965e-04  1.0019298734573763e+00  8.8213938086213806e-01
8.0000000000000004e-01  1.0654559158108436e-12  1.6060758619235006e-14  8.4431481173263909e-03  1.0337725924693055e+00  4.5592742497064181e-01
1.2000000000000000e+00  5.6883608076720185e-12  7.9351558364568392e-15  1.4431759340092307e-03  1.0057727037360369e+00  7.2638694439998341e-01
1.6000000000000001e+00  7.8895352111138385e-13  8.0175015898039431e-15  6.0764110950776466e-03  1.0243056443803107e+00  4.1052629389840201e-01
2.0000000000000000e+00  5.9854341980638582e-13  1.1499669877091735e-15  1.9504792960198922e-03  1.0078019171840795e+00  3.8123506099330040e-01
2.3999999999999901e+00  9.1991046512319034e-14  1.5316810780309934e-15  1.2139941609733812e-02  1.0485597664389352e+00  1.4061136401293187e-01
2.7999999999999798e+00  2.2009580753783733e-11  4.4503837624594331e-16  9.7301714887967092e-04  1.0038920685955186e+00  8.5885064947504131e-01
3.1999999999999802e+00  1.4741034694799517e-10  2.1603269056099712e-15  9.3047626921077191e-04  1.0037219050768431e+00  9.4101849334950283e-01
3.5999999999999699e+00  1.8898514087967362e-10  1.1355590969363890e-16  8.0574515803320487e-04  1.0032229806321329e+00  9.4348698566260436e-01
3.9999999999999600e+00  1.0774875508982281e-10  7.9960021116454001e-17  7.3507756344301945e-04  1.0029403102537722e+00  9.2175252877049407e-01
4.3999999999999497e+00  3.7422128410310618e-11  5.0037370166128023e-16  7.0593776888604372e-04  1.0028237510755442e+00  8.6681718533751428e-01
4.7999999999999403e+00  4.4500215660977554e-11  6.7556312928120247e-16  6.3391752865982437e-04  1.0025356701146393e+00  8.7006596489767640e-01
5.1999999999999300e+00  2.7902322759764928e-10  1.0756918648745702e-16  5.6301015578828859e-04  1.0022520406231532e+00  9.4295791442327304e-01
