# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.2393622952653234e-13  4.6093931634654613e-25  2.4226496049634760e-12  1.0000000000096907e+00  4.2980235303860015e-01
5.0000000000000000e-01  6.7113728343566470e-14  2.2125651720610511e-21  5.8030820468350147e-08  1.0000002321232819e+00  1.6005754869482761e-02
1.0000000000000000e+00  2.9482325360559172e-14  3.2419997857661213e-20  4.3940869035453499e-06  1.0000175763476142e+00  1.0881223873964156e-01
1.5000000000000000e+00  4.8211665127120802e-14  1.0893353800558767e-19  4.6098203413863334e-05  1.0001843928136553e+00  4.9317103764603304e-01
2.0000000000000000e+00  4.6127169244548496e-14  1.3412909509093578e-19  2.9296798966380744e-04  1.0011718719586553e+00  7.3732966493223173e-01
2.4999999999999898e+00  7.4655326927573909e-16  1.6443792499158995e-19  9.9166709040367901e-04  1.0039666683616146e+00  1.3841812250851107e-01
2.9999999999999800e+00  4.9562116298529278e-15  1.7946118234696517e-19  6.0625840439274457e-02  1.2425033617570977e+00  9.2876433682403059e-01
3.4999999999999698e+00  2.2062535624149242e-15  1.5599050604593624e-19  1.9586424124144908e-02  1.0783456964965796e+00  8.3329960349579535e-01
3.9999999999999600e+00  2.0174530633554763e-16  1.4088650118833226e-19  1.5547719700360752e-02  1.0621908788014429e+00  5.1035034750860897e-01
4.4999999999999503e+00  1.3868125899384224e-15  1.4466662898653103e-19  7.4053082915043319e-04  1.0029621233166017e+00  2.5992769781264419e-01
4.9999999999999396e+00  9.5221968905028185e-16  1.3651031122985623e-19  3.9204071674318452e-04  1.0015681628669728e+00  5.2555368715536347e-03
5.4999999999999298e+00  7.0356591410424889e-15  1.2193701101009029e-19  4.2352456984726328e-04  1.0016940982793892e+00  5.2951448189806438e-01
5.9999999999999201e+00  1.2572754078383936e-16  1.1642250006303697e-19  1.1298959931324236e-03  1.0045195839725296e+00  8.6779063876158002e-01
6.4999999999999103e+00  6.1013498519295724e-15  1.0956406472816728e-19  2.5755160244759611e-04  1.0010302064097905e+00  4.3524098407065281e-01
6.9999999999998996e+00  1.2285612507319135e-14  9.5110907942172580e-20  2.8327551427946947e-04  1.0011331020571179e+00  6.0223452684125744e-01
7.4999999999998801e+00  2.2130820229560281e-14  7.7885721331080865e-20  2.4756463178498569e-04  1.0009902585271400e+00  6.9311217903166999e-01
7.9999999999998703e+00  2.0934078754790337e-14  6.7865029698267898e-20  2.6799730444049256e-05  1.0001071989217762e+00  2.9693941842725247e-01
8.4999999999998597e+00  7.1307158009536942e-15  6.4415356471814427e-20  1.3149611268074278e-05  1.0000525984450723e+00  2.0853685095927904e-01
8.9999999999998508e+00  1.8076799199636675e-14  6.9796555999952492e-20  1.3591856420873554e-05  1.0000543674256834e+00  1.5387173196195422e-01
9.4999999999998401e+00  5.6470966162173868e-14  3.2431437332212638e-20  1.0632512394775692e-05  1.0000425300495790e+00  4.8132198679362959e-01
9.9999999999998295e+00  1.3829429426890161e-13  2.1277797727329884e-20  3.9510808467589444e-06  1.0000158043233871e+00  5.7457755955827150e-01
1.0499999999999799e+01  2.0671608835208480e-13  6.6262992497774281e-20  2.3664200792807093e-06  1.0000094656803171e+00  6.0233319184935108e-01
1.0999999999999799e+01  2.7451919733770321e-13  1.4866189427657244e-20  2.8560023962847658e-06  1.0000114240095852e+00  6.8671753874475960e-01
1.1499999999999799e+01  2.5037278201329667e-13  6.2322638790140883e-21  1.0261187062412120e-06  1.0000041044748249e+00  6.4864021401968086e-01
1.1999999999999799e+01  1.0056032459046516e-13  6.8856470388304155e-21  3.8188145107354792e-07  1.0000015275258043e+00  3.8806713193698145e-01
1.2499999999999799e+01  5.6199961484032130e-14  5.8650335966564210e-20  5.4611218069093873e-07  1.0000021844487228e+00  3.7448534028635833e-01
1.2999999999999799e+01  2.7499635134164120e-14  7.4780100811141005e-21  2.6561023686144316e-07  1.0000010624409474e+00  2.1218111240245222e-01
1.3499999999999799e+01  3.6885055141783419e-15  7.5598512260971413e-21  6.2915714310086222e-06  1.0000251662857240e+00  7.1372611894658378e-01
1.3999999999999700e+01  4.7788584508738108e-14  5.5930921240637873e-21  5.7118384773297931e-07  1.0000022847353909e+00  1.7199728423726551e-01
1.4499999999999700e+01  1.5431953994713264e-13  1.2410193452585342e-20  1.6877277057596191e-06  1.0000067509108230e+00  4.9929017951105892e-01
1.4999999999999700e+01  1.3868000805984316e-13  3.3850453745528483e-20  6.9718155845377834e-06  1.0000278872623380e+00  6.5179553616954622e-01
1.5499999999999700e+01  1.4820012950786879e-13  3.0681157769969339e-20  6.2166909334287809e-06  1.0000248667637337e+00  5.7952357255235387e-01
1.5999999999999700e+01  1.5130324742966886e-13  2.9794215765458133e-19  4.8021268476092435e-06  1.0000192085073905e+00  4.1858564656585723e-01
1.6499999999999801e+01  1.6494246024628547e-14  1.1720591582491862e-19  7.1025397102483573e-06  1.0000284101588410e+00  3.1476099041524885e-01
1.6999999999999901e+01  6.9811810094479874e-14  4.8583965575002887e-19  1.0591878706716099e-05  1.0000423675148269e+00  3.0327248613639951e-01
1.7499999999999901e+01  9.3214160524400239e-13  4.7933611048020851e-20  7.4003323798091214e-06  1.0000296013295193e+00  8.0662345429628401e-01
1.8000000000000000e+01  8.5124102125662251e-13  9.3785830167886435e-19  1.1779516567762686e-05  1.0000471180662711e+00  8.1024008789449786e-01
1.8500000000000099e+01  3.9571572813316472e-15  3.6645807974348114e-19  1.1793574604408901e-02  1.0471742984176355e+00  9.4948534742634072e-01
1.9000000000000199e+01  9.9877967499104069e-13  4.3928659255399888e-18  1.1437301022242644e-05  1.0000457492040891e+00  7.0197823241267765e-01
1.9500000000000199e+01  6.2174997508162915e-12  2.6005543327502157e-18  1.2268179271839432e-05  1.0000490727170874e+00  8.7005221195910476e-01
2.0000000000000298e+01  8.8425858140051244e-12  7.1876171154434082e-18  2.4446843355838465e-05  1.0000977873734234e+00  9.0800884773935631e-01
2.0500000000000401e+01  1.3875714689716048e-12  1.6663279196959801e-17  4.5573322305281231e-05  1.0001822932892210e+00  7.9029134564949266e-01
2.1000000000000501e+01  3.2365228743901074e-12  6.2415637138714603e-19  1.1252721580555526e-04  1.0004501088632223e+00  8.8963651491124107e-01
2.1500000000000600e+01  2.1234169192320013e-11  2.1908143112676486e-17  9.8769872526560052e-05  1.0003950794901062e+00  9.4646870068849287e-01
2.2000000000000600e+01  2.8683850595837903e-11  2.3251490189646801e-17  6.2883369248156737e-05  1.0002515334769926e+00  9.3830865449647949e-01
2.2500000000000700e+01  8.7328859362931766e-12  1.1925887507845362e-18  1.3624540046028259e-04  1.0005449816018410e+00  9.0848171265660393e-01
2.3000000000000799e+01  3.3824394801258153e-12  9.4807922786665173e-18  3.6224745835514545e-04  1.0014489898334207e+00  8.8319966791149640e-01
2.3500000000000899e+01  3.2138083629224198e-11  8.6082578841871113e-18  3.3186916810295959e-03  1.0132747667241184e+00  9.8469099980213914e-01
