# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  3.8899727479802544e+00  1.5943626273530123e+00
1.0000000000000000e+00  3.8899727590573252e+00  1.5943626273530123e+00
2.0000000000000000e+00  3.8899724106426041e+00  1.5943626273530123e+00
2.9999999999999800e+00  3.8899713204586912e+00  1.5943626273530123e+00
3.9999999999999600e+00  3.8899698795388025e+00  1.5943626273530123e+00
4.9999999999999396e+00  3.8899683514870964e+00  1.5943626273530123e+00
5.9999999999999201e+00  3.8899663202506649e+00  1.5943626273530123e+00
6.9999999999998996e+00  3.8899650569222248e+00  1.5943626273530123e+00
7.9999999999998703e+00  3.8899649646132710e+00  1.5943626273530123e+00
8.9999999999998508e+00  3.8899669170913533e+00  1.5943626273530123e+00
9.9999999999998295e+00  3.8899715897208513e+00  1.5943626273530123e+00
1.0999999999999799e+01  3.8899800818934911e+00  1.5943626273530123e+00
1.1999999999999799e+01  3.8899935128225147e+00  1.5943626273530123e+00
1.2999999999999799e+01  3.8900124965309604e+00  1.5943626273530123e+00
1.3999999999999700e+01  3.8900374575326500e+00  1.5943626273530123e+00
1.4999999999999700e+01  3.8900684659586116e+00  1.5943626273530123e+00
1.5999999999999700e+01  3.8901055805858462e+00  1.5943626273530123e+00
1.6999999999999901e+01  3.8901485220676033e+00  1.5943626273530123e+00
1.8000000000000000e+01  3.8901982873532979e+00  1.5943626273530123e+00
1.9000000000000199e+01  3.8902554255042894e+00  1.5943626273530123e+00
2.0000000000000298e+01  3.8903197266559388e+00  1.5943626273530123e+00
2.1000000000000501e+01  3.8903895389346572e+00  1.5943626273530123e+00
2.2000000000000600e+01  3.8904617161981658e+00  1.5943626273530123e+00
2.3000000000000799e+01  3.8905319060303474e+00  1.5943626273530123e+00
2.4000000000000998e+01  3.8905971093734180e+00  1.5943626273530123e+00
2.5000000000001101e+01  3.8906425225868024e+00  1.5943626273530123e+00
2.6000000000001300e+01  3.8906750962981627e+00  1.5943626273530123e+00
2.7000000000001400e+01  3.8906639668908869e+00  1.5943626273530123e+00
2.8000000000001599e+01  3.8905973224397830e+00  1.5943626273530123e+00
2.9000000000001702e+01  3.8904564658705616e+00  1.5943626273530123e+00
3.0000000000001901e+01  3.8902262382834629e+00  1.5943626273530123e+00
3.1000000000002000e+01  3.8898688175118834e+00  1.5943626273530123e+00
3.2000000000002203e+01  3.8893583495490636e+00  1.5943626273530123e+00
3.3000000000001997e+01  3.8886558427176214e+00  1.5943626273530123e+00
3.4000000000001798e+01  3.8877174191955648e+00  1.5943626273530123e+00
3.5000000000001599e+01  3.8864998077009969e+00  1.5943626273530123e+00
3.6000000000001400e+01  3.8849555916018690e+00  1.5943626273530123e+00
3.7000000000001201e+01  3.8830303329364786e+00  1.5943626273530123e+00
3.8000000000001002e+01  3.8806679002576847e+00  1.5943626273530123e+00
3.9000000000000803e+01  3.8777973754784005e+00  1.5943626273530123e+00
4.0000000000000597e+01  3.8743408263280648e+00  1.5943626273530123e+00
4.1000000000000398e+01  3.8702230607647814e+00  1.5943626273530123e+00
4.2000000000000199e+01  3.8653415857617279e+00  1.5943626273530123e+00
4.3000000000000000e+01  3.8595958605772820e+00  1.5943626273530123e+00
4.3999999999999801e+01  3.8528538661069405e+00  1.5943626273530123e+00
4.4999999999999602e+01  3.8449737300435505e+00  1.5943626273530123e+00
4.5999999999999403e+01  3.8357927701945713e+00  1.5943626273530123e+00
4.6999999999999197e+01  3.8248813015944108e+00  1.5318876223470179e+00
4.7999999999998998e+01  3.8113708790554122e+00  1.5318876223470179e+00
4.8999999999998799e+01  3.7957599734990484e+00  1.5318876223470179e+00
4.9999999999998600e+01  3.7777636177756828e+00  1.5318876223470179e+00
5.0999999999998401e+01  3.7570090490513177e+00  1.4694147431885933e+00
5.1999999999998202e+01  3.7311736606796702e+00  1.4694147431885933e+00
5.2999999999998003e+01  3.7016442811394423e+00  1.4694147431885933e+00
5.3999999999997797e+01  3.6667434214787908e+00  1.4069442730613035e+00
5.4999999999997598e+01  3.6253329040404481e+00  1.4069442730613035e+00
5.5999999999997399e+01  3.5764260866464239e+00  1.3444765477686846e+00
5.6999999999997200e+01  3.5193224896760484e+00  1.2820119685478759e+00
5.7999999999997002e+01  3.4508176866619715e+00  1.2820119685478759e+00
5.8999999999996803e+01  3.3699944018280581e+00  1.2195510188179910e+00
5.9999999999996597e+01  3.2750488982056063e+00  1.1570942863483511e+00
6.0999999999996398e+01  3.1623583041190759e+00  1.0321965353071090e+00
6.1999999999996199e+01  3.0314967518449705e+00  9.6975754057393126e-01
6.2999999999996000e+01  2.8797147079412522e+00  8.4490661466223593e-01
6.3999999999995801e+01  2.7115107645517638e+00  7.2010741386268207e-01
6.4999999999996305e+01  2.5309750969646569e+00  5.9539246510180155e-01
6.5999999999996902e+01  2.3523893392375768e+00  5.3308506591349936e-01
6.6999999999997399e+01  2.2140177330648787e+00  5.3308506591349936e-01
6.7999999999997897e+01  2.1158499054617321e+00  5.3308506591349936e-01
6.8999999999998394e+01  2.0481550481387227e+00  5.3308506591349936e-01
6.9999999999998906e+01  2.0022751564469123e+00  5.3308506591349936e-01
7.0999999999999403e+01  1.9716394406027595e+00  5.3308506591349936e-01
7.1999999999999901e+01  1.9514130057903969e+00  5.3308506591349936e-01
7.3000000000000398e+01  1.9378970965189659e+00  5.3308506591349936e-01
7.4000000000000995e+01  1.9290946550432981e+00  5.3308506591349936e-01
7.5000000000001506e+01  1.9234958121704968e+00  5.3308506591349936e-01
7.6000000000002004e+01  1.9203747673874272e+00  5.3308506591349936e-01
7.7000000000002501e+01  1.9185609466331341e+00  5.3308506591349936e-01
7.8000000000002998e+01  1.9175791309207371e+00  5.3308506591349936e-01
7.9000000000003496e+01  1.9170629964753843e+00  5.3308506591349936e-01
8.0000000000003993e+01  1.9166797633144490e+00  5.3308506591349936e-01
8.1000000000004505e+01  1.9169075746866067e+00  5.3308506591349936e-01
8.2000000000005002e+01  1.9172149187636651e+00  5.3308506591349936e-01
8.3000000000005599e+01  1.9178315049012815e+00  5.3308506591349936e-01
8.4000000000006096e+01  1.9180521550624594e+00  5.3308506591349936e-01
8.5000000000006594e+01  1.9190843152260753e+00  5.3308506591349936e-01
8.6000000000007105e+01  1.9193214874110045e+00  5.3308506591349936e-01
8.7000000000007603e+01  1.9192516586833388e+00  5.3308506591349936e-01
8.8000000000008100e+01  1.9195253164251622e+00  5.3308506591349936e-01
8.9000000000008598e+01  1.9205872914843718e+00  5.3308506591349936e-01
9.0000000000009095e+01  1.9212323447640640e+00  5.3308506591349936e-01
9.1000000000009607e+01  1.9205489449053668e+00  5.3308506591349936e-01
9.2000000000010203e+01  1.9195777477799441e+00  5.3308506591349936e-01
9.3000000000010701e+01  1.9194707066291639e+00  5.3308506591349936e-01
9.4000000000011198e+01  1.9189500327455860e+00  5.3308506591349936e-01
9.5000000000011696e+01  1.9218415722760087e+00  5.3308506591349936e-01
9.6000000000012193e+01  1.9253298493293147e+00  5.3308506591349936e-01
9.7000000000012705e+01  1.9189069508498520e+00  5.3308506591349936e-01
9.8000000000013202e+01  1.9228203745582682e+00  5.3308506591349936e-01
9.9000000000013699e+01  1.9163959651983025e+00  5.3308506591349936e-01
