# time  Re(R=14)  Im(R=14)  Re(R=30)  Im(R=30)
0.0000000000000000e+00  4.3477292511806993e-07  4.4140553222477730e-17  -5.0876808334949644e-07  7.3478727488686547e-17
5.0000000000000000e-01  3.3385554025511332e-07  -1.2818843795771077e-15  -1.5089044130950084e-07  -6.6832835034368920e-16
1.0000000000000000e+00  2.2735981302901657e-07  -4.6090236247934102e-15  -8.5276213870506461e-08  9.4929315565104721e-17
1.5000000000000000e+00  3.0669723490485913e-07  2.7612263912981818e-15  -4.8576925383445123e-08  -1.0721878386017844e-15
2.0000000000000000e+00  3.0298077552186693e-07  -2.1368017763226648e-14  -2.1365403581527802e-08  7.2001825797196062e-16
2.4999999999999898e+00  3.6434988733747251e-08  2.1118264503159744e-14  -1.2844549414235542e-08  3.5485640200601912e-16
2.9999999999999800e+00  9.9546347159958173e-08  -4.9980215521594929e-15  1.5093969569708177e-09  3.3135320841289820e-16
3.4999999999999698e+00  -6.6366966179195971e-08  2.2841203195450978e-14  2.7111865366388421e-09  -2.9778910129831972e-16
3.9999999999999600e+00  1.9860996470545285e-08  5.0752201754963249e-15  -2.9162009095803825e-09  6.2475366671754255e-16
4.4999999999999503e+00  5.0791505115239256e-08  -5.7334334083262422e-15  1.3903552849119381e-08  8.7435582917637265e-16
4.9999999999999396e+00  -3.9470506607640338e-08  2.4971185338006654e-14  1.8600731941085314e-08  5.3301182844114224e-16
5.4999999999999298e+00  -1.1741871499894307e-07  -1.9722497953377628e-14  1.6841899834753177e-08  -8.4368872479713687e-16
5.9999999999999201e+00  2.3625920077816537e-09  -6.8911159988203285e-14  1.5664466222070767e-08  2.7839408606490013e-16
6.4999999999999103e+00  1.0864903185863877e-07  -1.3331808404392650e-14  1.9941608817494425e-08  -9.1115956201815121e-16
6.9999999999998996e+00  1.5571060025592774e-07  -2.2203072471446500e-14  1.8029854153195557e-08  5.3344883280551541e-16
7.4999999999998801e+00  2.0963585442581975e-07  2.4014695577137464e-14  1.7723930711748840e-08  -7.3721036179331033e-16
7.9999999999998703e+00  1.9836802065834451e-07  -9.8494332244553616e-15  5.0179807981233457e-08  -9.4910294779563612e-16
8.4999999999998597e+00  9.7255123537705716e-08  2.4134671190801060e-14  6.9300813535172915e-08  -6.4761605001709065e-16
8.9999999999998508e+00  1.7989890315172648e-07  4.4243808122245968e-14  6.1560672659793938e-08  8.3347646281448229e-16
9.4999999999998401e+00  3.3166965322527245e-07  -1.5463465726459173e-14  5.4194026672586158e-08  -3.1748763294455111e-17
9.9999999999998295e+00  5.2178572133600950e-07  3.9002654665216311e-14  6.5788709147489768e-08  7.0053715165446758e-16
1.0499999999999799e+01  6.3871731357806498e-07  1.4701766115859838e-14  7.3974099001030574e-08  -8.6584033732259487e-16
1.0999999999999799e+01  7.3820324812572267e-07  3.7001963375546309e-15  6.3984332699337982e-08  6.4494952697458082e-16
1.1499999999999799e+01  7.0415962725525608e-07  6.1481651673292675e-14  7.0033019736599259e-08  1.3512674802615177e-16
1.1999999999999799e+01  4.3926506907212665e-07  5.1342175828289819e-14  9.0370411162189435e-08  3.6103819326984933e-16
1.2499999999999799e+01  3.2794652376010053e-07  -9.1623476766819776e-15  6.9647800073586919e-08  3.8785931400778661e-15
1.2999999999999799e+01  2.2442380555901653e-07  -3.4703261570270912e-14  6.8066762754055352e-08  4.4175783124010502e-15
1.3499999999999799e+01  -2.8941867956033133e-08  -4.6490319358943184e-15  8.0864804862922644e-08  -3.2942489627802452e-16
1.3999999999999700e+01  2.9360916687305760e-07  -2.6242004019348993e-14  9.6801479673481215e-08  2.6958321957229002e-15
1.4499999999999700e+01  5.4892635139885122e-07  4.9290202367364861e-15  8.5550083663983124e-08  -1.2322772080306972e-15
1.4999999999999700e+01  5.2411974179712907e-07  -8.8726018109553483e-14  5.1559826274826527e-08  4.2953099309636299e-15
1.5499999999999700e+01  5.4027352370170806e-07  1.0652613659782559e-13  6.7116947633486264e-08  1.9959397166007635e-15
1.5999999999999700e+01  5.4030190495576938e-07  1.3297288547964330e-14  1.0334075843258456e-07  -1.3354506182822387e-15
1.6499999999999801e+01  1.3531149455228039e-07  -1.8441881846253985e-14  1.2115646696509976e-07  -9.9119371864595848e-17
1.6999999999999901e+01  3.6254500627486835e-07  -1.0878033181969667e-13  9.0447739373315302e-08  -1.2898056400386892e-15
1.7499999999999901e+01  1.3636873179960220e-06  -6.8024932734871358e-14  6.8116523874845569e-08  -1.5976361430087537e-15
