# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.2393622952653234e-13  4.6093931634654613e-25  2.4226496049634760e-12  1.0000000000096907e+00  4.2980235303860015e-01
5.0000000000000000e-01  6.7113728343566470e-14  2.2125651720655955e-21  5.8030820468390917e-08  1.0000002321232819e+00  1.6005754869482761e-02
1.0000000000000000e+00  2.9482325360559386e-14  3.2419997857681086e-20  4.3940869035457345e-06  1.0000175763476142e+00  1.0881223873964352e-01
1.5000000000000000e+00  4.8211665127122360e-14  1.0893353800557080e-19  4.6098203413863158e-05  1.0001843928136553e+00  4.9317103764603931e-01
2.0000000000000000e+00  4.6127169236317610e-14  1.3412909467402491e-19  2.9296798965926626e-04  1.0011718719586371e+00  7.3732966491177310e-01
2.4999999999999898e+00  7.4655324400097835e-16  1.6443793073266752e-19  9.9166709473573022e-04  1.0039666683789430e+00  1.3841811317131525e-01
2.9999999999999800e+00  4.9562123778257665e-15  1.7946095565576173e-19  6.0625840416383116e-02  1.2425033616655325e+00  9.2876434200942226e-01
3.4999999999999698e+00  2.2062539639184330e-15  1.5599022556105827e-19  1.9586424060437552e-02  1.0783456962417501e+00  8.3329961742496561e-01
3.9999999999999600e+00  2.0174748939915520e-16  1.4088616943667997e-19  1.5547718844758578e-02  1.0621908753790343e+00  5.1035239391390541e-01
4.4999999999999503e+00  1.4029489561947898e-15  1.4466563938686909e-19  7.4052465657559272e-04  1.0029620986263024e+00  2.6282342863363967e-01
4.9999999999999396e+00  9.8904160072670646e-16  1.3651524939951683e-19  3.9201875939568105e-04  1.0015680750375828e+00  6.2909870971965534e-03
5.4999999999999298e+00  7.8017515078782252e-15  1.2181917123206462e-19  4.2350493398345557e-04  1.0016940197359339e+00  5.4820732511382486e-01
5.9999999999999201e+00  1.5495112294257760e-16  1.1350802697303936e-19  4.7198460930113412e-04  1.0018879384372046e+00  6.1509725673735405e-01
6.4999999999999103e+00  1.0006494556085345e-14  1.1888721016592720e-19  2.5778100734152762e-04  1.0010311240293661e+00  5.3226055185674648e-01
6.9999999999998996e+00  3.2787143966340916e-14  1.0279131566354460e-19  2.8331639158872567e-04  1.0011332655663550e+00  7.3711734453368061e-01
7.4999999999998801e+00  2.4770895425894793e-14  1.1367551154538956e-19  2.4829146845068209e-04  1.0009931658738027e+00  7.0756259145999401e-01
7.9999999999998703e+00  6.3902893190799989e-15  1.1029035836262119e-19  3.0962779572634615e-05  1.0001238511182906e+00  2.9835349279657496e-02
8.4999999999998597e+00  2.4153246097215399e-15  6.4262788242077623e-20  9.9436034985676372e-05  1.0003977441399428e+00  9.3141805289432278e-01
8.9999999999998508e+00  1.4082068260809597e-14  1.4945302517411836e-19  1.7069636685798727e-05  1.0000682785467432e+00  8.4027354845558289e-02
9.4999999999998401e+00  9.2262216807339304e-14  3.4126776713215559e-20  1.0637369937225040e-05  1.0000425494797489e+00  5.7167439020241984e-01
