# time  Re_m-2(R=14)  Im_m-2(R=14)  Re_m-1(R=14)  Im_m-1(R=14)  Re_m0(R=14)  Im_m0(R=14)  Re_m1(R=14)  Im_m1(R=14)  Re_m2(R=14)  Im_m2(R=14)  Re_m-2(R=30)  Im_m-2(R=30)  Re_m-1(R=30)  Im_m-1(R=30)  Re_m0(R=30)  Im_m0(R=30)  Re_m1(R=30)  Im_m1(R=30)  Re_m2(R=30)  Im_m2(R=30)
0.0000000000000000e+00  -6.9161244351463949e-17  6.7072615871087334e-13  -8.1120803691261878e-13  -4.9158851662842257e-14  4.3477292511806993e-07  4.4140553222477730e-17  -7.9851607430519885e-13  3.6093535809098307e-14  -1.4235641943195207e-17  -6.7068635933990072e-13  -9.5569584262135445e-17  -1.0533119901588922e-13  2.4795476756878976e-15  9.3617310358509180e-15  -5.0876808334949644e-07  7.3478727488686547e-17  8.0689916243862961e-15  -1.4900426811416320e-14  -1.4838021156849153e-17  1.0530994389738124e-13
1.0000000000000000e+00  5.4355667564308027e-15  2.3274884046968326e-11  -4.2985663216378424e-11  -2.6061502417103070e-11  2.2735981302901750e-07  -4.6090245601359658e-15  -4.2961947713760475e-11  2.6055306734625044e-11  9.8530639007889091e-15  -2.3274102539856839e-11  6.4127799913633743e-16  -1.7854385906371190e-10  5.2861730965364935e-14  -1.7832038647447035e-10  -8.5276213870506461e-08  9.4929315565104721e-17  5.3550082735376635e-14  1.7832190519814154e-10  -6.7787325445518891e-16  1.7854602180408546e-10
2.0000000000000000e+00  -3.4196765790880040e-15  1.5773123423655961e-11  -3.3447684851594511e-11  -2.3334586618868352e-11  3.0298077549470741e-07  -2.1306205728558820e-14  -3.3418746091586865e-11  2.3301608297577224e-11  -1.4976456467822673e-14  -1.5757842038584415e-11  7.2273806043252153e-16  -3.6589549437830676e-10  3.3932895654950558e-14  -3.4358597580984281e-10  -2.1365403581527802e-08  7.2001825797196062e-16  3.3516672090134614e-14  3.4358480239517818e-10  -8.4713190308024701e-16  3.6589831278133144e-10
2.9999999999999800e+00  2.7436003795554375e-14  3.1524109823499735e-11  1.1696621842543883e-11  3.1770593810598786e-11  9.9546354671331921e-08  -7.1259331533283166e-15  1.1710617205756767e-11  -3.1710815939827198e-11  -3.3999616222982080e-14  -3.1528092975136312e-11  -1.7323523245426461e-15  -4.2245491028373151e-10  7.7075697936251964e-14  -3.9277019817201748e-10  1.5093969569708177e-09  3.3135320841289820e-16  7.7701826938365735e-14  3.9277077196024770e-10  -1.8304160739205344e-15  4.2245232633613848e-10
3.9999999999999600e+00  3.9468345761005844e-14  2.2787705992999005e-11  1.3187889066079531e-11  2.4093508838591388e-11  1.9861106426313359e-08  2.0176496711311153e-14  1.3168408555978111e-11  -2.4121618364413298e-11  5.9538983427797883e-15  -2.2799741617128608e-11  -1.8786440750942801e-15  -3.7465704312773479e-10  9.4385465889491049e-14  -3.4922821061921017e-10  -2.9162009095803825e-09  6.2475366671754255e-16  9.6839760870833057e-14  3.4922756749327550e-10  -6.5992789281327958e-16  3.7465361294562852e-10
4.9999999999999396e+00  -3.6672497307756268e-15  2.9453962815056819e-11  -8.2319893470468553e-11  -6.7728276005723413e-11  -4.0392634791057614e-08  2.4513348378479336e-14  -8.2277488061790996e-11  6.7680973034591768e-11  -6.6320837686003297e-14  -2.9449726133387277e-11  1.2655599046328937e-16  -3.6830296333653667e-10  9.6867809681760761e-14  -3.4310894437395401e-10  1.8600731941085314e-08  5.3301182844114224e-16  9.7111660463690465e-14  3.4310874428051599e-10  -7.7009783314279229e-16  3.6830535265438036e-10
5.9999999999999201e+00  2.2813974995427848e-14  2.9752706165357740e-11  -1.6122875139702310e-10  -1.4440816568941576e-10  8.0004373905401368e-09  -2.0442509664913220e-14  -1.6122262276946118e-10  1.4434579676259414e-10  1.1090472740522008e-14  -2.9685200675612882e-11  1.8171715257282204e-15  -3.3559693004689182e-10  1.0217559076104698e-13  -3.1565934463882720e-10  1.5664466222071320e-08  2.7839179218966394e-16  1.0202322978145104e-13  3.1566023000790404e-10  -1.9305209061463710e-15  3.3559302697582807e-10
6.9999999999998996e+00  -3.0646906248075881e-14  1.0314046857959076e-10  -1.4943300743125980e-11  5.2332048814771121e-11  2.5543853556034241e-07  1.4890954261234550e-14  -1.4967091521316960e-11  -5.2245958920343367e-11  -3.9797157631534840e-14  -1.0320134257047151e-10  -1.6418941699727795e-15  -3.0355584553384079e-10  1.0736144633964216e-13  -2.8803444483514444e-10  1.8029854122687858e-08  5.3738432648484771e-16  1.0881423348101675e-13  2.8803207859467789e-10  -4.5547925547386539e-16  3.0355331549162971e-10
7.9999999999998703e+00  1.3663638893419969e-14  -2.0691573821626239e-10  8.1516632207348073e-11  -8.3712243620593686e-11  1.0130260724802080e-07  4.2850633405848887e-14  8.1549885341170369e-11  8.3706009679378124e-11  7.3785226385065735e-14  2.0696196480836990e-10  -2.3168867212602608e-15  -2.5973722236314303e-10  1.2569147536396774e-13  -2.5175343789697850e-10  5.0179808225563579e-08  -1.1318223447468607e-15  1.2268614446750416e-13  2.5174897329896621e-10  4.6443209887079497e-16  2.5973736996869141e-10
8.9999999999998508e+00  -1.3016124836337114e-13  -4.2576088122140903e-10  -2.9097251100039994e-11  -3.7071709307424787e-10  1.8114727092211596e-07  -3.1901015422495822e-14  -2.9153267865037712e-11  3.7064228152260288e-10  1.4131167177991956e-14  4.2583846744736334e-10  -2.6319547265278741e-15  -2.2155577745570623e-10  1.7166469785922079e-13  -2.1856767574152206e-10  6.1560673584616789e-08  1.1389928992796346e-15  1.7028943794277955e-13  2.1856738080892232e-10  2.7131406109570512e-15  2.2155399603835402e-10
