# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  3.8127347296999807e+00  1.5943626273530123e+00
2.0000000000000000e+00  3.8269947423740187e+00  1.5943626273530123e+00
4.0000000000000000e+00  3.8376108766421457e+00  1.5943626273530123e+00
6.0000000000000000e+00  3.8460318174119998e+00  1.5943626273530123e+00
8.0000000000000107e+00  3.8547109827103081e+00  1.5943626273530123e+00
9.9999999999999591e+00  3.8654092761820382e+00  1.5943626273530123e+00
1.1999999999999901e+01  3.8801473518959995e+00  1.5943626273530123e+00
1.3999999999999901e+01  3.9015351288409694e+00  1.5943626273530123e+00
1.5999999999999799e+01  3.9333694016552343e+00  1.5943626273530123e+00
1.7999999999999801e+01  3.9804753401304973e+00  1.6568395177264454e+00
1.9999999999999801e+01  4.0495870849061344e+00  1.6568395177264454e+00
2.1999999999999702e+01  4.1513628979234838e+00  1.7193180879348648e+00
2.3999999999999702e+01  4.2989118408763654e+00  1.7817981612685541e+00
2.5999999999999599e+01  4.5074646136252934e+00  1.9067622262621000e+00
2.7999999999999599e+01  4.7933881947672328e+00  2.0317307123484647e+00
2.9999999999999499e+01  5.1651955873151270e+00  2.2191900971976239e+00
3.1999999999999499e+01  5.6167621394719296e+00  2.4691455379341249e+00
3.3999999999999503e+01  6.1244550599709937e+00  2.7816011014342084e+00
3.5999999999999403e+01  6.6547358199838396e+00  3.1565593907766094e+00
3.7999999999999403e+01  7.1770126325358419e+00  3.5940217288575202e+00
3.9999999999999297e+01  7.6679607429595427e+00  4.0314922407838019e+00
4.1999999999999297e+01  8.1184710265616840e+00  4.5314655121163616e+00
4.3999999999999197e+01  8.5249418237962260e+00  5.0632715461448443e+00
4.5999999999999197e+01  8.8871539240067108e+00  5.5632022028684167e+00
4.7999999999999197e+01  9.2105204484889214e+00  6.0631442956604618e+00
4.9999999999999098e+01  9.4999944535560967e+00  6.5630952111027616e+00
5.1999999999999098e+01  9.7604960819504054e+00  7.0630530756890115e+00
5.3999999999998998e+01  9.9965817618113579e+00  7.5630165112870138e+00
5.5999999999998998e+01  1.0209195401183219e+01  7.9379921107292617e+00
5.7999999999998899e+01  1.0403415136767007e+01  8.4379629502623441e+00
5.9999999999998899e+01  1.0225681652650431e+01  5.3308506591349936e-01
6.1999999999998899e+01  9.5613764568719208e+00  5.3308506591349936e-01
6.3999999999998799e+01  8.9836632584496563e+00  5.3308506591349936e-01
6.5999999999999105e+01  8.4767420124786366e+00  5.3308506591349936e-01
6.7999999999999403e+01  8.0284400981388746e+00  5.3308506591349936e-01
6.9999999999999702e+01  7.6291881976564628e+00  5.3308506591349936e-01
7.2000000000000099e+01  7.2713996324711578e+00  5.3308506591349936e-01
7.4000000000000398e+01  6.9489748179084758e+00  5.3308506591349936e-01
7.6000000000000696e+01  6.6569535534721274e+00  5.3308506591349936e-01
7.8000000000000995e+01  6.3912584715289231e+00  5.3308506591349936e-01
8.0000000000001293e+01  6.1485048364365857e+00  5.3308506591349936e-01
8.2000000000001606e+01  5.9258587360795261e+00  5.3308506591349936e-01
8.4000000000001904e+01  5.7209287589419873e+00  5.3308506591349936e-01
