# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time           min_lapse             min_chi           max_abs_K         min_lapse_x         min_lapse_y         min_lapse_z             min_phi             max_phi              min_Pi              max_Pi
   0.0000000    2.1942989020e-01    4.1086029478e-07    0.0000000000e+00    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5672296939e-01   -7.2967435899e-02    0.0000000000e+00    0.0000000000e+00
   0.0800000    2.1951959543e-01    4.4719106325e-07    5.3006640922e-03    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5645008212e-01   -7.2967430660e-02   -3.6845357566e-05    5.6440296134e-05
   0.1600000    2.1960522333e-01    4.8313345809e-07    9.6019498353e-03    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5618951627e-01   -7.2967428510e-02   -7.3473472659e-05    1.1215310539e-04
   0.2400000    2.1968705560e-01    5.1870597284e-07    1.3085689832e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5594032931e-01   -7.2967428218e-02   -1.0959144949e-04    1.6620008420e-04
   0.3200000    2.1976534315e-01    5.5392571310e-07    1.5887674625e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5570166889e-01   -7.2967426152e-02   -1.4486038103e-04    2.1753044077e-04
   0.4000000    2.1984030998e-01    5.8880848903e-07    1.8107411486e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5547276351e-01   -7.2967424862e-02   -1.7890844735e-04    2.6510285240e-04
   0.4800000    2.1991215641e-01    6.2336893616e-07    1.9823684036e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5525291466e-01   -7.2967423431e-02   -2.1140058430e-04    3.0797543158e-04
   0.5600000    2.1998106155e-01    6.5762062992e-07    2.1095627229e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5504149022e-01   -7.2967421783e-02   -2.4199561594e-04    3.4540594588e-04
   0.6400000    2.2004718477e-01    6.9157618275e-07    2.1975504738e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5483792078e-01   -7.2967420248e-02   -2.7044373048e-04    3.7687976473e-04
   0.7200000    2.2011066560e-01    7.2524738222e-07    2.2509096021e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5464169963e-01   -7.2967418964e-02   -2.9652676311e-04    4.0215334094e-04
   0.8000000    2.2017162245e-01    7.5864541510e-07    2.2740451471e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5445238643e-01   -7.2967417625e-02   -3.2012379513e-04    4.2125755158e-04
   0.8800000    2.2023015108e-01    7.9178125036e-07    2.2710691539e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5426961100e-01   -7.2967416076e-02   -3.4113301779e-04    4.3444382614e-04
   0.9600000    2.2028632614e-01    8.2466609540e-07    2.2459133603e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5409306874e-01   -7.2967414465e-02   -3.5960153967e-04    4.4216087064e-04
   1.0400000    2.2034021018e-01    8.5731158274e-07    2.2024089166e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5392249498e-01   -7.2967413008e-02   -3.7555997718e-04    4.4500555009e-04
   1.1200000    2.2039187362e-01    8.8972904805e-07    2.1442864794e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5375760840e-01   -7.2967411643e-02   -3.8914183521e-04    4.4366154836e-04
   1.2000000    2.2044142487e-01    9.2192726979e-07    2.0747823362e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5359802649e-01   -7.2967410176e-02   -4.0041157940e-04    4.3884699238e-04
   1.2800000    2.2048904111e-01    9.5390867662e-07    1.9969628391e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5344317887e-01   -7.2967408616e-02   -4.0946292659e-04    4.3127025298e-04
   1.3600000    2.2053498305e-01    9.8566534462e-07    1.9135130094e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5329226583e-01   -7.2967407081e-02   -4.1666808695e-04    4.2159646667e-04
   1.4400000    2.2057959043e-01    1.0171874219e-06    1.8269067553e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5314426742e-01   -7.2967405588e-02   -4.2199518877e-04    4.1042536330e-04
   1.5200000    2.2062325377e-01    1.0484918502e-06    1.7391327271e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5299801402e-01   -7.2967404086e-02   -4.2574337209e-04    3.9828463069e-04
   1.6000000    2.2066622766e-01    1.0795707957e-06    1.6521228530e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5285273123e-01   -7.2967402563e-02   -4.2783469506e-04    3.8563738663e-04
   1.6800000    2.2070856568e-01    1.1104169794e-06    1.5676403523e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5270821556e-01   -7.2967401026e-02   -4.2870742477e-04    3.7293336003e-04
   1.7600000    2.2075008313e-01    1.1410353799e-06    1.4872432951e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5256493704e-01   -7.2967399469e-02   -4.2828339670e-04    3.6057862443e-04
   1.8400000    2.2079039620e-01    1.1714488136e-06    1.4123284887e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5242392724e-01   -7.2967397899e-02   -4.2682470858e-04    3.4890946091e-04
   1.9200000    2.2082903282e-01    1.2016962506e-06    1.3439232195e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5228646634e-01   -7.2967396336e-02   -4.2423441675e-04    3.3830640693e-04
   2.0000000    2.2086557182e-01    1.2318237016e-06    1.2824983107e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5215369180e-01   -7.2967394780e-02   -4.2083781252e-04    3.2895175763e-04
   2.0800000    2.2089975548e-01    1.2618714736e-06    1.2279665715e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5202628273e-01   -7.2967393203e-02   -4.1655827218e-04    3.2106448493e-04
   2.1600000    2.2093153796e-01    1.2918632998e-06    1.1796668588e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5190432495e-01   -7.2967391598e-02   -4.1170050602e-04    3.1462516235e-04
   2.2400000    2.2096107533e-01    1.3218104389e-06    1.1368282458e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5178733760e-01   -7.2967389985e-02   -4.0595913835e-04    3.0967975034e-04
   2.3200000    2.2098867355e-01    1.3517285731e-06    1.0985780251e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5167441607e-01   -7.2967388377e-02   -3.9976300590e-04    3.0613938769e-04
   2.4000000    2.2101461583e-01    1.3815743752e-06    1.0641688635e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5156473576e-01   -7.2967386765e-02   -3.9307378283e-04    3.0392598622e-04
   2.4800000    2.2103915289e-01    1.4112984841e-06    1.0329449830e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5145756586e-01   -7.2967385136e-02   -3.8591598025e-04    3.0292303902e-04
   2.5600000    2.2106247317e-01    1.4408616857e-06    1.0043757366e-02    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5135234956e-01   -7.2967383492e-02   -3.7816043303e-04    3.0305171932e-04
   2.6400000    2.2108469276e-01    1.4702400166e-06    9.7805334848e-03    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5124873193e-01   -7.2967381837e-02   -3.7024592081e-04    3.0413824371e-04
   2.7200000    2.2110586469e-01    1.4994247460e-06    9.5366617836e-03    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5114653371e-01   -7.2967380176e-02   -3.6202029104e-04    3.0618335501e-04
   2.8000000    2.2112599788e-01    1.5284190158e-06    9.3092725343e-03    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5104569873e-01   -7.2967378509e-02   -3.5356024648e-04    3.0904759182e-04
   2.8800000    2.2114507693e-01    1.5572332396e-06    9.0968433418e-03    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5094623901e-01   -7.2967376833e-02   -3.4490839969e-04    3.1259875684e-04
   2.9600000    2.2116307770e-01    1.5858808829e-06    8.8971359029e-03    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5084819144e-01   -7.2967375144e-02   -3.3577520937e-04    3.1688759494e-04
   3.0400000    2.2117997722e-01    1.6143755088e-06    8.7095278347e-03    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5075159055e-01   -7.2967373442e-02   -3.2685804621e-04    3.2177362558e-04
   3.1200000    2.2119576036e-01    1.6427310651e-06    8.5323444778e-03    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5065644929e-01   -7.2967371731e-02   -3.1793297000e-04    3.2719886437e-04
   3.2000000    2.2121041627e-01    1.6709571134e-06    8.3649100053e-03    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5056277020e-01   -7.2967370013e-02   -3.0893604831e-04    3.3308262528e-04
   3.2800000    2.2122393891e-01    1.6990599905e-06    8.2057368687e-03    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5047054345e-01   -7.2967368287e-02   -2.9991301445e-04    3.3946249970e-04
   3.3600000    2.2123632723e-01    1.7270446768e-06    8.0552998551e-03    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5037974599e-01   -7.2967366550e-02   -2.9066672257e-04    3.4625388046e-04
   3.4400000    2.2124758349e-01    1.7549151092e-06    7.9123729805e-03    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5029034605e-01   -7.2967364800e-02   -2.8167354834e-04    3.5341391076e-04
   3.5200000    2.2125771196e-01    1.7826744708e-06    7.7766642051e-03    3.1250000000e-02    3.1250000000e-02    3.1250000000e-02   -9.5020230689e-01   -7.2967363040e-02   -2.7304888454e-04    3.6090660806e-04
