# time  x_neck  R_neck  R_neck_flat  h22_neck  alpha_neck  rate_neck  M_MS_neck  phi_neck  x_hl  R_hl  alpha_hl  M_hl  x_hk  R_hk  alpha_hk  M_hk
0.0000000000e+00  1.5937500000e+00  3.8127347297e+00  3.8127347297e+00  1.0000000000e+00  5.7110233315e-01  -0.0000000000e+00  1.9054712414e+00  -3.5335642624e-01  1.6185559234e+00  3.8131086827e+00  5.7502430025e-01  1.9051920195e+00  1.6185559234e+00  3.8131086827e+00  5.7502430025e-01  1.9051920195e+00
2.0000000000e+00  1.5937500000e+00  3.8269947424e+00  3.8252547206e+00  1.0009099616e+00  5.7989720765e-01  2.9638773654e-03  1.9136477234e+00  -3.5323058915e-01  1.5885109908e+00  3.8273879626e+00  5.7903917911e-01  1.9133316786e+00  1.6186988340e+00  3.8280208510e+00  5.8371197807e-01  1.9130054702e+00
4.0000000000e+00  1.5937500000e+00  3.8376108766e+00  3.8350348933e+00  1.0013438462e+00  5.8000797418e-01  2.0121212608e-03  1.9189076105e+00  -3.5354373948e-01  1.5868623883e+00  3.8380236706e+00  5.7889122620e-01  1.9186086054e+00  1.6087302126e+00  3.8383269349e+00  5.8231276525e-01  1.9185046765e+00
6.0000000000e+00  1.5937500000e+00  3.8460318174e+00  3.8423416163e+00  1.0019217308e+00  5.7886232792e-01  1.8605678341e-03  1.9231143327e+00  -3.5409373146e-01  1.5837379800e+00  3.8465475762e+00  5.7725250394e-01  1.9227572574e+00  1.6044168669e+00  3.8465891603e+00  5.8049667644e-01  1.9228180804e+00
8.0000000000e+00  1.5937500000e+00  3.8547109827e+00  3.8498747091e+00  1.0025140098e+00  5.7733233296e-01  2.1313465849e-03  1.9274802049e+00  -3.5493124724e-01  1.5799695535e+00  3.8553553857e+00  5.7513550545e-01  1.9270434526e+00  1.6039765099e+00  3.8552714984e+00  5.7888957824e-01  1.9271932201e+00
1.0000000000e+01  1.5937500000e+00  3.8654092762e+00  3.8591897921e+00  1.0032258044e+00  5.7551387953e-01  2.8047240810e-03  1.9329251276e+00  -3.5617119260e-01  1.5758956583e+00  3.8662259551e+00  5.7268846039e-01  1.9323765358e+00  1.6080191959e+00  3.8661899103e+00  5.7767432588e-01  1.9325378047e+00
1.2000000000e+01  1.5937500000e+00  3.8801473519e+00  3.8721008044e+00  1.0041604847e+00  5.7333881483e-01  3.9629680538e-03  1.9405323160e+00  -3.5801821359e-01  1.5717992862e+00  3.8812361607e+00  5.6988656615e-01  1.9398024113e+00  1.6180789107e+00  3.8813792700e+00  5.7700456375e-01  1.9399439606e+00
1.4000000000e+01  1.5937500000e+00  3.9015351288e+00  3.8909816411e+00  1.0054319454e+00  5.7059327111e-01  5.7531861949e-03  1.9517169086e+00  -3.6080140991e-01  1.5681333705e+00  3.9030872856e+00  5.6658324562e-01  1.9506719136e+00  1.6365921125e+00  3.9032688864e+00  5.7702540123e-01  1.9509540302e+00
1.6000000000e+01  1.5937500000e+00  3.9333694017e+00  3.9192807854e+00  1.0072023104e+00  5.6682533241e-01  8.4087510715e-03  1.9685255817e+00  -3.6503134260e-01  1.5654790437e+00  3.9356961876e+00  5.6241476619e-01  1.9669320390e+00  1.6678222964e+00  3.9359576932e+00  5.7785284896e-01  1.9675486682e+00
1.8000000000e+01  1.6562500000e+00  3.9804753401e+00  3.9604351204e+00  1.0101458158e+00  5.7068703641e-01  1.2756977570e-02  1.9949681063e+00  -3.5992529963e-01  1.5648613100e+00  3.9847634105e+00  5.5683928828e-01  1.9914135361e+00  1.7179824434e+00  3.9854227408e+00  5.7957447863e-01  1.9926751166e+00
2.0000000000e+01  1.6562500000e+00  4.0495870849e+00  4.0219206496e+00  1.0138051420e+00  5.6231532233e-01  1.8217999327e-02  2.0356794290e+00  -3.6934684832e-01  1.5681925707e+00  4.0586187342e+00  5.4901330588e-01  2.0282798350e+00  1.7968912399e+00  4.0617474455e+00  5.8209175056e-01  2.0303948250e+00
2.2000000000e+01  1.7187500000e+00  4.1513628979e+00  4.1110161946e+00  1.0197248994e+00  5.5835325019e-01  2.6326364774e-02  2.1004698756e+00  -3.7177964239e-01  1.5786717595e+00  4.1689697093e+00  5.3780453215e-01  2.0835846892e+00  1.9172269342e+00  4.1774605725e+00  5.8491258254e-01  2.0883963959e+00
2.4000000000e+01  1.7812500000e+00  4.2989118409e+00  4.2389691136e+00  1.0280319372e+00  5.4704042794e-01  3.6859892009e-02  2.2031871396e+00  -3.8061339657e-01  1.6026448298e+00  4.3316035398e+00  5.2201459485e-01  2.1651593418e+00  2.0987015182e+00  4.3542231557e+00  5.8685967771e-01  2.1769647770e+00
