# time  Re(R=10)  Im(R=10)  Re(R=14)  Im(R=14)  Re(R=18)  Im(R=18)
0.0000000000000000e+00  3.0579229279713079e-10  -8.5369172210478380e-18  4.3477292511806993e-07  4.4140553222477730e-17  -2.0006023940861869e-13  -6.4649972905263466e-17
1.0000000000000000e+00  -3.7620676914633647e-08  -9.3872913650069381e-15  2.2735981302901750e-07  -4.6090245601359658e-15  8.5085756082521852e-10  7.5627060964137185e-16
2.0000000000000000e+00  -3.6030151438062416e-08  -1.3640603796455153e-14  3.0298077549470741e-07  -2.1306205728558820e-14  3.8465077261649585e-09  2.8327845319221710e-15
2.9999999999999800e+00  6.3899081362306893e-08  -1.9748175597674695e-15  9.9546354671331233e-08  -7.1259342406045233e-15  -1.3721003403704527e-09  -3.0314125239723300e-15
3.9999999999999600e+00  2.2670068603251186e-07  -4.3301962296319648e-14  1.9861106476236660e-08  2.0222261252208529e-14  -3.9557875374650679e-08  4.6460643208373155e-15
4.9999999999999396e+00  1.2631884014242474e-07  6.9547231198127999e-15  -4.0392639283087209e-08  2.6438974434410107e-14  3.0920453286704887e-08  -7.3879491295540244e-15
5.9999999999999201e+00  3.8067805680816391e-07  1.9330692340490169e-15  8.0004443389096693e-09  -3.4963302231847516e-14  -3.9177444278915049e-08  1.2927255201373139e-15
6.9999999999998996e+00  -2.3033631283560761e-07  3.5428710630765328e-14  2.5543852769492533e-07  -1.7212508094601575e-14  4.3387762061686771e-08  -9.8629684652386490e-15
7.9999999999998703e+00  3.8042379798003467e-07  -6.2556170394087805e-14  1.0132897432238735e-07  4.0140731503287799e-14  -1.4457034550092037e-07  -9.6236008338668931e-15
8.9999999999998508e+00  -1.5693498189312221e-07  -1.3371341488845796e-15  1.3860949772719321e-07  -3.8111811048692998e-14  -3.5007714404795121e-07  1.5393451784770985e-14
9.9999999999998295e+00  2.5962619871479297e-07  5.2853961047104093e-14  2.4646272758945557e-07  6.6064826324876953e-16  6.5255213561898449e-07  2.0516738785750614e-14
1.0999999999999799e+01  1.5275849276061762e-07  -5.3253952793106462e-15  1.2956933544962518e-06  4.2364900615925464e-14  3.4116296073824153e-07  3.0266542020562699e-14
1.1999999999999799e+01  -3.6926020973394820e-07  1.9712988006759431e-14  1.9919921912007162e-06  8.2025831024198294e-14  1.7441704463309018e-07  -1.3089016724375172e-14
1.2999999999999799e+01  1.9030720253221598e-06  -3.4861742619418699e-14  -1.4238311899378980e-06  1.1496756939917550e-14  -4.5661701987114835e-08  -4.7864134355816340e-15
1.3999999999999700e+01  -3.3426326222529822e-07  -9.9629335643620582e-14  -3.8223963768744280e-07  2.3813277586628055e-14  -3.6262321641732795e-06  -4.6228488740372102e-15
1.4999999999999700e+01  -1.1216695613557926e-06  6.4303845423622291e-14  4.9234115214542806e-07  -2.2684219921878115e-14  -2.3132266835577314e-06  4.0680420322379290e-14
1.5999999999999700e+01  2.0633553043209551e-07  4.2663325749127602e-14  2.3452843840349343e-07  -6.0861902300965333e-15  2.4294174165537991e-06  1.0526203524076847e-13
1.6999999999999901e+01  -4.4927103843827661e-07  -8.5673902616304632e-14  1.0814420405738127e-06  1.0104659634032832e-15  -9.5059079468278957e-07  3.8919143388796430e-14
1.8000000000000000e+01  6.6994046218041226e-07  -4.4098591285563171e-14  1.5722498944273739e-07  9.7903389370266829e-14  1.2715450499846725e-07  -5.4153759581683249e-14
1.9000000000000199e+01  1.3088150574122397e-06  1.7100873519551578e-13  -3.1343934257401922e-07  -1.4695107153483632e-13  -1.7492489478488212e-06  2.9935268713725693e-14
2.0000000000000298e+01  1.5186356290002915e-06  -2.4165826190280893e-14  -4.9421530962683561e-06  -1.0400444602141121e-15  -3.6506050611267893e-06  -2.3189788736799143e-13
2.1000000000000501e+01  -1.8848922556405588e-06  -1.1299267661624936e-13  3.8751721085308752e-06  -5.7983116849971085e-14  -1.8721274601350456e-06  1.2026976966955132e-13
2.2000000000000600e+01  -8.4992948692022753e-07  1.8751244435102050e-14  9.6997319525399652e-06  -3.2205177921606006e-13  -1.0749411564106855e-06  -1.6317814135228255e-14
2.3000000000000799e+01  -9.3469753531322006e-07  2.2414383273879533e-13  -4.2787903591508785e-06  -5.6855569542852909e-14  -1.5649437068477040e-06  -7.3872380674248698e-14
2.4000000000000998e+01  -1.3495684399562262e-06  2.8545567279719966e-14  -6.5833149069754480e-06  -1.5612870957410559e-13  2.2346773454841469e-06  8.3602526357421975e-14
2.5000000000001101e+01  2.1932276771522168e-06  4.2510020992547022e-13  1.1488943173948611e-05  2.8984898681175851e-13  5.2937548139825128e-06  -2.4914277629903492e-13
2.6000000000001300e+01  1.9769982028770212e-06  -6.7477050888038512e-14  6.7809217529681399e-06  2.6853195054720924e-13  2.6924291695029420e-06  -2.4005063737575603e-13
2.7000000000001400e+01  2.2296914134207688e-06  1.4222378959100146e-13  -9.2314631871570120e-06  1.5415937136405195e-13  -1.6941156844784622e-06  3.1964069958630109e-13
2.8000000000001599e+01  2.7531439098022098e-07  3.8726615575076482e-14  -3.5799453068400445e-06  4.7762035700342718e-13  7.3371363320060348e-06  -6.2746905451862900e-13
2.9000000000001702e+01  -9.7540607904221466e-06  -3.5404924387870238e-13  1.3065403029883956e-05  -2.2601944090093245e-14  -5.1805575360891927e-06  -1.7141999268340986e-13
3.0000000000001901e+01  -1.1182265127529586e-05  -2.5341750353024945e-13  1.1157412744684690e-05  -2.9319054329403526e-14  3.7363805326309646e-06  5.7668762513292675e-13
3.1000000000002000e+01  -5.7856407793996513e-06  1.9702379580736163e-13  -9.5570985761397353e-06  4.0583718491544652e-13  -1.0308863825496541e-05  -7.1212762831939780e-13
3.2000000000002203e+01  -6.5092739929156013e-07  -7.4270884661938424e-14  -6.7078756793189309e-06  -2.1890094521006925e-13  -4.6046087211209196e-06  3.0469447864912866e-12
3.3000000000001997e+01  -1.2018891820799182e-06  3.7179634115456270e-13  1.7919996257677970e-06  2.6599561833703490e-13  -3.2078173874138094e-07  -3.7224629296819913e-12
3.4000000000001798e+01  -4.9265296144926981e-06  -7.9831822068094182e-13  5.4892452212906123e-06  3.5462256616014802e-13  1.1265224147962320e-05  1.2648721880951057e-12
3.5000000000001599e+01  4.7226127070853300e-06  5.7105786573411844e-13  7.0320242618485055e-06  1.3518646154384966e-12  -1.6627008605076177e-06  -2.9832778350938590e-12
3.6000000000001400e+01  5.0446090560735180e-06  -9.0825821592388209e-13  1.8541582225665179e-05  -1.9258812360597761e-12  1.2096532868033814e-05  3.3744888852414696e-12
3.7000000000001201e+01  -4.0696466566586094e-06  -9.3951425884597401e-13  2.1854653798286212e-05  8.3467393886223638e-14  -1.5571143996708794e-05  -2.3596519648652562e-12
3.8000000000001002e+01  -1.2742913272833837e-05  -5.8294372368285550e-13  2.1732042660082519e-05  3.3230757646822503e-13  1.8379712606861728e-05  -3.8441073835749549e-12
3.9000000000000803e+01  2.0153058891727834e-06  6.4402153098871452e-13  2.5893729094039409e-05  1.7341467868163239e-12  2.5537275421354634e-06  1.1563191508676886e-12
4.0000000000000597e+01  -5.5449112747375786e-06  2.2545196468434483e-12  8.8264852210848420e-05  -4.0818492518366641e-12  -1.4347677556236752e-05  -4.6616700782070910e-12
4.1000000000000398e+01  3.4608727879373993e-07  1.3067356652682299e-12  5.1813410246752402e-05  -4.4310870914111270e-12  -1.6197907227503121e-05  6.3299417398847308e-12
4.2000000000000199e+01  -9.9359019035830118e-06  -7.2165818701140903e-13  9.5576946731597165e-05  -5.0509648096907174e-13  1.7682856603488091e-05  -1.1080121734913359e-12
4.3000000000000000e+01  -3.9525427081875536e-06  -4.1233488048518298e-13  7.9746948058591436e-05  8.4282603287999967e-13  -2.9125301386652304e-06  -5.9620837818590169e-12
4.3999999999999801e+01  -1.2796194535251627e-06  3.7782081274482260e-13  1.2383696409281627e-04  1.9453529136055116e-12  2.9521321702995176e-05  -8.5393662165233783e-14
