# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time              L2_Ham              L2_Mom
   0.0000000    7.5660232342e-04    0.0000000000e+00
   0.0500000    9.0933768434e-04    1.6264556357e-05
   0.1000000    9.0878448173e-04    2.9842848174e-05
   0.1500000    9.0794647356e-04    4.1127900265e-05
   0.2000000    9.0688605167e-04    5.0451158261e-05
   0.2500000    9.0565834707e-04    5.8092153977e-05
   0.3000000    9.0431094677e-04    6.4286745528e-05
   0.3500000    9.0288423368e-04    6.9234615098e-05
   0.4000000    9.0141219920e-04    7.3105739346e-05
   0.4500000    8.9992349535e-04    7.6045924907e-05
   0.5000000    8.9844245949e-04    7.8181716052e-05
   0.5500000    8.9698988298e-04    7.9624253007e-05
   0.6000000    8.9558337103e-04    8.0472309879e-05
   0.6500000    8.9423727039e-04    8.0814702802e-05
   0.7000000    8.9296225661e-04    8.0731789484e-05
   0.7500000    8.9176473013e-04    8.0296715515e-05
   0.8000000    8.9064624194e-04    7.9575985157e-05
   0.8500000    8.8960317637e-04    7.8629232370e-05
   0.9000000    8.8862687306e-04    7.7509436116e-05
   0.9500000    8.8770431342e-04    7.6263050872e-05
   1.0000000    8.8681938785e-04    7.4929779449e-05
   1.0500000    8.8595464070e-04    7.3542639344e-05
   1.1000000    8.8509329028e-04    7.2128312992e-05
   1.1500000    8.8422125084e-04    7.0707681706e-05
   1.2000000    8.8332884820e-04    6.9296390275e-05
   1.2500000    8.8241196459e-04    6.7905601074e-05
   1.3000000    8.8147244126e-04    6.6542947093e-05
   1.3500000    8.8051766690e-04    6.5213423847e-05
   1.4000000    8.7955941546e-04    6.3920170823e-05
   1.4500000    8.7861212485e-04    6.2665139680e-05
   1.5000000    8.7769087648e-04    6.1449691555e-05
   1.5500000    8.7680937066e-04    6.0275004995e-05
   1.6000000    8.7597817207e-04    5.9142222560e-05
   1.6500000    8.7520346505e-04    5.8052497171e-05
   1.7000000    8.7448645830e-04    5.7006931387e-05
   1.7500000    8.7382346244e-04    5.6006317916e-05
   1.8000000    8.7320659637e-04    5.5050847122e-05
   1.8500000    8.7262500529e-04    5.4139888434e-05
   1.9000000    8.7206639099e-04    5.3271748465e-05
   1.9500000    8.7151863676e-04    5.2443526026e-05
   2.0000000    8.7097132403e-04    5.1651154923e-05
   2.0500000    8.7041694919e-04    5.0889520471e-05
   2.1000000    8.6985170467e-04    5.0152706672e-05
   2.1500000    8.6927573185e-04    4.9434404158e-05
   2.2000000    8.6869282687e-04    4.8728381056e-05
   2.2500000    8.6810968197e-04    4.8028959659e-05
   2.3000000    8.6753477388e-04    4.7331441897e-05
   2.3500000    8.6697704397e-04    4.6632463790e-05
   2.4000000    8.6644457540e-04    4.5930265624e-05
   2.4500000    8.6594345488e-04    4.5224799419e-05
   2.5000000    8.6547695233e-04    4.4517670212e-05
   2.5500000    8.6504512502e-04    4.3811974035e-05
   2.6000000    8.6464488845e-04    4.3112027211e-05
   2.6500000    8.6427051153e-04    4.2422986265e-05
   2.7000000    8.6391443786e-04    4.1750443708e-05
   2.7500000    8.6356828933e-04    4.1100044082e-05
   2.8000000    8.6322390674e-04    4.0477128983e-05
   2.8500000    8.6287426749e-04    3.9886449693e-05
   2.9000000    8.6251414954e-04    3.9331966333e-05
   2.9500000    8.6214049164e-04    3.8816750753e-05
   3.0000000    8.6175242917e-04    3.8342989826e-05
   3.0500000    8.6135104909e-04    3.7912045772e-05
