# time  Re_m-2(R=10)  Im_m-2(R=10)  Re_m-1(R=10)  Im_m-1(R=10)  Re_m0(R=10)  Im_m0(R=10)  Re_m1(R=10)  Im_m1(R=10)  Re_m2(R=10)  Im_m2(R=10)  Re_m-2(R=14)  Im_m-2(R=14)  Re_m-1(R=14)  Im_m-1(R=14)  Re_m0(R=14)  Im_m0(R=14)  Re_m1(R=14)  Im_m1(R=14)  Re_m2(R=14)  Im_m2(R=14)  Re_m-2(R=18)  Im_m-2(R=18)  Re_m-1(R=18)  Im_m-1(R=18)  Re_m0(R=18)  Im_m0(R=18)  Re_m1(R=18)  Im_m1(R=18)  Re_m2(R=18)  Im_m2(R=18)
0.0000000000000000e+00  -5.8010534732806039e-17  -1.2177766308526007e-14  2.6010829417479147e-11  2.6010717456112310e-11  3.0579234842706412e-10  1.1410293092916657e-17  2.6025804748895539e-11  -2.6025685844140455e-11  -2.4755203406643710e-17  1.2159984007519578e-14  -6.9396726015230177e-17  -7.0395510009485054e-15  -1.0475863379624875e-14  -1.0733819198183615e-14  4.3475937447493938e-07  2.2225031720107162e-17  -4.9006379056798351e-14  4.8914716370094131e-14  -1.5256153655584322e-17  7.0156835316114099e-15  3.1520505786302636e-17  -6.0871312742170671e-15  5.5836173280725512e-15  5.6068391305013120e-15  -3.4944303353185643e-12  -5.9793640478348472e-18  1.0413341641321873e-14  -1.0429386950581496e-14  3.1389923043600449e-17  6.1592617427569863e-15
1.0000000000000000e+00  7.2559345994359048e-15  9.8060722032215486e-15  5.7365446125000044e-11  5.7383013297581729e-11  -3.7620677815900142e-08  -7.4340163303763189e-15  5.7202076026532584e-11  -5.7218613809522767e-11  -7.0660814818093783e-15  5.8864578967153617e-15  6.6643414809681582e-15  -6.1375211002218642e-15  -2.6010246524580634e-11  -2.6004182524896096e-11  2.2752418798873741e-07  -6.0927006927652309e-15  -2.6059527353262063e-11  2.6072890799866276e-11  9.2768295136922483e-15  3.4376938328462990e-15  -2.9842593522908880e-16  1.6536376869577887e-15  -5.1941722794450316e-14  -5.1273244986757690e-14  8.3924717657714371e-10  4.2652630466161055e-16  -6.3641231564142447e-14  6.2855569730912375e-14  2.4324619938243433e-16  3.4197104774405830e-15
2.0000000000000000e+00  3.3163403112231184e-14  2.8475155543128515e-14  -1.8062414789952371e-11  -1.8133144246576869e-11  -3.6030154993202877e-08  -1.2505281039426639e-14  -1.9440641536198766e-11  1.9462152132215122e-11  -5.7589580650260149e-14  5.6089533443380825e-15  3.5913575656713708e-15  3.1964588581512468e-14  -2.3428192546616410e-11  -2.3385747257387326e-11  3.0508545720875246e-07  -2.0730874317228884e-14  -2.3315509151484483e-11  2.3280038352005661e-11  -1.4408400499377399e-14  -1.7641137229759997e-14  2.4181478187951681e-15  1.8324726740406949e-15  5.5655430182587079e-13  5.4915262094134627e-13  3.7393722375668004e-09  2.6198955233400488e-15  5.3232431317993980e-13  -5.2929711611051627e-13  9.4772440988965952e-15  4.6986022258206629e-15
2.9999999999999800e+00  1.2735153100738522e-14  5.9056553679244655e-14  -1.1777991812868623e-11  -1.1827709621460248e-11  6.3899078438812857e-08  4.4534201924812709e-16  -1.1266349655901392e-11  1.1305951080024462e-11  -2.4954829630533945e-14  2.2987416836166454e-14  1.6423074347535944e-14  -1.4295626338085887e-14  3.3782359046842085e-11  3.3806965066386967e-11  8.4935615711403391e-08  -6.6812426547623872e-15  3.1078309933051353e-11  -3.1029764598467908e-11  -3.4726238381487842e-14  1.7513226023865635e-14  -2.7082287820018932e-15  1.1694799979616024e-14  -3.7657204359743305e-12  -3.7645358660280813e-12  1.1247039360041399e-09  4.5067829910462841e-15  -3.6849133333636771e-12  3.6749216064090660e-12  -1.2454588725555397e-14  6.6812341450253642e-15
3.9999999999999600e+00  -1.1716175336007624e-14  1.5205978492237754e-14  -1.8686261796525153e-10  -1.8675673881056899e-10  2.2670069355594519e-07  -3.0837881632740347e-14  -1.8813209998776370e-10  1.8809028862828269e-10  -5.3498945132036086e-14  1.1664230700269695e-14  5.1531851693595264e-14  -8.7753905111212742e-15  3.9162505140869681e-11  3.9130869922589688e-11  -4.0076992088917594e-08  2.0390848412568227e-14  1.9091345558597397e-11  -1.9110607509672660e-11  3.5459950429578294e-15  -8.9129108471442791e-15  -2.0037947500676432e-14  2.2927704808175540e-14  2.6949273270728106e-11  2.6941033576629816e-11  -4.6471643520285934e-08  -2.0861681420743071e-15  2.6194710917717777e-11  -2.6202287307620776e-11  1.3370662411101327e-14  -1.4983495099627659e-14
4.9999999999999396e+00  1.5860271827260905e-15  3.6106209392761626e-15  -3.1503295260353620e-10  -3.1502766926945100e-10  1.2631892052965892e-07  2.6459380503085512e-14  -3.1850589082261433e-10  3.1858835885939659e-10  -3.3364358516605160e-14  3.8475770022991927e-14  -1.5420913598590998e-14  3.2960194790987083e-14  -3.4157941265544036e-11  -3.4158754765544599e-11  1.2564768251906230e-08  2.9950865425441297e-14  -7.8884039019054715e-11  7.8844833807320343e-11  -6.3183093700027866e-14  -1.7689739427691878e-14  -3.7973766212370297e-14  -1.0626897809976012e-14  -3.3378216794485869e-11  -3.3394297371731522e-11  2.7813229337092738e-08  1.5261676801209618e-14  -3.2819612821075210e-11  3.2833747195364974e-11  -1.6744627148346584e-14  3.2288287126369824e-15
5.9999999999999201e+00  4.4841586142336446e-15  3.5658270647560492e-14  1.7453267871972352e-10  1.7454705908696876e-10  3.8021306140054327e-07  -1.5448218898032949e-14  1.5650697601444089e-10  -1.5652271986888858e-10  8.4984578073374367e-14  1.7094548528093922e-14  -3.1154911380746282e-14  5.7730756222177398e-14  -1.2894668995381643e-10  -1.2908977990501725e-10  1.5354667199181198e-08  -5.3219977203330543e-14  -1.4942344967566765e-10  1.4947853571472021e-10  6.4953550522533911e-14  2.4085211910376072e-14  -3.2313755192197139e-14  1.0011767632853847e-14  -1.6250226719232295e-11  -1.6224168875138850e-11  -2.4140532086540751e-08  1.5593769715215678e-14  -1.4056462108635350e-11  1.4026498453184489e-11  4.8050077041630367e-14  4.5750370878283346e-15
6.9999999999998996e+00  4.2205574393475337e-14  2.3290218396943962e-14  -8.8350565582513744e-10  -8.8348654251732951e-10  -2.3541338968089561e-07  -6.4617960366853486e-14  -8.5600021820651298e-10  8.5593824328756985e-10  6.1744307717434597e-14  8.7828900697379936e-14  2.4557984082288023e-14  -3.2734680737729768e-14  3.1491540261705370e-11  3.1488698788328460e-11  2.5326038076184857e-07  -3.8933673301359413e-15  5.9260669561111677e-11  -5.9221454905404488e-11  -4.3117439817295242e-14  -2.3573735750965842e-14  1.2697615837411525e-14  1.0314446114663072e-14  -1.6784448336192315e-10  -1.6781249346778126e-10  9.7600747829954365e-09  -8.4551939426014236e-15  -1.7063105188795386e-10  1.7056423035716403e-10  -4.3845132231316872e-15  -1.1378540883855640e-14
7.9999999999998703e+00  8.7657141221748724e-15  -2.1925439835530426e-14  3.2889924488182896e-09  3.2890466301614686e-09  4.3114402289301060e-07  -1.2517086110593150e-14  3.2508996967632289e-09  -3.2509972031411162e-09  1.1775329048525667e-13  -1.6933994835818233e-14  -1.7334010618339761e-14  4.7152860965624069e-15  -8.7680970962419607e-11  -8.7759741634599086e-11  1.5040318816404161e-07  7.4760077519686450e-14  -8.2408855962542627e-11  8.2277550132841051e-11  8.1070105003980241e-14  4.1628433082803832e-14  -1.7261001034346480e-14  2.0251087383756261e-14  -1.4826324927606139e-10  -1.4822422402905427e-10  -1.1242215896802510e-07  6.1957150656563667e-15  -1.5155514818727463e-10  1.5154599652981611e-10  -7.0246010563971519e-15  2.2176284866811703e-14
8.9999999999998508e+00  2.5424083622930196e-14  4.8748024566516183e-14  7.0340481723843717e-09  7.0340490496150362e-09  2.2212741684782068e-07  -3.0682335565592498e-14  7.0303286394164412e-09  -7.0303174329648756e-09  1.1312320426284999e-13  -3.0982811553250332e-14  -1.0410862108528813e-13  1.0920448752549971e-14  -2.4471791619709860e-10  -2.4477727234780849e-10  1.5996710139904650e-07  -3.6637404683944048e-14  -2.3225097449049580e-10  2.3213665577680449e-10  -2.8038788769024471e-14  3.6723698338123092e-14  2.7008506596822898e-14  3.1075468095247211e-14  9.9683371870169188e-11  9.9674700633928993e-11  -3.8445733731129167e-07  1.1378750782280834e-14  1.3817892785788053e-10  -1.3818268564360023e-10  -2.9626072434438478e-17  -6.6373869964034023e-14
