time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  2.4721844355569900e-09
1.0000000000000000e+00  -8.8169890825303726e-09  1.6561222758599799e-08
2.0000000000000000e+00  -1.3330944476584512e-07  1.8493560118686100e-08
2.9999999999999800e+00  -3.4655837526755493e-07  1.8551532927825715e-08
3.9999999999999600e+00  -5.4171604123435538e-07  1.8939351108931787e-08
4.9999999999999396e+00  -7.0248266286502419e-07  1.9328848246671352e-08
5.9999999999999201e+00  -8.7175980874865680e-07  1.9720839175658927e-08
6.9999999999998996e+00  -1.0091990076355740e-06  2.0299983729569407e-08
7.9999999999998703e+00  -1.1567235976192859e-06  2.0412506348685040e-08
8.9999999999998508e+00  -1.3057812564188885e-06  2.0583307842159733e-08
9.9999999999998295e+00  -1.4236515144050466e-06  2.0973072392183284e-08
1.0999999999999799e+01  -1.5406165135318088e-06  2.1862441217388510e-08
1.1999999999999799e+01  -1.6305158524901703e-06  2.2602621176704717e-08
1.2999999999999799e+01  -1.6893334136507032e-06  2.2825117775773457e-08
