# time  centre  cx  cy  cz  R_min  r_at_R_min  dev  log10_abs_dev  n_mots  r_mots  R_mots  M_MS_mots  theta_out_min_inside  theta_out_max_at_R_min  theta_in_max_at_R_min  n_trapped  n_anti_trapped  n_outermost
0.0000000000000000e+00  A  32.031250  32.000000  32.000000  3.9551179725e+00  1.610000  1.687054e-02  -1.7729  0  nan  nan  nan  +nan  +5.746383e-03  +3.215057e-04  0  0  0
0.0000000000000000e+00  B  31.968750  32.000000  32.000000  3.9551179725e+00  1.610000  1.687054e-02  -1.7729  0  nan  nan  nan  +nan  +5.746383e-03  +3.215057e-04  0  0  0
0.0000000000000000e+00  C  32.000000  32.000000  32.000000  3.9383191726e+00  1.610000  1.255153e-02  -1.9013  0  nan  nan  nan  +nan  +5.064807e-02  +8.339959e-02  0  0  0
1.0000000000000000e+00  A  32.031250  32.000000  32.000000  3.9482345015e+00  1.630000  1.510078e-02  -1.8210  0  nan  nan  nan  +nan  +8.472343e-04  +1.482383e-03  0  0  0
1.0000000000000000e+00  B  31.968750  32.000000  32.000000  3.9482345015e+00  1.630000  1.510078e-02  -1.8210  0  nan  nan  nan  +nan  +8.472343e-04  +1.482383e-03  0  0  0
1.0000000000000000e+00  C  32.000000  32.000000  32.000000  3.9321968670e+00  1.610000  1.097747e-02  -1.9595  0  nan  nan  nan  +nan  +4.486953e-02  +8.394710e-02  0  0  0
2.0000000000000000e+00  A  32.031250  32.000000  32.000000  3.9405044683e+00  1.650000  1.311337e-02  -1.8823  0  nan  nan  nan  +nan  +6.660979e-03  -3.291493e-03  0  0  0
2.0000000000000000e+00  B  31.968750  32.000000  32.000000  3.9405044683e+00  1.650000  1.311337e-02  -1.8823  0  nan  nan  nan  +nan  +6.660979e-03  -3.291493e-03  0  0  0
2.0000000000000000e+00  C  32.000000  32.000000  32.000000  3.9253006880e+00  1.610000  9.204445e-03  -2.0360  0  nan  nan  nan  +nan  +8.597980e-02  +4.586165e-02  0  0  0
2.9999999999999800e+00  A  32.031250  32.000000  32.000000  3.9342397720e+00  1.650000  1.150271e-02  -1.9392  0  nan  nan  nan  +nan  +6.010477e-03  -2.370745e-03  0  0  0
2.9999999999999800e+00  B  31.968750  32.000000  32.000000  3.9342397720e+00  1.650000  1.150271e-02  -1.9392  0  nan  nan  nan  +nan  +6.010477e-03  -2.370745e-03  0  0  0
2.9999999999999800e+00  C  32.000000  32.000000  32.000000  3.9196164888e+00  1.610000  7.743023e-03  -2.1111  0  nan  nan  nan  +nan  +8.672756e-02  +4.624841e-02  0  0  0
3.9999999999999600e+00  A  32.031250  32.000000  32.000000  3.9287776276e+00  1.650000  1.009837e-02  -1.9957  0  nan  nan  nan  +nan  +5.037035e-03  +1.493190e-03  0  0  0
3.9999999999999600e+00  B  31.968750  32.000000  32.000000  3.9287776276e+00  1.650000  1.009837e-02  -1.9957  0  nan  nan  nan  +nan  +5.037035e-03  +1.493190e-03  0  0  0
3.9999999999999600e+00  C  32.000000  32.000000  32.000000  3.9145236004e+00  1.610000  6.433629e-03  -2.1915  0  nan  nan  nan  +nan  +8.833085e-02  +4.614105e-02  0  0  0
4.9999999999999396e+00  A  32.031250  32.000000  32.000000  3.9235873709e+00  1.650000  8.763947e-03  -2.0573  0  nan  nan  nan  +nan  +4.130905e-03  +4.191846e-03  0  0  0
4.9999999999999396e+00  B  31.968750  32.000000  32.000000  3.9235873709e+00  1.650000  8.763947e-03  -2.0573  0  nan  nan  nan  +nan  +4.130905e-03  +4.191846e-03  0  0  0
4.9999999999999396e+00  C  32.000000  32.000000  32.000000  3.9096305166e+00  1.610000  5.175605e-03  -2.2860  0  nan  nan  nan  +nan  +9.291528e-02  +4.579666e-02  0  0  0
5.9999999999999201e+00  A  32.031250  32.000000  32.000000  3.9183268140e+00  1.650000  7.411445e-03  -2.1301  0  nan  nan  nan  +nan  +3.554701e-03  +5.490149e-03  0  0  0
5.9999999999999201e+00  B  31.968750  32.000000  32.000000  3.9183268140e+00  1.650000  7.411445e-03  -2.1301  0  nan  nan  nan  +nan  +3.554701e-03  +5.490149e-03  0  0  0
5.9999999999999201e+00  C  32.000000  32.000000  32.000000  3.9046012135e+00  1.610000  3.882559e-03  -2.4109  0  nan  nan  nan  +nan  +9.589282e-02  +4.543234e-02  0  0  0
6.9999999999998996e+00  A  32.031250  32.000000  32.000000  3.9127150298e+00  1.650000  5.968641e-03  -2.2241  0  nan  nan  nan  +nan  +3.309626e-03  +5.491730e-03  0  0  0
6.9999999999998996e+00  B  31.968750  32.000000  32.000000  3.9127150298e+00  1.650000  5.968641e-03  -2.2241  0  nan  nan  nan  +nan  +3.309626e-03  +5.491730e-03  0  0  0
6.9999999999998996e+00  C  32.000000  32.000000  32.000000  3.8991736125e+00  1.610000  2.487110e-03  -2.6043  0  nan  nan  nan  +nan  +9.741798e-02  +4.507982e-02  0  0  0
7.9999999999998703e+00  A  32.031250  32.000000  32.000000  3.9064844450e+00  1.650000  4.366743e-03  -2.3598  0  nan  nan  nan  +nan  +3.244276e-03  +4.572296e-03  0  0  0
7.9999999999998703e+00  B  31.968750  32.000000  32.000000  3.9064844450e+00  1.650000  4.366743e-03  -2.3598  0  nan  nan  nan  +nan  +3.244276e-03  +4.572296e-03  0  0  0
7.9999999999998703e+00  C  32.000000  32.000000  32.000000  3.8930867676e+00  1.610000  9.221668e-04  -3.0352  0  nan  nan  nan  +nan  +9.787270e-02  +4.468507e-02  0  0  0
