# time  Re_m-2(R=10)  Im_m-2(R=10)  Re_m-1(R=10)  Im_m-1(R=10)  Re_m0(R=10)  Im_m0(R=10)  Re_m1(R=10)  Im_m1(R=10)  Re_m2(R=10)  Im_m2(R=10)  Re_m-2(R=14)  Im_m-2(R=14)  Re_m-1(R=14)  Im_m-1(R=14)  Re_m0(R=14)  Im_m0(R=14)  Re_m1(R=14)  Im_m1(R=14)  Re_m2(R=14)  Im_m2(R=14)  Re_m-2(R=18)  Im_m-2(R=18)  Re_m-1(R=18)  Im_m-1(R=18)  Re_m0(R=18)  Im_m0(R=18)  Re_m1(R=18)  Im_m1(R=18)  Re_m2(R=18)  Im_m2(R=18)
0.0000000000000000e+00  -3.3357603376315949e-17  2.6073683724907992e-11  6.7722127925845317e-14  2.6010763793264628e-11  3.0579229279713079e-10  -8.5369172210478380e-18  8.2730645530816989e-14  -2.6025732365145085e-11  8.4686931601549637e-20  -2.6073683976915206e-11  -6.9161244351463949e-17  6.7072615871087334e-13  -8.1120803691261878e-13  -4.9158851662842257e-14  4.3477292511806993e-07  4.4140553222477730e-17  -7.9851607430519885e-13  3.6093535809098307e-14  -1.4235641943195207e-17  -6.7068635933990072e-13  -4.1883263529110528e-17  -5.8487921547387528e-14  -3.1214647641817368e-14  -1.8481330717224144e-16  -2.0006023940861869e-13  -6.4649972905263466e-17  -1.8808128325438969e-14  -1.2115329371056079e-14  -4.0437565341379592e-17  5.8549028919999816e-14
1.0000000000000000e+00  6.9357400362898437e-15  2.1911682966467020e-11  3.5678762418421994e-11  5.7382337696014917e-11  -3.7620676914633647e-08  -9.3872913650069381e-15  3.5518616207745183e-11  -5.7217797917631441e-11  -7.5220547763001587e-15  -2.1894326459417564e-11  5.4355667564308027e-15  2.3274884046968326e-11  -4.2985663216378424e-11  -2.6061502417103070e-11  2.2735981302901750e-07  -4.6090245601359658e-15  -4.2961947713760475e-11  2.6055306734625044e-11  9.8530639007889091e-15  -2.3274102539856839e-11  -3.1119982279650929e-16  -1.1979022474284620e-13  -2.6188782884712104e-14  -5.7664882156416371e-14  8.5085756082521852e-10  7.5627060964137185e-16  -2.8038342121608429e-14  5.9178967296275062e-14  1.0663049756005240e-15  1.2349803941535115e-13
2.0000000000000000e+00  3.2122911256034493e-14  1.6867010102995930e-11  -3.4805701826528135e-11  -1.8135599862794706e-11  -3.6030151438061469e-08  -1.3640603637966056e-14  -3.6182035853865288e-11  1.9465597910300725e-11  -5.9644199686251199e-14  -1.6831920514785600e-11  -3.4196765790880040e-15  1.5773123423655961e-11  -3.3447684851594511e-11  -2.3334586618868352e-11  3.0298077549470741e-07  -2.1306205728558820e-14  -3.3418746091586865e-11  2.3301608297577224e-11  -1.4976456467822673e-14  -1.5757842038584415e-11  7.2302133850535035e-15  4.9028714935293008e-13  -1.5152980808681613e-14  5.4454612112864319e-13  3.8465077261649585e-09  2.8327845319221710e-15  -2.3646543068884473e-14  -5.3488832214027486e-13  1.2125356960819757e-14  -4.8095769534513076e-13
2.9999999999999800e+00  1.6074441098389701e-14  2.1437908815503808e-11  -3.2922565771718736e-11  -1.1821433499298076e-11  6.3899071082509282e-08  1.5019845402636365e-15  -3.2412675541172848e-11  1.1300109241281695e-11  -2.2075840431434782e-14  -2.1356781113225394e-11  2.7436010011714477e-14  3.1524109821522566e-11  1.1696621843302255e-11  3.1770593813570800e-11  9.9546354671331233e-08  -7.1259342407091325e-15  1.1710617203686179e-11  -3.1710815943781502e-11  -3.3999620045476082e-14  -3.1528092972321223e-11  4.5578676961947453e-15  -2.0098532335974021e-12  1.8362804953183928e-15  -3.7009883812163651e-12  -1.3721003403704527e-09  -3.0314125239723300e-15  -8.5862053561524143e-16  3.6957614093167533e-12  -7.5185394023827483e-15  2.0296100975911163e-12
3.9999999999999600e+00  -1.0871543635997146e-14  2.1274161984958845e-11  -2.0787243027486410e-10  -1.8675517525914503e-10  2.2670069181877339e-07  -3.3286353679801071e-14  -2.0913784127284956e-10  1.8808904051774228e-10  -5.2976213124339497e-14  -2.1245145930012042e-11  3.9568465857706798e-14  2.2787762052389743e-11  1.3187793577854129e-11  2.4093462205835969e-11  1.9861106476099070e-08  2.0223335877188159e-14  1.3168390022520450e-11  -2.4121642079983810e-11  5.9447825108598835e-15  -2.2799735008255424e-11  -3.4325473426864492e-14  3.4409286763610783e-11  1.9465057704521916e-14  2.6370243071495366e-11  -3.9557875374650679e-08  4.6460643208373155e-15  9.5264366259315154e-15  -2.6365913373078129e-11  -1.5792120648430198e-16  -3.4396824603333797e-11
4.9999999999999396e+00  5.5475886794744649e-15  2.1197306052996173e-11  -3.3586704363260884e-10  -3.1502062741361553e-10  1.2631891281910646e-07  2.5633070958265392e-14  -3.3933864859631345e-10  3.1858268392057761e-10  -3.0793956253871647e-14  -2.1154546206380445e-11  -1.1770959629785811e-14  2.9451330607843280e-11  -8.2314032841494210e-11  -6.7718575872926167e-11  -4.0392636256834438e-08  2.8479167755335138e-14  -8.2273645961899507e-11  6.7672654075057494e-11  -5.8852623397918175e-14  -2.9450521998344660e-11  -4.3602785376090764e-14  -5.6488797372120531e-11  -3.7545065925856914e-14  -3.2977367830529877e-11  3.0920453286705866e-08  -7.3879494251870829e-15  -1.3876142395035855e-14  3.2969736680494445e-11  -7.6431619486244015e-15  5.6468980928005909e-11
5.9999999999999201e+00  1.2914112882887382e-15  2.6522775451341587e-11  1.4847389840526333e-10  1.7455728611701407e-10  3.8021306291924577e-07  -1.7361020879255612e-14  1.3044517189219123e-10  -1.5652328029516420e-10  8.2080119881055773e-14  -2.6467103318700823e-11  9.8501608431402389e-15  2.9750784703918042e-11  -1.6118845505771524e-10  -1.4435863068148780e-10  8.0004229109876118e-09  -2.4926909541018046e-14  -1.6122331803646714e-10  1.4435468696534521e-10  3.6746087239943756e-14  -2.9699628962992661e-11  -2.0086020734439578e-14  -1.5094199454149024e-11  -2.8095583799371368e-12  -1.4589746606728488e-11  -3.9177444241322549e-08  1.3361372252353434e-15  -2.7661865588957830e-12  1.4596732847823241e-11  1.8301758416865203e-14  1.5106787672012613e-11
6.9999999999998996e+00  2.5497229869381313e-15  -2.1624247949202888e-10  -6.7163455292704766e-10  -8.8346929473177419e-10  -2.3541345428644367e-07  -6.9901228879447826e-14  -6.4412087899163792e-10  8.5595157113418279e-10  1.0031516095224761e-13  2.1633921492664843e-10  3.9962757095527974e-15  1.0315698601917119e-10  -1.4907775077934400e-11  5.2328171474641062e-11  2.5543851587439436e-07  -3.1684127118086917e-14  -1.4958376944622849e-11  -5.2280697307747107e-11  -6.0329309298175915e-14  -1.0314905854055905e-10  1.6044512366846608e-14  -2.3640977810707122e-10  -9.1971562989258149e-12  -1.6992496730151503e-10  4.3387766956511800e-08  -1.2712175512382951e-14  -9.1904088975392714e-12  1.6989791258981892e-10  2.1629753122158168e-14  2.3643053755979259e-10
7.9999999999998703e+00  3.2811432254162914e-14  6.7300703559972286e-10  2.6371421706600713e-09  3.2890570867599781e-09  4.3114405677277858e-07  -1.5884781439213791e-14  2.5990162928505333e-09  -3.2510218546225772e-09  1.1559685175666796e-13  -6.7303239969078814e-10  -2.8348525317619225e-14  -2.0692431194880510e-10  8.1571863733974423e-11  -8.3691234200142707e-11  1.0132897389696694e-07  4.3609297239333227e-14  8.1556381069785001e-11  8.3623503711295456e-11  6.7468660400951218e-14  2.0696862235785390e-10  -1.2375906490637651e-14  -1.7986273492258421e-10  -3.8689684644779787e-11  -1.5078705080377421e-10  -1.4457036347750553e-07  -2.0869051550830714e-14  -3.8698030194127276e-11  1.5080006695697720e-10  -5.7204105190279446e-14  1.7989924622429399e-10
8.9999999999998508e+00  2.0128372888782279e-14  4.7668521448289623e-10  6.5607938340140568e-09  7.0340578459037716e-09  2.2212735431548285e-07  -1.5080346036708460e-14  6.5570112680741758e-09  -7.0303227099283025e-09  1.1288722824098973e-13  -4.7663872942206674e-10  -2.4243126278319267e-14  -3.2568659395156627e-10  2.3821920506286190e-11  -2.3531485500102793e-10  1.3359124056044927e-07  -2.2191704111067148e-14  2.3777335118556537e-11  2.3524810122907743e-10  -8.2728020820682697e-15  3.2574565630667154e-10  -2.3171596521241320e-14  1.1554037542197060e-10  5.9947355479806284e-11  1.2981698526118332e-10  -3.5007712960747655e-07  7.4136559241515807e-15  5.9936877949020532e-11  -1.2984603598261047e-10  1.6023091248794442e-14  -1.1556091064626195e-10
