time  net_outward_flux  psi4_boundary_amp
2.6000000000001300e+01  1.5189130873436801e-07  3.1735696629855739e-06
2.7000000000001400e+01  -8.7598082592102717e-06  2.1895246832520455e-06
2.8000000000001599e+01  9.2065603447394519e-05  1.9243618878742397e-06
2.9000000000001702e+01  2.3145590131178477e-04  1.2434200705970511e-06
3.0000000000001901e+01  3.5857485164909192e-04  6.8376992843111255e-07
3.1000000000002000e+01  4.6235280106724224e-04  1.1266130837485095e-06
3.2000000000002203e+01  6.4503659220701550e-04  1.0398884133013762e-06
3.3000000000001997e+01  7.7262389028646852e-04  1.7587915667039353e-06
3.4000000000001798e+01  9.3784414736757644e-04  2.4651775980156959e-06
3.5000000000001599e+01  1.0683642289753259e-03  3.0484233237040257e-06
3.6000000000001400e+01  1.1005832047094586e-03  4.4189611206250586e-06
3.7000000000001201e+01  1.1899398871325296e-03  4.4826143145593460e-06
3.8000000000001002e+01  1.2176141279979795e-03  4.4850159706347677e-06
3.9000000000000803e+01  1.1877208732465109e-03  3.2580082113571440e-06
4.0000000000000597e+01  1.1813417279443121e-03  4.9138978979461265e-06
4.1000000000000398e+01  1.1632651706076427e-03  4.8101275859338237e-06
4.2000000000000199e+01  1.0934556381143848e-03  5.5857118075154169e-06
4.3000000000000000e+01  1.0212574387464890e-03  4.3441636483133134e-06
4.3999999999999801e+01  9.3856478389485855e-04  7.5767163434736662e-06
4.4999999999999602e+01  7.9216311848951217e-04  5.7751484521528606e-06
4.5999999999999403e+01  5.9793965649472384e-04  7.7097323928390842e-06
4.6999999999999197e+01  4.0339848601976281e-04  6.4296520909501330e-06
4.7999999999998998e+01  1.9704917238279546e-04  1.0183932753299023e-05
4.8999999999998799e+01  -3.4879118150022768e-05  7.7612931358491538e-06
4.9999999999998600e+01  -2.3614059636575005e-04  8.6676011522776953e-06
5.0999999999998401e+01  -3.6406212979680510e-04  6.5538281492534104e-06
