# time  Re(R=10)  Im(R=10)  Re(R=14)  Im(R=14)  Re(R=18)  Im(R=18)
0.0000000000000000e+00  3.0579229279713079e-10  -8.5369172210478380e-18  4.3477292511806993e-07  4.4140553222477730e-17  -2.0006023940861869e-13  -6.4649972905263466e-17
1.0000000000000000e+00  -3.7620676914633647e-08  -9.3872913640214300e-15  2.2735981302901750e-07  -4.6090245601359658e-15  8.5085756082521852e-10  7.5627060964137185e-16
2.0000000000000000e+00  -3.6030151438027820e-08  -1.3640659729131860e-14  3.0298077549470741e-07  -2.1306205728558820e-14  3.8465077261649585e-09  2.8327845319221710e-15
2.9999999999999800e+00  6.3899072368947943e-08  1.9504883826633942e-15  9.9546354671331921e-08  -7.1259331533141802e-15  -1.3721003403704527e-09  -3.0314125239723300e-15
3.9999999999999600e+00  2.2670069164621589e-07  -4.3560999201988450e-14  1.9861106432206783e-08  2.0170907829669928e-14  -3.9557875374651327e-08  4.6460643243924150e-15
4.9999999999999396e+00  1.2614260484971234e-07  -2.6305608922333999e-14  -4.0392631751373898e-08  2.6441579561901747e-14  3.0920453286701075e-08  -7.3879493265857806e-15
5.9999999999999201e+00  3.6260238683078591e-07  1.9566894973300071e-14  8.0004019225795388e-09  -3.0087090130752529e-14  -3.9177444195159941e-08  1.3166436754522857e-15
6.9999999999998996e+00  -2.0293073733553937e-07  9.5804610056932858e-15  2.5543853162511723e-07  3.6930003602570209e-15  4.3387770771486638e-08  -1.4003135348186102e-14
7.9999999999998703e+00  4.5179278871539820e-07  5.0871927687898424e-14  1.0130246048578841e-07  5.2048963825080911e-14  -1.4457036599111315e-07  -2.5566123019165012e-14
8.9999999999998508e+00  1.9024878387491905e-07  8.6281845413497336e-15  1.5361678955707948e-07  3.8470352402731616e-14  -3.5007715109071766e-07  -7.2157290378825636e-15
9.9999999999998295e+00  8.6347700351103995e-09  -1.1381630827526621e-14  9.1996256201866968e-07  2.5627525445586149e-14  6.5255211042265285e-07  5.3956152088398506e-17
1.0999999999999799e+01  4.3828537528891054e-07  1.7056220126742739e-14  3.2216293828544109e-07  6.3756497082318826e-14  3.4115052832593051e-07  1.8573755670803872e-14
1.1999999999999799e+01  -4.9919196224249546e-07  7.9152541186989935e-14  -6.7500376206180724e-07  9.0540005671070849e-14  1.7015197349182193e-07  1.2373716682881105e-14
1.2999999999999799e+01  1.0878417867505895e-06  -4.7850995705604017e-14  2.0523280059337552e-06  -7.6396695205782814e-15  -6.1391825560593363e-08  -2.1331967376394292e-14
1.3999999999999700e+01  -1.1650142615882835e-06  5.7857100480880985e-14  1.2122050407942485e-06  9.6701967624978940e-14  9.2546172185938568e-07  7.0318500995452888e-15
1.4999999999999700e+01  8.7421078622952601e-07  3.4605605513567400e-14  2.5082352216526733e-08  4.6508182585737888e-15  1.6204109351637303e-06  -1.4579155200455873e-14
1.5999999999999700e+01  7.7984200316864123e-07  2.0942454669650956e-14  1.0149990340063584e-06  -4.0965575863072341e-15  -3.5138458854449778e-06  6.0129273302659768e-14
1.6999999999999901e+01  -4.7185872243196305e-07  2.6153037539208665e-14  -6.1888406000104974e-09  -4.0982129156748689e-14  -1.6826024877985897e-06  1.1229113693532803e-14
1.8000000000000000e+01  -1.0534831636775865e-06  -3.2443722141489925e-14  2.2486916381992998e-06  9.6915092446985911e-14  2.3468361269892583e-06  -8.4059043029119771e-15
1.9000000000000199e+01  1.1355102466045599e-06  3.0572835529132696e-16  -1.6862984161561436e-06  -4.5508036779740108e-14  -2.6888449344352129e-06  -2.4701660982873043e-14
2.0000000000000298e+01  -2.8552990256142969e-08  -4.2753124969309682e-14  -3.2874195970664255e-06  1.3050746503736579e-13  -2.1350783942906338e-07  -9.5137841330424516e-14
2.1000000000000501e+01  4.7726575354946216e-07  3.0814606777837742e-14  2.0087518469844477e-06  -7.6976805099052409e-14  -4.7291484617227475e-06  1.7004799780909555e-13
2.2000000000000600e+01  1.9112622439030720e-06  -2.8381475518437841e-13  5.6412333787446902e-06  -1.1591156790568039e-13  -3.1091131584769678e-07  -1.3482151298486000e-13
2.3000000000000799e+01  1.3424732865147692e-06  1.8530245845970116e-13  -2.5153865903161241e-06  -2.2287674931487645e-13  -1.0921825715918123e-07  3.7221834602799872e-14
2.4000000000000998e+01  -5.6130899283798127e-07  2.5380284714889141e-13  -8.2171826858828799e-06  1.5268072944704225e-13  -2.9598228777724592e-07  -4.4862131821941363e-14
2.5000000000001101e+01  -3.8708782802989387e-07  9.9976033664768486e-14  8.9894070486160238e-07  2.1613039843361965e-14  2.3630817848983842e-06  -1.3234640742277094e-13
2.6000000000001300e+01  -3.7748467469910059e-06  4.8535629654021465e-14  3.1176413153170640e-06  6.0290905700677612e-14  8.3353592936608842e-06  -1.6707512405456017e-13
2.7000000000001400e+01  1.8790428170526475e-06  1.8752618008834249e-13  -1.4967730477745381e-05  2.8649470475153447e-13  3.6392291039639197e-06  3.8734786730795655e-13
2.8000000000001599e+01  -1.1014632555243826e-06  1.9387137545355130e-13  -6.1404389761101351e-06  4.4366909042150917e-13  -6.3237342831708237e-07  -5.2973257039203074e-13
2.9000000000001702e+01  9.4764681332948278e-06  1.3821856001327311e-14  -5.4099348425809524e-07  2.6218672539212465e-13  3.0849220642618017e-06  -1.3314215936885119e-13
3.0000000000001901e+01  9.3618106325045821e-06  -2.0171524528091820e-13  -6.5216520231288567e-07  8.9663598436878232e-13  4.6867838724196063e-06  4.7484925025899691e-13
