# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.2393622952653234e-13  4.6093931634654613e-25  2.4226496049634760e-12  1.0000000000096907e+00  4.2980235303860015e-01
1.0000000000000000e+00  2.9482325360559386e-14  3.2419997857681086e-20  4.3940869035457345e-06  1.0000175763476142e+00  1.0881223873964352e-01
2.0000000000000000e+00  4.6127169236317610e-14  1.3412909467402491e-19  2.9296798965926626e-04  1.0011718719586371e+00  7.3732966491177310e-01
2.9999999999999800e+00  4.9562123778257665e-15  1.7946095565576173e-19  6.0625840416383116e-02  1.2425033616655325e+00  9.2876434200942226e-01
3.9999999999999600e+00  2.0174748935428543e-16  1.4088616942966013e-19  1.5547718844741081e-02  1.0621908753789644e+00  5.1035239387184483e-01
4.9999999999999396e+00  9.8904166197770988e-16  1.3651535899670089e-19  3.9201882652780968e-04  1.0015680753061111e+00  6.2910058668033874e-03
5.9999999999999201e+00  1.5495103229751404e-16  1.1350747102483146e-19  4.7197597544032294e-04  1.0018879039017612e+00  6.1509769627010946e-01
6.9999999999998996e+00  3.2787140491812033e-14  1.0278802918622859e-19  2.8331634123775001e-04  1.0011332653649510e+00  7.3711733237506560e-01
7.9999999999998703e+00  6.3902869711337553e-15  1.1028581410840377e-19  3.0962338671718138e-05  1.0001238493546869e+00  2.9835463574498778e-02
8.9999999999998508e+00  1.4042997542163640e-14  1.4875182924705442e-19  1.7054019739044597e-05  1.0000682160789562e+00  8.3230205675320620e-02
9.9999999999998295e+00  2.0471637214210248e-13  4.6359781572251192e-20  4.0078472319457444e-06  1.0000160313889277e+00  6.3733712379477725e-01
1.0999999999999799e+01  2.1772416216176518e-13  1.4232540198994389e-17  3.5818067722470300e-05  1.0001432722708898e+00  6.5458458183374146e-01
1.1999999999999799e+01  7.2717984033280895e-14  2.4405033918292769e-18  1.8118945161681534e-05  1.0000724757806467e+00  3.1347604038586763e-01
1.2999999999999799e+01  7.6232439105642059e-14  1.8270512689456018e-19  1.3608707351169767e-06  1.0000054434829404e+00  4.4995428463338200e-01
1.3999999999999700e+01  8.9957103719388526e-14  7.0774848266208521e-21  5.7831522010716023e-07  1.0000023132608804e+00  3.3129765515546711e-01
1.4999999999999700e+01  1.7226152123422594e-14  3.7410844778297246e-19  1.8103334252566305e-05  1.0000724133370102e+00  2.3482561784531680e-01
1.5999999999999700e+01  2.3855937525434364e-13  9.3113188548686153e-19  5.7961554222336616e-06  1.0000231846216889e+00  5.0921352911042173e-01
1.6999999999999901e+01  1.1089161563084539e-13  8.5865862410057789e-19  9.4446860845319260e-06  1.0000377787443382e+00  3.9043638347381027e-01
1.8000000000000000e+01  8.2190006857421837e-13  6.4077665908716156e-18  1.2261123863237516e-05  1.0000490444954528e+00  8.1582782742842896e-01
1.9000000000000199e+01  7.9537160752141415e-13  9.9351188312047963e-18  1.4551943183863476e-05  1.0000582077727354e+00  6.6401406237424243e-01
2.0000000000000298e+01  7.6108254483362667e-12  2.5338650478072325e-18  2.2247889222049200e-05  1.0000889915568882e+00  8.9973254656297763e-01
