# time  R_neck(min R over r>2, +x ray)  r_at_neck  step
155.0000  10.325642  20.2531  15500
156.0000  10.343014  20.2531  15600
157.0000  10.346751  20.7530  15700
158.0000  10.352969  20.7530  15800
159.0000  10.365447  21.2529  15900
160.0000  10.358803  21.2529  16000
161.0000  10.367032  21.2529  16100
162.0000  10.353502  21.7529  16200
163.0000  10.346002  21.7529  16300
164.0000  10.321255  22.2528  16400
165.0000  10.290320  22.2528  16500
166.0000  10.238598  22.7527  16600
167.0000  10.188965  22.7527  16700
168.0000  10.152743  23.2527  16800
169.0000  10.111538  23.2527  16900
170.0000  10.091752  23.2527  17000
171.0000  10.068245  23.7526  17100
172.0000  10.049626  23.7526  17200
173.0000  10.047260  24.2526  17300
174.0000  10.024945  24.2526  17400
175.0000  10.023529  24.2526  17500
176.0000  10.012439  24.7525  17600
177.0000  10.005929  24.7525  17700
178.0000  9.998146  25.2525  17800
179.0000  9.984042  25.2525  17900
180.0000  9.979435  25.7524  18000
181.0000  9.963546  25.7524  18100
182.0000  9.962309  26.2524  18200
183.0000  9.941261  26.2524  18300
184.0000  9.936388  26.2524  18400
185.0000  9.908191  26.7523  18500
186.0000  9.898883  26.7523  18600
187.0000  9.870859  27.2523  18700
188.0000  9.858489  27.2523  18800
189.0000  9.829033  27.7523  18900
190.0000  9.812379  27.7523  19000
191.0000  9.781610  28.2522  19100
192.0000  9.761285  28.2522  19200
193.0000  9.732241  28.7522  19300
194.0000  9.708473  28.7522  19400
195.0000  9.681541  29.2521  19500
