# time  Re(R=10)  Im(R=10)  Re(R=14)  Im(R=14)  Re(R=18)  Im(R=18)
0.0000000000000000e+00  3.0579234842706412e-10  1.1410293092916657e-17  4.3475937447493938e-07  2.2225031720107162e-17  -3.4944303353185643e-12  -5.9793640478348472e-18
1.0000000000000000e+00  -3.7620677815900142e-08  -7.4340163303763189e-15  2.2752418798873741e-07  -6.0927006927652309e-15  8.3924717657714371e-10  4.2652630466161055e-16
2.0000000000000000e+00  -3.6030154993203823e-08  -1.2505281048949263e-14  3.0508545720875246e-07  -2.0730874317228884e-14  3.7393722375668004e-09  2.6198955233400488e-15
2.9999999999999800e+00  6.3899081570826618e-08  -1.7780820843569548e-15  8.4935615711403391e-08  -6.6812426547839452e-15  1.1247039360041399e-09  4.5067829910462841e-15
3.9999999999999600e+00  2.2670068387278971e-07  -2.1001871970946344e-14  -4.0076992090773900e-08  2.0390958446002524e-14  -4.6471643520285934e-08  -2.0861681420743071e-15
4.9999999999999396e+00  1.2631896827015057e-07  9.2671077343494600e-15  1.2564769586422707e-08  2.9241020706043349e-14  2.7813229337092527e-08  1.5261677175470957e-14
5.9999999999999201e+00  3.8044554630279198e-07  1.6401212284438457e-14  1.5354652646068017e-08  -6.5014004958410089e-14  -2.4140532118623378e-08  1.5590740502424440e-14
6.9999999999998996e+00  -2.3282072760289347e-07  -3.6190819318866091e-15  2.5326033599579520e-07  2.5484830383317309e-14  9.7600729525181581e-09  -5.8167974519325032e-15
7.9999999999998703e+00  4.0810944618555731e-07  -6.1920117584309248e-14  1.5040323554033413e-07  6.6159864856255619e-14  -1.1242216546892055e-07  2.5229282674867626e-15
8.9999999999998508e+00  1.9305913346023874e-08  -2.0580776039413969e-14  1.6286950199863021e-07  -8.4297620197021120e-14  -3.8445733378655183e-07  2.5225961818530278e-14
9.9999999999998295e+00  9.8596759635624421e-08  -4.1127523610637103e-14  5.2242977522389736e-07  3.5635409803854797e-14  6.2971069487039075e-07  -3.4983577071866982e-14
1.0999999999999799e+01  3.2177989303698638e-07  -3.5957126799425083e-14  7.2470976341242878e-07  7.6616277618248531e-14  2.8216613710214911e-07  2.4722015050835428e-14
1.1999999999999799e+01  -4.5909890036886819e-07  -3.5021891111791037e-14  4.7180704721443938e-07  6.9927406031042559e-14  3.7787629642809506e-07  4.4706511570524606e-15
1.2999999999999799e+01  1.3673387615101365e-06  -9.7916459471884591e-15  2.8670113360084327e-07  1.3332473466197854e-14  -1.8220420221991502e-09  -2.4188521627319014e-14
1.3999999999999700e+01  -6.4597724532426769e-07  -2.3708404134634516e-14  1.3278839329728192e-07  1.6345354728186131e-13  -1.5475554871285347e-06  2.9552918359554586e-14
1.4999999999999700e+01  8.2769511667639858e-08  4.3526523193710607e-15  2.6043832149665011e-07  4.2887682236731120e-14  -5.2754113737629531e-07  1.4606271539938645e-14
1.5999999999999700e+01  4.3653415809633518e-07  -7.0525741130971667e-14  7.3393665217887425e-07  -5.1099878227184697e-14  -8.3830861821005550e-07  9.7528380662375229e-14
1.6999999999999901e+01  -5.8044496978617506e-07  -6.2500383931089067e-14  4.4854409018048364e-07  6.9076615422678140e-14  -1.0682817505488361e-06  8.5556651308027080e-14
1.8000000000000000e+01  -1.2131972355227044e-07  7.0005174199334770e-14  9.7320219465179352e-07  4.6650830869739189e-14  2.0066824900618258e-06  1.4208735824346725e-14
1.9000000000000199e+01  1.1131705205918079e-06  -8.7684289839790765e-15  -7.2032711019236096e-07  9.6118051416401834e-14  -2.5578074128246608e-06  -8.0608654909113043e-14
2.0000000000000298e+01  1.1535886699196552e-06  -1.4271335617046916e-13  -3.8475841805174296e-06  5.0390876260686376e-14  -2.4059025375184899e-06  4.2522592875198126e-14
2.1000000000000501e+01  -7.6290371517245724e-07  -1.2989908941594696e-13  3.1513027305621958e-06  1.3171268569080586e-13  -4.0661914996557398e-06  1.7021422531623579e-13
2.2000000000000600e+01  8.6222120335111879e-07  -1.1708298796518938e-13  7.1478157782571811e-06  -5.4062512889100395e-14  -1.5766199188911984e-07  -9.9595607127642959e-14
2.3000000000000799e+01  1.6481592210370451e-07  1.9784442947606819e-13  -4.4571398418700096e-06  -2.8602309484600805e-13  6.0670101917531395e-07  -4.8033919396048807e-13
2.4000000000000998e+01  -1.3936596480705668e-06  7.7732118838911136e-14  -6.9828086170305259e-06  4.0146863071449110e-13  1.9642564252642131e-06  3.9753304030298962e-13
2.5000000000001101e+01  8.8179697683391602e-07  5.2448072666064204e-14  7.6530502447542151e-06  9.7442723953232060e-14  3.4767562358505719e-06  -2.8535301259961555e-13
2.6000000000001300e+01  -2.6542172054564571e-06  -2.4419930236719372e-14  4.9320833990396007e-06  -2.4104236599199355e-13  3.9061181376931082e-06  3.6862295837596882e-13
2.7000000000001400e+01  1.9554682694290914e-06  1.5236312837883424e-13  -1.2762299875502677e-05  3.2443621693619317e-13  -2.9716792591827869e-07  4.5196704130659556e-13
2.8000000000001599e+01  -3.6466438690244548e-06  -1.1167997324755827e-13  -5.7194186915078165e-06  2.9946735008097779e-13  1.7780641092848910e-06  -2.4820045415207777e-13
2.9000000000001702e+01  7.2706461382746968e-06  -4.1731959539341446e-13  5.7820693221296557e-06  -3.9910544319767478e-13  8.0428673792105191e-07  -3.4643177767377367e-13
3.0000000000001901e+01  2.8570174343485552e-06  3.1077083377577235e-13  5.7647670594964514e-06  -4.1286395367651508e-14  7.2022416799798726e-06  1.7844891922896382e-12
3.1000000000002000e+01  -3.3996114122017132e-06  5.2050544522508817e-13  4.1330248072765225e-07  -5.2795074359280884e-13  -2.6579923941040465e-06  -1.9860975131707271e-12
3.2000000000002203e+01  -5.6974687669120847e-06  -1.0375909150361741e-12  1.3526863604308883e-06  3.1449181373535228e-14  -9.2320790883731481e-06  9.7897450598224005e-13
3.3000000000001997e+01  3.1784763549155699e-06  -1.4297282116596754e-12  8.3044954637184169e-06  -2.3303650367811436e-12  -9.5548652563760411e-06  -7.6178329024595639e-13
3.4000000000001798e+01  -1.4773603452080373e-06  1.1156531026039074e-12  5.4391414823984702e-06  -5.2617042100816289e-13  3.7648464369922964e-06  -1.9847332315233729e-12
3.5000000000001599e+01  -1.3216253701766040e-05  8.0846030460275902e-13  -1.6600221024331071e-06  8.3388610697774018e-13  1.6625936947198607e-06  7.6165363266536193e-13
3.6000000000001400e+01  -2.7119003879684514e-06  5.3955892622299336e-13  -4.6886508706447475e-06  -5.2657700190509908e-13  -1.4730601293536415e-05  -2.6093437436419526e-13
3.7000000000001201e+01  -1.8293560201172860e-05  -1.1947596099950356e-12  1.0532420047584333e-06  -3.8328259495395060e-12  -1.4598644495907534e-05  -6.2729080973520598e-12
3.8000000000001002e+01  -3.4700197110560428e-05  1.4376158035206847e-12  3.9793221734026068e-05  7.5665747672005088e-13  -2.4408925137419377e-05  2.7909229174365901e-12
