# time  Re_m-2(R=10)  Im_m-2(R=10)  Re_m-1(R=10)  Im_m-1(R=10)  Re_m0(R=10)  Im_m0(R=10)  Re_m1(R=10)  Im_m1(R=10)  Re_m2(R=10)  Im_m2(R=10)  Re_m-2(R=14)  Im_m-2(R=14)  Re_m-1(R=14)  Im_m-1(R=14)  Re_m0(R=14)  Im_m0(R=14)  Re_m1(R=14)  Im_m1(R=14)  Re_m2(R=14)  Im_m2(R=14)  Re_m-2(R=18)  Im_m-2(R=18)  Re_m-1(R=18)  Im_m-1(R=18)  Re_m0(R=18)  Im_m0(R=18)  Re_m1(R=18)  Im_m1(R=18)  Re_m2(R=18)  Im_m2(R=18)
0.0000000000000000e+00  -3.3357603376315949e-17  2.6073683724907992e-11  6.7722127925845317e-14  2.6010763793264628e-11  3.0579229279713079e-10  -8.5369172210478380e-18  8.2730645530816989e-14  -2.6025732365145085e-11  8.4686931601549637e-20  -2.6073683976915206e-11  -6.9161244351463949e-17  6.7072615871087334e-13  -8.1120803691261878e-13  -4.9158851662842257e-14  4.3477292511806993e-07  4.4140553222477730e-17  -7.9851607430519885e-13  3.6093535809098307e-14  -1.4235641943195207e-17  -6.7068635933990072e-13  -4.1883263529110528e-17  -5.8487921547387528e-14  -3.1214647641817368e-14  -1.8481330717224144e-16  -2.0006023940861869e-13  -6.4649972905263466e-17  -1.8808128325438969e-14  -1.2115329371056079e-14  -4.0437565341379592e-17  5.8549028919999816e-14
1.0000000000000000e+00  6.9357400362898437e-15  2.1911682966467020e-11  3.5678762418421994e-11  5.7382337696014917e-11  -3.7620676914633647e-08  -9.3872913650069381e-15  3.5518616207745183e-11  -5.7217797917631441e-11  -7.5220547763001587e-15  -2.1894326459417564e-11  5.4355667564308027e-15  2.3274884046968326e-11  -4.2985663216378424e-11  -2.6061502417103070e-11  2.2735981302901750e-07  -4.6090245601359658e-15  -4.2961947713760475e-11  2.6055306734625044e-11  9.8530639007889091e-15  -2.3274102539856839e-11  -3.1119982279650929e-16  -1.1979022474284620e-13  -2.6188782884712104e-14  -5.7664882156416371e-14  8.5085756082521852e-10  7.5627060964137185e-16  -2.8038342121608429e-14  5.9178967296275062e-14  1.0663049756005240e-15  1.2349803941535115e-13
2.0000000000000000e+00  3.2122910672128657e-14  1.6867010103203469e-11  -3.4805701825524869e-11  -1.8135599862905730e-11  -3.6030151438062416e-08  -1.3640603633200074e-14  -3.6182035853260347e-11  1.9465597910372186e-11  -5.9644199929786634e-14  -1.6831920514841396e-11  -3.4196765790880040e-15  1.5773123423655961e-11  -3.3447684851594511e-11  -2.3334586618868352e-11  3.0298077549470741e-07  -2.1306205728558820e-14  -3.3418746091586865e-11  2.3301608297577224e-11  -1.4976456467822673e-14  -1.5757842038584415e-11  7.2302133850535035e-15  4.9028714935293008e-13  -1.5152980808681613e-14  5.4454612112864319e-13  3.8465077261649585e-09  2.8327845319221710e-15  -2.3646543068884473e-14  -5.3488832214027486e-13  1.2125356960819757e-14  -4.8095769534513076e-13
2.9999999999999800e+00  1.7916479936286706e-14  2.1438811902210176e-11  -3.2923335772161593e-11  -1.1824426119906097e-11  6.3899073819979624e-08  -1.0931500953642202e-15  -3.2414542021708650e-11  1.1301420232383677e-11  -1.9972723906338703e-14  -2.1359676879596099e-11  2.7436010011709573e-14  3.1524109821522553e-11  1.1696621843302250e-11  3.1770593813570774e-11  9.9546354671331233e-08  -7.1259342407289235e-15  1.1710617203686185e-11  -3.1710815943781515e-11  -3.3999620045471867e-14  -3.1528092972321229e-11  4.5578676961947453e-15  -2.0098532335974021e-12  1.8362804953183928e-15  -3.7009883812163651e-12  -1.3721003403704527e-09  -3.0314125239723300e-15  -8.5862053561524143e-16  3.6957614093167533e-12  -7.5185394023827483e-15  2.0296100975911163e-12
3.9999999999999600e+00  -2.2625019934444361e-15  2.1245291234653646e-11  -2.0783016874450884e-10  -1.8675541141144895e-10  2.2670068045564257e-07  -2.1826318726678812e-14  -2.0915880629528753e-10  1.8807303856292310e-10  -3.8604147366616257e-14  -2.1229125755021553e-11  3.9567432548323859e-14  2.2787762176691896e-11  1.3187792779769950e-11  2.4093460683798005e-11  1.9861106477805240e-08  2.0222511662495205e-14  1.3168390558457425e-11  -2.4121639979390288e-11  5.9441599011712060e-15  -2.2799734879502258e-11  -3.4325473426864492e-14  3.4409286763610783e-11  1.9465057704521916e-14  2.6370243071495366e-11  -3.9557875374650679e-08  4.6460643208373155e-15  9.5264366259315154e-15  -2.6365913373078129e-11  -1.5792120648430198e-16  -3.4396824603333797e-11
4.9999999999999396e+00  3.7792328889400830e-14  2.1137805049682455e-11  -3.3583172672821253e-10  -3.1499440569163440e-10  1.2631896221839360e-07  1.0058097923844288e-14  -3.3936065393231433e-10  3.1850981749068670e-10  -1.4879995363480258e-15  -2.1187583928325722e-11  -7.9641651585479606e-15  2.9451866932775159e-11  -8.2317207230109009e-11  -6.7719297113526883e-11  -4.0392636326832546e-08  2.6949746132991570e-14  -8.2274909895119309e-11  6.7672886010522625e-11  -5.8196792445383247e-14  -2.9450782871794649e-11  -4.3602785465613741e-14  -5.6488797372544816e-11  -3.7545066513385004e-14  -3.2977367830761384e-11  3.0920453286704305e-08  -7.3879486956174177e-15  -1.3876144027163188e-14  3.2969736681896665e-11  -7.6431624416790491e-15  5.6468980929113620e-11
5.9999999999999201e+00  5.0513950033241361e-14  2.5475694605844391e-11  1.3811979917915779e-10  1.6303354505217956e-10  3.8044555948980922e-07  3.1948441685956766e-14  1.2081831714016336e-10  -1.4582064591316903e-10  -8.3220985149748889e-14  -2.5479793975310309e-11  9.8478360164014913e-15  2.9764856776994739e-11  -1.6118837368921038e-10  -1.4433845076060122e-10  8.0004412179099381e-09  -8.1159932921901443e-15  -1.6123180380338000e-10  1.4432691176826171e-10  2.0801217223058959e-14  -2.9688547935826732e-11  -2.0193503181843890e-14  -1.5094210337969542e-11  -2.8096876905754767e-12  -1.4589845296835908e-11  -3.9177444404871204e-08  1.2775763266835858e-15  -2.7662398434047650e-12  1.4596693096427727e-11  1.8185232201004093e-14  1.5106720666908162e-11
6.9999999999998996e+00  -9.3070454480354806e-14  -2.4385686435430980e-11  -1.8544052940610336e-10  -2.0850993378058519e-10  -2.3282071599407778e-07  4.6420395780697852e-15  -2.0649541110439599e-10  2.2965628593247986e-10  -6.6879139204327898e-14  2.4394844380568653e-11  -1.5017862095655798e-14  1.0314107206312845e-10  -1.4900882450873175e-11  5.2317928903946036e-11  2.5543851617668894e-07  -3.0426387578224949e-15  -1.4930011546094598e-11  -5.2287140646701537e-11  -2.0724865941321191e-14  -1.0318987108628012e-10  1.6365370291869830e-14  -2.3640958303306746e-10  -9.2004716606019743e-12  -1.6992558690241396e-10  4.3387756191577742e-08  -1.1938864658666140e-14  -9.1965229641591080e-12  1.6990012563928322e-10  1.9333814470267904e-14  2.3643000868771505e-10
7.9999999999998703e+00  2.9237163687891023e-14  -7.2008520761750100e-11  -3.0057295115981365e-10  -3.7337178584932741e-10  4.0810946758409941e-07  -2.9527342829545138e-14  -3.4794822706379099e-10  4.2067529715699160e-10  4.0664608815459279e-14  7.1997832775989984e-11  7.8497166025687393e-15  -2.0691559554013725e-10  8.1528770793526384e-11  -8.3729000512545479e-11  1.0132898481969930e-07  2.8272340876270528e-14  8.1519264899198933e-11  8.3605714264648337e-11  1.0240225115383228e-13  2.0694730344327887e-10  -9.3633959382860981e-16  -1.7987433594806080e-10  -3.8676121234689789e-11  -1.5078871621816344e-10  -1.4457033943440592e-07  -2.2598497384966506e-14  -3.8694006829290728e-11  1.5078609761929122e-10  -4.8904590214381634e-14  1.7990562434533323e-10
8.9999999999998508e+00  2.9148427546237154e-14  2.3740984333640934e-10  1.3628755122198107e-10  3.7302629339753142e-10  1.9305996918812445e-08  1.9638839614198360e-14  2.1715561612178048e-10  -4.5389074227732884e-10  1.0369554332716744e-13  -2.3738215540193879e-10  -1.0615511809512371e-13  -3.3667133830728040e-10  2.2209878569088333e-11  -2.4590803831944888e-10  1.3610055723754657e-07  -1.2816434592931397e-14  2.2251249095630791e-11  2.4588380443337459e-10  -2.6870298977012585e-16  3.3674123245392948e-10  -2.4983825580868098e-14  1.1554067621422415e-10  5.9932815713174997e-11  1.2982841617407661e-10  -3.5007712977906436e-07  1.0222240550243867e-14  5.9919910364482129e-11  -1.2986632785078270e-10  1.3558394574586349e-14  -1.1556977857391543e-10
