#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            10.000000           10.000000           14.000000           14.000000           18.000000           18.000000           22.000000           22.000000
   0.0100000    1.2968326988e-14   -7.5142946898e-15   -2.5162736356e-14    2.6613058783e-12   -1.6426709181e-15    5.7760071230e-15   -6.8791334424e-15   -1.4181721308e-14
   0.0200000    2.4668882759e-14   -1.5756474822e-14   -1.0293393124e-13    3.3404032126e-12   -8.3285644656e-15    2.4538026202e-15   -2.6151432899e-15   -9.1433531119e-15
   0.0300000   -2.3157571306e-14   -2.9207168616e-15    3.3512404733e-14    4.2537938562e-12    2.4088207610e-15    1.1374938211e-14   -3.4146979412e-15   -3.6361878809e-15
   0.0400000   -4.2881673620e-15    2.0928949594e-14   -8.1836749846e-14    5.5227836174e-12   -2.1905320236e-14   -1.2310426391e-15   -1.5626136633e-14    2.6030592051e-15
   0.0500000    5.4754774920e-14   -2.3695577147e-15   -6.1791680585e-14    7.0127701819e-12    8.1503335447e-15   -7.2182390020e-15    2.2395686630e-14    5.5783047256e-15
   0.0600000    2.3074598379e-14    3.3202670079e-14   -1.5122302268e-13    8.6343350236e-12   -8.0569890840e-16   -2.1054200171e-15    2.2703494519e-14   -1.9998343493e-15
   0.0700000   -2.4286971372e-14   -3.2878648671e-15    1.4173686564e-13    1.0440590246e-11    7.2906628573e-15    1.0483217960e-14   -2.1020003987e-14    2.4674152339e-15
   0.0800000   -3.8021549732e-15    2.0705089993e-14   -8.6380384973e-14    1.2319889388e-11    1.7294461684e-15    7.7208949116e-15    2.2729971248e-14   -7.4061979436e-17
   0.0900000   -1.9552575568e-14    1.2793238363e-15   -3.0214198652e-15    1.4033491765e-11    4.5316628899e-15    3.8345859323e-15    8.3181238734e-15   -7.2412356855e-15
   0.1000000   -8.9845635535e-15    7.2609555964e-16    2.2508320236e-14    1.5702411354e-11    3.4500700299e-15    2.0147518179e-15    1.9978637348e-14   -4.0435788506e-15
   0.1100000   -5.1484813671e-14    4.3531372925e-14    1.2990562212e-13    1.7098431086e-11    8.4358866705e-15    5.9891472438e-15   -9.5864898898e-15   -3.3787001962e-15
   0.1200000    2.7375689930e-14    1.4094150767e-14   -2.9590374210e-14    1.8227550458e-11    9.2660029271e-15    2.5130487015e-16    2.0486367233e-14   -1.1745754444e-14
   0.1300000   -1.4680994655e-14    4.1042904576e-14   -1.2848264431e-13    1.8883446188e-11    1.6740758383e-14    9.3117436365e-15    1.5105250184e-14   -1.4377098081e-15
   0.1400000   -1.1267685527e-14    2.8209058202e-14   -7.7436614130e-14    1.9268069999e-11   -9.2589312036e-16    7.2157954266e-15    2.0056560732e-14    2.8336408646e-15
   0.1500000   -3.6997828989e-15    2.3957824241e-14   -7.3220288644e-16    1.9104170800e-11   -1.1195914686e-14    5.5763286679e-15    1.1259609308e-14   -2.3167666247e-15
   0.1600000   -5.4522470301e-14   -1.3569337030e-14   -1.0592101629e-13    1.8455173387e-11   -6.5941123641e-15   -1.0163746069e-15    2.0776469768e-14   -9.0529050370e-15
