# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time              L2_Ham              L2_Mom
   0.0000000    2.1426513012e-03    0.0000000000e+00
   0.0500000    2.5452718644e-03    2.2858866365e-05
   0.1000000    2.5449232913e-03    4.2042611593e-05
   0.1500000    2.5443938877e-03    5.8081587586e-05
   0.2000000    2.5437265577e-03    7.1421157542e-05
   0.2500000    2.5429593507e-03    8.2434921153e-05
   0.3000000    2.5421248420e-03    9.1436646475e-05
   0.3500000    2.5412499016e-03    9.8690915791e-05
   0.4000000    2.5403558232e-03    1.0442248516e-04
   0.4500000    2.5394587479e-03    1.0882438981e-04
   0.5000000    2.5385702963e-03    1.1206482868e-04
   0.5500000    2.5376983180e-03    1.1429284879e-04
   0.6000000    2.5368476828e-03    1.1564279484e-04
   0.6500000    2.5360210572e-03    1.1623755161e-04
   0.7000000    2.5352196215e-03    1.1619071040e-04
   0.7500000    2.5344436926e-03    1.1560779268e-04
   0.8000000    2.5336932236e-03    1.1458671684e-04
   0.8500000    2.5329681563e-03    1.1321773743e-04
   0.9000000    2.5322686234e-03    1.1158301564e-04
   0.9500000    2.5315950083e-03    1.0975605407e-04
   1.0000000    2.5309478782e-03    1.0780127711e-04
   1.0500000    2.5303278314e-03    1.0577382588e-04
   1.1000000    2.5297353199e-03    1.0371955518e-04
   1.1500000    2.5291704751e-03    1.0167534085e-04
   1.2000000    2.5286329648e-03    9.9669746245e-05
   1.2500000    2.5281219437e-03    9.7723918507e-05
   1.3000000    2.5276361004e-03    9.5852592545e-05
   1.3500000    2.5271737625e-03    9.4065146579e-05
   1.4000000    2.5267330539e-03    9.2366604062e-05
   1.4500000    2.5263120702e-03    9.0758495655e-05
   1.5000000    2.5259090432e-03    8.9239569988e-05
   1.5500000    2.5255224681e-03    8.7806346771e-05
   1.6000000    2.5251511444e-03    8.6453527798e-05
   1.6500000    2.5247941854e-03    8.5174323195e-05
   1.7000000    2.5244510367e-03    8.3960738797e-05
   1.7500000    2.5241214307e-03    8.2803859884e-05
   1.8000000    2.5238052899e-03    8.1694167955e-05
   1.8500000    2.5235026708e-03    8.0621908835e-05
   1.9000000    2.5232136951e-03    7.9577509955e-05
   1.9500000    2.5229384484e-03    7.8552026289e-05
   2.0000000    2.5226768778e-03    7.7537588577e-05
   2.0500000    2.5224286982e-03    7.6527833018e-05
   2.1000000    2.5221933665e-03    7.5518271153e-05
   2.1500000    2.5219700820e-03    7.4506549037e-05
   2.2000000    2.5217577872e-03    7.3492571507e-05
   2.2500000    2.5215552728e-03    7.2478484860e-05
   2.3000000    2.5213613424e-03    7.1468509861e-05
   2.3500000    2.5211749152e-03    7.0468615428e-05
   2.4000000    2.5209951122e-03    6.9486037505e-05
   2.4500000    2.5208213413e-03    6.8528683090e-05
   2.5000000    2.5206532997e-03    6.7604474188e-05
   2.5500000    2.5204909159e-03    6.6720678409e-05
   2.6000000    2.5203342699e-03    6.5883285427e-05
   2.6500000    2.5201835007e-03    6.5096505825e-05
   2.7000000    2.5200387203e-03    6.4362449117e-05
   2.7500000    2.5198999380e-03    6.3681009509e-05
   2.8000000    2.5197670294e-03    6.3049971580e-05
   2.8500000    2.5196397351e-03    6.2465321727e-05
   2.9000000    2.5195176715e-03    6.1921722895e-05
   2.9500000    2.5194003754e-03    6.1413089672e-05
   3.0000000    2.5192873385e-03    6.0933190409e-05
   3.0500000    2.5191780544e-03    6.0476213107e-05
   3.1000000    2.5190720593e-03    6.0037247007e-05
   3.1500000    2.5189689292e-03    5.9612639431e-05
   3.2000000    2.5188683138e-03    5.9200203790e-05
   3.2500000    2.5187699576e-03    5.8799283958e-05
   3.3000000    2.5186736780e-03    5.8410693779e-05
   3.3500000    2.5185793522e-03    5.8036549177e-05
   3.4000000    2.5184869193e-03    5.7680016427e-05
   3.4500000    2.5183963747e-03    5.7345007650e-05
   3.5000000    2.5183077343e-03    5.7035850021e-05
   3.5500000    2.5182210211e-03    5.6756947148e-05
   3.6000000    2.5181362749e-03    5.6512452725e-05
   3.6500000    2.5180535352e-03    5.6305977326e-05
   3.7000000    2.5179728149e-03    5.6140341059e-05
   3.7500000    2.5178940968e-03    5.6017376332e-05
   3.8000000    2.5178173449e-03    5.5937790528e-05
   3.8500000    2.5177425095e-03    5.5901099360e-05
   3.9000000    2.5176695232e-03    5.5905626520e-05
   3.9500000    2.5175983143e-03    5.5948555947e-05
