# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time              L2_Ham              L2_Mom
   0.0000000    2.0954624849e-03    4.5245863289e-06
   0.0500000    2.5087033155e-03    5.4341474190e-06
   0.1000000    2.5089233625e-03    5.7302500741e-06
   0.1500000    2.5091971496e-03    6.6145753039e-06
   0.2000000    2.5094826457e-03    8.1656777254e-06
   0.2500000    2.5097534186e-03    1.0234073849e-05
   0.3000000    2.5099939878e-03    1.2630193360e-05
   0.3500000    2.5101964652e-03    1.5205584137e-05
   0.4000000    2.5103581572e-03    1.7855009973e-05
   0.4500000    2.5104798509e-03    2.0503925652e-05
   0.5000000    2.5105645858e-03    2.3098645652e-05
   0.5500000    2.5106167685e-03    2.5600112187e-05
   0.6000000    2.5106415375e-03    2.7980024095e-05
   0.6500000    2.5106443136e-03    3.0218333610e-05
   0.7000000    2.5106304872e-03    3.2301507277e-05
   0.7500000    2.5106052068e-03    3.4221232578e-05
   0.8000000    2.5105732388e-03    3.5973394846e-05
   0.8500000    2.5105388782e-03    3.7557230244e-05
   0.9000000    2.5105059001e-03    3.8974607812e-05
   0.9500000    2.5104775503e-03    4.0229420927e-05
   1.0000000    2.5104565709e-03    4.1327109142e-05
   1.0500000    2.5104452527e-03    4.2274325203e-05
   1.1000000    2.5104455013e-03    4.3078678161e-05
   1.1500000    2.5104589108e-03    4.3748472143e-05
   1.2000000    2.5104868433e-03    4.4292424228e-05
   1.2500000    2.5105305114e-03    4.4719387658e-05
   1.3000000    2.5105910618e-03    4.5038134518e-05
   1.3500000    2.5106696526e-03    4.5257224892e-05
   1.4000000    2.5107675193e-03    4.5384928030e-05
   1.4500000    2.5108860298e-03    4.5429154573e-05
   1.5000000    2.5110267298e-03    4.5397394027e-05
   1.5500000    2.5111913828e-03    4.5296670945e-05
   1.6000000    2.5113819993e-03    4.5133524268e-05
   1.6500000    2.5116008592e-03    4.4914000800e-05
   1.7000000    2.5118505251e-03    4.4643657522e-05
   1.7500000    2.5121338501e-03    4.4327576496e-05
   1.8000000    2.5124539781e-03    4.3970393574e-05
   1.8500000    2.5128143398e-03    4.3576334281e-05
   1.9000000    2.5132186454e-03    4.3149249317e-05
   1.9500000    2.5136708735e-03    4.2692648837e-05
   2.0000000    2.5141752578e-03    4.2209739427e-05
   2.0500000    2.5147362715e-03    4.1703466101e-05
   2.1000000    2.5153586105e-03    4.1176554329e-05
   2.1500000    2.5160471755e-03    4.0631544414e-05
   2.2000000    2.5168070534e-03    4.0070817831e-05
   2.2500000    2.5176434983e-03    3.9496620566e-05
   2.3000000    2.5185619121e-03    3.8911086963e-05
   2.3500000    2.5195678260e-03    3.8316263098e-05
   2.4000000    2.5206668817e-03    3.7714125188e-05
   2.4500000    2.5218648138e-03    3.7106591941e-05
   2.5000000    2.5231674328e-03    3.6495532407e-05
   2.5500000    2.5245806090e-03    3.5882770725e-05
   2.6000000    2.5261102573e-03    3.5270087857e-05
   2.6500000    2.5277623237e-03    3.4659221396e-05
   2.7000000    2.5295427717e-03    3.4051864035e-05
   2.7500000    2.5314575704e-03    3.3449661153e-05
   2.8000000    2.5335126830e-03    3.2854207568e-05
   2.8500000    2.5357140561e-03    3.2267041821e-05
   2.9000000    2.5380676098e-03    3.1689638179e-05
   2.9500000    2.5405792287e-03    3.1123398107e-05
   3.0000000    2.5432547533e-03    3.0569641350e-05
   3.0500000    2.5460999720e-03    3.0029597052e-05
   3.1000000    2.5491206129e-03    2.9504395826e-05
   3.1500000    2.5523223367e-03    2.8995063448e-05
   3.2000000    2.5557107292e-03    2.8502516295e-05
   3.2500000    2.5592912942e-03    2.8027557765e-05
   3.3000000    2.5630694456e-03    2.7570874461e-05
   3.3500000    2.5670504998e-03    2.7133031754e-05
   3.4000000    2.5712396675e-03    2.6714469841e-05
   3.4500000    2.5756420460e-03    2.6315501864e-05
   3.5000000    2.5802626122e-03    2.5936315050e-05
   3.5500000    2.5851062160e-03    2.5576974665e-05
   3.6000000    2.5901775726e-03    2.5237429769e-05
   3.6500000    2.5954812535e-03    2.4917519989e-05
   3.7000000    2.6010216746e-03    2.4616984097e-05
   3.7500000    2.6068030827e-03    2.4335469950e-05
   3.8000000    2.6128295446e-03    2.4072545330e-05
   3.8500000    2.6191049382e-03    2.3827709022e-05
   3.9000000    2.6256329445e-03    2.3600401844e-05
   3.9500000    2.6324170353e-03    2.3390017884e-05
   4.0000000    2.6394604549e-03    2.3195916294e-05
   4.0500000    2.6467661961e-03    2.3017433128e-05
   4.1000000    2.6543369794e-03    2.2853893460e-05
   4.1500000    2.6621752383e-03    2.2704623774e-05
   4.2000000    2.6702831087e-03    2.2568963542e-05
   4.2500000    2.6786624161e-03    2.2446275138e-05
   4.3000000    2.6873146520e-03    2.2335951875e-05
   4.3500000    2.6962409418e-03    2.2237424841e-05
   4.4000000    2.7054420115e-03    2.2150168617e-05
   4.4500000    2.7149181616e-03    2.2073705308e-05
   4.5000000    2.7246692520e-03    2.2007606637e-05
   4.5500000    2.7346946873e-03    2.1951494846e-05
   4.6000000    2.7449933905e-03    2.1905044073e-05
   4.6500000    2.7555637619e-03    2.1867981652e-05
   4.7000000    2.7664036277e-03    2.1840087364e-05
   4.7500000    2.7775101970e-03    2.1821189534e-05
   4.8000000    2.7888800319e-03    2.1811159516e-05
   4.8500000    2.8005090252e-03    2.1809907073e-05
   4.9000000    2.8123923717e-03    2.1817377127e-05
   4.9500000    2.8245245243e-03    2.1833545750e-05
   5.0000000    2.8368991417e-03    2.1858414454e-05
   5.0500000    2.8495090393e-03    2.1892004082e-05
   5.1000000    2.8623461488e-03    2.1934347684e-05
   5.1500000    2.8754014851e-03    2.1985483066e-05
   5.2000000    2.8886651100e-03    2.2045447198e-05
   5.2500000    2.9021260862e-03    2.2114272201e-05
   5.3000000    2.9157724270e-03    2.2191981293e-05
   5.3500000    2.9295910480e-03    2.2278583286e-05
   5.4000000    2.9435677289e-03    2.2374066160e-05
   5.4500000    2.9576870845e-03    2.2478392841e-05
   5.5000000    2.9719325337e-03    2.2591499588e-05
   5.5500000    2.9862862625e-03    2.2713293103e-05
   5.6000000    3.0007291815e-03    2.2843645903e-05
   5.6500000    3.0152408902e-03    2.2982392834e-05
   5.7000000    3.0297996545e-03    2.3129330864e-05
   5.7500000    3.0443823965e-03    2.3284220440e-05
   5.8000000    3.0589646923e-03    2.3446784977e-05
   5.8500000    3.0735207711e-03    2.3616708840e-05
   5.9000000    3.0880235159e-03    2.3793637858e-05
   5.9500000    3.1024444680e-03    2.3977183707e-05
   6.0000000    3.1167538447e-03    2.4166928672e-05
   6.0500000    3.1309205795e-03    2.4362427463e-05
   6.1000000    3.1449123798e-03    2.4563207369e-05
   6.1500000    3.1586957933e-03    2.4768769751e-05
   6.2000000    3.1722362746e-03    2.4978594039e-05
   6.2500000    3.1854982612e-03    2.5192143187e-05
   6.3000000    3.1984452683e-03    2.5408868966e-05
   6.3500000    3.2110400045e-03    2.5628215637e-05
   6.4000000    3.2232444973e-03    2.5849622258e-05
   6.4500000    3.2350202307e-03    2.6072524671e-05
   6.5000000    3.2463283104e-03    2.6296358689e-05
