# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time          separation                  xA                  yA                  zA            chiA_min          lapseA_min                  xB                  yB                  zB            chiB_min          lapseB_min             theta_A              ah_r_A             theta_B              ah_r_B        theta_common         ah_r_common
   0.0000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.4750682678e-07    2.0188051901e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.4750682678e-07    2.0188051901e-01    1.2440875471e-01    0.0000000000e+00    1.2440875471e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.0500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.6644477904e-07    2.0193253327e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.6644477904e-07    2.0193253327e-01    1.2438954371e-01    0.0000000000e+00    1.2438954371e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.1000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.8525302165e-07    2.0198304456e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.8525302165e-07    2.0198304456e-01    1.2439411278e-01    0.0000000000e+00    1.2439411278e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.1500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.0393549019e-07    2.0203212198e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.0393549019e-07    2.0203212198e-01    1.2441869616e-01    0.0000000000e+00    1.2441869616e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.2000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.2249595351e-07    2.0207983009e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.2249595351e-07    2.0207983009e-01    1.2446010758e-01    0.0000000000e+00    1.2446010758e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.2500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.4093799507e-07    2.0212622900e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.4093799507e-07    2.0212622900e-01    1.2451564872e-01    0.0000000000e+00    1.2451564872e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.3000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.5926501694e-07    2.0217137473e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.5926501694e-07    2.0217137473e-01    1.2458303214e-01    0.0000000000e+00    1.2458303214e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.3500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.7748025114e-07    2.0221531958e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.7748025114e-07    2.0221531958e-01    1.2466031647e-01    0.0000000000e+00    1.2466031647e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.4000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.9558675786e-07    2.0225811227e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.9558675786e-07    2.0225811227e-01    1.2474585206e-01    0.0000000000e+00    1.2474585206e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.4500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.1358742377e-07    2.0229979812e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.1358742377e-07    2.0229979812e-01    1.2483823519e-01    0.0000000000e+00    1.2483823519e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.5000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.3148495744e-07    2.0234041923e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.3148495744e-07    2.0234041923e-01    1.2493626967e-01    0.0000000000e+00    1.2493626967e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.5500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.4928187843e-07    2.0238001451e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.4928187843e-07    2.0238001451e-01    1.2503893460e-01    0.0000000000e+00    1.2503893460e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.6000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.6698051201e-07    2.0241861979e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.6698051201e-07    2.0241861979e-01    1.2514535727e-01    0.0000000000e+00    1.2514535727e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.6500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.8458296964e-07    2.0245626778e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.8458296964e-07    2.0245626778e-01    1.2525479043e-01    0.0000000000e+00    1.2525479043e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.7000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.0209112650e-07    2.0249298809e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.0209112650e-07    2.0249298809e-01    1.2536659312e-01    0.0000000000e+00    1.2536659312e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.7500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.1950661612e-07    2.0252880720e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.1950661612e-07    2.0252880720e-01    1.2548021462e-01    0.0000000000e+00    1.2548021462e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.8000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.3683082152e-07    2.0256374855e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.3683082152e-07    2.0256374855e-01    1.2559518085e-01    0.0000000000e+00    1.2559518085e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.8500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.5406486986e-07    2.0259783246e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.5406486986e-07    2.0259783246e-01    1.2571108288e-01    0.0000000000e+00    1.2571108288e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.9000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.7120963095e-07    2.0263107627e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.7120963095e-07    2.0263107627e-01    1.2582756718e-01    0.0000000000e+00    1.2582756718e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   0.9500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.8826572128e-07    2.0266349432e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.8826572128e-07    2.0266349432e-01    1.2594432726e-01    0.0000000000e+00    1.2594432726e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   1.0000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.0523351349e-07    2.0269509811e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.0523351349e-07    2.0269509811e-01    1.2606109652e-01    0.0000000000e+00    1.2606109652e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   1.0500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.2211315007e-07    2.0272589641e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.2211315007e-07    2.0272589641e-01    1.2617764200e-01    0.0000000000e+00    1.2617764200e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   1.1000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.3890456149e-07    2.0275589538e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.3890456149e-07    2.0275589538e-01    1.2629375893e-01    0.0000000000e+00    1.2629375893e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   1.1500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.5560748840e-07    2.0278509877e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.5560748840e-07    2.0278509877e-01    1.2640926594e-01    0.0000000000e+00    1.2640926594e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   1.2000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.7222150666e-07    2.0281350808e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.7222150666e-07    2.0281350808e-01    1.2652400081e-01    0.0000000000e+00    1.2652400081e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   1.2500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.8874605455e-07    2.0284112277e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.8874605455e-07    2.0284112277e-01    1.2663781670e-01    0.0000000000e+00    1.2663781670e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   1.3000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.0518046171e-07    2.0286794047e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.0518046171e-07    2.0286794047e-01    1.2675057878e-01    0.0000000000e+00    1.2675057878e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   1.3500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.2152397901e-07    2.0289395719e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.2152397901e-07    2.0289395719e-01    1.2686216136e-01    0.0000000000e+00    1.2686216136e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   1.4000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.3777580876e-07    2.0291916749e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.3777580876e-07    2.0291916749e-01    1.2697244531e-01    0.0000000000e+00    1.2697244531e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   1.4500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.5393513466e-07    2.0294356476e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.5393513466e-07    2.0294356476e-01    1.2708131600e-01    0.0000000000e+00    1.2708131600e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   1.5000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.7000115149e-07    2.0296714132e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.7000115149e-07    2.0296714132e-01    1.2718866158e-01    0.0000000000e+00    1.2718866158e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   1.5500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.8597309368e-07    2.0298988871e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.8597309368e-07    2.0298988871e-01    1.2729437160e-01    0.0000000000e+00    1.2729437160e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   1.6000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.0185026301e-07    2.0301179781e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.0185026301e-07    2.0301179781e-01    1.2739833612e-01    0.0000000000e+00    1.2739833612e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   1.6500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.1763205492e-07    2.0303285902e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.1763205492e-07    2.0303285902e-01    1.2750044501e-01    0.0000000000e+00    1.2750044501e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   1.7000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.3331798358e-07    2.0305306245e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.3331798358e-07    2.0305306245e-01    1.2760058762e-01    0.0000000000e+00    1.2760058762e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   1.7500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.4890770544e-07    2.0307239804e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.4890770544e-07    2.0307239804e-01    1.2769865263e-01    0.0000000000e+00    1.2769865263e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   1.8000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.6440104132e-07    2.0309085570e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.6440104132e-07    2.0309085570e-01    1.2779452811e-01    0.0000000000e+00    1.2779452811e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   1.8500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.7979799709e-07    2.0310842548e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.7979799709e-07    2.0310842548e-01    1.2788810166e-01    0.0000000000e+00    1.2788810166e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   1.9000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.9509878278e-07    2.0312509763e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.9509878278e-07    2.0312509763e-01    1.2797926076e-01    0.0000000000e+00    1.2797926076e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   1.9500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0103038303e-06    2.0314086276e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0103038303e-06    2.0314086276e-01    1.2806789322e-01    0.0000000000e+00    1.2806789322e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   2.0000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0254138095e-06    2.0315571191e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0254138095e-06    2.0315571191e-01    1.2815388780e-01    0.0000000000e+00    1.2815388780e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   2.0500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0404296432e-06    2.0316963667e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0404296432e-06    2.0316963667e-01    1.2823713446e-01    0.0000000000e+00    1.2823713446e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   2.1000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0553525206e-06    2.0318262923e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0553525206e-06    2.0318262923e-01    1.2831752412e-01    0.0000000000e+00    1.2831752412e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   2.1500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0701839087e-06    2.0319468250e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0701839087e-06    2.0319468250e-01    1.2839494779e-01    0.0000000000e+00    1.2839494779e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   2.2000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0849255636e-06    2.0320579017e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0849255636e-06    2.0320579017e-01    1.2846929565e-01    0.0000000000e+00    1.2846929565e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   2.2500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0995795391e-06    2.0321594677e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0995795391e-06    2.0321594677e-01    1.2854045694e-01    0.0000000000e+00    1.2854045694e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   2.3000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1141481945e-06    2.0322514774e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1141481945e-06    2.0322514774e-01    1.2860832085e-01    0.0000000000e+00    1.2860832085e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   2.3500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1286342012e-06    2.0323338950e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1286342012e-06    2.0323338950e-01    1.2867277772e-01    0.0000000000e+00    1.2867277772e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   2.4000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1430405470e-06    2.0324066949e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1430405470e-06    2.0324066949e-01    1.2873371934e-01    0.0000000000e+00    1.2873371934e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   2.4500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1573705399e-06    2.0324698623e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1573705399e-06    2.0324698623e-01    1.2879103838e-01    0.0000000000e+00    1.2879103838e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   2.5000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1716278097e-06    2.0325233939e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1716278097e-06    2.0325233939e-01    1.2884462779e-01    0.0000000000e+00    1.2884462779e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   2.5500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1858163083e-06    2.0325672982e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1858163083e-06    2.0325672982e-01    1.2889438095e-01    0.0000000000e+00    1.2889438095e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   2.6000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1999403085e-06    2.0326015959e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1999403085e-06    2.0326015959e-01    1.2894019240e-01    0.0000000000e+00    1.2894019240e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   2.6500000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.2140044008e-06    2.0326263206e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.2140044008e-06    2.0326263206e-01    1.2898195839e-01    0.0000000000e+00    1.2898195839e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
   2.7000000    1.1937500000e+01    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.2280134890e-06    2.0326415190e-01   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.2280134890e-06    2.0326415190e-01    1.2901957700e-01    0.0000000000e+00    1.2901957700e-01    0.0000000000e+00    1.0000000000e+30    0.0000000000e+00
