# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.0441531136092522e-05  1.5319118083555524e-05  7.5116084731075250e-01  4.0046433892430100e+00  8.0206250265538859e-01
5.0000000000000000e-01  1.9431355725161601e-05  1.4561530808969860e-05  7.5035077597386535e-01  4.0014031038954609e+00  7.9907429555556597e-01
1.0000000000000000e+00  1.8337231423403550e-05  1.3741073350432998e-05  7.5017601362211617e-01  4.0007040544884642e+00  7.9549172456374684e-01
1.5000000000000000e+00  1.7157002278554893e-05  1.2856052459028515e-05  7.5001699267935940e-01  4.0000679707174376e+00  7.9135917110884324e-01
2.0000000000000000e+00  1.5888100555375059e-05  1.1902845386782637e-05  7.4976787537434686e-01  3.9990715014973874e+00  7.8644245793309531e-01
2.4999999999999898e+00  1.4532331195095499e-05  1.0885638741812802e-05  7.4953261066742916e-01  3.9981304426697166e+00  7.8044098508442838e-01
2.9999999999999800e+00  1.3092621742128083e-05  9.8042016285396579e-06  7.4926933611407931e-01  3.9970773444563172e+00  7.7299217454963742e-01
3.4999999999999698e+00  1.1578089948500027e-05  8.6674447050609060e-06  7.4898049346045592e-01  3.9959219738418237e+00  7.6363666321348567e-01
3.9999999999999600e+00  1.0002207801809448e-05  7.4843356950781821e-06  7.4866128673597232e-01  3.9946451469438893e+00  7.5170505419300027e-01
4.4999999999999503e+00  8.3849975766151787e-06  6.2703172765887043e-06  7.4830396591387616e-01  3.9932158636555046e+00  7.3620119397609718e-01
4.9999999999999396e+00  6.7555464850538839e-06  5.0473065633082397e-06  7.4783415153945376e-01  3.9913366061578150e+00  7.1551680985137844e-01
5.4999999999999298e+00  5.1544376827240601e-06  3.8469913740818336e-06  7.4727076228370415e-01  3.9890830491348166e+00  6.8689665632751229e-01
5.9999999999999201e+00  3.6360558627308814e-06  2.7081902399372572e-06  7.4632296702739020e-01  3.9852918681095608e+00  6.4525271242556137e-01
6.4999999999999103e+00  2.2662543747982211e-06  1.6826971948594233e-06  7.4499733827296488e-01  3.9799893530918595e+00  5.7975994378659323e-01
6.9999999999998996e+00  1.1330845445761457e-06  8.3611602153761426e-07  7.4245211557902446e-01  3.9698084623160979e+00  4.6341094321125820e-01
7.4999999999998801e+00  3.4345034890095301e-07  2.4924545631490982e-07  7.3529221414165946e-01  3.9411688565666378e+00  2.0303736502231184e-01
7.9999999999998703e+00  2.8485042056143627e-08  2.0692283381864123e-08  4.3122429580405264e-01  2.7248971832162105e+00  8.4391818245218142e-01
8.4999999999998597e+00  3.4272395672818686e-07  2.6730893334123201e-07  7.6437445568750717e-01  4.0574978227500287e+00  2.4833330502128187e-01
8.9999999999998508e+00  1.4645892418512331e-06  1.1236682097607350e-06  7.5659759493096224e-01  4.0263903797238489e+00  5.7783546388260099e-01
9.4999999999998401e+00  3.5935572444996496e-06  2.7381589700110643e-06  7.5347486519912699e-01  4.0138994607965079e+00  7.2481333817371763e-01
9.9999999999998295e+00  6.9453098711120109e-06  5.2758126602934327e-06  7.5186306753385601e-01  4.0074522701354240e+00  8.0765072620876321e-01
1.0499999999999799e+01  1.1744472207940731e-05  8.9048508617528653e-06  7.5070405399358364e-01  4.0028162159743346e+00  8.6067560636283924e-01
