# time  Re_m-2(R=14)  Im_m-2(R=14)  Re_m-1(R=14)  Im_m-1(R=14)  Re_m0(R=14)  Im_m0(R=14)  Re_m1(R=14)  Im_m1(R=14)  Re_m2(R=14)  Im_m2(R=14)  Re_m-2(R=30)  Im_m-2(R=30)  Re_m-1(R=30)  Im_m-1(R=30)  Re_m0(R=30)  Im_m0(R=30)  Re_m1(R=30)  Im_m1(R=30)  Re_m2(R=30)  Im_m2(R=30)
0.0000000000000000e+00  -4.5636039862539130e-03  -6.1319436387770486e-07  -8.7595263504358089e-07  3.0210307638659513e-06  3.7324125281896449e-03  -6.8999846513817140e-17  -8.7595262002576360e-07  -3.0210307864636430e-06  -4.5636039862545124e-03  6.1319436393447830e-07  -2.1988366048269876e-04  -1.2287261182695288e-07  -1.3188838263924296e-08  1.0960596345195138e-07  1.7821026985300397e-04  -5.6609255001117898e-17  -1.3188831530814288e-08  -1.0960597086116685e-07  -2.1988366048291205e-04  1.2287261190519167e-07
5.0000000000000000e-01  -4.7040062903880948e-03  -6.3692115809939263e-07  -9.0973621703888001e-07  3.0929870939757387e-06  3.8470948896347202e-03  -7.1229177938684151e-15  -9.0973621984460846e-07  -3.0929870918191056e-06  -4.7040062903904107e-03  6.3692115448936118e-07  -2.2276623962900054e-04  -1.2605435252090089e-07  -1.3360298658192397e-08  1.1432380763478779e-07  1.8080612292733551e-04  -2.6515755954503808e-16  -1.3360296813018290e-08  -1.1432380664012281e-07  -2.2276623962962615e-04  1.2605435393925311e-07
1.0000000000000000e+00  -4.8601976743728945e-03  -6.6305168828302318e-07  -9.4727532679769390e-07  3.1733812172160259e-06  3.9740127126517526e-03  -1.0809950754601171e-14  -9.4727531504645112e-07  -3.1733811865403398e-06  -4.8601976743621990e-03  6.6305168190513878e-07  -2.2609270906131599e-04  -1.3081896994183938e-07  -1.3537369791238572e-08  1.2215818703337137e-07  1.8315134715082138e-04  -1.1884481675294132e-15  -1.3537368422565264e-08  -1.2215818772836325e-07  -2.2609270906173289e-04  1.3081896997249086e-07
1.5000000000000000e+00  -5.0342824303223864e-03  -6.9205365849103065e-07  -9.8875440706947624e-07  3.2633209016160531e-06  4.1150909795766551e-03  -6.0018705616800755e-15  -9.8875442167682772e-07  -3.2633208809721961e-06  -5.0342824303474514e-03  6.9205364070672266e-07  -2.2956550902503462e-04  -1.3467029645924053e-07  -1.3724763758192022e-08  1.2782550990672531e-07  1.8587640432321246e-04  -2.1043710529823602e-17  -1.3724762741328882e-08  -1.2782551180520243e-07  -2.2956550902518527e-04  1.3467029627590067e-07
2.0000000000000000e+00  -5.2282567656008966e-03  -7.2425882913190605e-07  -1.0350107358495674e-06  3.3640675219926370e-06  4.2728104054031973e-03  1.0908573871144423e-14  -1.0350107261287354e-06  -3.3640674884192317e-06  -5.2282567655818884e-03  7.2425883481994182e-07  -2.3329969289123434e-04  -1.3762555580907218e-07  -1.3941769707467672e-08  1.3255147270174551e-07  1.8893980447293971e-04  -5.1578978617461437e-16  -1.3941770384356648e-08  -1.3255147368714952e-07  -2.3329969289052958e-04  1.3762555664162200e-07
2.4999999999999898e+00  -5.4450802100152644e-03  -7.6002540753426039e-07  -1.0864747534568719e-06  3.4769573921485954e-06  4.4479443732861491e-03  -1.9909822456825899e-14  -1.0864747644479881e-06  -3.4769573637918572e-06  -5.4450802100905289e-03  7.6002541397351243e-07  -2.3732289201801353e-04  -1.4061244896321590e-07  -1.4181780312581274e-08  1.3697606399852049e-07  1.9227783272968539e-04  6.6240798815536317e-16  -1.4181777080481530e-08  -1.3697606401155328e-07  -2.3732289201949762e-04  1.4061244929978677e-07
2.9999999999999800e+00  -5.6866871540742067e-03  -7.9996319789269181e-07  -1.1437657826106154e-06  3.6034043219470692e-06  4.6436905076652655e-03  1.3897788730623524e-14  -1.1437658055083687e-06  -3.6034042820696242e-06  -5.6866871540708422e-03  7.9996318304104291e-07  -2.4166525063466223e-04  -1.4380001138949099e-07  -1.4435881604295171e-08  1.4128887903923782e-07  1.9592286659999197e-04  1.2995738071843133e-15  -1.4435884040255625e-08  -1.4128888048056610e-07  -2.4166525063456563e-04  1.4380000864610035e-07
3.4999999999999698e+00  -5.9565342899826901e-03  -8.4421190898155734e-07  -1.2075133517197931e-06  3.7451050095746219e-06  4.8617679033896256e-03  1.0223429963585203e-14  -1.2075133570513615e-06  -3.7451049474477876e-06  -5.9565342899828982e-03  8.4421189983562995e-07  -2.4636582642452226e-04  -1.4710017639834733e-07  -1.4708441799550527e-08  1.4600208174212378e-07  1.9979702222559535e-04  -1.2378301676748236e-15  -1.4708442058608630e-08  -1.4600208029130557e-07  -2.4636582642251540e-04  1.4710017541078915e-07
3.9999999999999600e+00  -6.2579420275869040e-03  -8.9336729936853298e-07  -1.2785136499723110e-06  3.9039706214730055e-06  5.1050513097384816e-03  -1.6350956393917686e-14  -1.2785136450488268e-06  -3.9039705901956456e-06  -6.2579420275624825e-03  8.9336728499719125e-07  -2.5150229638338557e-04  -1.5076055436506064e-07  -1.5007228092983856e-08  1.5109220404497439e-07  2.0394215279895828e-04  9.8038248564979016e-17  -1.5007227984375352e-08  -1.5109220381308779e-07  -2.5150229637984321e-04  1.5076055338621209e-07
4.4999999999999503e+00  -6.5942591164014856e-03  -9.4831502891556371e-07  -1.3574599644862221e-06  4.0818994822907808e-06  5.3766817751511788e-03  -6.0882511139899670e-15  -1.3574599574586449e-06  -4.0818994702305791e-06  -6.5942591163493484e-03  9.4831501177983615e-07  -2.5709668789944195e-04  -1.5487173010996278e-07  -1.5336832291618564e-08  1.5626769236561238e-07  2.0846396149879024e-04  -8.9364871481062928e-16  -1.5336832598851870e-08  -1.5626769283326035e-07  -2.5709668790348218e-04  1.5487173132502297e-07
4.9999999999999396e+00  -6.9698609472813771e-03  -1.0093196878532599e-06  -1.4454437440730581e-06  4.2812688038377990e-06  5.6798981156307550e-03  1.5897248979367763e-14  -1.4454437074540203e-06  -4.2812687883481346e-06  -6.9698609472891200e-03  1.0093196722393711e-06  -2.6316489696199408e-04  -1.5927254268934964e-07  -1.5699000795816101e-08  1.6159130130614308e-07  2.1335561479588478e-04  -6.4220146298760143e-16  -1.5698995741366837e-08  -1.6159129874594706e-07  -2.6316489695827938e-04  1.5927254021631736e-07
5.4999999999999298e+00  -7.3888508822672009e-03  -1.0770374134807949e-06  -1.5433349297524874e-06  4.5042770381776933e-06  6.0176866178300549e-03  -2.5719362673477759e-15  -1.5433349086845351e-06  -4.5042770357865667e-06  -7.3888508822116689e-03  1.0770374205936384e-06  -2.6976087809073420e-04  -1.6393330987260024e-07  -1.6094965093209797e-08  1.6711562955139646e-07  2.1860273749904350e-04  1.1471497154739222e-15  -1.6094963624120052e-08  -1.6711562676991858e-07  -2.6976087808957470e-04  1.6393331302323781e-07
5.9999999999999201e+00  -7.8560354919106293e-03  -1.1523806835597267e-06  -1.6521062537943580e-06  4.7536071454395894e-06  6.3937809092751846e-03  6.1237835108525745e-15  -1.6521062323375477e-06  -4.7536071162910173e-06  -7.8560354919482989e-03  1.1523806850373227e-06  -2.7690604924738280e-04  -1.6895716973574502e-07  -1.6526404916255168e-08  1.7270619226070059e-07  2.2433501534390991e-04  9.2400778598316780e-16  -1.6526404081114309e-08  -1.7270619067570226e-07  -2.7690604924886892e-04  1.6895716944200598e-07
6.4999999999999103e+00  -8.3764322426528436e-03  -1.2362855777328140e-06  -1.7730247771325844e-06  5.0315220068640647e-06  6.8138166740162025e-03  3.2630946382280937e-14  -1.7730247412994550e-06  -5.0315220018489833e-06  -8.3764322426489908e-03  1.2362855610186878e-06  -2.8463888218411182e-04  -1.7440002626006616e-07  -1.6996159754312515e-08  1.7841453659940393e-07  2.3064157526275607e-04  1.3009038267553342e-15  -1.6996156183566673e-08  -1.7841453538469032e-07  -2.8463888218179916e-04  1.7440002753421952e-07
6.9999999999998996e+00  -8.9568491975924522e-03  -1.3296499855406151e-06  -1.9075254755981998e-06  5.3422717614582177e-06  7.2806182433241742e-03  -2.7202677003360817e-14  -1.9075254540627674e-06  -5.3422717812579475e-06  -8.9568491976029056e-03  1.3296500182998206e-06  -2.9304400126369646e-04  -1.8025322580178769e-07  -1.7507834294682412e-08  1.8442241485206218e-07  2.3750702403150918e-04  -2.3264207814641056e-15  -1.7507831503365882e-08  -1.8442241452857180e-07  -2.9304400126400876e-04  1.8025322428978671e-07
7.4999999999998801e+00  -9.6024449224041217e-03  -1.4336126119252639e-06  -2.0569865096116527e-06  5.6886844850545741e-06  7.8007396300357164e-03  -1.0506954284464760e-14  -2.0569864662078295e-06  -5.6886844879572713e-06  -9.6024449223693353e-03  1.4336125348984452e-06  -3.0220406583836718e-04  -1.8653802250058295e-07  -1.8065274449237610e-08  1.9077609664661811e-07  2.4492877201971519e-04  -1.1190501749985365e-15  -1.8065270745742124e-08  -1.9077609546527654e-07  -3.0220406583676056e-04  1.8653802150547273e-07
7.9999999999998703e+00  -1.0320634356698924e-02  -1.5489985121896198e-06  -2.2228560788691893e-06  6.0738467499482638e-06  8.3787007500819820e-03  -1.1459872623463614e-14  -2.2228559723845139e-06  -6.0738468208025106e-06  -1.0320634356652857e-02  1.5489984966038364e-06  -3.1219701048050379e-04  -1.9331651276169878e-07  -1.8672759898431575e-08  1.9739934922904420e-07  2.5302171540603739e-04  -2.6151857696345805e-16  -1.8672757133358700e-08  -1.9739934387555989e-07  -3.1219701048388221e-04  1.9331650970818681e-07
8.4999999999998597e+00  -1.1117812243217199e-02  -1.6770263426629778e-06  -2.4067209254018500e-06  6.5023920943362697e-06  9.0206007606531777e-03  -2.2196167695842376e-14  -2.4067209945233735e-06  -6.5023921181247665e-06  -1.1117812243272981e-02  1.6770263683677704e-06  -3.2310111075246125e-04  -2.0068575209094670e-07  -1.9334904592487734e-08  2.0431037712687151e-07  2.6184803052958214e-04  5.0006169956127597e-16  -1.9334908108529575e-08  -2.0431037789550459e-07  -3.2310111074980170e-04  2.0068575421606149e-07
8.9999999999998508e+00  -1.2001983380995940e-02  -1.8188041728416843e-06  -2.6102429146971243e-06  6.9772130544512424e-06  9.7319806841667661e-03  -2.7658785848960434e-14  -2.6102428986539615e-06  -6.9772130184088741e-06  -1.2001983381015711e-02  1.8188042022827646e-06  -3.3498090925192649e-04  -2.0866610340506561e-07  -2.0057045466244667e-08  2.1161188737378401e-07  2.7138807766072731e-04  -1.5187936101698107e-15  -2.0057044421089145e-08  -2.1161189040883435e-07  -3.3498090925340859e-04  2.0866610318928775e-07
9.4999999999998401e+00  -1.2980291305109321e-02  -1.9755453269334361e-06  -2.8351858536672475e-06  7.5043065075284701e-06  1.0520385246692006e-02  -2.3781841669296821e-14  -2.8351858774091833e-06  -7.5043065483192907e-06  -1.2980291305061037e-02  1.9755453530979920e-06  -3.4791338518358662e-04  -2.1721866486348882e-07  -2.0846067768070642e-08  2.1937592246741660e-07  2.8178531673570646e-04  3.2149918025896445e-16  -2.0846070937335685e-08  -2.1937592229949447e-07  -3.4791338518216697e-04  2.1721866946212095e-07
