# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time              L2_Ham              L2_Mom
   0.0000000    2.9790508886e-03    0.0000000000e+00
   0.0500000    3.3932205839e-03    1.0976381053e-06
   0.1000000    3.3931838732e-03    2.0845663803e-06
   0.1500000    3.3931738232e-03    3.0042505434e-06
   0.2000000    3.3931901235e-03    3.8594965537e-06
   0.2500000    3.3932355476e-03    4.6438770018e-06
   0.3000000    3.3933143081e-03    5.3522927560e-06
   0.3500000    3.3934310107e-03    5.9832872979e-06
   0.4000000    3.3935900328e-03    6.5386791282e-06
   0.4500000    3.3937951812e-03    7.0226022492e-06
   0.5000000    3.3940495261e-03    7.4406068359e-06
   0.5500000    3.3943553424e-03    7.7989537094e-06
   0.6000000    3.3947141160e-03    8.1041087169e-06
   0.6500000    3.3951265878e-03    8.3624139378e-06
   0.7000000    3.3955928200e-03    8.5798862916e-06
   0.7500000    3.3961122687e-03    8.7620951238e-06
   0.8000000    3.3966838562e-03    8.9140983646e-06
   0.8500000    3.3973060355e-03    9.0404216150e-06
   0.9000000    3.3979768477e-03    9.1450693173e-06
   0.9500000    3.3986939795e-03    9.2315509841e-06
   1.0000000    3.3994548203e-03    9.3029139435e-06
   1.0500000    3.4002565187e-03    9.3617847321e-06
   1.1000000    3.4010960315e-03    9.4104181155e-06
   1.1500000    3.4019701669e-03    9.4507444811e-06
   1.2000000    3.4028756232e-03    9.4844111859e-06
   1.2500000    3.4038090259e-03    9.5128237128e-06
   1.3000000    3.4047669640e-03    9.5371856991e-06
   1.3500000    3.4057460226e-03    9.5585290954e-06
   1.4000000    3.4067428106e-03    9.5777394725e-06
   1.4500000    3.4077539823e-03    9.5955862486e-06
   1.5000000    3.4087762567e-03    9.6127500161e-06
   1.5500000    3.4098064367e-03    9.6298351791e-06
   1.6000000    3.4108414248e-03    9.6473758206e-06
   1.6500000    3.4118782365e-03    9.6658483561e-06
   1.7000000    3.4129140115e-03    9.6856859478e-06
   1.7500000    3.4139460232e-03    9.7072833066e-06
   1.8000000    3.4149716859e-03    9.7309954472e-06
   1.8500000    3.4159885608e-03    9.7571394466e-06
   1.9000000    3.4169943614e-03    9.7859978510e-06
   1.9500000    3.4179869579e-03    9.8178184704e-06
   2.0000000    3.4189643798e-03    9.8528143554e-06
   2.0500000    3.4199248178e-03    9.8911672651e-06
   2.1000000    3.4208666242e-03    9.9330285535e-06
   2.1500000    3.4217883135e-03    9.9785147029e-06
   2.2000000    3.4226885604e-03    1.0027705246e-05
   2.2500000    3.4235661986e-03    1.0080647414e-05
   2.3000000    3.4244202180e-03    1.0137361626e-05
   2.3500000    3.4252497614e-03    1.0197842088e-05
   2.4000000    3.4260541207e-03    1.0262054651e-05
   2.4500000    3.4268327328e-03    1.0329937506e-05
   2.5000000    3.4275851743e-03    1.0401405810e-05
   2.5500000    3.4283111569e-03    1.0476356600e-05
   2.6000000    3.4290105216e-03    1.0554671124e-05
   2.6500000    3.4296832331e-03    1.0636216423e-05
   2.7000000    3.4303293737e-03    1.0720847304e-05
   2.7500000    3.4309491377e-03    1.0808408417e-05
   2.8000000    3.4315428251e-03    1.0898736797e-05
