# time  Re(R=14)  Im(R=14)  Re(R=30)  Im(R=30)
0.0000000000000000e+00  7.2542930985888621e-03  -2.5302157918796633e-17  3.6727414147710966e-04  -2.2871974071009743e-17
5.0000000000000000e-01  7.3317805261664936e-03  -6.3578752800979465e-15  3.6964006398602228e-04  -1.6038576383603751e-15
1.0000000000000000e+00  7.4152016030922582e-03  2.6234738718799225e-14  3.7180083420836578e-04  1.1157991318524378e-15
1.5000000000000000e+00  7.5062616148352558e-03  3.4668037327021479e-14  3.7451889953924101e-04  2.1134314103858372e-16
2.0000000000000000e+00  7.6055404072961595e-03  1.9010701694936228e-14  3.7741645780596013e-04  1.0657185404565988e-15
2.4999999999999898e+00  7.7131514351733935e-03  -5.9238270635024324e-15  3.8041373725334552e-04  -7.3925128862322246e-16
2.9999999999999800e+00  7.8309500022978578e-03  -5.2633318292666911e-14  3.8362342092218197e-04  1.5021571303513788e-15
3.4999999999999698e+00  7.9589697053395886e-03  3.7725621403750276e-14  3.8711793468407859e-04  -1.5185028975435289e-15
3.9999999999999600e+00  8.0977869245120737e-03  3.1724116879417423e-16  3.9091797671448648e-04  2.2068047821581296e-15
4.4999999999999503e+00  8.2483113077849828e-03  -6.8708155233609055e-14  3.9505486286756298e-04  -2.1346962387011055e-16
4.9999999999999396e+00  8.4120768585002250e-03  -5.5241251938260668e-14  3.9950960199723926e-04  1.6422108104472946e-15
5.4999999999999298e+00  8.5887582068563065e-03  -1.4376021110658468e-14  4.0432259744578613e-04  -6.8135666939645228e-16
5.9999999999999201e+00  8.7794968349264885e-03  -1.1870365692887999e-13  4.0955220314102287e-04  1.6669901223901474e-16
6.4999999999999103e+00  8.9846320716910674e-03  -2.5107706020933342e-14  4.1519338519964519e-04  7.9254463297460516e-16
6.9999999999998996e+00  9.2058647073539578e-03  -5.9397395250347141e-14  4.2128953807061371e-04  -5.7598568803995607e-16
7.4999999999998801e+00  9.4422354363945891e-03  1.9250388063858656e-14  4.2785936266674651e-04  -1.9445539518292151e-15
7.9999999999998703e+00  9.6948362521915715e-03  -5.0475130687052116e-14  4.3497611392229776e-04  1.9433553174907890e-15
8.4999999999998597e+00  9.9630813216948708e-03  -4.7403168689264820e-14  4.4266609335727209e-04  -1.5984856710364659e-15
8.9999999999998508e+00  1.0246931117917083e-02  5.2271710914524096e-14  4.5100078078299800e-04  1.4173199150847765e-15
9.4999999999998401e+00  1.0546347934790107e-02  7.4452052937947548e-14  4.6003537908254110e-04  -5.3489862612590599e-16
9.9999999999998295e+00  1.0859557894992758e-02  1.3671106183560912e-14  4.6983514828335396e-04  -1.1328601786638747e-15
1.0499999999999799e+01  1.1185870226799120e-02  4.6006949569271120e-14  4.8044010844452658e-04  -1.3228264745886383e-15
1.0999999999999799e+01  1.1523835012761470e-02  9.1084533371204961e-15  4.9193940146568832e-04  2.2600394132296333e-15
1.1499999999999799e+01  1.1869648822772503e-02  5.3885953032888382e-14  5.0448117660979860e-04  -4.4711898714538714e-15
1.1999999999999799e+01  1.2222285391785078e-02  -3.6107744018499722e-14  5.1811990573286202e-04  3.7319659542371184e-17
1.2499999999999799e+01  1.2579298119499257e-02  -5.6443671931625833e-14  5.3292190799310605e-04  -1.2596805654175242e-15
1.2999999999999799e+01  1.2935657467100034e-02  1.1484389806833432e-15  5.4899317510581863e-04  3.3230968971120367e-15
1.3499999999999799e+01  1.3287511783214820e-02  -5.9014633211111760e-14  5.6647788828843415e-04  -6.6740616083226584e-16
1.3999999999999700e+01  1.3633097151175316e-02  1.5229267118696261e-13  5.8555262700396636e-04  1.1646238149242375e-15
1.4499999999999700e+01  1.3966939338567942e-02  2.1657081861603392e-15  6.0641293175541140e-04  -1.2128108906362691e-15
