# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.1840420902728043e-05  1.6673914450652250e-05  8.0395184584306967e-01  4.2158073833722787e+00  7.6267245939069650e-01
5.0000000000000000e-01  2.2525726566234195e-05  1.7170960781664097e-05  8.0654594790689638e-01  4.2261837916275855e+00  7.5920284641779245e-01
1.0000000000000000e+00  2.3289150755728227e-05  1.7721735944614252e-05  8.0461269835678118e-01  4.2184507934271247e+00  7.6268482876846277e-01
1.5000000000000000e+00  2.4143300632495090e-05  1.8333805125609342e-05  8.0249365720664734e-01  4.2099746288265898e+00  7.6653621046973908e-01
2.0000000000000000e+00  2.5114574760020164e-05  1.9026559779847571e-05  7.9996503190075718e-01  4.1998601276030287e+00  7.7094170154282837e-01
2.4999999999999898e+00  2.6220988891637691e-05  1.9815335462112105e-05  7.9712250896243098e-01  4.1884900358497239e+00  7.7580968507264370e-01
2.9999999999999800e+00  2.7482436833962133e-05  2.0710566258019011e-05  7.9506177165225433e-01  4.1802470866090173e+00  7.7973402958781135e-01
3.4999999999999698e+00  2.8928554825316490e-05  2.1736811151113495e-05  7.9373222990204506e-01  4.1749289196081802e+00  7.8291051317744786e-01
3.9999999999999600e+00  3.0596542068742205e-05  2.2918858294073153e-05  7.9235357456092337e-01  4.1694142982436935e+00  7.8632032400824459e-01
4.4999999999999503e+00  3.2516552514037945e-05  2.4277797867540802e-05  7.9043157217251403e-01  4.1617262886900566e+00  7.9053842036655997e-01
4.9999999999999396e+00  3.4750121710134922e-05  2.5860754472198126e-05  7.8801887311003593e-01  4.1520754924401437e+00  7.9556341287629484e-01
5.4999999999999298e+00  3.7337546747494513e-05  2.7696225868998503e-05  7.8536934121436375e-01  4.1414773648574545e+00  8.0103040164922790e-01
5.9999999999999201e+00  4.0351622853931118e-05  2.9834109919372086e-05  7.8264790322602851e-01  4.1305916129041140e+00  8.0673254902267011e-01
6.4999999999999103e+00  4.3875828711315312e-05  3.2340289352861948e-05  7.7996699883126630e-01  4.1198679953250652e+00  8.1264330976289789e-01
6.9999999999998996e+00  4.8004712418863130e-05  3.5283849406413303e-05  7.7725392385935288e-01  4.1090156954374120e+00  8.1879352431954711e-01
7.4999999999998801e+00  5.2843152950372733e-05  3.8741320957761203e-05  7.7446649732243178e-01  4.0978659892897271e+00  8.2516683212113573e-01
7.9999999999998703e+00  5.8517260562040337e-05  4.2801126676585717e-05  7.7160373736763854e-01  4.0864149494705542e+00  8.3169896385073105e-01
8.4999999999998597e+00  6.5181779030377694e-05  4.7589222008103566e-05  7.6882202441840941e-01  4.0752880976736376e+00  8.3830988835993281e-01
8.9999999999998508e+00  7.3008915306272320e-05  5.3225141380887133e-05  7.6604296406746930e-01  4.0641718562698772e+00  8.4492873534983370e-01
9.4999999999998401e+00  8.2193666755328931e-05  5.9868883445415303e-05  7.6329599493924527e-01  4.0531839797569811e+00  8.5150480878870527e-01
