# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time                  xA                  yA                  zA            chiA_pit                  nA                  xB                  yB                  zB            chiB_pit                  nB
   0.0000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.4750682678e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.4750682678e-07    4.0000000000e+00
   0.0500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.6644477876e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.6644477876e-07    4.0000000000e+00
   0.1000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.8525301622e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.8525301622e-07    4.0000000000e+00
   0.1500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.0393545213e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.0393545213e-07    4.0000000000e+00
   0.2000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.2249578157e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.2249578157e-07    4.0000000000e+00
   0.2500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    4.4093739710e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    4.4093739710e-07    2.0000000000e+00
   0.3000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    4.5926328862e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    4.5926328862e-07    2.0000000000e+00
   0.3500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    4.7747591513e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    4.7747591513e-07    2.0000000000e+00
   0.4000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    4.9557703726e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    4.9557703726e-07    2.0000000000e+00
   0.4500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    5.1356754982e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    5.1356754982e-07    2.0000000000e+00
   0.5000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    5.3144736211e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    5.3144736211e-07    2.0000000000e+00
   0.5500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    5.4921522834e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    5.4921522834e-07    2.0000000000e+00
   0.6000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    5.6686870308e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    5.6686870308e-07    2.0000000000e+00
   0.6500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    5.8440416709e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    5.8440416709e-07    2.0000000000e+00
   0.7000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    6.0181692868e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    6.0181692868e-07    2.0000000000e+00
   0.7500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    6.1910140610e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    6.1910140610e-07    2.0000000000e+00
   0.8000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    6.3625137973e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    6.3625137973e-07    2.0000000000e+00
   0.8500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    6.5326029581e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    6.5326029581e-07    2.0000000000e+00
   0.9000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    6.7012160123e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    6.7012160123e-07    2.0000000000e+00
   0.9500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    6.8682908925e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    6.8682908925e-07    2.0000000000e+00
   1.0000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    7.0337723634e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    7.0337723634e-07    2.0000000000e+00
   1.0500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    7.1976151303e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    7.1976151303e-07    2.0000000000e+00
   1.1000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    7.3597865595e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    7.3597865595e-07    2.0000000000e+00
   1.1500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    7.5202689199e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    7.5202689199e-07    2.0000000000e+00
   1.2000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    7.6790610874e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    7.6790610874e-07    2.0000000000e+00
   1.2500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    7.8361796887e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    7.8361796887e-07    2.0000000000e+00
   1.3000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    7.9916596961e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    7.9916596961e-07    2.0000000000e+00
   1.3500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    8.1455544997e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    8.1455544997e-07    2.0000000000e+00
   1.4000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    8.2979355091e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    8.2979355091e-07    2.0000000000e+00
   1.4500000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    8.4483926930e-07    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    8.4483926930e-07    2.0000000000e+00
   1.5000000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    8.5948035110e-07    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    8.5948035110e-07    2.0000000000e+00
   1.5500000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    8.7395328935e-07    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    8.7395328935e-07    2.0000000000e+00
   1.6000000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    8.8826918604e-07    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    8.8826918604e-07    2.0000000000e+00
   1.6500000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    9.0244064639e-07    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    9.0244064639e-07    2.0000000000e+00
   1.7000000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    9.1648162445e-07    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    9.1648162445e-07    2.0000000000e+00
   1.7500000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    9.3040725779e-07    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    9.3040725779e-07    2.0000000000e+00
   1.8000000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    9.4423369555e-07    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    9.4423369555e-07    2.0000000000e+00
   1.8500000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    9.5797792378e-07    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    9.5797792378e-07    2.0000000000e+00
   1.9000000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    9.7165759115e-07    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    9.7165759115e-07    2.0000000000e+00
   1.9500000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    9.8529083809e-07    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    9.8529083809e-07    2.0000000000e+00
   2.0000000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    9.9889613237e-07    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    9.9889613237e-07    2.0000000000e+00
   2.0500000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    1.0124921115e-06    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    1.0124921115e-06    2.0000000000e+00
   2.1000000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    1.0260974339e-06    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    1.0260974339e-06    2.0000000000e+00
   2.1500000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    1.0397306395e-06    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    1.0397306395e-06    2.0000000000e+00
   2.2000000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    1.0534100211e-06    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    1.0534100211e-06    2.0000000000e+00
   2.2500000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    1.0671535054e-06    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    1.0671535054e-06    2.0000000000e+00
   2.3000000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    1.0809785452e-06    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    1.0809785452e-06    2.0000000000e+00
   2.3500000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    1.0949020219e-06    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    1.0949020219e-06    2.0000000000e+00
   2.4000000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    1.1089401579e-06    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    1.1089401579e-06    2.0000000000e+00
   2.4500000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    1.1231084389e-06    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    1.1231084389e-06    2.0000000000e+00
   2.5000000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    1.1374215454e-06    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    1.1374215454e-06    2.0000000000e+00
   2.5500000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    1.1518932927e-06    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    1.1518932927e-06    2.0000000000e+00
   2.6000000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    1.1665365793e-06    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    1.1665365793e-06    2.0000000000e+00
   2.6500000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    1.1813633432e-06    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    1.1813633432e-06    2.0000000000e+00
   2.7000000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    1.1963845243e-06    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    1.1963845243e-06    2.0000000000e+00
   2.7500000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    1.2116100340e-06    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    1.2116100340e-06    2.0000000000e+00
   2.8000000   -6.0312500000e+00    3.1250000000e-02    0.0000000000e+00    1.2270487307e-06    2.0000000000e+00    6.0312500000e+00   -3.1250000000e-02    0.0000000000e+00    1.2270487307e-06    2.0000000000e+00
