# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time                  xA                  yA                  zA            chiA_pit                  nA                  xB                  yB                  zB            chiB_pit                  nB
   0.0000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.4750682678e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.4750682678e-07    4.0000000000e+00
   0.0500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.6644477904e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.6644477904e-07    4.0000000000e+00
   0.1000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.8525302165e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.8525302165e-07    4.0000000000e+00
   0.1500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.0393549019e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.0393549019e-07    4.0000000000e+00
   0.2000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.2249595351e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.2249595351e-07    4.0000000000e+00
   0.2500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.4093799507e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.4093799507e-07    4.0000000000e+00
   0.3000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.5926501694e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.5926501694e-07    4.0000000000e+00
   0.3500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.7748025114e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.7748025114e-07    4.0000000000e+00
   0.4000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.9558675786e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.9558675786e-07    4.0000000000e+00
   0.4500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.1358742377e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.1358742377e-07    4.0000000000e+00
   0.5000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.3148495744e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.3148495744e-07    4.0000000000e+00
   0.5500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.4928187843e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.4928187843e-07    4.0000000000e+00
   0.6000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.6698051201e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.6698051201e-07    4.0000000000e+00
   0.6500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.8458296964e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.8458296964e-07    4.0000000000e+00
   0.7000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.0209112650e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.0209112650e-07    4.0000000000e+00
   0.7500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.1950661612e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.1950661612e-07    4.0000000000e+00
   0.8000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.3683082152e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.3683082152e-07    4.0000000000e+00
   0.8500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.5406486986e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.5406486986e-07    4.0000000000e+00
   0.9000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.7120963095e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.7120963095e-07    4.0000000000e+00
   0.9500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.8826572128e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.8826572128e-07    4.0000000000e+00
   1.0000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.0523351349e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.0523351349e-07    4.0000000000e+00
   1.0500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.2211315007e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.2211315007e-07    4.0000000000e+00
   1.1000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.3890456149e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.3890456149e-07    4.0000000000e+00
   1.1500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.5560748840e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.5560748840e-07    4.0000000000e+00
   1.2000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.7222150666e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.7222150666e-07    4.0000000000e+00
   1.2500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.8874605455e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.8874605455e-07    4.0000000000e+00
   1.3000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.0518046171e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.0518046171e-07    4.0000000000e+00
   1.3500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.2152397901e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.2152397901e-07    4.0000000000e+00
   1.4000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.3777580876e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.3777580876e-07    4.0000000000e+00
   1.4500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.5393513466e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.5393513466e-07    4.0000000000e+00
   1.5000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.7000115149e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.7000115149e-07    4.0000000000e+00
   1.5500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.8597309368e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.8597309368e-07    4.0000000000e+00
   1.6000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.0185026301e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.0185026301e-07    4.0000000000e+00
   1.6500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.1763205492e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.1763205492e-07    4.0000000000e+00
   1.7000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.3331798358e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.3331798358e-07    4.0000000000e+00
   1.7500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.4890770544e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.4890770544e-07    4.0000000000e+00
   1.8000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.6440104132e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.6440104132e-07    4.0000000000e+00
   1.8500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.7979799709e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.7979799709e-07    4.0000000000e+00
   1.9000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.9509878278e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.9509878278e-07    4.0000000000e+00
   1.9500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0103038303e-06    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0103038303e-06    4.0000000000e+00
   2.0000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0254138095e-06    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0254138095e-06    4.0000000000e+00
   2.0500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0404296432e-06    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0404296432e-06    4.0000000000e+00
   2.1000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0553525206e-06    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0553525206e-06    4.0000000000e+00
   2.1500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0701839087e-06    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0701839087e-06    4.0000000000e+00
   2.2000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0849255636e-06    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0849255636e-06    4.0000000000e+00
   2.2500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0995795391e-06    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0995795391e-06    4.0000000000e+00
   2.3000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1141481945e-06    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1141481945e-06    4.0000000000e+00
   2.3500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1286342012e-06    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1286342012e-06    4.0000000000e+00
