# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            10.000000           10.000000           14.000000           14.000000           18.000000           18.000000
   0.0100000   -2.5678188666e-03   -8.6963946526e-13   -6.4996097678e-04    1.2300738495e-10   -2.3288744585e-04   -2.4502891186e-14
   0.0600000   -2.5492378725e-03   -5.0153256272e-13   -6.4679005678e-04    9.9273087601e-11   -2.3207486442e-04   -4.4671033610e-14
   0.1100000   -2.5301950211e-03   -1.9838159991e-13   -6.4358817658e-04    1.4273473062e-10   -2.3125249719e-04    2.2596039900e-13
   0.1600000   -2.5110547461e-03   -8.8178018723e-14   -6.4046661757e-04    1.1447413969e-10   -2.3041838275e-04    1.0555252220e-12
   0.2100000   -2.4917617911e-03    1.0986511292e-12   -6.3738833994e-04   -8.0610590803e-11   -2.2957075756e-04    1.9557052373e-12
   0.2600000   -2.4717248467e-03   -3.6561734159e-12   -6.3420360483e-04   -4.1405962534e-10   -2.2871040395e-04    1.6312592570e-12
   0.3100000   -2.4513105953e-03   -2.4416639503e-11   -6.3079612217e-04   -7.3147946660e-10   -2.2784198001e-04   -1.2159364877e-12
   0.3600000   -2.4308966691e-03   -2.7766840666e-11   -6.2717199675e-04   -8.4439341503e-10   -2.2697236282e-04   -6.5790816538e-12
   0.4100000   -2.4099397215e-03    4.7379450714e-11   -6.2343740459e-04   -6.6278908038e-10   -2.2610609798e-04   -1.2232773449e-11
   0.4600000   -2.3883749279e-03    1.3863718608e-10   -6.1972613513e-04   -2.6414029844e-10   -2.2524069466e-04   -1.4107100344e-11
   0.5100000   -2.3667401019e-03    4.2727493143e-11   -6.1612799587e-04    1.6049505581e-10   -2.2436546112e-04   -8.2166287658e-12
   0.5600000   -2.3448643405e-03   -2.3729535433e-10   -6.1262657626e-04    4.3135766397e-10   -2.2346570551e-04    6.5316654911e-12
   0.6100000   -2.3221760835e-03   -2.8410795234e-10   -6.0908626992e-04    4.6980193235e-10   -2.2253056451e-04    2.6208184308e-11
   0.6600000   -2.2989165098e-03    1.5938228117e-10   -6.0534643966e-04    3.0097401982e-10   -2.2155996713e-04    4.1858165333e-11
   0.7100000   -2.2756984801e-03    5.2511100235e-10   -6.0137179187e-04   -1.8346075701e-12   -2.2056623506e-04    4.2467428025e-11
   0.7600000   -2.2521105638e-03    7.6392664566e-11   -5.9729509952e-04   -3.6973884347e-10   -2.1956867321e-04    2.0159257625e-11
   0.8100000   -2.2277057938e-03   -6.9393339022e-10   -5.9327909988e-04   -7.4687784051e-10   -2.1858357722e-04   -2.4313817582e-11
   0.8600000   -2.2029119564e-03   -4.2801374802e-10   -5.8934458927e-04   -1.0616129554e-09   -2.1761500012e-04   -7.8610748125e-11
   0.9100000   -2.1779300092e-03    8.2547207109e-10   -5.8536268984e-04   -1.2167603489e-09   -2.1665158162e-04   -1.2073598219e-10
   0.9600000   -2.1524422349e-03    1.0933038272e-09   -5.8121022292e-04   -1.1495637294e-09   -2.1567159418e-04   -1.2650927075e-10
   1.0100000   -2.1263754402e-03   -5.4249008757e-10   -5.7690030237e-04   -9.2091649328e-10   -2.1465380216e-04   -8.0589144161e-11
   1.0600000   -2.0997816989e-03   -1.8439404772e-09   -5.7254973676e-04   -7.1304757971e-10   -2.1358838139e-04    1.3607941707e-11
   1.1100000   -2.0725049479e-03   -4.4206935398e-10   -5.6823629676e-04   -6.7946410821e-10   -2.1248197481e-04    1.3061015766e-10
   1.1600000   -2.0448222704e-03    2.0040108929e-09   -5.6390446788e-04   -7.7294285496e-10   -2.1135411424e-04    2.2968879078e-10
   1.2100000   -2.0169537720e-03    1.6975538908e-09   -5.5941716827e-04   -7.6300319439e-10   -2.1022697828e-04    2.7041911909e-10
   1.2600000   -1.9884556192e-03   -1.2826108694e-09   -5.5470471343e-04   -4.9157536761e-10   -2.0911412660e-04    2.3082098591e-10
   1.3100000   -1.9590877389e-03   -2.4747254099e-09   -5.4985868204e-04   -1.2909820151e-10   -2.0801434681e-04    1.1906446462e-10
