#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            10.000000           10.000000           14.000000           14.000000           18.000000           18.000000
   0.0100000    1.0234673173e-10   -2.7376517510e-10    2.7789871032e-10   -3.0994443223e-10    2.0389845257e-11   -2.1361310895e-11
   0.0200000    9.9180548013e-11   -4.6154359293e-10    2.4057700531e-10   -2.8317558266e-10    2.0370096288e-11   -2.1344361743e-11
   0.0300000    9.1729280969e-11   -6.5376948339e-10    2.1813326652e-10   -2.6299440473e-10    2.0342761685e-11   -2.1325860244e-11
   0.0400000    7.3685745642e-11   -8.5066859313e-10    2.0930619573e-10   -2.4891916585e-10    2.0319638009e-11   -2.1309021064e-11
   0.0500000    3.9165203546e-11   -1.0524148122e-09    2.1233108486e-10   -2.4022957650e-10    2.0299035790e-11   -2.1292204824e-11
   0.0600000   -1.5567437889e-11   -1.2591031136e-09    2.2501871987e-10   -2.3604641238e-10    2.0289560823e-11   -2.1278536550e-11
   0.0700000   -9.0441985901e-11   -1.4707884656e-09    2.4484417160e-10   -2.3533848465e-10    2.0293254255e-11   -2.1268077186e-11
   0.0800000   -1.8039875257e-10   -1.6874595927e-09    2.6900393262e-10   -2.3697743051e-10    2.0319361471e-11   -2.1264963054e-11
   0.0900000   -2.7485683524e-10   -1.9090617649e-09    2.9452095934e-10   -2.3978130072e-10    2.0372361803e-11   -2.1265370268e-11
   0.1000000   -3.5804653272e-10   -2.1354805973e-09    3.1834530974e-10   -2.4251680797e-10    2.0451537424e-11   -2.1275254251e-11
   0.1100000   -4.1040031408e-10   -2.3665594946e-09    3.3746562309e-10   -2.4401612777e-10    2.0562340988e-11   -2.1290164962e-11
   0.1200000   -4.1086256715e-10   -2.6020910860e-09    3.4900281730e-10   -2.4307289616e-10    2.0704805412e-11   -2.1314270151e-11
   0.1300000   -3.4006273434e-10   -2.8418425490e-09    3.5034297289e-10   -2.3861226543e-10    2.0879282073e-11   -2.1343074111e-11
   0.1400000   -1.8396826239e-10   -3.0854835392e-09    3.3922136428e-10   -2.2958670144e-10    2.1079782700e-11   -2.1376827529e-11
   0.1500000    6.2420321372e-11   -3.3326528182e-09    3.1382966684e-10   -2.1504458938e-10    2.1305944150e-11   -2.1418126648e-11
   0.1600000    3.9181449459e-10   -3.5828993979e-09    2.7285860332e-10   -1.9420128649e-10    2.1544911622e-11   -2.1457043530e-11
   0.1700000    7.8248789809e-10   -3.8357024042e-09    2.1558560229e-10   -1.6633660848e-10    2.1790111180e-11   -2.1496334985e-11
   0.1800000    1.1977021729e-09   -4.0904706883e-09    1.4188986687e-10   -1.3095654985e-10    2.2032801713e-11   -2.1531198895e-11
   0.1900000    1.5873227814e-09   -4.3465153230e-09    5.2268694301e-11   -8.7717367154e-11    2.2259738448e-11   -2.1554598737e-11
   0.2000000    1.8916432320e-09   -4.6030637608e-09   -5.2195706210e-11   -3.6518015772e-11    2.2449767691e-11   -2.1567713411e-11
   0.2100000    2.0476519548e-09   -4.8592840379e-09   -1.6983510907e-10    2.2546305800e-11    2.2596539827e-11   -2.1565832933e-11
   0.2200000    1.9970112803e-09   -5.1143023306e-09   -2.9848757633e-10    8.9066055768e-11    2.2677072316e-11   -2.1545548763e-11
   0.2300000    1.6951460989e-09   -5.3672435462e-09   -4.3556438762e-10    1.6238178418e-10    2.2681194199e-11   -2.1501882596e-11
   0.2400000    1.1200337513e-09   -5.6172500839e-09   -5.7812844760e-10    2.4151561000e-10    2.2585753151e-11   -2.1429897189e-11
   0.2500000    2.7933988091e-10   -5.8635394785e-09   -7.2299186186e-10    3.2522909274e-10    2.2383503889e-11   -2.1331646915e-11
   0.2600000   -7.8569708702e-10   -6.1054500907e-09   -8.6683991428e-10    4.1195075565e-10    2.2057433950e-11   -2.1198285735e-11
   0.2700000   -2.0006825551e-09   -6.3424987476e-09   -1.0063105635e-09    4.9990496847e-10    2.1594262391e-11   -2.1036019410e-11
   0.2800000   -3.2634590559e-09   -6.5743929407e-09   -1.1380980556e-09    5.8706176808e-10    2.0991846882e-11   -2.0843099531e-11
   0.2900000   -4.4541132578e-09   -6.8010951308e-09   -1.2590374225e-09    6.7122002020e-10    2.0239478618e-11   -2.0618314539e-11
   0.3000000   -5.4486281137e-09   -7.0228207437e-09   -1.3662135864e-09    7.5010744518e-10    1.9343864544e-11   -2.0362370212e-11
   0.3100000   -6.1340873425e-09   -7.2400717647e-09   -1.4569976272e-09    8.2141482849e-10    1.8300167224e-11   -2.0084185467e-11
   0.3200000   -6.4231675610e-09   -7.4535408601e-09   -1.5291413934e-09    8.8291872764e-10    1.7120983670e-11   -1.9786087519e-11
   0.3300000   -6.2654753151e-09   -7.6641388893e-09   -1.5807896342e-09    9.3249373379e-10    1.5819362780e-11   -1.9471560983e-11
   0.3400000   -5.6539103599e-09   -7.8729028612e-09   -1.6105346018e-09    9.6832535257e-10    1.4414411487e-11   -1.9153116809e-11
   0.3500000   -4.6248363008e-09   -8.0809158451e-09   -1.6174240066e-09    9.8887178553e-10    1.2926480010e-11   -1.8834348043e-11
   0.3600000   -3.2523415870e-09   -8.2891600664e-09   -1.6009830834e-09    9.9297465583e-10    1.1386955810e-11   -1.8522499287e-11
   0.3700000   -1.6377990718e-09   -8.4984583127e-09   -1.5612089374e-09    9.7993320378e-10    9.8293535310e-12   -1.8227634943e-11
   0.3800000    1.0339865023e-10   -8.7093341380e-09   -1.4985564583e-09    9.4950550717e-10    8.2933409600e-12   -1.7960899957e-11
