#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            10.000000           10.000000           14.000000           14.000000           18.000000           18.000000
   0.0100000    4.5689591759e-04    2.8287206971e-12    5.8353093929e-05    1.2789395568e-10    1.2729504244e-05   -2.2008716888e-13
   0.0200000    4.5658326968e-04    2.8621159334e-12    5.8337829246e-05    9.6287443586e-11    1.2724961928e-05   -2.2811166491e-13
   0.0300000    4.5627029558e-04    2.8825944343e-12    5.8320534717e-05    7.5147696956e-11    1.2720426261e-05   -2.4022438744e-13
   0.0400000    4.5595407694e-04    2.8870117635e-12    5.8301478779e-05    6.3651761253e-11    1.2715895498e-05   -2.5321495490e-13
   0.0500000    4.5563221390e-04    2.8759181596e-12    5.8281053382e-05    6.0620840591e-11    1.2711363850e-05   -2.5845559478e-13
   0.0600000    4.5530371044e-04    2.8449960358e-12    5.8259758664e-05    6.4585280288e-11    1.2706821387e-05   -2.5194592427e-13
   0.0700000    4.5496958514e-04    2.7989352783e-12    5.8238180660e-05    7.3830507931e-11    1.2702253929e-05   -2.2539844569e-13
   0.0800000    4.5463303917e-04    2.7444018779e-12    5.8216966180e-05    8.6454255401e-11    1.2697643194e-05   -1.7313461315e-13
   0.0900000    4.5429910410e-04    2.6853142789e-12    5.8196795732e-05    1.0043127079e-10    1.2692967071e-05   -8.8939016107e-14
   0.1000000    4.5397379838e-04    2.6205779650e-12    5.8178354759e-05    1.1367913636e-10    1.2688200218e-05    3.2468307573e-14
   0.1100000    4.5366293063e-04    2.5498684939e-12    5.8162304320e-05    1.2412012226e-10    1.2683314871e-05    1.9274005473e-13
   0.1200000    4.5337076666e-04    2.4652984868e-12    5.8149251572e-05    1.2975703462e-10    1.2678281816e-05    3.9412537763e-13
   0.1300000    4.5309882095e-04    2.3480700576e-12    5.8139721353e-05    1.2873460824e-10    1.2673071654e-05    6.3442320143e-13
   0.1400000    4.5284502536e-04    2.1644893169e-12    5.8134129489e-05    1.1939213705e-10    1.2667656156e-05    9.1011990733e-13
   0.1500000    4.5260347131e-04    1.8906378241e-12    5.8132758810e-05    1.0034936340e-10    1.2662009718e-05    1.2141079709e-12
   0.1600000    4.5236482551e-04    1.5117829629e-12    5.8135738744e-05    7.0509972319e-11    1.2656111044e-05    1.5380246099e-12
   0.1700000    4.5211740035e-04    1.0050437210e-12    5.8143029739e-05    2.9151891050e-11    1.2649944618e-05    1.8702992914e-12
   0.1800000    4.5184874024e-04    3.9707880713e-13    5.8154412796e-05   -2.4080877293e-11    1.2643502309e-05    2.1954090749e-12
   0.1900000    4.5154748495e-04   -2.7573121369e-13    5.8169485326e-05   -8.9137147951e-11    1.2636784803e-05    2.4976831791e-12
   0.2000000    4.5120521255e-04   -9.5547490855e-13    5.8187663575e-05   -1.6555619268e-10    1.2629802859e-05    2.7589116602e-12
   0.2100000    4.5081795353e-04   -1.4735399434e-12    5.8208191947e-05   -2.5246866896e-10    1.2622578302e-05    2.9592747555e-12
   0.2200000    4.5038711301e-04   -1.6875967469e-12    5.8230159651e-05   -3.4862173936e-10    1.2615144810e-05    3.0774549594e-12
   0.2300000    4.4991962745e-04   -1.3906630080e-12    5.8252523829e-05   -4.5237780947e-10    1.2607548221e-05    3.0944416493e-12
   0.2400000    4.4942730333e-04   -3.6575066807e-13    5.8274139450e-05   -5.6179717782e-10    1.2599846577e-05    2.9888938770e-12
   0.2500000    4.4892541740e-04    1.5889888176e-12    5.8293794623e-05   -6.7466438826e-10    1.2592109617e-05    2.7428260984e-12
   0.2600000    4.4843077607e-04    4.6253048896e-12    5.8310250678e-05   -7.8853169396e-10    1.2584417966e-05    2.3391452508e-12
