time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  5.3786442758087168e-07
1.0000000000000000e+00  2.5582880958169612e-07  5.1949799175911991e-07
2.0000000000000000e+00  4.5178187332287703e-06  4.9789025504959065e-07
2.9999999999999800e+00  9.6774956355716105e-06  4.7340323283044515e-07
3.9999999999999600e+00  1.3766859605859702e-05  4.4527568537299519e-07
4.9999999999999396e+00  1.7292676568551654e-05  4.1375670473631248e-07
5.9999999999999201e+00  2.1059685819993484e-05  3.7930161984568718e-07
6.9999999999998996e+00  2.4227279172783934e-05  3.4225789109887677e-07
7.9999999999998703e+00  2.7949592052504353e-05  3.0373737428589622e-07
8.9999999999998508e+00  3.1051202542406652e-05  2.6992696069378041e-07
9.9999999999998295e+00  3.3459142667830369e-05  2.5684692782097551e-07
1.0999999999999799e+01  3.5826376467614873e-05  2.9642408440162908e-07
1.1999999999999799e+01  3.7256779831790638e-05  4.0507068455350104e-07
1.2999999999999799e+01  3.8316353393620360e-05  5.8553306868768280e-07
