# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  6.3039911602567707e-06  4.7133660100471634e-06  7.4916082050576316e-01  3.9966432820230526e+00  7.0750682220458605e-01
1.0000000000000000e+00  4.3792887007352837e-06  3.2747086417801098e-06  7.4932990710473757e-01  3.9973196284189503e+00  6.7072034809606984e-01
2.0000000000000000e+00  2.2278736432902588e-06  1.6658163594785920e-06  7.4929057913313335e-01  3.9971623165325334e+00  5.8150103531762609e-01
2.9999999999999800e+00  4.1486643291636893e-07  3.1007945454365329e-07  7.4905265027354273e-01  3.9962106010941709e+00  2.6514397366960474e-01
3.9999999999999600e+00  5.6842497837673739e-07  4.2619229478759124e-07  7.5072385350097370e-01  4.0028954140038948e+00  6.8132654628349854e-01
4.9999999999999396e+00  6.7035013714539388e-06  5.0190930280644521e-06  7.4915711098919202e-01  3.9966284439567681e+00  1.2017983656975584e+00
5.9999999999999201e+00  2.7589723326310773e-05  2.0651336339327977e-05  7.4601710076179784e-01  3.9840684030471913e+00  1.1671596125312758e+00
6.9999999999998996e+00  7.9509454089134459e-05  5.9517200969418583e-05  7.4978353851135149e-01  3.9991341540454060e+00  1.0929470832223001e+00
7.9999999999998703e+00  1.8545839506282436e-04  1.3878468457932769e-04  7.4957695734194607e-01  3.9983078293677843e+00  1.0440078048922725e+00
8.9999999999998508e+00  3.6158156162525231e-04  2.7057199528522370e-04  7.4943290115132355e-01  3.9977316046052942e+00  9.9227624300006467e-01
9.9999999999998295e+00  5.8347286755936823e-04  4.3664688513997575e-04  7.4966262205458811e-01  3.9986504882183525e+00  9.2104196526812654e-01
1.0999999999999799e+01  7.6132184999343742e-04  5.6982802770003365e-04  7.4967664189096495e-01  3.9987065675638598e+00  8.1586206485051649e-01
1.1999999999999799e+01  7.8191232321702016e-04  5.8536741517049493e-04  7.4948198063621030e-01  3.9979279225448412e+00  6.6711869174108374e-01
1.2999999999999799e+01  6.1989776465568589e-04  4.6410863504276080e-04  7.4928528417648199e-01  3.9971411367059280e+00  4.9951197614718357e-01
