# time  Re(R=14)  Im(R=14)  Re(R=30)  Im(R=30)
3.2200000000002198e+01  2.0578915342432717e-02  3.2705191467085736e-15  -4.0078105277714625e-03  -2.2003090982438732e-15
3.2400000000002102e+01  2.0563408409227251e-02  -4.3212364762506921e-14  -4.1429794933923302e-03  4.1001687941283986e-15
3.2600000000002098e+01  2.0510544511477782e-02  -2.0382592996363380e-14  -4.2762119973638714e-03  2.0875718584656330e-15
3.2800000000002001e+01  2.0427954981557490e-02  5.6614292954564819e-14  -4.4047216326876231e-03  1.3906070105574380e-15
3.3000000000001997e+01  2.0310968279281680e-02  -5.9656923604287017e-14  -4.5295228653917229e-03  2.9524985752540274e-15
3.3200000000001999e+01  2.0155427225474642e-02  9.7277307186215806e-15  -4.6528488862958087e-03  -2.3283401796292798e-15
3.3400000000001903e+01  1.9958503110425990e-02  1.3705363239972530e-14  -4.7760691596866163e-03  -5.3266710459147474e-15
3.3600000000001899e+01  1.9734945330081834e-02  -3.8780738463295428e-14  -4.8990880549891922e-03  1.0406482677332803e-15
3.3800000000001802e+01  1.9467747712642522e-02  4.3187036571559886e-14  -5.0204852823929067e-03  2.7865451670755557e-15
3.4000000000001798e+01  1.9171452235274593e-02  -1.3924199284093362e-14  -5.1381576548740187e-03  6.4700823434256545e-16
3.4200000000001801e+01  1.8838296527868767e-02  -5.2936901108126169e-14  -5.2502071775770301e-03  1.4914376140752429e-15
3.4400000000001697e+01  1.8468449300713237e-02  2.2585209531469583e-14  -5.3552868316148533e-03  8.2635879207084399e-16
3.4600000000001700e+01  1.8071978095494948e-02  2.9845301187711839e-15  -5.4525548955531630e-03  -4.0833457271791931e-15
3.4800000000001603e+01  1.7646021845195009e-02  2.5529888550017464e-15  -5.5414056289774492e-03  -5.0296247307698918e-16
3.5000000000001599e+01  1.7184220942275081e-02  6.3974882105383483e-14  -5.6212620773827019e-03  -1.1508914587029997e-16
3.5200000000001602e+01  1.6697407825958254e-02  -8.4464729695780873e-14  -5.6916145343924246e-03  -2.8109760457289829e-15
3.5400000000001498e+01  1.6174960170863974e-02  8.7459232039319200e-14  -5.7519607180669301e-03  4.3256700743367257e-15
3.5600000000001501e+01  1.5620514327184552e-02  -9.0351244666789178e-14  -5.8017732332318580e-03  -7.6976316073441484e-16
3.5800000000001397e+01  1.5047387266285649e-02  9.4722868634324834e-15  -5.8404815101118310e-03  -1.9665123214572723e-15
3.6000000000001400e+01  1.4444956884618814e-02  6.5442777285722739e-14  -5.8673523670605106e-03  -5.0071757106896926e-16
3.6200000000001403e+01  1.3816951205145887e-02  -7.6009235475913437e-14  -5.8815128728661329e-03  -6.1886516762334730e-16
3.6400000000001299e+01  1.3170315209287804e-02  7.5172503931605406e-14  -5.8820855467163315e-03  4.7250625202304813e-15
3.6600000000001302e+01  1.2505251733245982e-02  -1.4588149342051316e-14  -5.8682640433222908e-03  -1.0693138479018360e-15
3.6800000000001198e+01  1.1808566120931823e-02  -1.0606188927032194e-13  -5.8391341892348753e-03  -2.3072292069079464e-15
3.7000000000001201e+01  1.1095172019737183e-02  7.6361344689806885e-14  -5.7937094204585718e-03  -1.8965586496703978e-15
3.7200000000001197e+01  1.0374400909303021e-02  -9.4818106901331739e-16  -5.7315365264273581e-03  1.8818921418397916e-15
3.7400000000001100e+01  9.6240815065750298e-03  -1.5184207671113808e-13  -5.6523821672635893e-03  -1.2022426987813936e-15
3.7600000000001103e+01  8.8699817584624446e-03  1.8319172005987658e-13  -5.5554873583145096e-03  2.1264530530247695e-15
3.7800000000000999e+01  8.1006706188242617e-03  -1.8085763061764803e-13  -5.4402855580355522e-03  -2.0376873088749691e-15
3.8000000000001002e+01  7.3153252557509518e-03  1.0300091432218194e-13  -5.3068776240615470e-03  2.3889308948009931e-15
3.8200000000000998e+01  6.5262852172339129e-03  -2.7336441372833502e-14  -5.1553465525353550e-03  4.9104525552215811e-15
3.8400000000000901e+01  5.7283099709176223e-03  -5.4955181198113647e-14  -4.9855408965129673e-03  -5.3552040124874985e-15
3.8600000000000897e+01  4.9251857547973404e-03  9.2813985999379021e-14  -4.7970613710537572e-03  4.7990817516408295e-15
3.8800000000000800e+01  4.1180170054694537e-03  -8.9071232352639680e-14  -4.5894420600456612e-03  -3.2314546489256953e-15
3.9000000000000803e+01  3.3028171575187684e-03  6.8134199408741996e-14  -4.3625031998747238e-03  -2.8335326654632629e-15
3.9200000000000799e+01  2.4860820777016222e-03  2.5959617692675370e-14  -4.1162680893771899e-03  9.5585664335331945e-15
3.9400000000000702e+01  1.6750468119159398e-03  -1.1149987628766900e-13  -3.8509947379018472e-03  -2.8169809799294239e-15
3.9600000000000698e+01  8.6356721810062467e-04  1.8210440954778989e-13  -3.5670860554546224e-03  8.5103939324247848e-15
3.9800000000000701e+01  5.9325471709755998e-05  -2.1698988281565661e-13  -3.2649893809968515e-03  5.5329358108442353e-15
4.0000000000000597e+01  -7.4137488660315487e-04  2.1059602564626965e-13  -2.9452159482638699e-03  -1.4957693935070606e-14
