#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            10.000000           10.000000           14.000000           14.000000           18.000000           18.000000
   0.0100000    2.0083524639e-08   -1.2148518208e-08   -4.7218035272e-10   -5.0398448429e-10   -1.7580813394e-10   -4.3183894448e-11
   0.0200000    1.9508091638e-08   -1.1927047997e-08   -5.1353069523e-10   -5.2780055206e-10   -1.9216654652e-10   -3.6489857545e-11
   0.0300000    1.9059225222e-08   -1.1781701585e-08   -5.4437100347e-10   -5.4580197399e-10   -2.1927918736e-10   -2.5425495052e-11
   0.0400000    1.8572440508e-08   -1.1617384563e-08   -5.6537540752e-10   -5.5837170260e-10   -2.5245905830e-10   -1.1889241281e-11
   0.0500000    1.7856419192e-08   -1.1323359073e-08   -5.7748603391e-10   -5.6604682828e-10   -2.8602897974e-10    1.8170972216e-12
   0.0600000    1.6722113798e-08   -1.0790108885e-08   -5.8187738801e-10   -5.6952125178e-10   -3.1375757667e-10    1.3169387365e-11
   0.0700000    1.5011690227e-08   -9.9260557719e-09   -5.7993363856e-10   -5.6957201412e-10   -3.2935113853e-10    1.9620016751e-11
   0.0800000    1.2623464096e-08   -8.6720895867e-09   -5.7318761859e-10   -5.6707014274e-10   -3.2698449799e-10    1.8799109309e-11
   0.0900000    9.5299022275e-09   -7.0119775158e-09   -5.6330482108e-10   -5.6294184113e-10   -3.0175813878e-10    8.7209814461e-12
   0.1000000    5.7865685700e-09   -4.9776444793e-09   -5.5201138010e-10   -5.5814571343e-10   -2.5015911896e-10   -1.2049347742e-11
   0.1100000    1.5308536144e-09   -2.6484704656e-09   -5.4108402765e-10   -5.5362531492e-10   -1.7040656802e-10   -4.4237929284e-11
   0.1200000   -3.0290582095e-09   -1.4493887448e-10   -5.3227577224e-10   -5.5033620637e-10   -6.2717164607e-11   -8.7775953418e-11
   0.1300000   -7.6337779907e-09    2.3827337528e-09   -5.2729657494e-10   -5.4917209240e-10    7.0564311484e-11   -1.4172501517e-10
   0.1400000   -1.1998483180e-08    4.7695347350e-09   -5.2772415926e-10   -5.5098242548e-10    2.2496649072e-10   -2.0428583412e-10
   0.1500000   -1.5841815410e-08    6.8524476182e-09   -5.3499550298e-10   -5.5652847880e-10    3.9400931069e-10   -2.7284883430e-10
   0.1600000   -1.8914728901e-08    8.4872384634e-09   -5.5035701165e-10   -5.6650613424e-10    5.6947785853e-10   -3.4409591485e-10
   0.1700000   -2.1026066798e-08    9.5633034269e-09   -5.7484635457e-10   -5.8148445070e-10    7.4180859194e-10   -4.1416687962e-10
   0.1800000   -2.2061996579e-08    1.0015000324e-08   -6.0920877096e-10   -6.0192991731e-10    9.0056625968e-10   -4.7883899300e-10
   0.1900000   -2.1997572348e-08    9.8282906405e-09   -6.5394703812e-10   -6.2818414379e-10    1.0350191960e-09   -5.3376784633e-10
   0.2000000   -2.0898962098e-08    9.0420253267e-09   -7.0924123870e-10   -6.6046943531e-10    1.1347455742e-09   -5.7472392133e-10
   0.2100000   -1.8916665822e-08    7.7439657139e-09   -7.7497967256e-10   -6.9883483618e-10    1.1902684525e-09   -5.9786241487e-10
   0.2200000   -1.6270366276e-08    6.0618623804e-09   -8.5073781210e-10   -7.4322827244e-10    1.1936601356e-09   -5.9995334167e-10
   0.2300000   -1.3227313382e-08    4.1509690476e-09   -9.3580690965e-10   -7.9340237002e-10    1.1391052526e-09   -5.7861374169e-10
   0.2400000   -1.0076713186e-08    2.1790562746e-09   -1.0291627246e-09   -8.4899073563e-10    1.0233587539e-09   -5.3250341181e-10
   0.2500000   -7.1026684549e-09    3.1077316293e-10   -1.1295528549e-09   -9.0946132907e-10    8.4611855520e-10   -4.6146225568e-10
   0.2600000   -4.5587482907e-09   -1.3070866698e-09   -1.2354715586e-09   -9.7411347786e-10    6.1023013253e-10   -3.6659641151e-10
   0.2700000   -2.6464370544e-09   -2.5580227977e-09   -1.3452142929e-09   -1.0421336836e-09    3.2175250552e-10   -2.5031962041e-10
   0.2800000   -1.4996690886e-09   -3.3646965426e-09   -1.4569134254e-09   -1.1125352547e-09   -1.0149371756e-11   -1.1629993478e-10
   0.2900000   -1.1765900752e-09   -3.6936195365e-09   -1.5685948764e-09   -1.1842490312e-09   -3.7346563769e-10    3.0645712720e-11
   0.3000000   -1.6592498069e-09   -3.5552717029e-09   -1.6782066884e-09   -1.2560607857e-09   -7.5378378118e-10    1.8472029039e-10
   0.3100000   -2.8606191182e-09   -2.9999840117e-09   -1.7836757545e-09   -1.3266972998e-09   -1.1348538303e-09    3.3937144815e-10
   0.3200000   -4.6380952280e-09   -2.1101074346e-09   -1.8829486854e-09   -1.3948198571e-09   -1.4992722160e-09    4.8758147646e-10
   0.3300000   -6.8116346532e-09   -9.8955714390e-10   -1.9740481767e-09   -1.4590716019e-09   -1.8292682940e-09    6.2216298714e-10
   0.3400000   -9.1844371739e-09    2.4813729954e-10   -2.0551211012e-09   -1.5181013579e-09   -2.1075409243e-09    7.3610862389e-10
   0.3500000   -1.1563916422e-08    1.4918925642e-09   -2.1244430154e-09   -1.5706086161e-09   -2.3180925157e-09    8.2292807193e-10
   0.3600000   -1.3780958076e-08    2.6440943766e-09   -2.1805299296e-09   -1.6153472450e-09   -2.4470655088e-09    8.7697281788e-10
   0.3700000   -1.5705289678e-08    3.6294436731e-09   -2.2220966751e-09   -1.6512170397e-09   -2.4834804457e-09    8.9375515509e-10
   0.3800000   -1.7255676442e-08    4.4008874614e-09   -2.2481333622e-09   -1.6772547268e-09   -2.4198776525e-09    8.7019390604e-10
   0.3900000   -1.8404418052e-08    4.9421268188e-09   -2.2578925273e-09   -1.6926691654e-09   -2.2528340673e-09    8.0482693734e-10
   0.4000000   -1.9175741822e-08    5.2667895725e-09   -2.2509474767e-09   -1.6968975645e-09   -1.9832732827e-09    6.9794972173e-10
   0.4100000   -1.9638822246e-08    5.4144224115e-09   -2.2271358824e-09   -1.6895646712e-09   -1.6166271285e-09    5.5167107778e-10
