# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  9.9433150906889411e-01  5.3308506591349936e-01
1.0000000000000001e-01  9.9431580179799461e-01  5.3308506591349936e-01
2.0000000000000001e-01  9.9427365992322636e-01  5.3308506591349936e-01
2.9999999999999999e-01  9.9421112497054154e-01  5.3308506591349936e-01
4.0000000000000002e-01  9.9413258603040344e-01  5.3308506591349936e-01
5.0000000000000000e-01  9.9404128253377100e-01  5.3308506591349936e-01
5.9999999999999998e-01  9.9393965440894050e-01  5.3308506591349936e-01
6.9999999999999996e-01  9.9382958591446402e-01  5.3308506591349936e-01
8.0000000000000004e-01  9.9371257535642321e-01  5.3308506591349936e-01
9.0000000000000102e-01  9.9358985312534354e-01  5.3308506591349936e-01
1.0000000000000000e+00  9.9346246369164681e-01  5.3308506591349936e-01
1.1000000000000001e+00  9.9333132246522604e-01  5.3308506591349936e-01
1.2000000000000000e+00  9.9319725512526491e-01  5.3308506591349936e-01
1.3000000000000000e+00  9.9306102472562996e-01  5.3308506591349936e-01
1.3999999999999999e+00  9.9292335027652712e-01  5.3308506591349936e-01
1.5000000000000000e+00  9.9278491938417746e-01  5.3308506591349936e-01
1.6000000000000001e+00  9.9264639675026700e-01  5.3308506591349936e-01
1.7000000000000000e+00  9.9250842978945897e-01  5.3308506591349936e-01
1.8000000000000000e+00  9.9237165224481394e-01  5.3308506591349936e-01
1.8999999999999999e+00  9.9223668641769014e-01  5.3308506591349936e-01
2.0000000000000000e+00  9.9210414444568940e-01  5.3308506591349936e-01
2.1000000000000001e+00  9.9197462893507116e-01  5.3308506591349936e-01
2.2000000000000002e+00  9.9184873316573541e-01  5.3308506591349936e-01
2.2999999999999901e+00  9.9172704102521980e-01  5.3308506591349936e-01
2.3999999999999901e+00  9.9161012678457927e-01  5.3308506591349936e-01
2.4999999999999898e+00  9.9149855479729343e-01  5.3308506591349936e-01
2.5999999999999899e+00  9.9139287917802232e-01  5.3308506591349936e-01
