# time  Re_m-2(R=10)  Im_m-2(R=10)  Re_m-1(R=10)  Im_m-1(R=10)  Re_m0(R=10)  Im_m0(R=10)  Re_m1(R=10)  Im_m1(R=10)  Re_m2(R=10)  Im_m2(R=10)  Re_m-2(R=14)  Im_m-2(R=14)  Re_m-1(R=14)  Im_m-1(R=14)  Re_m0(R=14)  Im_m0(R=14)  Re_m1(R=14)  Im_m1(R=14)  Re_m2(R=14)  Im_m2(R=14)  Re_m-2(R=18)  Im_m-2(R=18)  Re_m-1(R=18)  Im_m-1(R=18)  Re_m0(R=18)  Im_m0(R=18)  Re_m1(R=18)  Im_m1(R=18)  Re_m2(R=18)  Im_m2(R=18)
0.0000000000000000e+00  -6.1747054128034155e-03  -2.1215825647518826e-08  -1.3809154607626532e-06  3.5253666767596721e-06  5.0720805662053774e-03  -3.6532577337192277e-16  -1.3803227980362088e-06  -3.7228463066268029e-06  -6.1674551754919548e-03  2.1215825003507663e-08  -1.7309115907425793e-03  -2.9417236957139626e-07  -4.2052619476159192e-07  8.4786949218057794e-07  1.4131009833497059e-03  8.0387443483487660e-17  -4.2052618032443499e-07  -8.4786951647586621e-07  -1.7309115907427129e-03  2.9417236940980503e-07  -6.5736518943598917e-04  -1.7087395038835082e-07  -8.5956856956186775e-08  2.9320869883776710e-07  5.3781975157539137e-04  -6.5976862025682897e-17  -8.5956845710881904e-08  -2.9320870948727915e-07  -6.5736518943560395e-04  1.7087395048070264e-07
1.0000000000000001e-01  -6.1247286970958761e-03  -2.1013744091790082e-08  -1.3674995814339944e-06  3.5040018653137598e-06  5.0316188343287639e-03  -8.2854071254702412e-16  -1.3669180061449933e-06  -3.7004085945768343e-06  -6.1178655967620158e-03  2.1013741756443189e-08  -1.7205149048409659e-03  -2.9227854987332580e-07  -4.1774426204082761e-07  8.4333487305629478e-07  1.4046114849657859e-03  -2.3327084873569478e-16  -4.1774426324212472e-07  -8.4333487318444991e-07  -1.7205149048390338e-03  2.9227855012431469e-07  -6.5447673364147643e-04  -1.7007849644079120e-07  -8.5555904423614502e-08  2.9203764943665153e-07  5.3544577195447371e-04  -1.0813885838063543e-16  -8.5555906026120000e-08  -2.9203764990095915e-07  -6.5447673364283547e-04  1.7007849662284924e-07
2.0000000000000001e-01  -6.0732836603520669e-03  -2.0808634647347475e-08  -1.3537817619687968e-06  3.4822134729815969e-06  4.9904674036586700e-03  -4.3369473419562939e-15  -1.3532115197631678e-06  -3.6775617158760734e-06  -6.0672640446179562e-03  2.0808632517927821e-08  -1.7098758438330785e-03  -2.9025332900405374e-07  -4.1490326454147521e-07  8.3869628877843037e-07  1.3957162660148479e-03  1.7017499656478549e-15  -4.1490326339916027e-07  -8.3869628861001555e-07  -1.7098758438345799e-03  2.9025332957566270e-07  -6.5160031432795571e-04  -1.6926749652070967e-07  -8.5147114824064251e-08  2.9084374140807225e-07  5.3274981252380790e-04  -5.6311206937164016e-17  -8.5147113347100881e-08  -2.9084374182379576e-07  -6.5160031432568420e-04  1.6926749646219957e-07
2.9999999999999999e-01  -6.0215446612662538e-03  -2.0597206411510875e-08  -1.3397273582384851e-06  3.4596407687020509e-06  4.9475249348582368e-03  7.5675298943621745e-15  -1.3391686923727012e-06  -3.6537564673294448e-06  -6.0151576863054770e-03  2.0597204997935680e-08  -1.6989754062339114e-03  -2.8806001203364080e-07  -4.1199562001192779e-07  8.3395156204887764e-07  1.3866779590175121e-03  2.6627183469587356e-16  -4.1199562093924268e-07  -8.3395155824036192e-07  -1.6989754062293871e-03  2.8806001374505864e-07  -6.4863898303105488e-04  -1.6844016918099381e-07  -8.4730093457836116e-08  2.8962465533841271e-07  5.3014744344146998e-04  -2.3273432946422554e-17  -8.4730093709899939e-08  -2.8962465609743258e-07  -6.4863898303521746e-04  1.6844017128563177e-07
4.0000000000000002e-01  -5.9679636656951836e-03  -2.0371166100202390e-08  -1.3253125392557556e-06  3.4367526802110376e-06  4.9042942435614887e-03  -1.9072259791216878e-15  -1.3247657621880772e-06  -3.6297933675200513e-06  -5.9618501985184581e-03  2.0371174342065905e-08  -1.6878226726490273e-03  -2.8589244630679370e-07  -4.0903093522494575e-07  8.2910226823587454e-07  1.3778532007223941e-03  -1.3402993878619552e-15  -4.0903093428062393e-07  -8.2910227436841573e-07  -1.6878226726568992e-03  2.8589244426154323e-07  -6.4548342524659822e-04  -1.6759589473032605e-07  -8.4304517990683192e-08  2.8837844508914208e-07  5.2802195125904988e-04  -5.4148497068965944e-16  -8.4304518105217173e-08  -2.8837844599973882e-07  -6.4548342524637801e-04  1.6759589686949667e-07
5.0000000000000000e-01  -5.9129283200153992e-03  -2.0143260807895840e-08  -1.3105671042554422e-06  3.4130325237516059e-06  4.8598846284991382e-03  -5.9113050313360372e-15  -1.3100325001912121e-06  -3.6051604183740709e-06  -5.9071532718089565e-03  2.0143256524829955e-08  -1.6764502827921375e-03  -2.8383302413658208e-07  -4.0598521922597052e-07  8.2411945421571973e-07  1.3686345794490286e-03  1.0126698364257398e-15  -4.0598521985808770e-07  -8.2411945631512096e-07  -1.6764502828033588e-03  2.8383301745838343e-07  -6.4230598628038313e-04  -1.6673414117080586e-07  -8.3870121308272637e-08  2.8710892228840025e-07  5.2545151227175466e-04  -2.4768469788779138e-15  -8.3870118505897641e-08  -2.8710892035474866e-07  -6.4230598628767937e-04  1.6673413542859804e-07
5.9999999999999998e-01  -5.8569550673068169e-03  -1.9918049103767904e-08  -1.2954773443435493e-06  3.3889025404162550e-06  4.8137932706164895e-03  4.9476198646387322e-15  -1.2949551609631096e-06  -3.5795489193211355e-06  -5.8513492887572642e-03  1.9918055683163536e-08  -1.6648094972704381e-03  -2.8170652631579124e-07  -4.0281970555532760e-07  8.1901850465514548e-07  1.3588832068160558e-03  -2.3095551659985517e-15  -4.0281969842447004e-07  -8.1901849160012111e-07  -1.6648094972466440e-03  2.8170652451831491e-07  -6.3918513110289830e-04  -1.6585439348220471e-07  -8.3426667530622870e-08  2.8582043499086236e-07  5.2247906195038011e-04  4.3030955974273819e-15  -8.3426665523165095e-08  -2.8582043784987792e-07  -6.3918513110217080e-04  1.6585439696760071e-07
6.9999999999999996e-01  -5.7993699933562223e-03  -1.9678254270331122e-08  -1.2799760046464138e-06  3.3641466564448714e-06  4.7672030981109614e-03  1.1302988792443727e-14  -1.2794665656546709e-06  -3.5536300763494985e-06  -5.7938626167560068e-03  1.9678271859956380e-08  -1.6528270218713807e-03  -2.7944107698837951e-07  -3.9958656428235454e-07  8.1382627019159181e-07  1.3490131560011335e-03  -3.5983746110962446e-15  -3.9958657078784672e-07  -8.1382628429051112e-07  -1.6528270218742164e-03  2.7944107832825995e-07  -6.3595904018922712e-04  -1.6495621156624548e-07  -8.2973898158931597e-08  2.8450264559182044e-07  5.1991390172103789e-04  1.1680675497940305e-15  -8.2973898280012323e-08  -2.8450264868061444e-07  -6.3595904018182549e-04  1.6495621713882836e-07
8.0000000000000004e-01  -5.7404531629716513e-03  -1.9424428413792889e-08  -1.2640797211681847e-06  3.3384217683803079e-06  4.7187594585722517e-03  3.8892576117687737e-14  -1.2635833693120266e-06  -3.5268859228721539e-06  -5.7351566195974046e-03  1.9424436281397397e-08  -1.6405812617756620e-03  -2.7712474806349460e-07  -3.9635951670200251e-07  8.0848925790726764e-07  1.3389839332733264e-03  3.6843545697616441e-15  -3.9635951041788154e-07  -8.0848925580865733e-07  -1.6405812617672334e-03  2.7712474821931202e-07  -6.3261236545106411e-04  -1.6403913012858587e-07  -8.2511597484642922e-08  2.8313736650040574e-07  5.1723609596203684e-04  2.3728843469605442e-15  -8.2511593552846927e-08  -2.8313735812352978e-07  -6.3261236545132215e-04  1.6403912728324058e-07
9.0000000000000102e-01  -5.6796125484534247e-03  -1.9172765136602873e-08  -1.2478373822326042e-06  3.3124232843899935e-06  4.6703036305183751e-03  -2.5172325965956025e-14  -1.2473543492567884e-06  -3.4994889920438077e-06  -5.6745512668581848e-03  1.9172785059486412e-08  -1.6280556627066023e-03  -2.7479097568634834e-07  -3.9309235189969128e-07  8.0299902780584761e-07  1.3288111842510500e-03  1.6990795420804030e-15  -3.9309234045855362e-07  -8.0299901501750034e-07  -1.6280556627140323e-03  2.7479097823697863e-07  -6.2920958314377354e-04  -1.6310268547801105e-07  -8.2039521877821372e-08  2.8172893733572387e-07  5.1416525515448404e-04  -3.9105366080335737e-15  -8.2039525595642009e-08  -2.8172894179477492e-07  -6.2920958313551442e-04  1.6310269054580743e-07
