#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            10.000000           10.000000           14.000000           14.000000           18.000000           18.000000
   0.0100000   -4.9887298019e-11   -3.5460539748e-08    3.6608631136e-10    1.6524534798e-10    1.6127929357e-10    6.0695352114e-11
   0.0200000   -5.7801845292e-11   -3.4280312019e-08    3.6603409721e-10    2.0092837253e-10    1.8187142465e-10    6.3539759677e-11
   0.0300000   -6.9034025627e-11   -3.3322152081e-08    3.6588170275e-10    2.3009720259e-10    2.1598015783e-10    6.8257394070e-11
   0.0400000   -8.2516669278e-11   -3.2295106642e-08    3.6561740939e-10    2.5310472903e-10    2.5772516958e-10    7.4029388658e-11
   0.0500000   -9.7015984853e-11   -3.0860607093e-08    3.6519814867e-10    2.7053818769e-10    2.9996888734e-10    7.9856487248e-11
   0.0600000   -1.1115932873e-10   -2.8683997990e-08    3.6458694498e-10    2.8310484102e-10    3.3487598097e-10    8.4646057364e-11
   0.0700000   -1.2346207102e-10   -2.5485618890e-08    3.6373880788e-10    2.9164529241e-10    3.5455218506e-10    8.7296843686e-11
   0.0800000   -1.3249133880e-10   -2.1085029286e-08    3.6262075459e-10    2.9704841211e-10    3.5165603074e-10    8.6787007301e-11
   0.0900000   -1.3702401974e-10   -1.5433012282e-08    3.6122395302e-10    3.0028959663e-10    3.2003884635e-10    8.2268981416e-11
   0.1000000   -1.3629392874e-10   -8.6274315900e-09    3.5956322958e-10    3.0232648893e-10    2.5528228771e-10    7.3130916839e-11
   0.1100000   -1.3015930741e-10   -9.1120867975e-10    3.5767159496e-10    3.0414515789e-10    1.5513979133e-10    5.9071200896e-11
   0.1200000   -1.1917842289e-10    7.3472227701e-09    3.5558208485e-10    3.0670111546e-10    1.9872188515e-11    4.0138538274e-11
   0.1300000   -1.0460851859e-10    1.5688588125e-08    3.5334899900e-10    3.1093050797e-10   -1.4758040887e-10    1.6757202328e-11
   0.1400000   -8.8307840943e-11    2.3608437518e-08    3.5100916126e-10    3.1770179503e-10   -3.4160344131e-10   -1.0272684362e-11
   0.1500000   -7.2369614716e-11    3.0608476882e-08    3.4858587930e-10    3.2783878274e-10   -5.5406698647e-10   -3.9801157636e-11
   0.1600000   -5.8910324939e-11    3.6247832300e-08    3.4608287912e-10    3.4210143121e-10   -7.7466073750e-10   -7.0377017973e-11
   0.1700000   -4.9673623192e-11    4.0188327111e-08    3.4346421058e-10    3.6118183005e-10   -9.9136596615e-10   -1.0031117101e-10
   0.1800000   -4.5758033884e-11    4.2229043862e-08    3.4064337735e-10    3.8566308870e-10   -1.1910821625e-09   -1.2776473293e-10
   0.1900000   -4.7502943592e-11    4.2326600300e-08    3.3749675978e-10    4.1606451970e-10   -1.3603182248e-09   -1.5085308479e-10
   0.2000000   -5.4384750912e-11    4.0599041531e-08    3.3384397272e-10    4.5278458849e-10   -1.4859800640e-09   -1.6775185234e-10
   0.2100000   -6.5253350386e-11    3.7313539792e-08    3.2949944236e-10    4.9608771800e-10   -1.5561527432e-09   -1.7681059530e-10
   0.2200000   -7.8426835210e-11    3.2859342816e-08    3.2419242868e-10    5.4611100553e-10   -1.5608616644e-09   -1.7664611711e-10
   0.2300000   -9.2084673135e-11    2.7709319125e-08    3.1767600047e-10    6.0282771565e-10   -1.4927805576e-09   -1.6626884555e-10
   0.2400000   -1.0454893102e-10    2.2374414694e-08    3.0970208832e-10    6.6602083159e-10   -1.3478196387e-09   -1.4513946705e-10
   0.2500000   -1.1448471580e-10    1.7355857615e-08    3.0002071252e-10    7.3530580782e-10   -1.1255738491e-09   -1.1324285127e-10
   0.2600000   -1.2108499481e-10    1.3100248286e-08    2.8843983288e-10    8.1007932636e-10   -8.2959366600e-10   -7.1116516456e-11
   0.2700000   -1.2413344084e-10    9.9615920235e-09    2.7482115161e-10    8.8955180858e-10   -4.6746454869e-10   -1.9867903618e-11
   0.2800000   -1.2392236820e-10    8.1743336201e-09    2.5907886405e-10    9.7266901248e-10   -5.0681821890e-11    3.8844198093e-11
   0.2900000   -1.2110777124e-10    7.8391648961e-09    2.4124866891e-10    1.0582438146e-09    4.0569904563e-10    1.0286668198e-10
   0.3000000   -1.1653919232e-10    8.9226544904e-09    2.2144556504e-10    1.1448498062e-09    8.8358368545e-10    1.6962736347e-10
   0.3100000   -1.1109627690e-10    1.1269953432e-08    1.9986922692e-10    1.2309227520e-09    1.3625706504e-09    2.3623645079e-10
   0.3200000   -1.0548991984e-10    1.4628704906e-08    1.7683178286e-10    1.3147804487e-09    1.8208056719e-09    2.9961566212e-10
   0.3300000   -1.0025895822e-10    1.8681029964e-08    1.5276903478e-10    1.3946411620e-09    2.2359687245e-09    3.5662485143e-10
   0.3400000   -9.5715119525e-11    2.3080001109e-08    1.2812655133e-10    1.4686784228e-09    2.5863153685e-09    4.0422761161e-10
   0.3500000   -9.1918662599e-11    2.7486506658e-08    1.0347886607e-10    1.5351268784e-09    2.8517417292e-09    4.3963053011e-10
   0.3600000   -8.8887094257e-11    3.1602867093e-08    7.9401496399e-11    1.5922500262e-09    3.0148152316e-09    4.6042515992e-10
   0.3700000   -8.6550394608e-11    3.5199735201e-08    5.6502385114e-11    1.6384665718e-09    3.0617102594e-09    4.6473075044e-10
   0.3800000   -8.4864257377e-11    3.8134253053e-08    3.5374634287e-11    1.6723785932e-09    2.9830320259e-09    4.5130123733e-10
   0.3900000   -8.3837138845e-11    4.0357619126e-08    1.6586005135e-11    1.6928172125e-09    2.7744318795e-09    4.1960490037e-10
   0.4000000   -8.3498926377e-11    4.1912370586e-08    6.3246172824e-13    1.6989062880e-09    2.4370333857e-09    3.6990015884e-10
   0.4100000   -8.3902772063e-11    4.2920224277e-08   -1.2037417449e-11    1.6900629084e-09    1.9776125216e-09    3.0322800636e-10
   0.4200000   -8.5066931885e-11    4.3562128302e-08   -2.1119694257e-11    1.6660723349e-09    1.4085160453e-09    2.2142377983e-10
   0.4300000   -8.6932105963e-11    4.4053541434e-08   -2.6368999150e-11    1.6270304046e-09    7.4731934282e-10    1.2705321018e-10
   0.4400000   -8.9346868563e-11    4.4617576615e-08   -2.7675830253e-11    1.5734011099e-09    1.6239148956e-11    2.3310980488e-11
   0.4500000   -9.2062800531e-11    4.5459198437e-08   -2.5072706633e-11    1.5059628401e-09   -7.5868429706e-10   -8.6062907296e-11
   0.4600000   -9.4826476368e-11    4.6742974638e-08   -1.8672907949e-11    1.4258454668e-09   -1.5486143448e-09   -1.9696718471e-10
