#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            10.000000           10.000000           14.000000           14.000000           18.000000           18.000000
   0.0100000   -3.3749043001e-10   -6.2206957401e-08   -5.7928778264e-10   -5.0657039570e-10   -1.2348981398e-10   -8.1236806095e-11
   0.0200000   -3.3710616661e-10   -6.0183662429e-08   -5.7567318752e-10   -5.2304711950e-10   -1.3241459482e-10   -8.2448466106e-11
   0.0300000   -3.3654360953e-10   -5.8614789782e-08   -5.7041990464e-10   -5.3732593072e-10   -1.4732167996e-10   -8.4488398559e-11
   0.0400000   -3.3584743654e-10   -5.7065431513e-08   -5.6368937695e-10   -5.4948514030e-10   -1.6580306165e-10   -8.7023920374e-11
   0.0500000   -3.3503258014e-10   -5.5017780541e-08   -5.5567127580e-10   -5.5964674138e-10   -1.8494274617e-10   -8.9643593772e-11
   0.0600000   -3.3413689874e-10   -5.1939506153e-08   -5.4659772109e-10   -5.6799778443e-10   -2.0151884512e-10   -9.1901012820e-11
   0.0700000   -3.3319254202e-10   -4.7353595034e-08   -5.3671498035e-10   -5.7475519059e-10   -2.1225288871e-10   -9.3333642458e-11
   0.0800000   -3.3224787645e-10   -4.0902403678e-08   -5.2631044538e-10   -5.8015144799e-10   -2.1403105173e-10   -9.3514569345e-11
   0.0900000   -3.3133623609e-10   -3.2398831604e-08   -5.1568471071e-10   -5.8446284732e-10   -2.0418541896e-10   -9.2073381111e-11
   0.1000000   -3.3050178891e-10   -2.1859615206e-08   -5.0517740814e-10   -5.8795256991e-10   -1.8067190833e-10   -8.8722576272e-11
   0.1100000   -3.2980060995e-10   -9.5172464979e-09   -4.9513341919e-10   -5.9088787258e-10   -1.4227164837e-10   -8.3302300524e-11
   0.1200000   -3.2925532614e-10    4.1905355085e-09   -4.8589723492e-10   -5.9354472380e-10   -8.8730248518e-11   -7.5774292155e-11
   0.1300000   -3.2887884069e-10    1.8652574314e-08   -4.7779282726e-10   -5.9620527313e-10   -2.0849858376e-11   -6.6263461914e-11
