#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            10.000000           10.000000           14.000000           14.000000           18.000000           18.000000
   0.0100000    1.9988268849e-08    1.2147580651e-08   -4.5794934480e-10    4.8963536925e-10   -1.7428231629e-10    1.1905166283e-10
   0.0200000    1.9419843984e-08    1.1926368442e-08   -4.9930931511e-10    5.1346143071e-10   -1.9064252702e-10    1.2566675146e-10
   0.0300000    1.8981430631e-08    1.1781393529e-08   -5.3016766023e-10    5.3147902598e-10   -2.1775492807e-10    1.3664654149e-10
   0.0400000    1.8507767549e-08    1.1617734211e-08   -5.5119247088e-10    5.4406738064e-10   -2.5093726397e-10    1.5009331739e-10
   0.0500000    1.7806512765e-08    1.1324855413e-08   -5.6334885292e-10    5.5177533402e-10   -2.8451370785e-10    1.6371447349e-10
   0.0600000    1.6687425950e-08    1.0793452401e-08   -5.6781509216e-10    5.5529842413e-10   -3.1225758524e-10    1.7498077543e-10
   0.0700000    1.4991332528e-08    9.9321813826e-09   -5.6599278470e-10    5.5542937337e-10   -3.2788698886e-10    1.8135201399e-10
   0.0800000    1.2615284124e-08    8.6820432800e-09   -5.5942461094e-10    5.5304764253e-10   -3.2557863601e-10    1.8046008169e-10
   0.0900000    9.5307123429e-09    7.0268686933e-09   -5.4979531196e-10    5.4908869407e-10   -3.0045392943e-10    1.7032708495e-10
   0.1000000    5.7925760455e-09    4.9984980381e-09   -5.3886300887e-10    5.4452181512e-10   -2.4900720782e-10    1.4952484057e-10
   0.1100000    1.5382434842e-09    2.6760668975e-09   -5.2840783836e-10    5.4031615457e-10   -1.6947585194e-10    1.1733031443e-10
   0.1200000   -3.0235307259e-09    1.7963756585e-10   -5.2021222372e-10    5.3741751717e-10   -6.2087312605e-11    7.3827728970e-11
   0.1300000   -7.6323134250e-09   -2.3410976083e-09   -5.1598739587e-10    5.3674265478e-10    7.0799121265e-11    1.9955753277e-11
