time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  1.6391618599762166e-06
1.0000000000000000e+00  3.2009230876774416e-07  1.6015562008278798e-06
2.0000000000000000e+00  8.6233359152668264e-06  1.5624362401653493e-06
2.9999999999999800e+00  1.9274773216303439e-05  1.5175516646308925e-06
3.9999999999999600e+00  2.8280326047141516e-05  1.4664697157316554e-06
4.9999999999999396e+00  3.5380519296279348e-05  1.4053258549255920e-06
5.9999999999999201e+00  4.3199113765149276e-05  1.3329965120538411e-06
6.9999999999998996e+00  5.0237120746402101e-05  1.2458820926423737e-06
7.9999999999998703e+00  5.7505206392868717e-05  1.1420485308027629e-06
8.9999999999998508e+00  6.4896535364810667e-05  1.0171902423629898e-06
9.9999999999998295e+00  7.0343876241835344e-05  8.6815800964029893e-07
1.0999999999999799e+01  7.5215358599107403e-05  6.9530672113628629e-07
1.1999999999999799e+01  7.9113152608024456e-05  5.0626059253608875e-07
1.2999999999999799e+01  8.1212520477835196e-05  3.6661823956734960e-07
1.3999999999999700e+01  8.3687454468124497e-05  4.6990151585736615e-07
1.4999999999999700e+01  8.7133605682542838e-05  8.2909989390747231e-07
1.5999999999999700e+01  8.9773714676381371e-05  1.3470179921425186e-06
1.6999999999999901e+01  8.9114931972243086e-05  2.0187092270859806e-06
1.8000000000000000e+01  8.7934974037254379e-05  2.8718886786895752e-06
1.9000000000000199e+01  8.7672074367498742e-05  3.9545586243644707e-06
2.0000000000000298e+01  8.5626929162101883e-05  5.3261250058480118e-06
2.1000000000000501e+01  8.0480708172343373e-05  7.0692926165145138e-06
2.2000000000000600e+01  7.4548566091378924e-05  9.2840059161513151e-06
2.3000000000000799e+01  6.9178732466543020e-05  1.2098486608798340e-05
2.4000000000000998e+01  6.2340802614931957e-05  1.5687223086876569e-05
2.5000000000001101e+01  5.1988701036570866e-05  2.0220240808012653e-05
2.6000000000001300e+01  3.8876528022224521e-05  2.5892907023577829e-05
2.7000000000001400e+01  2.4446701745203934e-05  3.2951727799133301e-05
2.8000000000001599e+01  7.7798996321414276e-06  4.1574958416655581e-05
2.9000000000001702e+01  -1.2604409428959982e-05  5.1925155741704975e-05
3.0000000000001901e+01  -3.5270020402456972e-05  6.3957910921912361e-05
3.1000000000002000e+01  -5.6447820211029124e-05  7.7395706062064569e-05
3.2000000000002203e+01  -7.1966347624817463e-05  9.1653094929865575e-05
3.3000000000001997e+01  -7.6309074354705245e-05  1.0551310872015254e-04
3.4000000000001798e+01  -6.0878681351263667e-05  1.1737223521463381e-04
3.5000000000001599e+01  -1.4901155920059743e-05  1.2532883582223487e-04
3.6000000000001400e+01  7.1817288369619532e-05  1.2725720073994399e-04
3.7000000000001201e+01  2.0696198325308683e-04  1.2107154048135102e-04
3.8000000000001002e+01  3.9548813298631087e-04  1.0527740902526113e-04
3.9000000000000803e+01  6.3765217803378568e-04  7.9357954080260372e-05
4.0000000000000597e+01  9.2579747185371410e-04  4.3850025322067551e-05
4.1000000000000398e+01  1.2464912715260232e-03  1.0846898482492924e-05
4.2000000000000199e+01  1.5864970199367247e-03  5.3961535067312737e-05
4.3000000000000000e+01  1.9334278415157940e-03  1.0795919925825610e-04
4.3999999999999801e+01  2.2689881037541975e-03  1.6265898524810648e-04
4.4999999999999602e+01  2.5704519301865594e-03  2.1510553594408500e-04
4.5999999999999403e+01  2.8220863539405545e-03  2.6213230899717463e-04
4.6999999999999197e+01  3.0152055241528548e-03  3.0120193174986120e-04
4.7999999999998998e+01  3.1394251326187003e-03  3.3017233249539525e-04
4.8999999999998799e+01  3.1811797204587518e-03  3.4697885780504408e-04
4.9999999999998600e+01  3.1327698784913171e-03  3.5053805465073799e-04
5.0999999999998401e+01  3.0003908758196923e-03  3.3980101927846260e-04
5.1999999999998202e+01  2.7939615344194577e-03  3.1485150792538778e-04
5.2999999999998003e+01  2.5188751655493063e-03  2.7629363424729590e-04
5.3999999999997797e+01  2.1849290501439753e-03  2.2545051181538809e-04
5.4999999999997598e+01  1.8138092606942778e-03  1.6437561509836054e-04
5.5999999999997399e+01  1.4314625602556293e-03  9.6124971413218897e-05
5.6999999999997200e+01  1.0567990650078556e-03  2.6649971490656677e-05
5.7999999999997002e+01  7.0905394074869646e-04  5.4331080162561795e-05
5.8999999999996803e+01  4.1213348717747232e-04  1.2466440125187401e-04
5.9999999999996597e+01  1.8437961843983269e-04  1.9029622946703956e-04
6.0999999999996398e+01  3.6122147219010722e-05  2.4776172792298354e-04
6.1999999999996199e+01  -2.5043085804840403e-05  2.9521541766216281e-04
6.2999999999996000e+01  3.8618387788055019e-06  3.3126996527073279e-04
