# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.1840420902728043e-05  1.6673914450652250e-05  8.0395184584306967e-01  4.2158073833722787e+00  7.6267245939069650e-01
5.0000000000000000e-01  2.0817218965282701e-05  1.5891102776021547e-05  8.0794134257024597e-01  4.2317653702809839e+00  7.5276523880748281e-01
1.0000000000000000e+00  1.9695904273799260e-05  1.5030312789440584e-05  8.0744001377701824e-01  4.2297600551080734e+00  7.4894607481241282e-01
1.5000000000000000e+00  1.8470571039873981e-05  1.4086289009519650e-05  8.0682853912516217e-01  4.2273141565006487e+00  7.4449927413401173e-01
2.0000000000000000e+00  1.7147969222330232e-05  1.3064746159609330e-05  8.0587268514540855e-01  4.2234907405816342e+00  7.3947439794408842e-01
2.4999999999999898e+00  1.5727832929568393e-05  1.1968156930232491e-05  8.0462744737201164e-01  4.2185097894880466e+00  7.3351435870928661e-01
2.9999999999999800e+00  1.4211463201716412e-05  1.0794953175163209e-05  8.0418024342794259e-01  4.2167209737117703e+00  7.2431931870544508e-01
3.4999999999999698e+00  1.2613491392908853e-05  9.5604316685865196e-06  8.0452542094825485e-01  4.2181016837930194e+00  7.1131389627865038e-01
3.9999999999999600e+00  1.0947910337506139e-05  8.2742332650598329e-06  8.0476024767163201e-01  4.2190409906865280e+00  6.9491185568569835e-01
4.4999999999999503e+00  9.2297089689555805e-06  6.9487893666747448e-06  8.0423149323736864e-01  4.2169259729494746e+00  6.7487583291079045e-01
4.9999999999999396e+00  7.5004503692049687e-06  5.6189699076745052e-06  8.0288132089697051e-01  4.2115252835878820e+00  6.4970828127034330e-01
5.4999999999999298e+00  5.7949348290304621e-06  4.3125794121651929e-06  8.0073383433507628e-01  4.2029353373403051e+00  6.1596476082661900e-01
5.9999999999999201e+00  4.1739721305844456e-06  3.0772429358364763e-06  7.9756303800580719e-01  4.1902521520232288e+00  5.6825484837438489e-01
6.4999999999999103e+00  2.7179430611164536e-06  1.9808953779336404e-06  7.9353118176010673e-01  4.1741247270404269e+00  4.9753436666170259e-01
6.9999999999998996e+00  1.5158967733878712e-06  1.0929458663076848e-06  7.8909787944709975e-01  4.1563915177883990e+00  3.8600644591524536e-01
7.4999999999998801e+00  6.7852577644426545e-07  5.0051768358242282e-07  7.9534652033332376e-01  4.1813860813332955e+00  2.0394455070547757e-01
7.9999999999998703e+00  3.4748674107889750e-07  3.1506464587898714e-07  8.9073976027691160e-01  4.5629590411076464e+00  3.3383008448057180e-02
8.4999999999998597e+00  6.8278946971457941e-07  6.6131169597802627e-07  9.2323115350921325e-01  4.6929246140368530e+00  2.3793029827581788e-01
8.9999999999998508e+00  1.8719320206065825e-06  1.6840679817458395e-06  8.8654078180068341e-01  4.5461631272027336e+00  4.8278208490671959e-01
