# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000   -3.9080943696e-03    1.9242640941e-03   -9.8295111272e-04    8.4375094073e-04   -3.5186160701e-04    4.3523219325e-04   -2.0030226347e-04    2.9942199963e-04
   0.0600000   -3.8979812662e-03    1.9162183721e-03   -9.8115997623e-04    8.4393830888e-04   -3.5141178731e-04    4.3524675000e-04   -2.0010148365e-04    3.0043433180e-04
   0.1100000   -3.8877684997e-03    1.9049901821e-03   -9.7934233726e-04    8.4373840916e-04   -3.5095764561e-04    4.3510243629e-04   -1.9990897217e-04    3.0165370037e-04
   0.1600000   -3.8775334369e-03    1.8937652973e-03   -9.7747932484e-04    8.4330066121e-04   -3.5050010528e-04    4.3484647887e-04   -1.9973027552e-04    3.0284109211e-04
   0.2100000   -3.8672679307e-03    1.8851380855e-03   -9.7558534447e-04    8.4284245701e-04   -3.5004034517e-04    4.3453141675e-04   -1.9956794113e-04    3.0385355332e-04
   0.2600000   -3.8568797645e-03    1.8804846442e-03   -9.7370079682e-04    8.4252652263e-04   -3.4957924788e-04    4.3420936434e-04   -1.9942158709e-04    3.0462853017e-04
   0.3100000   -3.8462739014e-03    1.8798088180e-03   -9.7185118342e-04    8.4238707379e-04   -3.4911698788e-04    4.3392675420e-04   -1.9928855142e-04    3.0516420693e-04
   0.3600000   -3.8354226761e-03    1.8820215783e-03   -9.7001617150e-04    8.4233800571e-04   -3.4865284513e-04    4.3372010562e-04   -1.9916475868e-04    3.0549935654e-04
   0.4100000   -3.8243703595e-03    1.8854860946e-03   -9.6814299613e-04    8.4225046082e-04   -3.4818529170e-04    4.3361322017e-04   -1.9904562310e-04    3.0569508369e-04
   0.4600000   -3.8131920017e-03    1.8886115049e-03   -9.6619285473e-04    8.4205124077e-04   -3.4771232311e-04    4.3361601975e-04   -1.9892684739e-04    3.0581983293e-04
   0.5100000   -3.8019528117e-03    1.8903071232e-03   -9.6417563634e-04    8.4178510869e-04   -3.4723194427e-04    4.3372503841e-04   -1.9880498952e-04    3.0593822375e-04
   0.5600000   -3.7906847741e-03    1.8901895935e-03   -9.6214050807e-04    8.4160592799e-04   -3.4674268559e-04    4.3392538285e-04   -1.9867772255e-04    3.0610367988e-04
   0.6100000   -3.7793721458e-03    1.8885320263e-03   -9.6013224033e-04    8.4170112865e-04   -3.4624402032e-04    4.3419381249e-04   -1.9854379495e-04    3.0635443428e-04
   0.6600000   -3.7679507653e-03    1.8860240541e-03   -9.5815313279e-04    8.4218976607e-04   -3.4573657850e-04    4.3450247934e-04   -1.9840277377e-04    3.0671228086e-04
   0.7100000   -3.7563401335e-03    1.8834549077e-03   -9.5616280674e-04    8.4304773569e-04   -3.4522209935e-04    4.3482282216e-04   -1.9825468953e-04    3.0718337187e-04
   0.7600000   -3.7444997517e-03    1.8814327454e-03   -9.5411406308e-04    8.4409866391e-04   -3.4470312115e-04    4.3512913206e-04   -1.9809969633e-04    3.0776038348e-04
   0.8100000   -3.7324610383e-03    1.8802202769e-03   -9.5199318168e-04    8.4507520900e-04   -3.4418246664e-04    4.3540138869e-04   -1.9793782535e-04    3.0842545524e-04
   0.8600000   -3.7202973667e-03    1.8797154741e-03   -9.4983106206e-04    8.4572143998e-04   -3.4366262961e-04    4.3562709336e-04   -1.9776886469e-04    3.0915342192e-04
   0.9100000   -3.7080578736e-03    1.8795555623e-03   -9.4767769835e-04    8.4588908191e-04   -3.4314519515e-04    4.3580197530e-04   -1.9759235873e-04    3.0991497677e-04
   0.9600000   -3.6957307283e-03    1.8792877045e-03   -9.4556321059e-04    8.4558553314e-04   -3.4263042448e-04    4.3592959895e-04   -1.9740769391e-04    3.1067951789e-04
   1.0100000   -3.6832676660e-03    1.8785386174e-03   -9.4347632982e-04    8.4495551238e-04   -3.4211710579e-04    4.3602003174e-04   -1.9721422767e-04    3.1141752786e-04
   1.0600000   -3.6706357872e-03    1.8771272156e-03   -9.4137219158e-04    8.4420904163e-04   -3.4160271775e-04    4.3608783040e-04   -1.9701141911e-04    3.1210241491e-04
   1.1100000   -3.6578416590e-03    1.8750919716e-03   -9.3919941927e-04    8.4353180142e-04   -3.4108388681e-04    4.3614965907e-04   -1.9679893092e-04    3.1271180455e-04
   1.1600000   -3.6449111016e-03    1.8726372485e-03   -9.3693090154e-04    8.4301922110e-04   -3.4055705462e-04    4.3622186442e-04   -1.9657668558e-04    3.1322831245e-04
   1.2100000   -3.6318531775e-03    1.8700297506e-03   -9.3458486645e-04    8.4266150102e-04   -3.4001922296e-04    4.3631830456e-04   -1.9634487278e-04    3.1363985809e-04
   1.2600000   -3.6186445254e-03    1.8674897350e-03   -9.3222083825e-04    8.4238088798e-04   -3.3946861963e-04    4.3644866896e-04   -1.9610391567e-04    3.1393959419e-04
   1.3100000   -3.6052464580e-03    1.8651185123e-03   -9.2990209151e-04    8.4209739679e-04   -3.3890513544e-04    4.3661744506e-04   -1.9585441001e-04    3.1412553475e-04
   1.3600000   -3.5916403228e-03    1.8628858568e-03   -9.2764557694e-04    8.4178628458e-04   -3.3833042033e-04    4.3682359641e-04   -1.9559705233e-04    3.1419996443e-04
   1.4100000   -3.5778524136e-03    1.8606750684e-03   -9.2540434506e-04    8.4149619626e-04   -3.3774759029e-04    4.3706092593e-04   -1.9533257180e-04    3.1416870747e-04
   1.4600000   -3.5639440620e-03    1.8583598260e-03   -9.2310483292e-04    8.4131882990e-04   -3.3716057891e-04    4.3731901868e-04   -1.9506167628e-04    3.1404032651e-04
   1.5100000   -3.5499674634e-03    1.8558756214e-03   -9.2070616586e-04    8.4132791798e-04   -3.3657325317e-04    4.3758459612e-04   -1.9478501834e-04    3.1382531144e-04
   1.5600000   -3.5359191042e-03    1.8532542722e-03   -9.1822620142e-04    8.4152210614e-04   -3.3598848449e-04    4.3784307839e-04   -1.9450318146e-04    3.1353530660e-04
   1.6100000   -3.5217309001e-03    1.8506094443e-03   -9.1571724765e-04    8.4180361168e-04   -3.3540740015e-04    4.3808014347e-04   -1.9421668339e-04    3.1318241372e-04
   1.6600000   -3.5073112367e-03    1.8480842839e-03   -9.1322331968e-04    8.4200505193e-04   -3.3482902289e-04    4.3828309296e-04   -1.9392599065e-04    3.1277859590e-04
   1.7100000   -3.4926076819e-03    1.8457879576e-03   -9.1075548334e-04    8.4195229766e-04   -3.3425042681e-04    4.3844188136e-04   -1.9363153768e-04    3.1233519770e-04
   1.7600000   -3.4776456971e-03    1.8437496231e-03   -9.0829362382e-04    8.4153417853e-04   -3.3366741167e-04    4.3854972820e-04   -1.9333374420e-04    3.1186258680e-04
   1.8100000   -3.4625143089e-03    1.8419072127e-03   -9.0580481607e-04    8.4074748852e-04   -3.3307555236e-04    4.3860330290e-04   -1.9303302646e-04    3.1136991495e-04
   1.8600000   -3.4473052031e-03    1.8401315407e-03   -9.0326692620e-04    8.3969799025e-04   -3.3247136096e-04    4.3860253567e-04   -1.9272979987e-04    3.1086498973e-04
   1.9100000   -3.4320450622e-03    1.8382721608e-03   -9.0068258874e-04    8.3855860887e-04   -3.3185324537e-04    4.3855015533e-04   -1.9242447230e-04    3.1035424369e-04
   1.9600000   -3.4166723906e-03    1.8362053853e-03   -8.9806944801e-04    8.3750472501e-04   -3.3122198581e-04    4.3845107760e-04   -1.9211743051e-04    3.0984278462e-04
   2.0100000   -3.4010830587e-03    1.8338672152e-03   -8.9543428188e-04    8.3665473199e-04   -3.3058057441e-04    4.3831176346e-04   -1.9180902171e-04    3.0933450907e-04
   2.0600000   -3.3852119398e-03    1.8312615149e-03   -8.9276113726e-04    8.3603902264e-04   -3.2993343934e-04    4.3813964074e-04   -1.9149953457e-04    3.0883226103e-04
   2.1100000   -3.3690796089e-03    1.8284430282e-03   -8.9003032511e-04    8.3560610048e-04   -3.2928525124e-04    4.3794263962e-04   -1.9118918288e-04    3.0833801810e-04
   2.1600000   -3.3527612169e-03    1.8254831948e-03   -8.8724675644e-04    8.3525797920e-04   -3.2863963251e-04    4.3772884830e-04   -1.9087809518e-04    3.0785308924e-04
   2.2100000   -3.3363115484e-03    1.8224321729e-03   -8.8444342507e-04    8.3489585745e-04   -3.2799812085e-04    4.3750625754e-04   -1.9056631195e-04    3.0737831039e-04
   2.2600000   -3.3197242315e-03    1.8192912385e-03   -8.8165536313e-04    8.3445571713e-04   -3.2735967301e-04    4.3728254310e-04   -1.9025379137e-04    3.0691422647e-04
   2.3100000   -3.3029605091e-03    1.8160053825e-03   -8.7889106743e-04    8.3392142747e-04   -3.2672085024e-04    4.3706483424e-04   -1.8994042275e-04    3.0646125139e-04
   2.3600000   -3.2860020361e-03    1.8124783894e-03   -8.7612622382e-04    8.3331486222e-04   -3.2607664778e-04    4.3685943528e-04   -1.8962604599e-04    3.0601979997e-04
   2.4100000   -3.2688611939e-03    1.8086051849e-03   -8.7332042699e-04    8.3267216979e-04   -3.2542176235e-04    4.3667149655e-04   -1.8931047466e-04    3.0559038859e-04
   2.4600000   -3.2515456288e-03    1.8043110689e-03   -8.7044189337e-04    8.3201923244e-04   -3.2475197501e-04    4.3650466369e-04   -1.8899351976e-04    3.0517370357e-04
   2.5100000   -3.2340358732e-03    1.7995852610e-03   -8.6748560026e-04    8.3135741880e-04   -3.2406528882e-04    4.3636075865e-04   -1.8867501148e-04    3.0477063811e-04
   2.5600000   -3.2163117605e-03    1.7944972892e-03   -8.6447624887e-04    8.3066463263e-04   -3.2336251079e-04    4.3623955755e-04   -1.8835481674e-04    3.0438230073e-04
   2.6100000   -3.1983873400e-03    1.7891897008e-03   -8.6145370630e-04    8.2990918264e-04   -3.2264709837e-04    4.3613872498e-04   -1.8803285071e-04    3.0400999869e-04
   2.6600000   -3.1802943673e-03    1.7838487161e-03   -8.5844749833e-04    8.2906863982e-04   -3.2192427705e-04    4.3605394517e-04   -1.8770908177e-04    3.0365520132e-04
   2.7100000   -3.1620261265e-03    1.7786625602e-03   -8.5545614714e-04    8.2814481286e-04   -3.2119963657e-04    4.3597926107e-04   -1.8738352982e-04    3.0331948820e-04
   2.7600000   -3.1435203329e-03    1.7737811338e-03   -8.5244729403e-04    8.2716854515e-04   -3.2047757631e-04    4.3590760095e-04   -1.8705625916e-04    3.0300448728e-04
   2.8100000   -3.1247211765e-03    1.7692884776e-03   -8.4938049498e-04    8.2619203919e-04   -3.1976004165e-04    4.3583144486e-04   -1.8672736695e-04    3.0271180815e-04
   2.8600000   -3.1056547901e-03    1.7651929634e-03   -8.4623570796e-04    8.2527074392e-04   -3.1904593843e-04    4.3574356317e-04   -1.8639696925e-04    3.0244297472e-04
   2.9100000   -3.0864185389e-03    1.7614332580e-03   -8.4302471534e-04    8.2444132967e-04   -3.1833142961e-04    4.3563775024e-04   -1.8606518649e-04    3.0219936135e-04
   2.9600000   -3.0670799426e-03    1.7578942212e-03   -8.3977728182e-04    8.2370543627e-04   -3.1761105411e-04    4.3550947579e-04   -1.8573212977e-04    3.0198213554e-04
   3.0100000   -3.0475959012e-03    1.7544270469e-03   -8.3651580184e-04    8.2302768255e-04   -3.1687934057e-04    4.3535638347e-04   -1.8539788961e-04    3.0179220960e-04
   3.0600000   -3.0278510513e-03    1.7508705928e-03   -8.3324128195e-04    8.2234964159e-04   -3.1613241503e-04    4.3517857931e-04   -1.8506252776e-04    3.0163020276e-04
   3.1100000   -3.0077791843e-03    1.7470731332e-03   -8.2994144579e-04    8.2161264536e-04   -3.1536908952e-04    4.3497866921e-04   -1.8472607263e-04    3.0149641476e-04
   3.1600000   -2.9874317513e-03    1.7429136289e-03   -8.2660931157e-04    8.2077765572e-04   -3.1459108303e-04    4.3476152623e-04   -1.8438851830e-04    3.0139081091e-04
   3.2100000   -2.9669154906e-03    1.7383195439e-03   -8.2324995188e-04    8.1983324144e-04   -3.1380231703e-04    4.3453379417e-04   -1.8404982664e-04    3.0131301819e-04
   3.2600000   -2.9462716951e-03    1.7332769360e-03   -8.1986781928e-04    8.1879022292e-04   -3.1300754236e-04    4.3430316377e-04   -1.8370993203e-04    3.0126233178e-04
