# time  Re(R=14)  Im(R=14)  Re(R=30)  Im(R=30)
4.0500000000000497e+01  1.4689410665285414e-02  -3.6593584472289706e-13  -2.6263970790944323e-03  2.2897968718067589e-15
4.1000000000000398e+01  1.3759916280113230e-02  -4.1197162462024497e-13  -1.7887961827402208e-03  4.7951805693486824e-15
4.1500000000000298e+01  1.2711341740317413e-02  -4.2556014051217672e-13  -8.9152660325665818e-04  -6.1908664026927469e-15
4.2000000000000199e+01  1.1554899289154881e-02  -3.3355641111589701e-13  5.1272179669778173e-05  -9.4490633376011386e-15
4.2500000000000099e+01  1.0303496829696345e-02  -3.5501054949493155e-13  1.0274162528719020e-03  1.6431964838282964e-14
4.3000000000000000e+01  8.9620020001424314e-03  3.4933935898120300e-14  2.0267812857840319e-03  1.2806998402048724e-14
4.3499999999999901e+01  7.5291383585745913e-03  -2.3270968485533672e-13  3.0404804517666726e-03  4.0167784666456617e-15
4.3999999999999801e+01  6.0379398243449603e-03  1.2657489124748636e-13  4.0533692995009625e-03  -1.2517325839581962e-14
4.4499999999999702e+01  4.4934404660173198e-03  5.0867652239905761e-14  5.0549009522696106e-03  -1.4644606734963775e-14
4.4999999999999602e+01  2.9142949426512821e-03  3.1835175297247227e-13  6.0398012569650274e-03  -2.2769871925454321e-14
4.5499999999999503e+01  1.3060140477526643e-03  4.5525975160944435e-13  7.0009099401658354e-03  -4.0029056551564124e-14
4.5999999999999403e+01  -3.3161520462651821e-04  5.4122557943594302e-13  7.9254310666274450e-03  -5.7641337184950926e-14
4.6499999999999297e+01  -1.9552701446660251e-03  5.7654541338043701e-13  8.8019820502359767e-03  -5.0387461638810773e-14
4.6999999999999197e+01  -3.5576383915448800e-03  3.1220273762067041e-13  9.6266010913493103e-03  -1.9880172439084177e-14
4.7499999999999098e+01  -5.1425597518946244e-03  6.1412788916748173e-14  1.0400439169355395e-02  2.6996646800383269e-14
4.7999999999998998e+01  -6.6986998226106625e-03  -5.8984565007910023e-13  1.1119376375971386e-02  4.1462474526334815e-14
4.8499999999998899e+01  -8.2120592640887394e-03  -1.2878124097442847e-12  1.1775344812266284e-02  1.9871481881045348e-14
4.8999999999998799e+01  -9.6531546034811493e-03  -1.5220386494934398e-12  1.2364665084078052e-02  5.5034864605016734e-15
4.9499999999998700e+01  -1.1005418818071752e-02  -1.1613433671220190e-12  1.2886043943694293e-02  7.2409627935570570e-15
4.9999999999998600e+01  -1.2291571893907479e-02  -9.6784173964038420e-13  1.3340040569170772e-02  -4.0771676806201571e-15
5.0499999999998501e+01  -1.3508136810278659e-02  4.9734382973445120e-13  1.3723756087648174e-02  -2.3151392505556603e-14
5.0999999999998401e+01  -1.4630011889217460e-02  2.7439249636817490e-13  1.4032396498559389e-02  -1.1938285646509450e-14
5.1499999999998302e+01  -1.5648207404594640e-02  1.0274942585674664e-12  1.4268747420179933e-02  -3.8319618067854042e-14
5.1999999999998202e+01  -1.6537435231589983e-02  1.2617957698994793e-12  1.4430992618882399e-02  -7.5575786270430309e-14
5.2499999999998103e+01  -1.7324988512499757e-02  1.5037432331352628e-12  1.4515573174621795e-02  -6.4703364533098308e-14
