# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time              L2_Ham              L2_Mom
   0.0000000    3.3769703096e-03    3.7566527462e-06
   0.0500000    3.8924432115e-03    1.0551289040e-05
   0.1000000    3.8923505272e-03    1.7804956400e-05
   0.1500000    3.8922524703e-03    2.3860112363e-05
   0.2000000    3.8921539968e-03    2.8807673725e-05
   0.2500000    3.8920618694e-03    3.2838303949e-05
   0.3000000    3.8919833523e-03    3.6125024272e-05
   0.3500000    3.8919254149e-03    3.8812340733e-05
   0.4000000    3.8918942880e-03    4.1018289729e-05
   0.4500000    3.8918952472e-03    4.2838612168e-05
   0.5000000    3.8919325439e-03    4.4350728025e-05
   0.5500000    3.8920094208e-03    4.5617057446e-05
   0.6000000    3.8921281716e-03    4.6687858308e-05
   0.6500000    3.8922902244e-03    4.7603610429e-05
   0.7000000    3.8924962344e-03    4.8396912637e-05
   0.7500000    3.8927461779e-03    4.9093989243e-05
   0.8000000    3.8930394443e-03    4.9715817759e-05
   0.8500000    3.8933749203e-03    5.0279223127e-05
   0.9000000    3.8937510665e-03    5.0797806870e-05
   0.9500000    3.8941659954e-03    5.1282488002e-05
   1.0000000    3.8946175366e-03    5.1741971314e-05
   1.0500000    3.8951032973e-03    5.2183225812e-05
   1.1000000    3.8956207308e-03    5.2611840637e-05
   1.1500000    3.8961671989e-03    5.3032292311e-05
   1.2000000    3.8967400089e-03    5.3448165193e-05
   1.2500000    3.8973364646e-03    5.3862337391e-05
   1.3000000    3.8979539266e-03    5.4277113438e-05
   1.3500000    3.8985898460e-03    5.4694316755e-05
   1.4000000    3.8992417946e-03    5.5115402094e-05
   1.4500000    3.8999074951e-03    5.5541544946e-05
   1.5000000    3.9005848536e-03    5.5973664341e-05
   1.5500000    3.9012719923e-03    5.6412445185e-05
   1.6000000    3.9019672419e-03    5.6858405489e-05
   1.6500000    3.9026691386e-03    5.7311947946e-05
   1.7000000    3.9033764672e-03    5.7773368806e-05
   1.7500000    3.9040882698e-03    5.8242868770e-05
   1.8000000    3.9048038087e-03    5.8720571829e-05
   1.8500000    3.9055225789e-03    5.9206533201e-05
   1.9000000    3.9062443244e-03    5.9700751102e-05
   1.9500000    3.9069690269e-03    6.0203188203e-05
   2.0000000    3.9076968933e-03    6.0713778689e-05
   2.0500000    3.9084283373e-03    6.1232420481e-05
   2.1000000    3.9091640007e-03    6.1758980044e-05
   2.1500000    3.9099047632e-03    6.2293313477e-05
   2.2000000    3.9106516905e-03    6.2835277591e-05
   2.2500000    3.9114060338e-03    6.3384719662e-05
   2.3000000    3.9121692696e-03    6.3941467480e-05
   2.3500000    3.9129430666e-03    6.4505334860e-05
   2.4000000    3.9137292516e-03    6.5076129345e-05
   2.4500000    3.9145298356e-03    6.5653652023e-05
   2.5000000    3.9153470108e-03    6.6237697015e-05
   2.5500000    3.9161831321e-03    6.6828054015e-05
   2.6000000    3.9170407148e-03    6.7424510001e-05
   2.6500000    3.9179224329e-03    6.8026853225e-05
   2.7000000    3.9188311199e-03    6.8634878226e-05
   2.7500000    3.9197697626e-03    6.9248382831e-05
   2.8000000    3.9207415039e-03    6.9867162104e-05
   2.8500000    3.9217496482e-03    7.0491009076e-05
   2.9000000    3.9227976540e-03    7.1119720225e-05
   2.9500000    3.9238891433e-03    7.1753098629e-05
   3.0000000    3.9250279008e-03    7.2390950380e-05
   3.0500000    3.9262178778e-03    7.3033078651e-05
   3.1000000    3.9274632092e-03    7.3679283690e-05
   3.1500000    3.9287681976e-03    7.4329369508e-05
   3.2000000    3.9301373332e-03    7.4983150394e-05
   3.2500000    3.9315753231e-03    7.5640449982e-05
   3.3000000    3.9330870796e-03    7.6301094722e-05
   3.3500000    3.9346777223e-03    7.6964911843e-05
   3.4000000    3.9363526126e-03    7.7631734444e-05
   3.4500000    3.9381173762e-03    7.8301405199e-05
   3.5000000    3.9399779035e-03    7.8973773598e-05
   3.5500000    3.9419403726e-03    7.9648692465e-05
   3.6000000    3.9440112859e-03    8.0326019073e-05
   3.6500000    3.9461974858e-03    8.1005617413e-05
   3.7000000    3.9485061681e-03    8.1687356827e-05
   3.7500000    3.9509449139e-03    8.2371109185e-05
   3.8000000    3.9535217330e-03    8.3056749821e-05
   3.8500000    3.9562450963e-03    8.3744162061e-05
   3.9000000    3.9591239681e-03    8.4433240644e-05
   3.9500000    3.9621678530e-03    8.5123891596e-05
   4.0000000    3.9653868435e-03    8.5816029178e-05
   4.0500000    3.9687916599e-03    8.6509572248e-05
   4.1000000    3.9723937016e-03    8.7204442813e-05
   4.1500000    3.9762051040e-03    8.7900567212e-05
   4.2000000    3.9802388035e-03    8.8597878011e-05
   4.2500000    3.9845086109e-03    8.9296314723e-05
   4.3000000    3.9890292856e-03    8.9995823231e-05
   4.3500000    3.9938166143e-03    9.0696355376e-05
   4.4000000    3.9988874912e-03    9.1397869642e-05
   4.4500000    4.0042600068e-03    9.2100332018e-05
   4.5000000    4.0099535572e-03    9.2803715487e-05
   4.5500000    4.0159889638e-03    9.3507997777e-05
   4.6000000    4.0223886025e-03    9.4213158777e-05
   4.6500000    4.0291765369e-03    9.4919179843e-05
   4.7000000    4.0363786526e-03    9.5626045522e-05
   4.7500000    4.0440228104e-03    9.6333745626e-05
   4.8000000    4.0521390232e-03    9.7042275854e-05
   4.8500000    4.0607596540e-03    9.7751637258e-05
   4.9000000    4.0699196376e-03    9.8461835456e-05
   4.9500000    4.0796567159e-03    9.9172879828e-05
   5.0000000    4.0900116913e-03    9.9884782504e-05
   5.0500000    4.1010287067e-03    1.0059755685e-04
   5.1000000    4.1127555605e-03    1.0131121567e-04
   5.1500000    4.1252440640e-03    1.0202577073e-04
   5.2000000    4.1385504401e-03    1.0274123453e-04
   5.2500000    4.1527357613e-03    1.0345762231e-04
   5.3000000    4.1678664334e-03    1.0417495224e-04
   5.3500000    4.1840147359e-03    1.0489324523e-04
   5.4000000    4.2012594335e-03    1.0561252480e-04
   5.4500000    4.2196864704e-03    1.0633281509e-04
   5.5000000    4.2393897512e-03    1.0705413939e-04
   5.5500000    4.2604720212e-03    1.0777652061e-04
   5.6000000    4.2830458582e-03    1.0849998154e-04
   5.6500000    4.3072347954e-03    1.0922454472e-04
   5.7000000    4.3331746046e-03    1.0995023376e-04
   5.7500000    4.3610147663e-03    1.1067707468e-04
   5.8000000    4.3909201602e-03    1.1140509690e-04
   5.8500000    4.4230730054e-03    1.1213433408e-04
   5.9000000    4.4576750909e-03    1.1286482443e-04
   5.9500000    4.4949503473e-03    1.1359661035e-04
   6.0000000    4.5351478351e-03    1.1432973911e-04
   6.0500000    4.5785452351e-03    1.1506426476e-04
   6.1000000    4.6254529376e-03    1.1580025027e-04
   6.1500000    4.6762188432e-03    1.1653776976e-04
   6.2000000    4.7312340163e-03    1.1727691129e-04
   6.2500000    4.7909393802e-03    1.1801778085e-04
   6.3000000    4.8558336868e-03    1.1876050723e-04
   6.3500000    4.9264830623e-03    1.1950524698e-04
