# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time           min_lapse             min_chi           max_abs_K         min_lapse_x         min_lapse_y         min_lapse_z             min_phi             max_phi              min_Pi              max_Pi
   0.0000000    2.1070210770e-01    1.0000000000e-08    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2988671046e-01    9.2988671046e-01    0.0000000000e+00    0.0000000000e+00
   0.0500000    2.1075615692e-01    1.0000000000e-08    4.8506346981e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2972265706e-01    9.2972265706e-01   -6.2675396732e-06    6.2675396741e-06
   0.1000000    2.1080456988e-01    1.0000000000e-08    8.8494815710e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2957571126e-01    9.2957571126e-01   -1.2476757236e-05    1.2476757233e-05
   0.1500000    2.1084831730e-01    1.0000000000e-08    1.2205871242e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2944292415e-01    9.2944292415e-01   -1.8760586667e-05    1.8760586665e-05
   0.2000000    2.1088816127e-01    1.0000000000e-08    1.5014677008e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2932197982e-01    9.2932197982e-01   -2.5198440560e-05    2.5198440560e-05
   0.2500000    2.1092470570e-01    1.0000000000e-08    1.7371256228e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2921104219e-01    9.2921104219e-01   -3.1640666046e-05    3.1640666048e-05
   0.3000000    2.1095843251e-01    1.0000000000e-08    1.9354455325e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2910864507e-01    9.2910864507e-01   -3.8067440445e-05    3.8067440448e-05
   0.3500000    2.1098972763e-01    1.0000000000e-08    2.1031223418e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2901361296e-01    9.2901361296e-01   -4.4490703830e-05    4.4490703830e-05
   0.4000000    2.1101889972e-01    1.0000000000e-08    2.2453406923e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2892500365e-01    9.2892500365e-01   -5.0938699005e-05    5.0938699004e-05
   0.4500000    2.1104619366e-01    1.0000000000e-08    2.3668268794e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2884206643e-01    9.2884206643e-01   -5.7431436475e-05    5.7431436473e-05
   0.5000000    2.1107180052e-01    1.0000000000e-08    2.4711495613e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2876421103e-01    9.2876421103e-01   -6.3977678100e-05    6.3977678103e-05
   0.5500000    2.1109586504e-01    1.0000000000e-08    2.5613042283e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2869098371e-01    9.2869098371e-01   -7.0577022415e-05    7.0577022424e-05
   0.6000000    2.1111849164e-01    1.0000000000e-08    2.6399140097e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2862204778e-01    9.2862204778e-01   -7.7224350960e-05    7.7224350961e-05
   0.6500000    2.1113974962e-01    1.0000000000e-08    2.7090622356e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2855716666e-01    9.2855716666e-01   -8.3920730833e-05    8.3920730833e-05
   0.7000000    2.1115967799e-01    1.0000000000e-08    2.7703804156e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2849618811e-01    9.2849618811e-01   -9.0665459061e-05    9.0665459062e-05
   0.7500000    2.1117829018e-01    1.0000000000e-08    2.8253460940e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2843902883e-01    9.2843902883e-01   -9.7463530540e-05    9.7463530544e-05
   0.8000000    2.1119557884e-01    1.0000000000e-08    2.8751149838e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2838565904e-01    9.2838565904e-01   -1.0431519816e-04    1.0431519816e-04
   0.8500000    2.1121152080e-01    1.0000000000e-08    2.9206304819e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2833608705e-01    9.2833608705e-01   -1.1122672280e-04    1.1122672280e-04
   0.9000000    2.1122608200e-01    1.0000000000e-08    2.9627017176e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2829034385e-01    9.2829034385e-01   -1.1819817028e-04    1.1819817029e-04
   0.9500000    2.1123922250e-01    1.0000000000e-08    3.0019592910e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2824846804e-01    9.2824846804e-01   -1.2522658253e-04    1.2522658252e-04
   1.0000000    2.1125090124e-01    1.0000000000e-08    3.0389454518e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2821049147e-01    9.2821049147e-01   -1.3231326049e-04    1.3231326049e-04
   1.0500000    2.1126108066e-01    1.0000000000e-08    3.0740963011e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2817642588e-01    9.2817642588e-01   -1.3946059782e-04    1.3946059782e-04
   1.1000000    2.1126973091e-01    1.0000000000e-08    3.1077634275e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2814625079e-01    9.2814625079e-01   -1.4666457943e-04    1.4666457943e-04
   1.1500000    2.1127683356e-01    1.0000000000e-08    3.1402365780e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2811990304e-01    9.2811990304e-01   -1.5392081851e-04    1.5392081851e-04
   1.2000000    2.1128238488e-01    1.0000000000e-08    3.1717496003e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2809726794e-01    9.2809726794e-01   -1.6124043132e-04    1.6124043133e-04
   1.2500000    2.1128639845e-01    1.0000000000e-08    3.2024922558e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2807817229e-01    9.2807817229e-01   -1.6860389600e-04    1.6860389599e-04
   1.3000000    2.1128890724e-01    1.0000000000e-08    3.2326545504e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2806237933e-01    9.2806237933e-01   -1.7602762614e-04    1.7602762614e-04
