# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000    6.4789631200e-10    1.7526138407e-10    5.7830972432e-11    2.2746256608e-11    1.1060275936e-09   -4.4197322455e-09    5.7788942555e-11    8.9807706977e-11
   0.0600000   -5.0263071924e-10   -5.3544631005e-10    4.3494347882e-11    3.7498922195e-11    1.4905153597e-09   -3.9817274147e-09    5.2816181974e-11    4.0052197371e-10
   0.1100000   -1.9746736357e-09   -1.0938867278e-09    4.5293990125e-11    4.4836612373e-11    1.2171460162e-09   -3.5426649335e-09    4.0708295338e-11    5.5163563005e-10
   0.1600000   -3.6639294154e-09   -1.2365078835e-09    6.1876835728e-11    5.7772110324e-11    3.7617707490e-10   -2.9863340215e-09    2.3665959767e-11    5.7393516572e-10
   0.2100000   -5.3181624526e-09   -7.9257075330e-10    8.3325351306e-11    9.9823364149e-11   -8.7643310213e-10   -2.1961886064e-09    3.6679739973e-12    4.9512643748e-10
   0.2600000   -6.6060100890e-09    2.3294508586e-10    8.4935778538e-11    1.9620810701e-10   -2.3367499648e-09   -1.1309285866e-09   -1.7702270551e-11    3.3943312476e-10
   0.3100000   -7.2123659185e-09    1.6472074961e-09    5.4027945535e-11    3.5656664818e-10   -3.7769506705e-09    1.2810434632e-10   -3.9252118812e-11    1.2764144367e-10
   0.3600000   -6.9229836673e-09    3.1348754287e-09    3.7065045742e-11    5.4619766829e-10   -4.9747194989e-09    1.3760049832e-09   -6.0089860116e-11   -1.2265170731e-10
   0.4100000   -5.6875609128e-09    4.3735754967e-09    1.3890888721e-10    6.6039337882e-10   -5.7450349692e-09    2.3329388492e-09   -7.9561464149e-11   -3.9679484472e-10
   0.4600000   -3.6508789102e-09    5.1456811885e-09    4.2647060863e-10    5.5472049442e-10   -5.9691926055e-09    2.7276445483e-09   -9.7139498168e-11   -6.8282582296e-10
   0.5100000   -1.1300477658e-09    5.3921389198e-09    7.9335655572e-10    1.6739518830e-10   -5.6152788396e-09    2.3889163632e-09   -1.1236497760e-10   -9.7123852180e-10
   0.5600000    1.4664120920e-09    5.1898847906e-09    9.4741086232e-10   -3.4604404181e-10   -4.7449222499e-09    1.3142108581e-09   -1.2480272533e-10   -1.2547814218e-09
   0.6100000    3.7455166758e-09    4.6831946336e-09    6.3242469117e-10   -6.3702052096e-10   -3.5035938925e-09   -3.0865017894e-10   -1.3400075052e-10   -1.5282335471e-09
   0.6600000    5.4153629721e-09    4.0199060843e-09   -7.0241992592e-11   -3.9343725258e-10   -2.0952547027e-09   -2.1364943373e-09   -1.3950723690e-10   -1.7881655876e-09
   0.7100000    6.3240185512e-09    3.3237083031e-09   -7.2198789036e-10    4.3498293826e-10   -7.4572101219e-10   -3.7542805055e-09   -1.4086666701e-10   -2.0326915323e-09
   0.7600000    6.4568428564e-09    2.6956292482e-09   -9.1918922494e-10    1.6580075078e-09    3.3791794189e-10   -4.7833008699e-09   -1.3766169818e-10   -2.2611811625e-09
   0.8100000    5.9090146858e-09    2.2194675725e-09   -7.0212245566e-10    3.0573260351e-09    1.0034692128e-09   -4.9822412784e-09   -1.2953990349e-10   -2.4739805647e-09
   0.8600000    4.8478158605e-09    1.9530779132e-09   -4.5989380317e-10    4.4982324117e-09    1.1777357342e-09   -4.3109632006e-09   -1.1628112466e-10   -2.6721124360e-09
   0.9100000    3.4744676987e-09    1.9076443571e-09   -3.7493254616e-10    5.8130479562e-09    8.7400569956e-10   -2.9381037287e-09   -9.7824688635e-11   -2.8569995400e-09
   0.9600000    1.9922464802e-09    2.0328618670e-09   -4.9807666473e-11    6.6487378150e-09    1.8213020659e-10   -1.1907099612e-09   -7.4313573837e-11   -3.0302334149e-09
   1.0100000    5.8159458560e-10    2.2287859083e-09    1.1698939131e-09    6.5194235941e-09   -7.5541135547e-10    5.3848919863e-10   -4.6138394282e-11   -3.1933497663e-09
   1.0600000   -6.1960512265e-10    2.3890106514e-09    3.3862822113e-09    5.0863130523e-09   -1.7750271888e-09    1.8980485494e-09   -1.3920407859e-11   -3.3476933127e-09
   1.1100000   -1.5288556120e-09    2.4538242489e-09    5.6139430901e-09    2.4836597256e-09   -2.7233295338e-09    2.6672968915e-09    2.1451026807e-11   -3.4943230071e-09
   1.1600000   -2.1186445769e-09    2.4384407954e-09    6.1704501141e-09   -5.7445913801e-10   -3.4815597393e-09    2.8030120267e-09    5.8872815167e-11   -3.6339545130e-09
   1.2100000   -2.4018463089e-09    2.4158729004e-09    3.9276507696e-09   -3.1032409225e-09   -3.9787441302e-09    2.4317247678e-09    9.7037159390e-11   -3.7669496068e-09
   1.2600000   -2.4123900667e-09    2.4685902724e-09   -5.2519459001e-10   -4.4343277946e-09   -4.1927880830e-09    1.7933330347e-09    1.3450947608e-10   -3.8933858727e-09
   1.3100000   -2.1920203725e-09    2.6434411354e-09   -4.9990503762e-09   -4.5593176901e-09   -4.1420043367e-09    1.1561262373e-09    1.6976565593e-10   -4.0130682389e-09
   1.3600000   -1.7881075476e-09    2.9357963977e-09   -7.2932174897e-09   -3.8602073346e-09   -3.8714167130e-09    7.3135765732e-10    2.0129334048e-10   -4.1256290174e-09
   1.4100000   -1.2573485183e-09    3.3018339516e-09   -6.8953072509e-09   -2.5691860107e-09   -3.4389023545e-09    6.1405005501e-10    2.2764452839e-10   -4.2305807812e-09
   1.4600000   -6.6756813309e-10    3.6813745866e-09   -5.1145662109e-09   -6.5103162073e-10   -2.9049154990e-09    7.6706410943e-10    2.4751087438e-10   -4.3273866360e-09
   1.5100000   -9.3387212271e-11    4.0142714324e-09   -3.5436051272e-09    1.7799437775e-09   -2.3273226086e-09    1.0506588005e-09    2.5980844152e-10   -4.4155322554e-09
   1.5600000    3.9448142551e-10    4.2473318081e-09   -2.5226712833e-09    4.1271984449e-09   -1.7606476326e-09    1.2850015520e-09    2.6371619005e-10   -4.4945636354e-09
   1.6100000    7.4189040408e-10    4.3392778459e-09   -1.1792318589e-09    5.5521794815e-09   -1.2573497915e-09    1.3227994910e-09    2.5872714377e-10   -4.5641386558e-09
   1.6600000    9.1995274524e-10    4.2719949098e-09    1.1809064640e-09    5.5674343721e-09   -8.6797866557e-10    1.1069575119e-09    2.4467803820e-10   -4.6240478062e-09
   1.7100000    9.2684746202e-10    4.0658328470e-09    3.9408869058e-09    4.4489481419e-09   -6.3833938004e-10    6.9394455182e-10    2.2176519066e-10   -4.6742502391e-09
   1.7600000    7.8437572213e-10    3.7846641823e-09    5.5131274707e-09    3.1606679761e-09   -6.0292379211e-10    2.3575749050e-10    1.9053019472e-10   -4.7148871317e-09
   1.8100000    5.3251971534e-10    3.5161500424e-09    4.8273586037e-09    2.7674547770e-09   -7.7634813691e-10   -7.2630319029e-11    1.5183318897e-10   -4.7462684129e-09
   1.8600000    2.2349287632e-10    3.3329178555e-09    2.4972703140e-09    3.6155020805e-09   -1.1455278075e-09   -6.1954663333e-11    1.0682827468e-10   -4.7688595354e-09
   1.9100000   -8.4896513906e-11    3.2610374090e-09    4.3323304253e-10    4.9594070360e-09   -1.6661256053e-09    3.5010265108e-10    5.6913951472e-11   -4.7832697458e-09
   1.9600000   -3.3702225958e-10    3.2834523975e-09    1.3167613760e-10    5.5904793968e-09   -2.2655583656e-09    1.1256949982e-09    3.6440180479e-12   -4.7902024889e-09
   2.0100000   -4.8725646997e-10    3.3751612037e-09    1.2783308409e-09    4.9924179301e-09   -2.8534647322e-09    2.1128063475e-09   -5.1298582753e-11   -4.7904251092e-09
   2.0600000   -5.0717998826e-10    3.5328321905e-09    2.1258182351e-09    3.7494849480e-09   -3.3378203223e-09    3.0885135505e-09   -1.0620147090e-10   -4.7847207149e-09
   2.1100000   -3.9396903642e-10    3.7620728716e-09    1.2907865182e-09    2.7056664080e-09   -3.6431942614e-09    3.8253758079e-09   -1.5936494705e-10   -4.7738628368e-09
   2.1600000   -1.7504849815e-10    4.0313057773e-09   -9.0648026013e-10    1.9584587147e-09   -3.7265107387e-09    4.1594111938e-09   -2.0917966930e-10   -4.7585570368e-09
   2.2100000    1.0264217588e-10    4.2518735406e-09   -2.8826097403e-09    9.9508138077e-10   -3.5861652168e-09    4.0381820782e-09   -2.5417296421e-10   -4.7394347437e-09
   2.2600000    4.0098076265e-10    4.3330989650e-09   -3.3770133542e-09   -2.6549166072e-10   -3.2618580306e-09    3.5339991693e-09   -2.9305044596e-10   -4.7170427124e-09
   2.3100000    7.1113443227e-10    4.2762917224e-09   -2.4831847847e-09   -9.6845371563e-10   -2.8250537465e-09    2.8190332574e-09   -3.2475259877e-10   -4.6918213185e-09
   2.3600000    1.0267404833e-09    4.1993103702e-09   -1.2550224985e-09   -6.4890941929e-11   -2.3626000294e-09    2.1111775942e-09   -3.4844399620e-10   -4.6641217407e-09
   2.4100000    1.2772056221e-09    4.2292669230e-09   -5.1704567374e-10    2.5576809501e-09   -1.9577065475e-09    1.6085881303e-09   -3.6356321827e-10   -4.6342164398e-09
   2.4600000    1.3084415872e-09    4.3535399800e-09   -1.1650448782e-10    5.7741961802e-09   -1.6731263618e-09    1.4337199031e-09   -3.6980233905e-10   -4.6023044447e-09
   2.5100000    9.9273226251e-10    4.4092582462e-09    7.0639522119e-10    7.9619933148e-09   -1.5407776171e-09    1.6037240330e-09   -3.6712876531e-10   -4.5685420025e-09
   2.5600000    4.0586900999e-10    4.2685863772e-09    2.2323622139e-09    8.0536517060e-09   -1.5595256255e-09    2.0352400650e-09   -3.5575508962e-10   -4.5330500753e-09
   2.6100000   -1.3432515610e-10    4.0357306715e-09    3.6251053123e-09    6.1338674653e-09   -1.7010655928e-09    2.5798802250e-09   -3.3612974225e-10   -4.4959511739e-09
   2.6600000   -2.9294227996e-10    3.9979938492e-09    3.5850111652e-09    3.3028082980e-09   -1.9210563385e-09    3.0773171361e-09   -3.0891133247e-10   -4.4573427596e-09
   2.7100000   -3.8354066775e-11    4.3192315506e-09    1.7502725106e-09    1.0156283430e-09   -2.1718949194e-09    3.4077136183e-09   -2.7494006881e-10   -4.4173649563e-09
   2.7600000    2.9341671446e-10    4.7960260543e-09   -7.2342279884e-10    3.6083920830e-10   -2.4134137903e-09    3.5264819704e-09   -2.3520193313e-10   -4.3761598150e-09
   2.8100000    3.3584456202e-10    4.9987869992e-09   -2.1789050584e-09    1.6339850443e-09   -2.6188176182e-09    3.4710571271e-09   -1.9079006818e-10   -4.3339192431e-09
   2.8600000    1.2250051096e-10    4.7053007776e-09   -1.9883309576e-09    4.2626038891e-09   -2.7752464317e-09    3.3391550297e-09   -1.4288074753e-10   -4.2908853707e-09
   2.9100000    1.0038032683e-10    4.1458865890e-09   -9.3555960307e-10    7.0331040256e-09   -2.8800365180e-09    3.2475697890e-09   -9.2676846205e-11   -4.2473549843e-09
   2.9600000    5.9455071453e-10    3.7478618703e-09   -1.9707271684e-10    8.6156545664e-09   -2.9350940513e-09    3.2868020596e-09   -4.1392791410e-11   -4.2036822708e-09
   3.0100000    1.2607371084e-09    3.6861717999e-09   -1.8961271895e-10    8.2029664042e-09   -2.9420988942e-09    3.4875916076e-09    9.7801555601e-12   -4.1602860105e-09
   3.0600000    1.2640905832e-09    3.8420494995e-09   -4.2607171997e-10    5.8624270230e-09   -2.9004948561e-09    3.8105291952e-09    5.9711589975e-11   -4.1176462831e-09
   3.1100000    2.1981584635e-10    4.2315841370e-09   -2.6904560694e-10    2.4419144708e-09   -2.8090127770e-09    4.1617976737e-09    1.0732580690e-10   -4.0763175066e-09
   3.1600000   -1.0889079045e-09    5.1970574417e-09    3.3529350437e-10   -7.3048350987e-10   -2.6697745800e-09    4.4287613343e-09    1.5166309069e-10   -4.0368994072e-09
   3.2100000   -1.2698425474e-09    6.8126225844e-09    8.4173959942e-10   -2.2202621528e-09   -2.4929290329e-09    4.5222580285e-09    1.9184630043e-10   -4.0000433850e-09
   3.2600000    1.3677670828e-10    8.1269454903e-09    7.4611996133e-10   -1.0884071730e-09   -2.2993688981e-09    4.4105429601e-09    2.2712565919e-10   -3.9664144161e-09
   3.3100000    1.8548587514e-09    7.5517949225e-09    1.8342267812e-10    2.4331860555e-09   -2.1198226247e-09    4.1329464602e-09    2.5688787661e-10   -3.9366860671e-09
   3.3600000    2.0837709588e-09    4.5988421039e-09   -1.8945144707e-10    6.8567118394e-09   -1.9895342146e-09    3.7884067537e-09    2.8067181490e-10   -3.9114836415e-09
   3.4100000    6.7841509782e-10    1.2108689638e-09    6.5468059273e-11    1.0273805253e-08   -1.9397846118e-09    3.5031971280e-09    2.9814510445e-10   -3.8913786731e-09
   3.4600000   -3.3881403084e-10    6.5328069774e-10    6.4722415909e-10    1.1481553727e-08   -1.9887603869e-09    3.3888403335e-09    3.0916199827e-10   -3.8768203513e-09
   3.5100000    9.5402916417e-10    4.3316536456e-09    8.4841008875e-10    1.0474058151e-08   -2.1346268957e-09    3.5049473160e-09    3.1373508621e-10   -3.8681185000e-09
   3.5600000    3.6521659852e-09    9.6601581061e-09    3.6646839739e-10    8.0929636852e-09   -2.3536145966e-09    3.8395540246e-09    3.1205563663e-10   -3.8654120860e-09
   3.6100000    4.3771405180e-09    1.1795099154e-08   -3.5030682061e-10    5.3747035955e-09   -2.6042618757e-09    4.3134546043e-09    3.0448333943e-10   -3.8686275452e-09
   3.6600000    1.0442398102e-09    8.2438000259e-09   -6.0429776860e-10    3.1307408324e-09   -2.8369605836e-09    4.8067905539e-09    2.9153584775e-10   -3.8775007336e-09
   3.7100000   -4.0544802654e-09    1.8117503814e-09   -2.0570656642e-10    1.8545121796e-09   -3.0063621705e-09    5.1984962430e-09    2.7387955914e-10   -3.8915311885e-09
   3.7600000   -6.0191144787e-09   -1.6649749319e-09    3.4987955419e-10    1.7575759456e-09   -3.0827248828e-09    5.4049990221e-09    2.5229197129e-10   -3.9100389823e-09
   3.8100000   -2.7390381417e-09    9.2770903577e-10    4.3796566984e-10    2.7525322682e-09   -3.0588503307e-09    5.4051831170e-09    2.2762082215e-10   -3.9321853254e-09
   3.8600000    2.2323309348e-09    6.6698908433e-09   -3.2042542265e-11    4.3837978320e-09   -2.9503547578e-09    5.2435458368e-09    2.0075785603e-10   -3.9570288014e-09
   3.9100000    3.3710429513e-09    9.6446924969e-09   -5.4480652132e-10    5.8963471530e-09   -2.7895186152e-09    5.0112941354e-09    1.7257287871e-10   -3.9835657323e-09
   3.9600000   -2.4269249847e-10    7.3911084905e-09   -5.4802520305e-10    6.6007620018e-09   -2.6148885375e-09    4.8126823493e-09    1.4387437817e-10   -4.0108110127e-09
   4.0100000   -3.4124710182e-09    3.6026751301e-09   -4.2038162367e-11    6.3569197504e-09   -2.4606079295e-09    4.7289946524e-09    1.1535376881e-10   -4.0378421975e-09
   4.0600000   -9.6593485398e-10    3.7024530535e-09    4.4178897813e-10    5.7095306277e-09   -2.3489255958e-09    4.7926489832e-09    8.7573961890e-11   -4.0638836377e-09
   4.1100000    5.3521624116e-09    8.1595405750e-09    4.4235344204e-10    5.4417242586e-09   -2.2882314982e-09    4.9802664861e-09    6.0904636422e-11   -4.0883260192e-09
   4.1600000    8.0414527541e-09    1.1549945376e-08    7.5769243070e-11    5.9288675104e-09   -2.2763731574e-09    5.2259435062e-09    3.5543880712e-11   -4.1107800463e-09
   4.2100000    2.6806378923e-09    8.9823063119e-09   -1.2542050764e-10    6.9197322066e-09   -2.3067696377e-09    5.4490009153e-09    1.1503572260e-11   -4.1310718678e-09
   4.2600000   -5.8515649595e-09    2.4767383747e-09    1.4992835488e-10    7.8911632750e-09   -2.3739346124e-09    5.5851484132e-09   -1.1357464716e-11   -4.1492580375e-09
   4.3100000   -8.0550431513e-09   -7.8848955714e-10    6.2167554386e-10    8.5076683778e-09   -2.4752188957e-09    5.6095561891e-09   -3.3304861376e-11   -4.1655809706e-09
   4.3600000   -8.7858479602e-10    3.0220600441e-09    7.4143617846e-10    8.7163578264e-09   -2.6080229736e-09    5.5437158635e-09   -5.4678627738e-11   -4.1804426622e-09
   4.4100000    7.9106679606e-09    9.2936268475e-09    3.2032792448e-10    8.5278833219e-09   -2.7638759900e-09    5.4445031512e-09   -7.5844954083e-11   -4.1943478188e-09
   4.4600000    8.2011561206e-09    1.0154110261e-08   -2.6213749993e-10    7.8670783831e-09   -2.9233426749e-09    5.3805046171e-09   -9.7123885288e-11   -4.2078325947e-09
   4.5100000   -3.8518780650e-10    4.3783770521e-09   -4.8347015676e-10    6.6923803182e-09   -3.0554848598e-09    5.4055361936e-09   -1.1875284192e-10   -4.2214227700e-09
   4.5600000   -7.4006444666e-09   -3.1957229554e-10   -2.3535114169e-10    5.2188885322e-09   -3.1242777622e-09    5.5393198696e-09   -1.4084346675e-10   -4.2355599375e-09
