time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  4.6793177068353870e-06
5.0000000000000000e-01  -5.9672866843663125e-07  5.2776543337981411e-06
1.0000000000000000e+00  7.8471419806556122e-07  5.0656249564701564e-06
1.5000000000000000e+00  9.0892692316768228e-06  4.4819032831586446e-06
2.0000000000000000e+00  2.1286086346472909e-05  4.4730946582643059e-06
2.4999999999999898e+00  3.4271052150215865e-05  4.5416910894872907e-06
2.9999999999999800e+00  4.7130795550579844e-05  4.4940804241931439e-06
3.4999999999999698e+00  5.8795915288938590e-05  4.4400912718506289e-06
3.9999999999999600e+00  6.8517143329319911e-05  4.4083700068282888e-06
4.4999999999999503e+00  7.6812077206534645e-05  4.3657793822386335e-06
4.9999999999999396e+00  8.5029508473592036e-05  4.2915282508511522e-06
5.4999999999999298e+00  9.3874310177261510e-05  4.2015910298280942e-06
5.9999999999999201e+00  1.0280616323383765e-04  4.1177874740126249e-06
6.4999999999999103e+00  1.1108807049958199e-04  4.0380593707132036e-06
6.9999999999998996e+00  1.1880501379028144e-04  3.9497342515251879e-06
7.4999999999998801e+00  1.2666635986423552e-04  3.8449920406584304e-06
7.9999999999998703e+00  1.3509793153267254e-04  3.7272981628948655e-06
8.4999999999998597e+00  1.4364056284115584e-04  3.6026605068354637e-06
8.9999999999998508e+00  1.5132696678941198e-04  3.4691852262287778e-06
9.4999999999998401e+00  1.5768886802457991e-04  3.3237079736991182e-06
9.9999999999998295e+00  1.6317770544826805e-04  3.1678148001269489e-06
1.0499999999999799e+01  1.6848593399254992e-04  2.9999496139687132e-06
1.0999999999999799e+01  1.7372308420257263e-04  2.8138889139197009e-06
1.1499999999999799e+01  1.7841568311987541e-04  2.5981900300160809e-06
1.1999999999999799e+01  1.8207672534805070e-04  2.3560290556693839e-06
1.2499999999999799e+01  1.8463044552648102e-04  2.1156875855287464e-06
1.2999999999999799e+01  1.8651896654157078e-04  1.9042436604098088e-06
1.3499999999999799e+01  1.8861202995732379e-04  1.7327786407484357e-06
1.3999999999999700e+01  1.9181209545466403e-04  1.6167921614621320e-06
1.4499999999999700e+01  1.9635422760345072e-04  1.5918083933788446e-06
1.4999999999999700e+01  2.0140686442339292e-04  1.7098059357393113e-06
1.5499999999999700e+01  2.0552999706400748e-04  1.9917966267581364e-06
1.5999999999999700e+01  2.0760776733139895e-04  2.4195892449856698e-06
1.6499999999999801e+01  2.0744324386096335e-04  2.9738978079081957e-06
1.6999999999999901e+01  2.0573092210205600e-04  3.6410248039368344e-06
1.7499999999999901e+01  2.0360948562394318e-04  4.4133083224100318e-06
1.8000000000000000e+01  2.0203813703963659e-04  5.2909586903989505e-06
1.8500000000000099e+01  2.0125656618792586e-04  6.2775186848723423e-06
1.9000000000000199e+01  2.0065813918269400e-04  7.3794451093429595e-06
1.9500000000000199e+01  1.9919827888760129e-04  8.6100252901892481e-06
2.0000000000000298e+01  1.9604765180850173e-04  9.9850821320105721e-06
2.0500000000000401e+01  1.9104241688528643e-04  1.1517605054101573e-05
2.1000000000000501e+01  1.8470648130805914e-04  1.3215602354075545e-05
2.1500000000000600e+01  1.7791689656969915e-04  1.5092795179054154e-05
2.2000000000000600e+01  1.7142547237912335e-04  1.7172191016669049e-05
2.2500000000000700e+01  1.6546779028353429e-04  1.9476834885365311e-05
2.3000000000000799e+01  1.5964276813654443e-04  2.2026452964336509e-05
2.3500000000000899e+01  1.5311749926193291e-04  2.4835934999015375e-05
2.4000000000000998e+01  1.4503961728387123e-04  2.7925731590759752e-05
2.4500000000000998e+01  1.3493575323565103e-04  3.1329559211298332e-05
2.5000000000001101e+01  1.2290760548709119e-04  3.5075331026491529e-05
2.5500000000001201e+01  1.0955336682408185e-04  3.9168555820485878e-05
2.6000000000001300e+01  9.5652445418695930e-05  4.3591575367664954e-05
2.6500000000001300e+01  8.1755498109899226e-05  4.8345620278346663e-05
2.7000000000001400e+01  6.7904384734599680e-05  5.3463534687332631e-05
2.7500000000001499e+01  5.3658913196758372e-05  5.8969251546172683e-05
2.8000000000001599e+01  3.8424550120578184e-05  6.4851802327003995e-05
2.8500000000001702e+01  2.1588753290694064e-05  7.1076123600413834e-05
2.9000000000001702e+01  4.3010966616198094e-06  7.7617045469023023e-05
2.9500000000001801e+01  -1.3317041414137415e-05  8.4423050536878706e-05
3.0000000000001901e+01  -3.0338216524912264e-05  9.1419166242434559e-05
3.0500000000002000e+01  -4.5921976664684873e-05  9.8538711040203710e-05
3.1000000000002000e+01  -5.9522080677733710e-05  1.0568872997086604e-04
3.1500000000002100e+01  -7.0918684042623571e-05  1.1275664979279905e-04
3.2000000000002203e+01  -8.0105353823561643e-05  1.1959772515301640e-04
3.2500000000002103e+01  -8.7105237112266481e-05  1.2602668554906394e-04
