time  net_outward_flux  psi4_boundary_amp
5.0499999999998501e+01  2.3425210561450909e-03  3.3851729506232953e-04
5.0999999999998401e+01  2.3805170335416256e-03  3.4629642005320712e-04
5.1499999999998302e+01  2.4160784655581739e-03  3.5258016078436533e-04
5.1999999999998202e+01  2.4511947911836410e-03  3.5708443856193121e-04
5.2499999999998103e+01  2.4852484097206929e-03  3.5957997974124550e-04
5.2999999999998003e+01  2.5151587367384879e-03  3.5995707535727912e-04
5.3499999999997897e+01  2.5368183764778022e-03  3.5832811435441481e-04
5.3999999999997797e+01  2.5467863553359713e-03  3.5473492861763997e-04
5.4499999999997698e+01  2.5435282500409313e-03  3.4899186506419578e-04
5.4999999999997598e+01  2.5279132187490290e-03  3.4109307202564906e-04
5.5499999999997499e+01  2.5026089096431507e-03  3.3119359072341877e-04
5.5999999999997399e+01  2.4704257437962022e-03  3.1965032388198383e-04
5.6499999999997300e+01  2.4326873020483536e-03  3.0664911067120157e-04
5.6999999999997200e+01  2.3887802343827281e-03  2.9225262741355710e-04
5.7499999999997101e+01  2.3370632658611442e-03  2.7651505250953976e-04
5.7999999999997002e+01  2.2762070365668365e-03  2.5968289525333664e-04
5.8499999999996902e+01  2.2059695349713557e-03  2.4267828889192083e-04
5.8999999999996803e+01  2.1271003529653590e-03  2.2664120976874681e-04
5.9499999999996703e+01  2.0407845674158577e-03  2.1261478295393332e-04
5.9999999999996597e+01  1.9481008584646673e-03  2.0150997294051182e-04
6.0499999999996497e+01  1.8497282729557196e-03  1.9444252110933395e-04
6.0999999999996398e+01  1.7461232726774007e-03  1.9232410647682766e-04
6.1499999999996298e+01  1.6382079979103989e-03  1.9555683583415186e-04
6.1999999999996199e+01  1.5279381551657175e-03  2.0391086301267428e-04
6.2499999999996099e+01  1.4180159754194545e-03  2.1678520256254602e-04
6.2999999999996000e+01  1.3108074118474908e-03  2.3339681541412226e-04
6.3499999999995900e+01  1.2074372852017672e-03  2.5283290785003162e-04
6.3999999999995801e+01  1.1078257243227879e-03  2.7379425731264586e-04
6.4499999999996106e+01  1.0112903158624596e-03  2.9506038986276472e-04
6.4999999999996305e+01  9.1704311033993812e-04  3.1604055055162237e-04
6.5499999999996604e+01  8.2450973632353856e-04  3.3697074278953357e-04
6.5999999999996902e+01  7.3361039259155398e-04  3.5790750447582789e-04
6.6499999999997101e+01  6.4495821086377788e-04  3.7862234681647756e-04
6.6999999999997399e+01  5.5989863879869425e-04  3.9852276554041768e-04
6.7499999999997598e+01  4.8044647835397892e-04  4.1698679429021584e-04
6.7999999999997897e+01  4.0917400900897455e-04  4.3395551808200690e-04
6.8499999999998096e+01  3.4889403476287881e-04  4.4897553043668541e-04
6.8999999999998394e+01  3.0199857141917157e-04  4.6195274684727745e-04
6.9499999999998593e+01  2.6967930861070382e-04  4.7282658141580724e-04
6.9999999999998906e+01  2.5161107779595024e-04  4.8170415542626437e-04
7.0499999999999204e+01  2.4653143739058824e-04  4.8885708440626050e-04
7.0999999999999403e+01  2.5341645812527894e-04  4.9450324592838820e-04
7.1499999999999702e+01  2.7237625882236269e-04  4.9863175896861487e-04
7.1999999999999901e+01  3.0471353186784840e-04  5.0112024304284288e-04
7.2500000000000199e+01  3.5225225966091739e-04  5.0183562907086068e-04
7.3000000000000398e+01  4.1621847295374940e-04  5.0048466556137602e-04
7.3500000000000696e+01  4.9623982246563313e-04  4.9705658126161551e-04
7.4000000000000995e+01  5.9004657178348037e-04  4.9151682219302005e-04
7.4500000000001194e+01  6.9393721757403251e-04  4.8425033933297993e-04
7.5000000000001506e+01  8.0376469477275148e-04  4.7547535119066590e-04
7.5500000000001705e+01  9.1594987860319887e-04  4.6543866783626197e-04
7.6000000000002004e+01  1.0280796227839380e-03  4.5408887584312801e-04
7.6500000000002203e+01  1.1391139054821448e-03  4.4179209677904814e-04
7.7000000000002501e+01  1.2491390349414543e-03  4.2914492502700140e-04
7.7500000000002700e+01  1.3583512802532245e-03  4.1642143208628991e-04
7.8000000000002998e+01  1.4655910336790726e-03  4.0330263608851191e-04
7.8500000000003297e+01  1.5673422646555659e-03  3.8854929305019926e-04
7.9000000000003496e+01  1.6580357677955203e-03  3.7105152929791491e-04
7.9500000000003794e+01  1.7317326578127150e-03  3.5211928171908038e-04
