# time  Re(R=14)  Im(R=14)  Re(R=30)  Im(R=30)
5.0099999999998602e+01  -1.2550266203891641e-02  -7.6737544812445491e-13  1.3352331017748369e-02  1.6177448378291992e-14
5.0199999999998603e+01  -1.2806373960662863e-02  7.6627574186090286e-14  1.3426058297813587e-02  2.2901043447666122e-14
5.0299999999998597e+01  -1.3050681430695744e-02  4.7600205027586995e-13  1.3492035818051680e-02  -1.7437274362061203e-15
5.0399999999998499e+01  -1.3281693774141767e-02  9.4856604802894331e-13  1.3553787485590184e-02  -2.9116723680548684e-14
5.0499999999998501e+01  -1.3505475898709228e-02  4.4981675346577200e-13  1.3615134764671768e-02  -2.2674250376038783e-14
5.0599999999998502e+01  -1.3731882190872974e-02  -1.3203997340356611e-12  1.3678538712340930e-02  9.6067258152383178e-15
5.0699999999998496e+01  -1.3965056762174775e-02  -1.4979176143274479e-12  1.3744769966375525e-02  2.7216591610632057e-14
5.0799999999998498e+01  -1.4197502503818817e-02  6.6289353428108586e-13  1.3813371517186165e-02  9.8598954928431556e-15
5.0899999999998400e+01  -1.4417973193190266e-02  1.7567757873291267e-12  1.3883117570980378e-02  -2.2275628200731437e-14
5.0999999999998401e+01  -1.4625250467262365e-02  3.4258396121279126e-13  1.3952181657815300e-02  -2.2563509288514756e-14
5.1099999999998403e+01  -1.4826738709583450e-02  -1.0466669001505443e-12  1.4018344781034536e-02  1.1444728018473842e-14
5.1199999999998397e+01  -1.5028904155438030e-02  -9.9395695294442633e-13  1.4079522118615533e-02  3.5299267984534657e-14
5.1299999999998398e+01  -1.5237125068249891e-02  -1.2515099836996578e-13  1.4134341099543169e-02  5.5732904456849003e-15
5.1399999999998300e+01  -1.5448831421699824e-02  8.1391352872391999e-13  1.4182298744599128e-02  -4.2760696513603064e-14
