#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000    2.9096874029e-06    1.7666094100e-04    3.2623264472e-07    4.2213561097e-05    9.4482444488e-08    1.3403870011e-05    1.1656071802e-08    6.9731023552e-06
   0.0200000    2.9635385138e-06    1.7674601862e-04    3.3380540983e-07    4.2256870872e-05    9.6147290502e-08    1.3402469889e-05    2.6367793182e-08    6.9036560627e-06
   0.0300000    3.0176408577e-06    1.7684735869e-04    3.4134031830e-07    4.2301751808e-05    9.7877076484e-08    1.3404404510e-05    3.9698122640e-08    6.8231896986e-06
   0.0400000    3.0719956611e-06    1.7696275669e-04    3.4888536852e-07    4.2347644666e-05    9.9669179598e-08    1.3409610818e-05    5.1584187556e-08    6.7333983195e-06
   0.0500000    3.1266027531e-06    1.7708973836e-04    3.5650032924e-07    4.2394156968e-05    1.0151971516e-07    1.3418014684e-05    6.1970919339e-08    6.6358906870e-06
   0.0600000    3.1814607980e-06    1.7722560525e-04    3.6425318662e-07    4.2441059295e-05    1.0342348740e-07    1.3429530378e-05    7.0810858775e-08    6.5321875883e-06
   0.0700000    3.2365673102e-06    1.7736748436e-04    3.7221595512e-07    4.2488277861e-05    1.0537412310e-07    1.3444061065e-05    7.8063945460e-08    6.4237211594e-06
   0.0800000    3.2919188735e-06    1.7751238076e-04    3.8046029844e-07    4.2535883105e-05    1.0736418363e-07    1.3461499359e-05    8.3697341908e-08    6.3118346266e-06
   0.0900000    3.3475115334e-06    1.7765723214e-04    3.8905323789e-07    4.2584074888e-05    1.0938527914e-07    1.3481727901e-05    8.7685159654e-08    6.1977824965e-06
   0.1000000    3.4033408530e-06    1.7779896440e-04    3.9805314732e-07    4.2633164288e-05    1.1142819338e-07    1.3504619942e-05    9.0008184208e-08    6.0827310435e-06
   0.1100000    3.4594021943e-06    1.7793454696e-04    4.0750598634e-07    4.2683553103e-05    1.1348305427e-07    1.3530040052e-05    9.0653591090e-08    5.9677592047e-06
   0.1200000    3.5156908284e-06    1.7806104678e-04    4.1744239793e-07    4.2735711326e-05    1.1553945332e-07    1.3557844746e-05    8.9614640381e-08    5.8538597562e-06
   0.1300000    3.5722021209e-06    1.7817568039e-04    4.2787533399e-07    4.2790153259e-05    1.1758664449e-07    1.3587883213e-05    8.6890360683e-08    5.7419407702e-06
   0.1400000    3.6289314243e-06    1.7827586251e-04    4.3879855172e-07    4.2847412961e-05    1.1961366744e-07    1.3619998087e-05    8.2485231925e-08    5.6328273479e-06
   0.1500000    3.6858740686e-06    1.7835925073e-04    4.5018606739e-07    4.2908019565e-05    1.2160953626e-07    1.3654026145e-05    7.6408879780e-08    5.5272635650e-06
   0.1600000    3.7430254160e-06    1.7842378508e-04    4.6199237135e-07    4.2972473313e-05    1.2356340499e-07    1.3689799130e-05    6.8675745189e-08    5.4259146394e-06
   0.1700000    3.8003806520e-06    1.7846772266e-04    4.7415364710e-07    4.3041222513e-05    1.2546470331e-07    1.3727144474e-05    5.9304758213e-08    5.3293692366e-06
   0.1800000    3.8579348025e-06    1.7848966563e-04    4.8658968838e-07    4.3114642458e-05    1.2730333398e-07    1.3765886152e-05    4.8319047841e-08    5.2381420086e-06
   0.1900000    3.9156825771e-06    1.7848858289e-04    4.9920655660e-07    4.3193016373e-05    1.2906978015e-07    1.3805845450e-05    3.5745624364e-08    5.1526762145e-06
   0.2000000    3.9736183881e-06    1.7846382493e-04    5.1189983021e-07    4.3276519235e-05    1.3075528882e-07    1.3846841783e-05    2.1615066237e-08    5.0733464629e-06
   0.2100000    4.0317364119e-06    1.7841513159e-04    5.2455826768e-07    4.3365204533e-05    1.3235196884e-07    1.3888693512e-05    5.9612458450e-09    5.0004615807e-06
   0.2200000    4.0900306357e-06    1.7834263290e-04    5.3706775247e-07    4.3458994357e-05    1.3385295949e-07    1.3931218705e-05   -1.1178967163e-08    4.9342675419e-06
   0.2300000    4.1484950661e-06    1.7824684272e-04    5.4931527709e-07    4.3557673201e-05    1.3525247757e-07    1.3974235914e-05   -2.9765978965e-08    4.8749504624e-06
   0.2400000    4.2071239846e-06    1.7812864576e-04    5.6119294707e-07    4.3660885316e-05    1.3654599490e-07    1.4017565019e-05   -4.9757736345e-08    4.8226396667e-06
   0.2500000    4.2659121624e-06    1.7798927818e-04    5.7260165953e-07    4.3768135999e-05    1.3773024409e-07    1.4061027908e-05   -7.1110004075e-08    4.7774107449e-06
   0.2600000    4.3248552091e-06    1.7783030211e-04    5.8345449715e-07    4.3878796445e-05    1.3880333520e-07    1.4104449266e-05   -9.3776595366e-08    4.7392886596e-06
   0.2700000    4.3839498578e-06    1.7765357475e-04    5.9367961351e-07    4.3992112340e-05    1.3976478526e-07    1.4147657271e-05   -1.1770962400e-07    4.7082508728e-06
   0.2800000    4.4431943067e-06    1.7746121282e-04    6.0322247072e-07    4.4107215641e-05    1.4061554348e-07    1.4190484289e-05   -1.4285972283e-07    4.6842304257e-06
   0.2900000    4.5025883219e-06    1.7725555279e-04    6.1204755326e-07    4.4223139626e-05    1.4135803446e-07    1.4232767551e-05   -1.6917627908e-07    4.6671190317e-06
   0.3000000    4.5621336926e-06    1.7703910800e-04    6.2013936849e-07    4.4338836563e-05    1.4199612082e-07    1.4274349766e-05   -1.9660763122e-07    4.6567701519e-06
   0.3100000    4.6218339889e-06    1.7681452320e-04    6.2750264508e-07    4.4453197737e-05    1.4253510656e-07    1.4315079707e-05   -2.2510128353e-07    4.6530019838e-06
