#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000   -6.3293816038e-10    1.6710078854e-10   -1.8516508644e-10   -3.9502395005e-11   -1.1029236156e-09   -4.4199268003e-09   -5.6736517536e-11    8.9556336521e-11
   0.0200000   -4.2829287792e-10    2.5507955931e-11   -2.4158278212e-10   -1.2301499075e-10   -1.2343229152e-09   -4.3294357321e-09   -5.6418805695e-11    1.6601641962e-10
   0.0300000   -2.1148829344e-10   -1.1831704206e-10   -2.9137057719e-10   -2.0658167623e-10   -1.3383135753e-09   -4.2401177575e-09   -5.5747460129e-11    2.3505324347e-10
   0.0400000    1.7992209450e-11   -2.6260605289e-10   -3.3424166167e-10   -2.9006753730e-10   -1.4150082984e-09   -4.1527100977e-09   -5.4734121981e-11    2.9693184893e-10
   0.0500000    2.6046375698e-10   -4.0536344525e-10   -3.6990124672e-10   -3.7327221993e-10   -1.4644784521e-09   -4.0667635128e-09   -5.3401537875e-11    3.5190506757e-10
   0.0600000    5.1601744645e-10   -5.4450964789e-10   -3.9809067812e-10   -4.5589704764e-10   -1.4869240031e-09   -3.9816876545e-09   -5.1766458440e-11    4.0024783476e-10
   0.0700000    7.8451217620e-10   -6.7788573275e-10   -4.1859266908e-10   -5.3750199626e-10   -1.4826569306e-09   -3.8967421541e-09   -4.9844588681e-11    4.4220939512e-10
   0.0800000    1.0655596749e-09   -8.0326646616e-10   -4.3121150660e-10   -6.1751768882e-10   -1.4521238148e-09   -3.8110557107e-09   -4.7656487032e-11    4.7804918430e-10
   0.0900000    1.3585033799e-09   -9.1845413013e-10   -4.3576526907e-10   -6.9520778472e-10   -1.3958782864e-09   -3.7236513474e-09   -4.5216630275e-11    5.0802034174e-10
   0.1000000    1.6623917256e-09   -1.0212342402e-09   -4.3208262208e-10   -7.6967863216e-10   -1.3145915554e-09   -3.6334822931e-09   -4.2547674583e-11    5.3236392719e-10
   0.1100000    1.9760567812e-09   -1.1095011009e-09   -4.1999641237e-10   -8.3987120775e-10   -1.2090510886e-09   -3.5394359332e-09   -3.9668058639e-11    5.5133038213e-10
   0.1200000    2.2980344957e-09   -1.1812244166e-09   -3.9934798287e-10   -9.0454140878e-10   -1.0801465310e-09   -3.4403874177e-09   -3.6590043765e-11    5.6515228973e-10
   0.1300000    2.6266507756e-09   -1.2345425906e-09   -3.6998270058e-10   -9.6232850543e-10   -9.2887730590e-10   -3.3352022889e-09   -3.3332207794e-11    5.7406425786e-10
   0.1400000    2.9599985985e-09   -1.2677673217e-09   -3.3174572329e-10   -1.0117030696e-09   -7.5634659697e-10   -3.2227779937e-09   -2.9911442671e-11    5.7829490631e-10
